****Dialogues from script :Miami_Vice.txt****

first draft		9/22/04 WGAw
nicholas		 Burnett, what's crackin'?
crockett		Nothing.
tubbs		Maxin' and relaxin'.
nicholas		 Sure.  Change your mind; get inclined?  Let me know...
crockett		What's our deal?
tubbs		Backup in case the Russians get physical.
crockett		How lucky's Miss Universe gotta be?
tubbs		Skin has to touch skin.  That's the requirement for the warrant.  Then he makes a credible excuse and he stops....  Her crew blackmailed and asset- stripped the last mark down to his social security...
gina		This I gotta see...  ...the "make up an excuse and stop" part.
crockett		Have faith.
gina		I have faith.  In horoscopes and fortune cookies...
tubbs		So?
gina		Switek pulling this off...?  That's not faith; that's delusional...
tubbs		Damn, girl...
tubbs		This is exciting...
rick		That's 'cause nothing is happening.
crockett		No shit...?
frank		 Yeah.  This is their surveillance...how they video their marks?  See, we jacked their fiber optics, like we piggybacked their signal.  Get it?
tubbs		Cooool...
ugo		Runnin' the Biscayne 200?
tubbs		If a coupla new exhaust manifolds show up...
crockett		Gin and Tonic.  Plymouth or Boodles.
bartender		 Lemon or lime?
crockett		Lemon doesn't go in Gin and Tonics, darlin'.  Where ya' from?
bartender		 Gottingen.  That's in Sweden.
crockett		You in Miami workin' on your complexion...?
bartender		 No.  I was in Namibia...
crockett		Doing...?
bartender		With the United Nations High Commission on Refugees.  Famine relief.
crockett		Really?  I did refugee relocation in Somalia.  But they transferred me out after I was wounded...
gina		Only African he ever "relocated" was a $2,000-an-hour Nigerian model for Gucci, and he got wounded when she took an NBA draft choice to the Super Bowl instead of him...
tubbs		He did volunteer one time...
trudy		 Why am I here...?
tubbs		 ...to backup Switek.  But only if it gets lethal.
trudy		That's impossible.
tubbs		Why?
trudy		Because you cannot kill him.
tubbs		And there's Dmitri...
crockett		The honey trap.  And there's the honey.
tubbs		Hello, Miss Ukraine...
trudy		 Eleven to seven he blows it.
crockett		 Twenty on my man...
trudy		You're giving away your money, fool...
tubbs		 You bet your partner?
zito		Sure.  Switek versus primal impulse from the amygdala.  Higher thinking versus the lizard brain.  Tectonic plates of libido confront the cognitive.
gina		Oh, bullshit.  She cops his joint. He pushes the button.
trudy		What's so fucking difficult?
crockett		Yeah...?
crockett		Yeah.
crockett		On the phone.
crockett		Who is this?
intercut		WITH:
stevens		 It's fucked up.  I'm sorry...
crockett		 What are you talking about?  Where are you...?
stevens		They had me from the gate.
crockett		I don't understand...
stevens		I gave up nothing on you guys. Don't worry.  I kept you and Rico out of it.  Only the Feds.  They're on their own...it's all their deal, anyway, so fuck 'em.
stevens		After I check on Francine and the boys, then I'm gone.  Sonny, tell Rico I'm so sorry.  I wanted you to know...
crockett		Where are you?
crockett		Alonzo...!
tubbs		What is it?
crockett		Alonzo...
tubbs		Stevens?
crockett		 Something's wrong.
tubbs		 I'll try Francine...
crockett		 This is Detective Crockett.  Miami- Dade P.D.  Patch me through to your Special Agent in Charge, James Fujima?  It's an emergency...
fbi agent		He'll be in on Monday...
crockett		I said, "emergency."  If he's not reachable, who's running the weekend?  The ASAC?
fbi agent		We don't give that out...
crockett		Listen carefully.
tubbs		 C'mon...
tubbs		 I don't know...we haven't worked with him for six months...
crockett		 Hello?
crockett		Detective Crockett.
crockett		A C.I. we cut loose to your Joint Interagency Task Force.  Name of Alonzo Stevens.  Now, he's YOUR informant.  Stevens, called us.  I haven't spoken to him for six months. I do not know what case you have him on.  I do not know what he is talking about.  But whatever he is doing for you, it sounds like it is going bad.  Right now...
fujima		How do I discuss operations over an open line?
crockett		How do I know?  But we know this guy.  I think you know this guy.  Normally, he is cool.  Tonight he is distraught. That is atypical.  That engenders foreboding.  Do you understand the meaning of the word "foreboding"? As in badness is happening to your deal right fucking now?
fujima		Guy's involved in a "meet"...
crockett		"Buy and walk"?  "Buy and bust"? "Reverse undercover"?  What?
fujima		Meet and greet.  "I flash you some of mine, you flash me some of yours?"
crockett		And the deal goes down at another place at another time.
fujima		That's right.
crockett		...so there's no industrial- strength HRT weapons team out there tonight?
fujima		Correct.  Flash samples.  Flash cash.
tubbs		 Haitian, Dominican, Russian, Israeli?
fujima		White supremacist types.
crockett		OMGs, Mongols, Nazi Low-Riders, prison gangs?
fujima		NLR, we think.  I wanna know...
tubbs		 Oh, good...
fujima		...what else, what else did he indicate to you?  I need to know everything he said.
