****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
will		You gonna jump?  Or are you just having a last look?
chuck		I was just thinking that I never had a new pair of shoes till I was twelve.
will		It's no my fault I was born first. Besides, nobody ever sent me on an eight month vacation, so ease up on the sad sack stuff.
chuck		It's not a vacation, it's private school.
will		I thought this was your dream come true.
chuck		That's not why he's sending me.
will		Why then.
chuck		Because it looks good.
chuck		I'm just not like you.  Ya know? I'm never going to go to Yale.  I'm never going to be "William".
will		Nobody says you have to be like me.
chuck		He does.
will		You don't give him enough credit Chas.
will		We better go.
charles		 You plan on making this plane or not?
will		Don't take any wooden nickels Kemosabe.
chuck		I won't.
will		And lighten up will ya.
charles		Now just take it easy.  We're not going to a fire.
middy		Honey, did you know that the Albatross was captured by the Germans during World War II?
chuck		No, I didn't.
middy		It says she was originally Schooner rigged, but Captain Sheldrake turned her into a brigantine.  I think square rigs look so much more romantic.
chuck		Me too.
charles		Appearances aren't everything.  Keep your mind on the road.
charles		What are you doing?
chuck		I don't feel like driving.  Okay?
middy		Do you have your ticket?
chuck		Yes.
middy		Passport?
chuck		Look, I just better go.
chuck		Goodbye Mom.  I'll be okay.
middy		I know you will.
charles		Make us proud.
chuck		Yes sir.
rick		Albatross?
chuck		Yeah.
rick		Rick March.  Who the hell are you?
chuck		Gieg, Chuck.
rick		Look, meet us out front when you're through.  If they try to take anything away from you like Johnny Quest up there, just make a list and we'll have 'em send it down to the boat.
chuck		Whatever.
rick		Hey, hey!!  That's my stuff!!
tod		Well Ricky boy, spear gun or no, it's sweet to be back in the world of rum and honey.
rick		I gotta admit I never thought you'd be back after the great "Bowsprit Affair".
tod		Me and Skipper had a meeting of the minds.
charlie		How's that?
tod		I begged.
chuck		 What the "Bowsprit Affair"?
rick		Well, Romeo here was on harbor watch and managed to sweet talk one of the local girls to have a go in the bowsprit.
tod		Not just any 'local' girl.
rick		The 'local' mayor's 'local' daughter.
charlie		Thing is, the net in the basket isn't very comfortable, so Tod-o wraps them up in the jib.  After the deed was done...
rick		He says they did the deed...
tod		Trust me, we did the deed.
charlie		After the "alleged" deed was done, they fell asleep.  Big Daddy Lawford comes on deck at four bells and hears Casanova sawing logs.
tod		Believe me, I needed the rest...
charlie		He gets the whole crew on deck, gets us on the halyard, and orders the old "heave ho...".
rick		Up goes the jib and out roll Tod-o and the mayor's daughter, naked as pilot whales...
charlie		 I don't know who was more surprised, you or Big Daddy.
tod		To tell you the truth, I think it was her father.
rick		Well gentlemen, there she is.
charlie		Home sweet hell on the water.
chuck		What happened to it?
bill		She cleans up.  We'll have her ship shape before we shove off.
lawford		"That this same child of honor and renown, This gallant Hotspur, this all praised knight, And your unthought-of Harry chance to meet. For every honor sitting on his helm, Would they were multitudes, and on my head.  My shames redoubled!  For the time will come...
lawford		... That I shall make this northern youth exchange, his glorious deeds for my indignities."
tod		Would you be addressing me, sir?
lawford		I would.
rick		What's that supposed to mean?
lawford		 Henry the IV part I Act I Scene ii. I suggest you read it.
charlie		It means Shakespeare.  B-o-r-i-n-g.
bill		It means if he catches anybody basket-napping on watch this passage, he's gonna use their lizard for 'cuda' bait.
rick		 Well that's a hell of a how-do-you- do.
bill		Drop your gear, go below and pick yourself some bunks.
rick		Listen up.  This is Chuck Gieg.
robin		I'm Robin.
robin		 That's my brother.  He's dead.
john		I'll take this one.
terry		You probably didn't notice, but this bunk has been taken.
john		Anybody gotta problem with that?
rick		 Absolutely not.
bill		Alright, listen up.  This is Dr. Alice Sheldrake.
alice		I'm ship's surgeon.  I'm in charge of aches, pains, biology, math and science.
bill		George Pascal here is ship's cook.
george		If you want to keep all your fingers, stay the hell out of my galley unless you're invited.
bill		Some of you already know Mr. Lawford.
lawford		I have been charged with the dubious task of insuring your literary education.
lawford		Bill Butler is your first mate.  But don't let his size fool you.
mike		So when the hell do we get to meet El Capitan?
terry		 Maybe he's getting his wooden leg waxed.
lawford		 You'll meet him.  Soon enough.
terry		What question?
robin		 What the hell is going on?
chuck		Maybe it's an air raid.
bill		Roll out sailors!  All hands on deck!  Sixty seconds.  Sixty seconds.
bill		You gotta problem Goodall?
john		You blow that thing again I'll shove it so far up your ass, you're gonna need dental floss to get it out.
bill		Just get on deck.
bill		Line up!  Single file.  Single file.
bill		Everybody swims.
lawford		Don't think people, just go!  Go, Go, Go, Go, Go!!!  Swim you win, stay you pay!!
bill		Now what's the problem, Goodall? Everybody swims.
john		I don't.
lawford		You will if you wanna eat.  Right George?
john		 You gonna swim for your breakfast?
lawford		"Down, down beneath the deep, That oft in triumph bore him, He sleeps a sound and peaceful sleep, With the salt waves dashing over him." -- Lord Byron gentlemen.
bill		Everybody swims.  Now, I've been in twice.  So I guess I'll be eating your breakfast too.
mike		I got five bucks says he doesn't.
chris		I got five that says he doesn't live.
tod		I'll take a dollar of that.
robin		This is crazy!
chuck		Jesus.
robin		I can't watch this.
bill		Skipper on deck!
skipper		You know what's out there?  Wind and wave and rain.  Endless glassy pools that'll hold a sailing ship for weeks and then spit her out into the eye of the kind of hurricane.  A blow that could knock the bridge off a battleship.  Reefs and rocks and sandbars that'll tear the belly from her and enough fog and night to hide it all.
skipper		So look out there... and explain to me why any man in possession of any sense at all, would take on the sea with sail?
skipper		Because there's something else out there.  It beckons in the wind and sings in the shrouds.  Voices. Whispering...
skipper		They're voices of men.  Calling.  Men you don't even know.  Men you can't even imagine.  It's a seed, a wish, that part of you and I that aches to be alive, that was banished by everything we've ever been taught or told.  It's a part of us that can only be found on mountain tops and deserts, in the deepest caverns, smoking battle fields and... across oceans.
skipper		Out there, is where it all waits.
skipper		 "Where we go one, we go all."
terry		This -- is gonna be a long eight months.
tod		Chow down boys.  The milk and eggs are the first things to go once we put out.
rick		You know we gotta dumbwaiter for that.
rick		Not that one.  Tod-o here.
tod		Har, har, har...
terry		I'm done.  I'm finished...
rick		Hungry, Goodall?
john		What's your problem?
robin		Why'd you jump?
john		Because I felt like it.  What do you care?
robin		 I couldn't do it.
john		Well, as soon as you grow some balls, let me know.
robin		Screw you!
charlie		He's right.  It was a stupid stunt.
john		Excuse me?
charlie		You heard me.
john		Don't ever call me stupid.
robin		Come on, he didn't mean anything.
john		Let me tell you girls something.  I do what I wanna do.  When I wanna do it.  And I don't give a shit what old Ahab up there thinks either. Any questions?
bill		Okay, here's the duty.  Gieg, Weathers, Lapchick, Schucart: scrape and paint.  Corry and Stricklin have the brass.  Robinson, you're the Galley slave.  March you're on chain gang with Barnes. Johnston, solo on bilge detail.
tod		Butler, what'd I ever do to you?
bill		You came back, Tod.  You came back.
announcer		"President Eisenhower today acknowledged that a secret American spy plane was in fact shot down over the Soviet Union.  The pilot has been confirmed as Francis Gary Powers..."
terry		Why couldn't it have been a wooden boat?
mike		Steel boats don't leak.
robin		Hey, can I have one?
robin		Thanks daddy-o.
terry		Well, don't brush too hard.  Looks to me like the only thing holding this bucket together is the rust.
skipper		Good afternoon.
francis		Albatross?  Doesn't inspire a lot of confidence.
skipper		Oh, on the contrary, the Albatross is considered a very good omen.  It is said they embody the spirits of sailors passed on.  It's very bad luck if you kill one.  And dolphins too.
francis		I'm Francis Boutillier.  This is my son, Philip.
skipper		I know.
skipper		You're a day late.  We keep a schedule aboard ship.  Lives depend on it.  Hello, Philip.
phil		Sir.
francis		Your cable said you wouldn't be putting out until mid-October.
skipper		As you can see, there's a lot to do.
francis		Indentured servitude is not what my son had in mind.
skipper		This is a working ship.  Promptness is not a luxury, it's a necessity, as is the work to maintain her.  Had we been ready, I can assure you we would have sailed.
francis		And I would have expected compensation for my time and expense coming all the way down here.
skipper		Happily, it all worked out... This time.  Bill, take Philip below and help him find a bunk.
francis		I'll be frank with you.  This was his mother's idea.  A romp through the Caribbean on a sailboat sounds more like a vacation than an education if you ask me.
skipper		It will be more than that, I can promise you.
francis		 Take good care of my son.
skipper		We'll do our best.  You're welcome to say goodbye.
francis		He's a big boy.
lawford		Well, that was neighborly.
skipper		He didn't get to be Under Secretary of the Air Force by being neighborly.
skipper		Everyone aboard young Bill?
bill		Yes, Sir.
skipper		Good.  Let's go sailing.
skipper		Come over here and take the wheel.
skipper		Hold her steady into the wind. Southwest by west.
chuck		Yes sir.
skipper		 Raise the mainsail.
bill		 Raise the main!
together		Raise the main!!
skipper		Take a turn under the pin and lead it out to the others.  You guys in the rear take up the slack.  Heave together now...
bill		 "When the sun came up there was whisky in the cup..."
boys		"When the sun came up there was whisky in the cup..."
lawford		Come on the rest of you, sing!  Belt it out like men!!
bill		 "Not one of us was a sober..."
skipper		What's wrong Mr. Lawford.
lawford		It seems we're short on singers.
skipper		Everyone sings aboard a wind jammer gentlemen.  It lets everyone know you're in sync.  It shows unity, that all thoughts are one.  A crew that sings together stays together. Besides, I like it.  So, pipe up and be sailors.
john		 Everybody swims, everybody sings... What's next?  Tap dancing?
lawford		Tie it off!!
skipper		 Outer.
bill		Outer Jib!
charlie		 Outta what?
skipper		 We'll bear off to port and run down wind.
bill		Mr. Lawford, stand by to ease the mainsheet.  Rick, get on the jib sheet.  George, John, Philip, Tim and Dick go aloft to unstop the forecourse.  George will show you what to do.  Tod, show your men the forward pinrail and stand ready on the buntlines and clewlines. Forecourse first... work upward.
bill		Unstop the squares!
yardarm crew		Unstop the squares!!
skipper		 Fall off to port.  Ease her around to a heading of northeast.  Sing out when you're there.
chuck		 Ah... Northeast... sir.
skipper		 Speak up boy!
chuck		Northeast sir!
skipper		Unfurl the squares!
bill		Raise the inner jib!  Raise the forestaysail!
skipper		Watch the tell-tales Chuck.  If we jibe now we'll have a lot of people in the water.
chuck		Yes, sir.
skipper		All stop on the engine.
bill		All stop on the engine!
skipper		Behold gentlemen.  The power of the wind!
skipper		Did we lose anybody?
alice		Not yet.
skipper		Chart us a course for the windward side.
alice		That low passed through last night. May be a little bumpy out there.
skipper		It's time these boys saw some real blue water.
skipper		Well... now that I have your undivided attention... I'd like to take this opportunity to make a few points...
terry		 This guy is certifiable...
phil		Suicidal...
skipper		The first thing is I don't like people talking when I'm talking so the two of you, shut up.
skipper		Second, the next one of you who doesn't jump like a bunny when Mr. Butler gives an order is gonna spend the rest of this trip scrubbing bilges.  He's a better sailor today than any ten of you will be when this is all over.
skipper		And if I catch anybody, ever, jumping off a yard arm again I will personally break what bones are left and send you home in a wheel chair.
terry		We're gonna die!!!  We're all gonna die!
skipper		Excellent point.  As you might have noticed, being out here pretty much puts you in the moment.  If you panic, if you lose your head, you die.  Maybe you take your mates with you.  How'd you like to have to bet on Terry here getting us home today? Each one of you is responsible for the rest.  "Where we go one, we go all".  If your buddy is asleep at the switch we're all fish food.
skipper		The ship beneath you is not a toy and sailing is not a game.  The Albatross will take us far gentlemen, but she demands constant attention.  Respect her, and we'll do fine.  Oh, and one more thing. There is nothing that goes on, on this boat that I don't know about. She speaks to me in the night.  So don't test me.  Not even a little.
skipper		Nothing like experience to put things in perspective.  Huh son?  Alright.  Let's go home.
lawford		That's not a satisfactory answer.
john		Look, save it for somebody else will ya.  This ancient shit doesn't have anything to do with me.
lawford		Shit?!!!
lawford		Read for me please the words of Mr. Keats at the bottom of the page.
robin		I'll read it.  I mean I don't mind.
john		Shut up donut.
john		 Much have I traveled in realms of gold/ And many goodly states and kingdoms seen/ Round many western islands have I been/ Which bards in fealty to Apollo hold/ Oft of one wide expanse had I been told/ That deep-browed Homer ruled as his demesne.
lawford		You know what he is talking about here?
lawford		 Awe.  Humility.  He's telling you that he has traveled the seas as Homer did.  As Ulysses had before him as he tried to find his way home to Ithaca after the Trojan Wars. "That deep browed Homer"...
lawford		Brilliant, seasoned, wise, of the mind; "... ruled as his demesne." He commands the voyage of the imagination, like a god.  That is what one of the greatest literary minds of modern times, Mr. Boutillier, has to say about Homer.
lawford		You think the Odyssey is dull?  I'll tell you something, it's about each one of you -- right now.  Doubt and expectation.  Friendship, community, self sacrifice and accountability.
lawford		This isn't just a story!!  It's history made allegory.  It is a philosophical handbook for life!  It holds the secret of this very voyage.
john		What is it... the secret?
john		 What?
lawford		If it were only that simple, my young friend.  Read on, gentlemen. Read on.
robin		Bill!!  Skipper!!
skipper		You all right?
chuck		It was my fault.  I slipped.
skipper		Why didn't you go up there?
skipper		Speak up.
charlie		He's afraid to climb.
skipper		What?  Is that true?
skipper		Why wasn't I made aware of this Bill?
bill		I didn't know sir.
skipper		It's your job to know.  If something goes wrong up there, the other eighteen people aboard can't be wondering if he's gonna do his job or not.
skipper		Swing up, son.
robin		 What?
skipper		Up you go.  Right now.
skipper		Do you have something to say?
phil		 No.
skipper		Then keep your mouth shut.
skipper		 What's it going to be?
robin		I'm sorry...
skipper		Sorry won't cut it.
skipper		Survival means discipline and assimilation.  There are no special cases here.  Now, get going.  Get up there.
skipper		What are you blubbering about?
robin		I don't know...
skipper		One hand in front of the other son. We'll do it together.
skipper		Don't look down.  Look in my eyes! Climb!  We'll do it together.
robin		 I can't.
skipper		You climb damn it, or so help me I'll haul you to the foretop by your diaper and leave you there!
robin		Aaauuuhhh!!!
skipper		Are you hating this?!  Are you!
robin		I hate you, you son of a bitch!!!
skipper		No.  Hate the fear inside of you! Climb like a man mister!  Hate it! Hate it away.  Hate your way up one more rung!!  Do it right now!!
together		Auuuggghhh!!!!
robin		Oh, god...
skipper		Don't hate yourself.  Hate your weakness.  All right.  Get down.
skipper		I'm only gonna say this one time. I'm not here to wipe noses and asses.  I'm not your mother.  Trust funds and blue blazers don't get you a thing out here.  You wanna act like babies, then get off my boat.
skipper		 Any other 'phobias' I need to know about?
phil		No, sir.
skipper		Excellent.  Bill, find Mr. Weathers a position to suit his condition.
skipper		Remember something, sooner or later... we all have to face it.
chuck		 Face what?
skipper		We're awfully quiet tonight.
skipper		Something on your mind, George?
george		I think you were too hard on Weathers.
skipper		You do?
george		Yes.  I do.
