Script_name		No_of_blocks	No_of_dialogues		Extraction_of_dialogues(%)
10_things_i_hate_about_you.txt		1832		773		42.19432314410481
127_hours.txt		822		168		20.437956204379564
12_years_a_slave.txt		1511		639		42.28987425545996
12_and_holding.txt		1540		704		45.714285714285715
15_minutes.txt		1649		868		52.63796240145543
17_again.txt		1		0		0.0
2012.txt		2198		646		29.390354868061873
25th_hour.txt		2411		3		0.1244296972210701
28_days_later.txt		1688		581		34.41943127962085
30_minutes_or_less.txt		1626		865		53.198031980319804
42.txt		1701		764		44.914756025867135
500_days_of_summer.txt		1805		949		52.57617728531856
8mm.txt		1899		575		30.27909426013691
a_few_good_men.txt		2131		1419		66.58845612388549
a_most_violent_year.txt		1		0		0.0
a_scanner_darkly.txt		1802		883		49.00110987791343
a_serious_man.txt		1044		752		72.03065134099617
above_the_law.txt		1022		256		25.048923679060664
absolute_power.txt		1590		480		30.18867924528302
adaptation.txt		1645		688		41.82370820668693
affliction.txt		1270		726		57.16535433070866
agnes_of_god.txt		1274		906		71.11459968602826
air_force_one.txt		1		0		0.0
airplane.txt		1767		479		27.108092812676855
aladdin.txt		7		0		0.0
ali.txt		2034		642		31.563421828908556
alien.txt		1		0		0.0
alien_3.txt		1485		693		46.666666666666664
alien_nation.txt		1337		549		41.06207928197457
aliens.txt		1641		716		43.631931748933575
all_about_steve.txt		1332		665		49.92492492492492
almost_famous.txt		2094		1001		47.80324737344795
alone_in_the_dark.txt		1577		318		20.164870006341154
amadeus.txt		2277		1296		56.916996047430835
amelia.txt		1170		517		44.18803418803419
american_beauty.txt		1461		683		46.74880219028063
american_gangster.txt		1970		681		34.568527918781726
american_graffiti.txt		1693		1016		60.01181334908446
american_hustle.txt		1878		1043		55.53780617678381
american_madness.txt		3525		0		0.0
american_outlaws.txt		4		0		0.0
american_pie.txt		1771		833		47.03557312252965
american_psycho.txt		1539		12		0.7797270955165692
american_sniper.txt		1855		721		38.86792452830189
american_splendor.txt		1445		451		31.21107266435986
american_werewolf_in_london.txt		1406		697		49.57325746799431
amour.txt		945		385		40.74074074074074
an_education.txt		1		0		0.0
analyze_this.txt		2033		1121		55.140186915887845
anastasia.txt		1497		482		32.197728790915164
