Speaker,Dialogue
first woman,"I've been here one year and I've lived through an earthquake, fires, floods..."
second woman,The rains...it just keeps coming...the floods...the hillsides are coming down... you can't get to and from work and it's just a mess.
third woman,"You survive by natural instincts, you go with the flow."
allen,Okay...hold on. Yeah I'll take care of you in a second...I'm transferring you over..
allen,"Hello.? Yeah okay I've got somebody else on hold...I'm going to transfer you over. It might be a second, just hold on."
allen,"Okay, oh doctor.  TALK SHOW HOST Hello?  EXTERIOR - RANCH HOUSE FROM ABOVE - DAY We see rooftops of ranch buildings from high above. We HEAR the sound of a plane flying overhead. We HEAR ALLEN'S voice."
allen,Are you there?  EXTERIOR - RANCH HOUSE - DAY The Ranch House stands isolated in a dry island valley. The plane passes overhead.
allen,Can I use my real name on the radio?
allen,First of all I'm invisible. I see myself looking in a mirror. I'm having this dream almost every night.
allen,And the next thing you know I'm getting married. I don't know to whom....  INTERIOR - RANCH HOUSE - DAY MARIE-NOEL looks in the mirror again; the conversation on the radio affirms something she knows to be true.
allen,Like an entire solid month.
allen,Then all of a sudden I see myself walking down a road by the harbor....  The TALK SHOW HOST interrupts. WE HEAR a telephone ring.
allen,"Can you hold on for one second... Hello.  TALK SHOW HOST No, actually we can't...Hello?  INTERIOR - OFFICE - DAY ALLEN is trying to juggle too many things at once. He tries to transfer incoming calls without losing them. He has the TALK SHOW HOST on hold again."
allen,"Yeah, I've got two other lines. Can you hold a second? Great...."
allen,Hello...yeah...hold on. I can transfer you now.
allen,Hi. Hi. Sorry.
allen,Sorry..
allen,I'm really sorry....
allen,Am I on?
allen,"Okay. I'm walking along the road down by the harbor, and I'm invisible, and I go around looking at people knowing that they can't even see me and in this dream....."
allen,"... I ride around with people. I get in their cars, I go all over town.  INTERIOR - OFFICE - DAY ALLEN has risen to a peak in energy."
allen,"I mean here...this, this, this.  TALK SHOW HOST And how does it feel to you?  VIEW on PHONE: WE HEAR a RING"
allen,Can you hold on a second?  NOTE: DISCONTINUITY - Glasses disappear from ALLEN's Hand.  VIEW ON ALLEN He turns to a colleague in the office while the TALK SHOW HOST languishes on hold.
allen,"I've got two juice commercials. I'm like the spokesman for the company now. I got a Baske and Robbins, and I'm on avail for a couple of beer things that are going on..  WE HEAR another RING. A hand in the foreground picks up a phone. ALLEN goes back to the line of the TALK SHOW HOST."
colleague,Hello...
allen,Dr. Powell I'm back....
allen,Sorry to put you on hold....You see then I get out of the car...
allen,...and I walk all day...  EXTERIOR - LA - NIGHT MARIE-NOEL walks down Hollywood Blvd. Creatures of the night surround her.
allen,...and all night.  TALK SHOW HOST Don't put me on hold...  EXTERIOR - LA - NIGHT ALLEN walking on a back street.
allen,"No, no, no, no. I'm at work. I'm at work."
allen,What do you think? Do you think I'd make a fake call in the middle of work?
allen,And then this really strange thing happens.
allen,While I'm walking...I'm an Actor...
allen,"I'm walking, and I see myself walking, but I don't stop, I just keep on walking."
allen,"I want to know what you think about the dream, let me finish it! Can you hold on a second please?"
tony,Come on...
tony,Yes it is.
tony,Let's not.
tony,We'll just go home and we'll wait it out.
tony,Let's not.
