Speaker,Dialogue
cole,"Ssssst!  Jose, what's going on?"
jose,"""Volunteers"" again."
scarface,"""Volunteer duty""."
cole,I didn't volunteer.
scarface,You causing trouble again?
cole, No trouble.
tiny,James Cole.  Cleared from quarantine.
microbiologist,Thank you.  You two wait outside.
scarface,"He's got a history, Doctor.  Violence."
scarface,Anti-social six -- doing 25 to life.
engineer,"I don't think he's going to hurt us.  You're not going to hurt us, are you Mr. Cole?"
cole,"No, sir."
microbiologist,"Why don't you sit down, Mr. Cole."
astrophysicist,We want you to tell us about last night.
cole,I went to the surface and I collected specimens like I was told.
cole," I mashed the spider, didn't I?"
microbiologist,"We'll get to the spider later, Mr. Cole.  Right now, we want to know everything that you saw."
astpophysicist,"Where you collected sample #4, what street was that?"
cole,Uh...
botanist,It's important to observe everything.
cole,I think it was...I'm sure it was 2nd Street.
terrified traveler,Just exactly why did you volunteer?
astrophysicist,"Wake up, Cole."
cole,"Uh, I didn't hear the..."
microbiologist," I asked you, why did you volunteer?"
cole,"Well, the guard woke me up.  He told me I volunteered."
engineer,"We appreciate you volunteering.  You're a very good observer, Cole."
cole,"Uh, thank you."
engineer,You'll get a reduction in sentence.
astrophysicist,To be determined by the proper authorities.
engineer,"You don't want to jeopardize that reduction, do you, Cole?  Have it taken away?"
cole,"No, sir!"
astrophysicist,"We have a very advanced program, something very different, requires very skilled people."
microbiologist,An opportunity to reduce your sentence considerably...
zoologist,And possibly play an important role in returning the human race to the surface of the earth.
engineer,"We want tough minded people.  Strong mentally.  We've had some...misfortunes with ""unstable"" types."
astrophysicist,For a man in your position...an opportunity.
botanist,Not to volunteer could be a real mistake.
microbiologist, Definitely a mistake!
poet,"Still among the myriad microwaves, the infra-red messages, the gigabytes of ones and zeroes, we find words, infinitesimally small, byte-sized now, tinier even than science lurking in some vague electricity where, if we listen we can hear the solitary voice of that poet telling us, ""We are no other than a moving row Of Magic shadow-shapes that come and go Round with the Sun-illumined Lantern hold In Midnight by the Master of the show."""
poet,"""Yesterday This Day's Madness did prepare; Tomorrow's Silence, Triumph or Despair: Drink!  for you know not whence you came, nor why: Drink!  for you know not why you go, nor where."""
franki,"-- so they get there and they ask the guy real nice for some kind of i.d., and he gets agitated, starts screaming about viruses. Totally irrational, totally disoriented, doesn't know where he is, what day it is, alla that stuff.  All they got was his name.  They figure he's stoned out of his mind, it's some kinda psychotic episode, so they're gonna bring him..."
railly,He's been tested for drugs?
franki,Negative for drugs.  But he took on five cops like he was dusted to the eyeballs.  No drugs.  You believe that?
railly,You have him in restraints.
franki,"Were you listening?  We got two officers in the hospital.  Yeah, he's in restraints, plus the medic gave him enough stellazine to kill a horse.  Look at him!  Still on his feet."
railly,"That would explain the bruises, I guess.  The struggle."
franki,You want to go in?  Examine him?
railly,"Yes, please.  You said he gave a name..."
franki," James Cole.  That's everything we got.  None of the James Coles on the computer match him. No license, no prints, no warrants.  Nothing. You want me to go in with you?"
railly," No, thank you."
franki,I'll be right here...just in case.
railly,Mr. Cole?  My name is Doctor Railly. I'm a psychiatrist.  I work for the County -- I don't work for the police. My only concern is your well being -- do you understand that?
cole,I need to go now.
railly,"I'm going to be completely honest.  I'm not going to lie to you.  I can't make the police let you go...but I do want to help you.  And I want you to trust me.  Can you do that, James?  May I call you ""James""?"
cole,"""James""!  Nobody ever calls me that."
railly, Have you been a patient at County? Have I seen you someplace?
cole,"No, not possible.  Listen, I have to get out of here.  I'm supposed to be getting information."
railly,What kind of information?
cole,It won't help you.  You can't do anything about it.  You can't change anything.
railly,Change what?
cole,I need to go.
railly,"Do you know why you're here, James."
cole,Because I'm a good observer.  Because I have a tough mind.
railly,I see.  You don't remember assaulting a police officer...several officers?
