Speaker,Dialogue
jacob,You see `em?
rudy,No. But that doesn't mean they're not here.
jacob,What the hell is that?
rudy,Piss.
kenny,You and your deformed brother are dead!
rudy," Anytime you're ready, dickhead."
kenny,They're fucking dead!
malee,"Mom, I need help."
malee,"Move it, people.    Outta my way!"
leonard, You're late.
malee,"Yeah well, I began menstruating this morning, and I had some difficulty inserting the tampon.  What? It's a natural process. You know, I could conceive, carry and birth a child right now."
leonard,Big deal.    You won't.
malee,But I could. That's what matters.
leonard,"The twins said, they'd meet us at the spot."
malee,Wanna race?
leonard,"Nah, I'm good."
jacob,Maybe I should have mom look at it.
rudy,"If you didn't have that damn mask on, you'd have seen it coming. Our birthday comes once a year, and you ask for a hockey mask. You don't even play."
jacob,"Jason from ""Friday the 13th"" wears one. He's bad ass."
rudy,"Exactly. Jason wouldn't run home `cause of a little blood. He'd get back up, decapitate his victim and move on."
jacob,You think Jeff and Kenny will come back?
rudy,I dropped piss on their heads.    I'd say the odds are pretty good.
rudy,Jeff and Kenny were here. I dumped the piss I've been saving on their heads.
leonard,Why were you saving piss?
rudy,"Just incase. Pretty smart, huh?"
jacob,"No, it's stupid cause now they're gonna come back here and kick all our asses."
rudy,Don't be such a pussy.
leonard,"Yeah, I could probably take them both myself."
rudy,"What are you gonna do, Leonard, eat them?"
jacob,"All I'm saying is, who cares if they tear it down."
rudy,This is OUR place. We've been coming here since we were seven.
jacob,Nothing lasts forever.
rudy,You're such a butt-munch.
malee,"You guys, it's your birthday. Could you try and get along?"
debbie,I don't think therapy is helping.
yacco,"Why do you say that?   Are you still ""cutting""?"
debbie,It feels much better than it looks. Really.
malee,"Ma, I... Oops."
yacco,"Malee, out. Now."
malee,I'm sorry.
yacco,Excuse me for a moment.
yacco,I told you a 100 times to knock.
malee,"I said, I was sorry."
yacco,Why aren't you with the boys?
malee,Rudy and Jacob went for pizza with their parents.
yacco,"I found this in the backseat of my car this morning. Do you know how much flutes cost?   Go outside, sit on the front steps and practice."
malee,"But, mom."
yacco,Now!
malee,Keep it moving. This ain't a show.
jim,"Okay, you got your small gifts this morning. Now for the big ones."
ashley,This one is Rudy's.
rudy,Sony play station! Oh my God!      Oh my God! Yes! Too cool!
jim,"Since neither of you wanted a party this year, we were able to splurge."
jacob,What is it?
ashley,Only one way to find out.
jim,"Go ahead, read it."
jacob,"""Plastic Surgery.     Isn't it about time?""  I don't get it."
ashley,Your father and I are going to pay to have your birthmark removed.
jim,Isn't that great.
jacob,You got me surgery for my birthday?
jim,Not just one.     A series of them.
rudy, Cool.
jacob,"It's not ""cool"".    It totally sucks!"
jim,Jacob?
rudy,Don't sweat it. You can borrow my play station anytime you want.
jacob,This isn't about the play station. It's about this thing on my face. Everybody hates it.
rudy,I don't.
jacob,"Who cares what you think? You're the reason for all of this. Perfect you with your perfect skin. There to show the world what I'm supposed to look like.  You know, sometimes I just wish I wasn't your twin."
rudy,"Screw you! Know what, I take it back, you can't use my play station."
gabe,30 acres.
jim,"I already told you, Gabe, I'm not selling that land. Not 30 acres not five."
gabe,I'm willing to pay top dollar.
jim,"I'm not gonna let you tear down those woods, so you can stack twenty houses right on top of each other."
gabe,I'm gonna write down a number.
jim,"No! My kids... hell, your kids play in those woods all the time. You can't put a price on that."
gabe,I believe I can.
patrick,"Good eating, huh son?"
leonard,"Maybe you shouldn't have seconds, Dad, you know?"
patrick,"Who are you, Richard Simmons? C'mon, enjoy the day."
kenny, Me and Jeff are gonna pay that tree house of yours a little visit tonight.
rudy,Why don't you take your smelly ass back to the trailer park?
kenny,"Free country, asshole."
rudy,You got nothing better to do than pick on us all the time?
kenny,I did until yesterday.
rudy,"I thought you liked ""golden showers"". Oh no, that was your mother."
kenny,I'll finish this tonight!
rudy,"Kenny showed up. He said, Jeff and him are gonna tear the treehouse down tonight. We gotta sneak out and stop them."
jacob,Mom and Dad would kill us.
rudy,We can't let him tear it down.
jacob,It's just a treehouse.
rudy,"No, it's not! You know what, you suck. I'm going. Leonard, you in?"
jacob,You don't have to go if you don't want to.
rudy,Don't listen to him.     He's a pussy.
leonard,I'll go.
rudy,"Finally, someone with balls."
jacob,Rudy.
rudy,"Unless you're coming with me, I don't want to hear it."
jacob,What?
rudy,"Jeff and Kenny pick on you all the time, and you don't do shit."
jacob,It's my problem.
rudy,"No, it's mine too. Cause we're brothers. That's what brothers do. They fight for each other, kill for each other, die for each other."
jacob,I don't feel that way.
rudy,"Cause you're a pussy. So stay home, keep your head under the blankets. I'm gonna fight."
leonard, Some provisions.
rudy,We're only gonna be here a couple of hours.
leonard,"When two o'clock rolls around, you'll be begging for one of these."
rudy,"Moron, the bat is for Jeff and Kenny. You know, to scare them a little."
leonard,I'm wide awake. I could stay up all night.
leonard,"Oh, shit."
rudy,What... What is it?    They here?
leonard,No.
rudy,Where you going?
leonard,"They're not gonna show up, I'm goin' home. It's three o'clock-"
kenny,Now yours.     And aim for the window.
jeff,You hear that?
rudy,Put it out! Put it out!
jeff,They're in there!   They're in there!
kenny,"Wake up!   Wake up, kid!"
jim,Ashley?    What is it?
ashley,I forgot to deposit your paycheck last week.
jim,But I already wrote some checks.
ashley,"I know. With the cookout and everything, I forgot. I'll deposit it tomorrow. The holiday should buy us an extra day."
jim,Write yourself a note so you don't forget again.
ashley,I just did.
priest,"Rest in piece, Rudolph Eugene Carges. May God hold you in the palm of his hand."
gus,Friend or family?
malee,Huh?
gus,The person who died.
malee,Friend.
gus,"I'm sorry. You'll like Dr. Chung. This is only my second session, but she's good."
malee,I'm not a patient.     I'm her daughter.
gus,Oh.     I can see the resemblance.
malee,Are you trying to make me sick?
yacco,Mr. Maitland?
malee,"It was a funeral, Mom.     How do you think it was?"
yacco,I'm sorry I couldn't make it. Let Rudy's parents know I'm available if they need to talk. I won't charge for the sessions.
malee,"I know it's okay to cry. I don't need you to tell me, it's okay to cry. If I want to cry, I'll cry."
yacco,Okay.
mother,"Ashley, there's more than enough food here."
ashley,"No, Rudy loved my deviled eggs. It's right that I make them. Where's the paprika?"
ashley,Maybe I threw it out.
ashley,It's okay.
grace,This hospital is a nightmare. The elevator is never there when you need it.
patrick,Where are the girls?
grace,Haley took Sara up to the maternity ward.
leonard,My head hurts.
grace,You're lucky you didn't get killed.
leonard,"I told you, I'm sorry."
grace,"You try being awakened at four o'clock in the morning by the police saying, they have your son, he's unconscious and on his way to the hospital. I've never been so scared in my life. And poor Rudy."
leonard,My best friend is dead!
grace,Eat this.    It'll make you feel better.
leonard,"I'm not hungry. Besides, I can't taste anything anyway."
grace,Hospital food is always bland. This has flavor.
leonard,"No, it's because of my condition. I can't taste or smell anything anymore."
grace,"What are you saying, condition? What condition?"
leonard, My condition.
doctor,Leonard has a condition.    It's called Anosmia.
grace,Oh my God!     Is it serious?
doctor,"No. Anosmia is when a person looses their sense of smell. It's not uncommon in patients who suffer serious head injuries. Unfortunately, it's also affecting his ability to taste. Again, not uncommon."
patrick,Is it permanent?
doctor,Depends on the patient.
grace,What do we do? He can't eat.
doctor,He can eat. He just can't taste what he's eating.
patrick,"What she means is, he won't eat."
