Speaker,Dialogue
chief activist,Fucking hell...
female activist,Oh God...
chief activist, Keep your shit together. If we're going to get them out of here...
finnish activist,"I can pop these, no problem."
chief activist,So get to it.
scientist,Security! We have a break-in! Get to sector...
scientist,...nine.
scientist,"I know who you are, I know what you think you're doing, but you have to listen to me. You can't release these animals."
chief activist,"If you don't want to get hurt, shut your mouth, and don't move a fucking muscle."
scientist, The chimps are infected!
scientist, These animals are highly contagious. They've been given an inhibitor.
chief activist,Infected with what?
scientist,"Chemically restricted, locked down to a... a single impulse that..."
chief activist,Infected with what?
scientist,Rage.
scientist," In order to cure, you must first understand. Just imagine: to have power over all the things we feel we can't control. Anger, violence..."
finnish activist,What the fuck is he talking about?
chief activist,We don't have time for this shit! Get the cages open!
scientist,No!
chief activist,"We're going, you sick bastard, and we're taking your torture victims with us."
scientist,NO! You must listen! The animals are contagious! The infection is in their blood and saliva! One bite and...
female activist,They won't bite me.
scientist,STOP! You have no idea!
female activist,"Good boy. You don't want to bite me, do you?"
scientist,NO!
female activist, Get it off! Get if off!
female activist,I'm burning! Jesus! Help me!
scientist,We have to kill her!
female activist,I'm burning! I'm burning!
chief activist,What's...
scientist,We have to kill her NOW!
chief activist,What's wrong with them?
scientist,Oh God.
activist, Terry? Jemma?
activist,Mika? Where are you?
activist,Bloody hell.
jim,Ow...
jim,Hello?
jim,...Hello?
jim,Father?
jim,"Father, what are you..."
jim,Jesus!
jim,"Oh, that, was bad, that was bad... I shouldn't have done that..."
jim,Shit.
woman's voice,HERE!
woman's voice,OVER HERE!
jim, Those people! Who were... who...
mark,This way! Move it!
mark,"A man walks into a bar with a giraffe. They each get pissed. The giraffe falls over. The man goes to leave and the barman says, you can't leave that lying there. The man says, it's not a lion. It's a giraffe."
mark,He's completely humorless. You two will get along like a house on fire.
selena,Who are you? You've come from a hospital.
mark,Are you a doctor?
selena,He's not a doctor. He's a patient.
jim,"I'm a bicycle courier. I was riding a package from Farringdon to Shaftesbury Avenue. A car cut across me... and then I wake up in hospital, today... I wake up and I'm hallucinating, or..."
mark,What's your name?
jim,Jim.
mark,"I'm Mark. This is Selena.  Okay, Jim. We've got some bad news."
selena,"It began as rioting. And right from the beginning, you knew something bad was going on because the rioters were killing people. And then it wasn't on the TV anymore. It was in the street outside. It was coming through your windows. We all guessed it was a virus. An infection. You didn't need a doctor to tell you that. It was the blood."
