Speaker,Dialogue
narrator,This is a story of boy meets girl.
narrator,"The boy, Tom Hansen of Margate, New Jersey, grew up believing that he'd never truly be happy until the day he met his... ""soulmate."""
narrator,"This belief stemmed from early exposure to sad British pop music and a total misreading of the movie, ""The Graduate."""
narrator,"The girl, Summer Finn of Shinnecock, Michigan, did not share this belief."
narrator,"Since the disintegration of her parents' marriage, she'd only loved two things. The first was her long blonde hair."
narrator,The second was how easily she could cut it off... And feel nothing.
narrator,"Tom meets Summer on January 8th in a San Francisco office building. In an instant, he will know she's the one he's been looking for."
narrator,This is a story of boy meets girl.
narrator,"You should know up front, this is not a love story."
paul,I didn't know who else to call.
girl,You did the right thing. Where is he?
girl,Thomas.
tom,Rachel? What are you doing here?
tom,Help me how?
rachel,"First, put down the plate."
rachel,Now come here and sit down.
rachel,The key is not to panic.
tom,I think I'm gonna be sick.
rachel,Drink this.
mckenzie,What is that?
rachel,Vodka.
tom, More.
tom,Does Mom know you're here? It's
rachel,Don't worry about it. Start from the beginning. Tell us what happened...
tom,I thought it was a great day.
rachel,And then what happened?
tom," God, I love eating pancakes at night. It's like the greatest thing ever. How great is this?"
summer,I think we should stop seeing each other.
rachel,Just like that?
tom,Just like that.
paul,Did she say why?
summer,This thing. This whatever it is. You and me. Do you think this is normal?
tom,I don't know. Who cares about normal?! I'm happy. Aren't you happy?
summer,You're happy?
tom,You're not?
summer,All we do is argue!
tom,That is such a lie!
rachel,Maybe she was just in a bad mood.
paul,A hormonal thing.
rachel,P.M.S.?
tom, What do you know about PMS?
rachel,More than you.
tom,Oh my god.
mckenzie,Please continue.
summer,"This can't be a total surprise. I mean, we've been like Sid and Nancy for months."
tom,"Summer, Sid stabbed Nancy seven times with a kitchen knife. We've had some disagreements but I hardly think I'm Sid Vicious."
summer,No... I'm Sid.
tom, So I'm Nancy?!
summer,Let's just eat and we'll talk about it after. I'm starving.
summer," Mmm, you're so right. These are great!"
summer, What?
summer,"Tom, don't. Come back. You're still my best fr---"
paul,Jesus.
mckenzie,That's harsh.
tom,I don't know what I'm gonna do.
rachel,You're gonna be fine.
tom, I'm gonna throw up.
mckenzie,Or that.
rachel,Here.
mckenzie,Come on Hansen. You'll be ok. You're the best guy I know. You'll find someone.
paul,You know what they say...there's plenty other fish in the sea.
tom,No.
paul,Sure they do. They say that.
tom,Well they're wrong. It's not true. I've fished in that sea. I've jumped in and swam in that sea! I'm fucking Aquaman!  Sorry. What I mean is... there are no other fish. This was my fish.
tom,I'm in love with Summer.
paul, For real?
tom,"For real, Paul. I'm madly in love with that girl."
paul,Oh shit.
mckenzie,"Now I know this may be a little risque...but if New Hampshire Greetings wants the jump on those conservative, right-wing neo-Nazis at Hallmark, maybe playing it safe is the wrong approach. The nuclear family is dead and we need a new holiday to recognize that."
mckenzie,May 21st. Other Mother's Day.
vance,"Hmmm. That's an intriguing idea McKenzie. Along with Grossman's ""Magellan Day"" I'd say we've got some potential here. What do you think Hansen? Could you write up some prototypes for these?"
summer,"Excuse me, Mr. Vance? There's a"
vance," Everyone this is Summer, my new assistant. Summer just moved here from..."
summer,Michigan.
vance,"Right. Michigan. Well, Summer, everyone. Everyone, Summer. Excuse me, I have to take this."
summer,Nice to meet you all.
tom,What do we know about this new girl?
mckenzie,Who?
tom,The new girl. Summer. In Vance's office.
mckenzie,Dude. I hear she's a bitch from hell!
tom, Really?
mckenzie,Patel tried to talk to her in the copy room. She was totally not having it.
tom,Maybe she was just in a hurry.
mckenzie,"And maybe she's some uppity, better than everyone, superskank."
tom,Damn.
mckenzie,I know. She's pretty hot.
