Speaker,Dialogue
cab driver,Where to?
welles,"Follow that limousine.  Don't get too close, don't let it get too far away.  Just keep with it."
cab driver,You kidding?
welles,Nope.
cab driver,"Uh, listen... you're not supposed to be smoking in here.  I'm sorry, that's company policy..."
welles,"How about this... every cigarette I smoke, I give you five dollars?"
cab driver,"Okay... okay, yeah, that'd be good..."
amy,Welcome home.
welles,Do you know how much I missed you?
amy,I love you.
welles,I love you.
mrs christian,"This is Mister Longdale, my late husband's attorney."
welles,Of what sort?
longdale,You are a private investigator?
welles,Thank you.
welles,I've been privileged to provide services for people I admire.
welles,"Mrs. Christian... please, will you sit down a moment?  I want you to listen carefully. What you're talking about is a ""snuff film.""  But, from what I know, snuff films are a kind of... urban myth.  Like, red light district folklore.  There's no such thing, I can assure you."
welles,You... you need to go to the police.
welles,You don't have any other choice.
amy,I understand.
amy,I know.
amy,Why the gun?
welles,"What I'd like, very simply, is access to your archive.  And, now I understand this isn't something you normally do for private citizens..."
director,"I can give you my card, if your clients want to call me..."
director,"Listen, maybe I can help after all. Why don't you come on back in... we'll see what we can do."
director,"It's horrible, but it'll be your best friend after a few days.  I hope you realize what kind of long shot you're chasing after."
welles,You're gonna be seeing a lot of me. You're sure you don't mind?
welles," Yeah, about five or six years ago. Anyway, do what you can to dig up your husband's old financial records, look for anything out of the ordinary..."
mrs mathews,Yes... ?
welles," Hello, Mrs. Mathews, my name's Thomas Jones, I'm a state licensed investigator..."
welles,"I've been hired as an independent contractor by the U.S. Resource Center for Missing Persons as part of an internal audit.  If you have any time over the next few days, I'd like to make an appointment to ask some questions about the disappearance of your daughter."
mrs mathews,"I don't understand, who are... ?"
welles,"I'm sorry, let me explain, the R.C.M.P. is a support organization and archive, not unlike the Center for Missing and Exploited Children in Washington.  I'm sure you've dealt with them before?"
mrs mathews,"Yes, but..."
mrs mathews,Neil... Neil Cole.
welles," Right, Agent Cole told me he'd call and let you know to expect me.  He didn't call?"
mrs mathews,No.
welles," Well, I'm following up on your daughter, Mary, height; five four, weight; hundred ten pounds, brown eyes, blonde hair.  Born April 24, 1976.  Missing June 11th, 1992.  A runaway, that's how she's listed. Is this information correct... ?"
welles,"I'm sorry, I know this isn't easy. Is there a more convenient time... ?  Can I buy you lunch, would that be alright?"
welles,"It's very important you don't let this raise your expectations.  It's not going to effect any ongoing efforts.  All I'm saying is, please know, I'm not here to create any false hope."
mrs mathews,"They hired you.  You're like, a private detective?"
welles,That's exactly what I am.
mrs mathews,"I didn't think there were private detectives anymore, except on TV."
welles,"You probably expect me to be wearing a trench coat and a hat.  Drinking whiskey, chasing women and getting beaten up by guys with broken noses. Want to know what it's really like? It's sitting in a car and staring at a hotel window for three days straight, pissing in a plastic bottle, pardon me, because some guy thinks his wife's cheating on him. Glamorous, huh?  And the guy who hired you, he has a hair-lip, dandruff and crooked teeth, and you could have told him the minute you laid eyes on him his wife's cheating, and you don't blame her."
welles,"It's refreshing to actually sit down and meet someone face to face, someone nice like you."
