Speaker,Dialogue
written by, Aaron Sorkin
downey," You're lucky it's us, Willy."
jo,"I'm requesting... I'm... Captain, I'd like to request that I be the attorney assigned to rep -- I'd like to request that it be myself who is assigned to represent --  ""That it be myself who is assigned to represent""? ...Good, Jo, that's confidence inspiring."
gibbs,"Jo, come on in."
jo,"Thank you, sir."
gibbs,"Captain West, this is Lt. Commander Galloway. Jo, you know Mike Lawrence."
jo,"Yes sir.  Captain, I appreciate your seeing me on such short notice."
west,I understand there was some trouble over the weekend down in Cuba.
jo,"Yes sir... This past Friday evening. Two marines, Corporal Harold Dawson and Private Louden Downey, entered the barracks room of a PFC William Santiago and assaulted him. Santiago died at the base hospital approximately an hour later. The NIS agent who took their statements maintains they were trying to prevent Santiago from naming them in a fenceline shooting incident. They're scheduled to have a hearing down in Cuba at 4:00 this afternoon."
lawrence,What's the problem?
jo,Dawson and Downey are both recruiting poster marines and Santiago was known to be a screw-up. I was thinking that it sounded an awful lot like a code red.
west, Christ.
jo,"I'd like them moved up to Washington and assigned counsel. Someone who can really look into this. Someone who possesses not only the legal skill, but a familiarity with the inner workings of the military. In short, Captain, I'd like to suggest that... I be the one who, that it be me who is assigned to represent them.  Myself."
west,"Joanne, why don't you get yourself a cup of coffee."
jo,"Thank you, sir, I'm fine."
west,"Joanne, I'd like you to leave the room so we can talk about you behind your back."
jo,"Certainly, sir."
west,I thought this Code Red shit wasn't going on anymore.
lawrence,With the marines at GITMO? Who the hell knows what goes on down there.
west,"Well lets find out before the rest of the world does, this thing could get messy. What about this woman?"
lawrence,"Jo's been working a desk at internal affairs for what, almost a year now."
west,And before that?
gibbs,She disposed of three cases in two years.
west,"Three cases in two years? Who was she handling, the Rosenbergs?"
gibbs,She's not cut out for litigation.
lawrence,"She's a hall of an investigator, Jerry --"
gibbs,"In Internal Affairs, sure. She can crawl up a lawyer's ass with the best of 'em, but when it comes to trial work --"
west,"I know. All passion, no street smarts. Bring her back in."
west," Commander, we're gonna move the defendants up here in the morning."
jo,"Thank you, sir."
west,And I'll have Division assign them counsel...
jo, But... not me.
west,"From what I understand from your colleagues, you're much too valuable in your present assignment to be wasted on what I'm sure will boil down to a five minute plea bargain and a week's worth of paper work."
jo,Sir --
west,"Don't worry about it. I promise you, division'll assign the right man for the job."
kaffee," Alright, let's get two!"
second base,Sorry!
kaffee,"Nothing to be sorry about, Sherby. Just look the ball into your glove."
kaffee,"You gotta trust me, Sherby. You keep your eyes open, your chances of catching the ball increase by a factor of ten."
spradling,Kaffee!
kaffee,Let's try it again.
spradling,Kaffee!!
kaffee, Dave. You seem upset and distraught.
spradling,"We were supposed to meet in your office 15 minutes ago to talk about the McDermott case. You're stalling on this thing. Now we got this done and I mean now, or no kidding, Kaffee, I'll hang your boy from a fuckin' yardarm."
kaffee,"A yardarm?  Sherby, does the Navy still hang people from yardarms?"
sherby," I don't think so, Danny."
kaffee," Let's go, let's get two!"
spradling,I'm gonna charge him with possession and being under the influence while on duty. Plead guilty and I'll recommend 30 days in the brig with loss of rank and pay.
kaffee,"It was oregano, Dave, it was ten dollars worth of oregano."
spradling,"Yeah, well your client thought it was marijuana."
kaffee,"My client's a moron, that's not against the law."
kaffee," Way to keep your head in the play, Lester. Walk it off!"
spradling,"I've got people to answer to just like you, I'm gonna charge him."
kaffee,"With what, possession of a condiment?"
spradling,Kaffee --
kaffee,"Dave, I've tried to help you out of this, but if you ask for tall time, I'm gonna file a motion to dismiss."
spradling,You won't got it.
kaffee,"I will get it. And if the MTD is denied, I'll file a motion in liminee seeking to obtain evidentiary ruling in advance, and after that I'm gonna file against pre-trial confinement, and you're gonna spend an entire summer going blind on paperwork because a Signalman Second Class bought and smoked a dime bag of oregano."
spradling,"B Misdemeanor, 20 days in the brig."
kaffee,"C Misdemeanor, 15 days restricted duty."
spradling,I don't know why I'm agreeing to this.
kaffee,"'Cause you have wisdom beyond your years. Dave, can you play third base?"
whitaker,'Morning.
lawyers, 'Morning Captain Whitaker.
whitaker,"Sam, how's the baby?"
sam,I think she's ready to say her first word any day now.
whitaker,How can you tell?
sam,She just looks like she has something to say.
kaffee,"Excuse me, sorry I'm late."
whitaker,"I'm sure you don't have a good excuse, so I won't force you to come up with a bad one."
kaffee,"Thank you, Isaac, that's nice of you."
whitaker,"Sit-down, this first one's for you."
whitaker," You're moving up in the world, Danny, you've been requested by Division."
kaffee,Requested to do what?
whitaker,"Guantanamo Bay, Cuba. A marine corporal named Dawson illegally fires a round from his weapon over the fenceline and into Cuban territory."
kaffee,What's a fenceline?
whitaker,Sam?
sam,A big wall separating the good guys from the bad guys.
kaffee,Teachers pet.
whitaker,"PFC William Santiago threatens to rat on Dawson to the Naval investigative Service. Dawson and another member of his squad, PFC Louden Downey, they go into Santiago's room, tie him up, and stuff a rag down his throat. An hour later, Santiago's dead. Attending physician says the rag was treated with some kind of toxin."
kaffee,They poisoned the rag?
whitaker,Not according to them.
kaffee,What do they say?
whitaker,"Not much. They're being flown up here tomorrow and on Thursday at 0600 you'll catch a transport down to Cuba for the day to find out what you can. Meantime, go across the yard and see Lt. Commander Joanne Galloway. She's the one who had 'em brought up here. She'll fill you in on whatever she has. Any questions?"
kaffee,"The flight to Cuba, was that 0600 in the morning, sir?"
whitaker,"It seems important to Division that this one be handled by the book, so I'm assigning co-counsel. Any volunteers?"
sam,No.
whitaker,Sam.
sam,I have a stack of paper on my desk --
whitaker,Work with Kaffee on this.
sam,Doing what? Kaffee'll finish this up in four days.
whitaker,Do various... administrative... you know... things. Back-up. Whatever.
sam,In other words I have no responsibilities whatsoever.
whitaker,Right.
sam,My kinda case.
kaffee,Hi.  -- Commander Galloway.
kaffee, About a briefing.
jo,You're the attorney that Division assigned?
kaffee,I'm lead counsel. This is Sam Weinberg.
sam,I have no responsibilities here whatsoever.
jo," Come in, please, have a seat..."
jo," Lieutenant, how long have you been in the Navy?"
kaffee,Going on nine months now.
jo,And how long have you been out of law school?
kaffee,A little over a year.
jo, I see.
kaffee,Have I done something wrong?
jo,"No. It's just that when I petitioned Division to have counsel assigned, I was hoping I'd be taken seriously."
kaffee," No offense taken, if you were wondering."
sam,"Commander, Lt. Kaffee's generally considered the best litigator in our office. He's successfully plea bargained 44 cases in nine months."
kaffee,"One more, and I got a set of steak knives."
jo,Have you ever been in a courtroom?
kaffee,I once had my drivers license suspended.
sam,Danny --
kaffee,"Commander, from what I understand, if this thing goes to court, they won't need a lawyer, they'll need a priest."
jo,No. They'll need a lawyer.
jo," Dawson's family has been contacted. Downey's closest living relative is Ginny Miller, his aunt on his mother's side, she hasn't been Contacted yet."
jo, Would you like me to take care of that?
kaffee,"Sure, if you feel like it."
jo,"One of the people you'll be speaking to down there is the barracks C.O., Colonel Nathan Jessep, I assume you've heard of him."
kaffee, Who hasn't?
sam, He's been in the papers lately. He's expected to be appointed Director of Operations for the National Security Counsel.
jo,These are letters that Santiago wrote in his 8 months at GITMO --
sam, Guantanamo Bay.
kaffee,I know that one.
jo,"He wrote to his recruiter, the fleet commander, HQ, Atlantic, even his senator. He wanted a transfer. Nobody was listening. You with me?"
kaffee,Yes.
jo,This last letter to the Naval investigative Service --
jo," -- where he offers information about Corporal Dawson's fenceline shooting in exchange for a transfer, was just a last ditch effort."
kaffee,Right. Is that all?
jo," Lieutenant, this letter makes it look like your client had a motive to kill Santiago."
kaffee,Gotcha.  And Santiago is... who?
jo, The victim.
kaffee, Am I correct in assuming that these letters don't paint a flattering picture of marine corps life in Guantanamo Bay?
jo,"Yes, among other --"
kaffee,And am I further right in assuming that a protracted investigation of this incident might cause some embarrassment for the security counsel guy.
jo,"Colonel Jessep, yes, but --"
kaffee,Twelve years.
jo,I'm sorry?
kaffee,Twelve years. I can get it knocked down to Involuntary Manslaughter. Twelve years.
jo,"You haven't talked to a witness, you haven't looked at a piece of paper."
kaffee,"Pretty impressive, huh?"
jo,You're gonna have to go deeper than just --
kaffee,"Commander, do you have some sort of jurisdiction here that I should know about?"
jo,"My job is to make sure you do your job. I'm special counsel for Internal Affairs, so my jurisdiction's pretty much in your face. Read the letters. You're not under any obligation, but I'd appreciate a report when you get back from Cuba."
kaffee,Sure.
jo,You're dismissed.
kaffee,"Sorry, I always forget that."
sam,He's a little preoccupied.  The team's playing Bethesda Medical next week.
jo,Tell your friend not to get cute down there.  The marines in Guantanimo are fanatical.
sam,About what?
jo,About being marines.
jessep,Who the fuck is PFC William T. Santiago.
kendrick,"Sir, Santiago is a member of Second Platoon, Delta."
jessep,"Yeah, well, apparently he's not very happy down here at Shangri-La, cause he's written letters to everyone but Santa Claus asking for a transfer. And now he's telling tales about a fenceline shooting."
jessep, Matthew?
markinson,"I'm appalled, sir."
jessep,"You're appalled? This kid broke the Chain of Command and he ratted on a man of his unit, to say nothing of the fact that he's a U.S. Marine and it would appear that he can't run from here to there without collapsing from heat exhaustion. What the fuck's going on over at Windward, Matthew?"
markinson,"Colonel, I think perhaps it would be better to hold this discussion in private."
kendrick,"That won't be necessary, Colonel, I'll handle the situation."
markinson,"The same way you handled the Curtis Barnes incident? You're doing something wrong, Lieutenant this --"
kendrick,My methods of leadership are --
markinson,"Don't interrupt me, I'm still your superior officer."
jessep,"And I'm yours, Matthew."
jessep, I want to know what we're gonna do about this.
markinson,I think Santiago should be transferred off the base. Right away.
jessep,"He's that bad, huh?"
markinson,"Not only that, but word of this letter's bound to get out. The kid's gonna get his ass kicked."
jessep,"Transfer Santiago. Yes I suppose you're right. I suppose that's the thing to do. Wait. Wait. I've got a better idea. Let's transfer the whole squad off the base. Let's -- on second thought -- Windward. The whole Windward division, let's transfer 'em off the base. Jon, go on out there and get those boys down off the fence, they're packing their bags.  Tom!"
orderly,Sir!
jessep,"Got me the President on the phone, we're surrendering our position in Cuba."
orderly,Yes sir!
jessep,"Wait a minute, Tom."
jessep," Don't call the President just yet. Maybe we should consider this for a second. Maybe -- and I'm just spit balling here -- but maybe we as officers have a responsibility to train Santiago. Maybe we as officers have a responsibility to this country to see that the men and women charged with its security are trained professionals. Yes. I'm certain I once read that somewhere. And now I'm thinking that your suggestion of transferring Santiago, while expeditious, and certainly painless, might not be in a manner of speaking, the American way. Santiago stays where he is. We're gonna train the lad. You're in charge, Jon. Santiago doesn't make 4.1 on his next fitness report, I'm gonna blame you. Then I'm gonna kill you."
kendrick,Yes sir.
markinson,"I think that's a mistake, Colonel."
jessep,"Matthew, I believe I will have that word in private with you now. Jon, that's all. Why don't you and I have lunch at the ""O"" club, we'll talk about the training of young William."
kendrick,"Yes sir, I'd be delighted to hear any suggestions you have."
jessep,Dismissed.
jessep," Matthew, sit, please."
jessep, What do you think of Kendrick?
markinson, I don't know that --
jessep,"I think he's kind of a weasel, myself. But he's an awfully good officer, and in the end we see eye to eye on the best way to run a marine corps unit. We're in the business of saving lives, Matthew. That's a responsibility we have to take pretty seriously. And I believe that taking a marine who's not yet up to the job and packing him off to another assignment, puts lives in danger."
jessep," We go back a while. We went to the Academy together, we were commissioned together, we did our tours in Vietnam together. But I've been promoted up through the chain with greater speed and success than you have. Now if that's a source of tension or embarrassment for you, well, I don't give a shit. We're in the business of saving lives, Captain Markinson. Don't ever question my orders in front of another officer."
downey,Hal?
downey," Is this Washington, D.C.?"
kaffee,"Alright, let's get tough out there!"
jo,Excuse me.
kaffee,You want to suit up? We need all the help we can get.
jo,"No, thank you, I can't throw and catch things."
kaffee,"That's okay, neither can they."
jo,I wanted to talk to you about Corporal Dawson and Private Downey.
kaffee,Say again?
jo,Dawson and Downey.
kaffee," Those names sound like they should mean something to me, but I'm just not --"
jo,Dawson! Downey! Your clients!
kaffee,"The Cuba thing! Yes! Dawson and Downey.  I've done something wrong again, haven't I?"
jo,I was wondering why two guys have been in a jail cell since this morning while their lawyer is outside hitting a ball.
kaffee,We need the practice.
jo,That wasn't funny.
kaffee,It was a little funny.
jo,"Lieutenant, would you feel very insulted if I recommended to your supervisor that he assign different counsel?"
kaffee,Why?
jo,I don't think you're fit to handle this defense.
kaffee,You don't even know me. Ordinarily it takes someone hours to discover I'm not fit to handle a defense.
kaffee," Oh come on, that was damn funny."
jo,"I do know you. Daniel AlliStair Kaffee, born June 8th, 1964 at Boston Mercy Hospital. Your father's Lionel Kaffee, former Navy Judge Advocate and Attorney General, of the United States, died 1985. You went to Harvard Law on a Navy scholarship, probably because that's what your father wanted you to do, and now you're just treading water for the three years you've gotta serve in the JAG Corps, just kinda layin' low til you can get out and get a real job. And if that's the situation, that's fine, I won't tell anyone. But my feeling is that if this case is handled in the same fast-food, slick-ass, Persian Bazaar manner with which you seem to handle everything else, something's gonna get missed. And I wouldn't be doing my job if I allowed Dawson and Downey to spend any more time in prison than absolutely necessary, because their attorney had pre- determined the path of least resistance."
kaffee,"Wow.  I'm sexually aroused, Commander."
jo,I don't think your clients murdered anybody.
kaffee,What are you basing this on?
jo,There was no intent.
kaffee,"The doctor's report says that Santiago died of asphyxiation brought on by acute lactic acidosis, and that the nature of the acidosis strongly suggests poisoning.  Now, I don't know what any of that means, but it sounds pretty bad."
jo,"Santiago died at one a.m. At three the doctor was unable to determine the cause of death, but two hours later he said it was poison."
kaffee,"Oh, now I see what you're saying. It had to be Professor Plum in the library with the candlestick."
jo,I'm gonna speak to your supervisor.
kaffee,Okay. You go straight up Pennsylvania Avenue. It's a big white house with pillars in front.
jo,Thank you.
kaffee,"I don't think you'll have much luck, though. I was assigned by Division, remember? Somebody over there thinks I'm a good lawyer. So while I appreciate your interest and admire your enthusiasm, I think I can pretty much handle things myself."
jo,Do you know what a code red is?
jo, What a pity.
dawson,"Sir, Lance Corporal Harold W. Dawson, sir. Rifle Security Company Windward, Second Platoon, Delta."
kaffee,"Someone hasn't been working and playing well with others, Harold."
dawson,"Sir, yes sir!"
downey,"Sir, PFC Louden Downey."
kaffee,"I'm Daniel Kaffee, this is Sam Weinerg, you can sitdown."
kaffee, Is this your signature?
dawson,Yes sir.
kaffee,You don't have to call me sir.  Is this your signature?
downey,"Sir, yes sir."
kaffee,"And you certainly don't have to do it twice in one sentence. Harold, what's a Code Red?"
dawson,"Sir, a Code Red is a disciplinary engagement."
kaffee,"What does that mean, exactly?"
dawson,"Sir, a marine falls out of line, it's up to the men in his unit to get him back on track."
kaffee,What's a garden variety Code Red?
dawson,Sir?
kaffee,"Harold, you say sir and I turn around and look for my father. Danny, Daniel, Kaffee. Garden variety; typical. What's a basic Code Red?"
dawson,"Sir, a marine has refused to bathe on a regular basis. The men in his squad would give him a G.I. shower."
kaffee,What's that?
dawson,"Scrub brushes, brillo pads, steel wool..."
sam,Beautiful.
kaffee,Was the attack on Santiago a Code Red?
dawson,Yes sir.
kaffee, Do you ever talk?
dawson,"Sir, Private Downey will answer any direct questions you ask him."
kaffee,"Swell. Private Downey, the rag you stuffed in Santiago's mouth, was there poison on it?"
downey,No sir.
kaffee,"Silver polish, turpentine, anti- freeze..."
downey,"No sir. We were gonna shave his head, sir."
kaffee,When all of a sudden...?
downey,"We saw blood drippinq out of his mouth. Then we pulled the tape off, and there was blood all down his face, sir. That's when Corporal Dawson called the ambulance."
kaffee, Did anyone see you call the ambulance?
dawson,No sir.
kaffee,Were you there when the ambulance got there?
dawson,"Yes sir, that's when we were taken under arrest."
sam," On the night of August 2nd, did you fire a shot across the fenceline into Cuba?"
dawson,Yes sir.
sam,Why?
dawson,"My mirror engaged, sir."
kaffee, His mirror engaged?
sam,For each American sentry post there's a Cuban counterpart. They're called mirrors. The corporal's claiming that his mirror was about to fire at him.
kaffee,"Santiago's letter to the NIS said you fired illegally. He's saying that the guy, the mirror, he never made a move."
kaffee," Oh, Harold?"
kaffee," You see what I'm getting at? If Santiago didn't have anything on you, then why did you give him a Code Red?"
dawson,"Because he broke the chain of command, sir."
kaffee,He what?
dawson,"He went outside his unit, sir. If he had a problem, he should've spoken to me, sir. Then his Sergeant, then Company Commander, then --"
kaffee,"Yeah, yeah, alright. Harold, did you assault Santiago with the intent of killing him?"
dawson,No sir.
kaffee,What was your intent?
dawson,"To train him, sir."
kaffee,Train him to do what?
dawson,Train him to think of his unit before himself. To respect the code.
sam,What's the code?
dawson,Unit Corps God Country.
sam,I beg your pardon?
dawson,"Unit Corps God Country, sir."
kaffee,"The Goverrment of the United States wants to charge you two with murder. You want me to go to the prosecutor with unit, corps, god, country?"
dawson,"That's our code, sir."
kaffee,"We'll be back. You guys need anything? Books paper, cigarettes, a ham sandwich?"
dawson,Sir. No thank you. Sir.
kaffee,"Harold, I think there's a concept you better start warming up to."
dawson,Sir?
kaffee,I'm the only friend you've got.
ross,Dan Kaffee.
kaffee,Sailin' Jack Ross.
