Speaker,Dialogue
man,What a marvel... what a marvel...
house interior,As its door opens and the man enters.
man,Dora!
voice,Yes...
man,You can't imagine what just happened. I was coming back on the Lublin road when the wheel came off the cart thank heavens it was the way back and I'd already sold the geese!
wife,How much?
man,"Fifteen groshen, but that's not the story. I was struggling to set the cart upright when a droshky approaches from the direction of Lvov. How lucky, you think, that someone is out this late."
wife,"Yes, very remarkable."
man,"But that's the least of it! He stops to help me; we talk of this, we talk of that-it turns out this is someone you know! Traitle Groshkover!"
wife,God has cursed us.
man,What?
wife,Traitle Groshkover has been dead for three years.
man,Why do you say such a thing! I saw the man! I talked to him!
wife,You talked to a dybbuk. Traitle Groshkover died of typhus in Pesel Bunim's house. Pesel told me-she sat shiva for him.
man,"For some soup, to warm himself. The wind moans. He helped me, Dora!"
the door,"We are looking in from the outside as it unlatches and creaks in, opened by the husband in the foreground, who has arranged his face into a strained look of greeting. In the background the wife stares, hollow-eyed."
man,"REB GROSHKOVER! You are welcome here! Reverse on REB GROSHKOVER: a short, merry-looking fellow with a bifurcated beard and a silk hat and spectacles. He gives a little squeal of delight."
reb groshkover,"You are too kind, Velvel! Too kind!"
man,"Yes! A ray of sun, a ray of sun! Sit!"
wife,My husband said he offered you soup.
reb groshkover,"Yes, but I couldn't possibly eat this late, or I'd have nightmares. No, no: no soup for me!"
wife,I knew it.
reb groshkover,I see! You think I'm fat enough already!
wife,No. A dybbuk doesn't eat.
reb groshkover,What a wife you have!
man,"I assure you, REB GROSHKOVER, it's nothing personal; she heard a story you had died, three years ago, at Pesel Bunim's house. This is why she think you are a dybbuk; I, of course, do not believe in such things. I am a rational man."
reb groshkover,"Oh my. Oh my yes. What nonsense. And even if there were spirits, certainly... He thumps his chest. I am not one of them!"
wife,Pesel always worried. Your corpse was left unattended for many minutes when Pesel's father broke shiva and left the room-it must have been then that the Evil One- She breaks off to spit at the mention of the Evil One. -took you!
reb groshkover,"""My corpse!"" Honestly! What a wife you have!"
wife,"Oh yes? Look, husband..."
reb groshkover,I shaved hastily this morning and missed a bit-by you this makes me a dybbuk?
man,"Woman, what have you done?"
reb groshkover,Why would she do such a thing?
wife,What do you say now about spirits? He is unharmed!
reb groshkover,On the contrary! I don't feel at all well.
man,"Dora! Woe, woe! How can such a thing be!"
reb groshkover,Perhaps I will have some soup. I am feeling weak...
man,Dear wife. We are ruined. Tomorrow they will discover the body. All is lost.
