Speaker,Dialogue
dissolve to:,"2   EXT. JUNGLE - DAY Blowing through the roof of a dense jungle straight AT CAMERA, HELICOPTER ROTORS RISE to a DEAFENING PITCH. SUPER:  Viet - Cambodian Border, 1972. Jungle foliage whips in the fierce downdraft as -- 3   ""HUEY"" GUNSHIP with US Army markings becomes discernible. The chopper lowers toward a crude landing zone hacked out of the wilderness. We GLIMPSE Cambodian troops and several machine gun positions around the LZ. 4   EXT. JUNGLE - TWO ARMED AMERICANS - DAY watch from the edge of the landing zone. We recognize Nico and Fox, now in their twenties, dressed in the nonmilitary jungle attire that usually marks a CIA ""spook."""
fox,You ever see chemical interrogation before?
cut to:,12   EXT. JUNGLE - NIGHT
nico, Why don't you light a bonfire?
zagon,That's the nice thing about modern technology. You don't have to wait for results.
zagon," You're a hard nigger, aren't you, boy? You took it from the Chinks... you took it from the French. You'll be fucked if some Yankee peckerwood's gonna start your gums flapping -- Nico watches Zagon move the knife blade closer to the prisoner."
zagon,"-- Well, you're gonna chirp for me, tough guy. You're gonna sing like a choir --"
fox," Fox -- FOX Shut up, Nico."
zagon,"You can disappear as easy as this slope, kid --"
fox,"Are you crazy?!!  What the fuck's the matter with you?!!! Nico is shaking with rage and fear. He takes several steps away from the hooch, then draws up abruptly. Nico pulls his .45 from his holster, pops the safety, starts back for the hooch -- FOX Nico! NICO I don't cap him now, he's gonna do me later."
fox,"I'll cover this. Get back to the L.Z. --  -- I'll fix it! Get out! Get the fuck outa here! The CIT man calls out to the Cambodian troops, in dialect, pointing at Nico. The soldiers start toward Nico, as if to seize him. Fox, too, starts yelling to the troops in dialect, apparently countermanding the orders of the CIT men. The troops, confused, hold up for a moment."
fox, I'll call for a chopper... get outa here!
fade to black.,FADE IN ON:
nico,I think we got a little problem here.
jackson,"Eight more days, Lieutenant. You better start preparing your defense."
henderson,"Baby, I'm gonna put you on retainer."
lukich,"You passed the bar? I make it a point never to pass the bar. Jackson sees Nico and Sara across the yard, waves and          * starts toward them -- 39   BACK TO BRANCA AND LUIGI"
jackson,Look at this little bundle.    What a cupcake!
nico,"You give up being the D.A. and hurry up and find the right fella, Jax. You might have time for one of these yourself."
nico,"Watanabe!   Say hey, Doc."
branca,You're a father now. Are you gonna take me up on my offer?
nico,"I'm happy, Branca.    I like what I do. Branca glances seriously to the other uncles, then, with a smile, pats Nico's cheek. BRANCA Look at this face! Six-foot-four, pretty as the statue of David. And he's a cop! Branca laughs. From a distance, Watanabe watches, missing nothing. Across the porch, Lukich and several other cops observe and try to listen. BRANCA This face should be sticking up from a white shirt. It should be a banker, a businessman, someone who earns a decent living for his family! NICO We're happy. LUIGI Nickels and dimes. Your wife's a woman with class. What did she run -- a ballet school...? NICO An art gallery. BRANCA Same thing. She wants a husband who carries a briefcase, not a shoulder holster. Jackson watches Nico trying to keep his good humor. This is serious stuff, despite the light tone. Branca's eyes meet Nico's."
branca,"You wanted to get shot, you got shot. You wanted to get knifed, you got knifed. You've had your fun. Basta! Enough! UNCLE GUISEPPE Let your family help you, Nico."
nico," Uncle Gio, that kind of help I don't need. I'd rather get shot by someone I don't know. Jackson and Lukich crack up. The others follow.   For the moment, the tension is dispelled."
nico,Mrs. Z.  Is this a way to act on the day of my son's baptism? The poor woman can't meet Nico's eyes.
nico,"Listen to me, Mrs. Z. Are you listening?  I have to go to work now. But I'll come by tonight. You'll be at the bakery? MRS. ZINGARO Si, Nico. NICO We'll talk, okay? We'll find a way to take care of this."
jackson,"And then you're gonna come visit me in a nice, clean, air conditioned office --"
nico,I gotta take a quick leak. Stay put.
nico,Come on.   Show me something. No one moves.
nico,I get it.   It's a gay bar.   Is that it?
nico,"You seen the top of her head, huh? Like I seen your mother's --  She's upstairs! 4-D! Nico drags the Dude from behind the bar.     Holding him, Nico turns, glowering, to all. NICO You cocksuckers are brave enough with 14-year-old girls. 55A   INT. FLOPHOUSE HALLWAY"
nico, Get outta here. We look in the apartment.
nico," This ain't your day, kid."
pimp,"Wait, man.   It ain't like it looks --"
nico,"That's two years. He jerks the Pimp back, rips open a drawer.    More pills and glacene bags. NICO That's four.  ... I can get ya more --"
quick cutaway to:,57   EXT. STREET OUTSIDE - JACKSON
lucy,Let him alone! He's beautiful!
nico,"Not when I get through with him. Nico lifts the Pimp by the throat, pins him to the wall."
pimp,"No, man, wait! I'll give you something! Something big!"
