Speaker,Dialogue
british narrator,"As natural selection works solely by and for the good of each being, all corporeal and mental endowments will tend to progress towards perfection."
british narrator,"It is interesting to contemplate an entangled bank, clothed with many plants of many kinds, with birds singing..."
russell,Laroche is asleep at the wheel.
randy,Crazy White Man is now Drowsy White Man.
orlean,Two years ago I went to Florida to meet Laroche after reading a small article about a white man and three Seminole men arrested with rare orchids they'd stolen out of a place called the...
tony,"We got a Seminole, or Seminoles, in the swamp. I'm on Janes Scenic Drive just east of Logging Road Twelve. I repeat, Indians in the swamp."
radio voice,I don't know what you want me to say.
tony,"Barry, Indians do not go on swamp walks. If there are Indians in the swamp, they are in there for a reason."
valerie,We think you're just great.
kaufman," Oh, thank you."
valerie,And we're thrilled you're interested.
kaufman,"Oh, thanks, wow. That's nice to hear."
valerie,You have a really unique voice.
kaufman,"Well, thanks. That's... I appreciate that."
valerie,Very talented. Really.
kaufman,Thanks.   Thank you.   Thanks.
valerie, So --
kaufman,Sort of hot in here.
valerie," Yeah, it is a bit. So, why don't you tell me your thoughts on this crazy little project of ours."
kaufman,"First, I think it's a great book."
valerie,"Laroche is a fun character, isn't he?"
kaufman,"And Orlean makes orchids so fascinating. Plus her musings on Florida, orchid poaching. Indians. Great, sprawling New Yorker stuff. I'd want to remain true to that, let the movie exist rather than be artificially plot driven."
valerie,"Okay, great, great. I guess I'm not exactly sure what that means."
kaufman,"Oh. Well... I'm not sure exactly yet either. So... y'know, it's..."
valerie,"Oh.    Okay.     Great.   So, um, what --"
kaufman,"It's just, I don't want to compromise by making it a Hollywood product. An orchid heist movie. Or changing the orchids into poppies and turning it into a movie about drug running. Y'know?"
valerie,"Oh, of course. We agree.        Definitely."
kaufman,"Or cramming in sex, or car chases, or guns. Or characters learning profound life lessons. Or characters growing or characters changing or characters learning to like each other or characters overcoming obstacles to succeed in the end. Y'know? Movie shit."
valerie,"See, we thought maybe Susan Orlean and Laroche could fall in love during the course of --"
kaufman,"Alienated journalist writes about passionate backwoods guy and he teaches her to love. I mean, it didn't happen, it wouldn't happen. It's Hollywood."
kaufman,So anyway I just wanted to stop by to congratulate you on your promotion.
margaret,"Well, thanks again.   It's all so stupid."
kaufman,I think it's great. Your photo in the trades and everything. Pretty cool.
margaret,Anyway.    Yeah. So what's up with you?
kaufman,"I'm considering jobs. Mostly crap. There's one you might like, about flowers."
margaret,Flowers?   Really? What is it?
kaufman,They want me to do an adaptation of a book called The Orchid Thief.
margaret,Oh my God! You're kidding?    I read that! I loved that book!
kaufman,I loved the book.
margaret,"Oh, Charlie, orchids are the most amazing flowers. So complex."
kaufman,I know.   They're really great.
margaret,"You should take this job. Doesn't it sound exciting, to immerse yourself in a real subject and learn everything about it? Blake wrote about seeing heaven in a wild flower. And after you learn all this stuff, you can teach me!"
kaufman, That'd be fun.
margaret,"God, they're such beautiful flowers.    And so sexy. Y'know?  Did you know that orchid means --"
kaufman,Testicle.     I just read that.
margaret, Testicle! Can you believe it!
laroche,"Pseudemys floridana. Did you fellas know you fellas believe the world rests on the back of a turtle? Not you fellas specifically. Although, maybe you fellas specifically. That I can't speak to."
kaufman,"...plus I love the idea of learning all about orchids. I really admire those guys who know everything about ants or fungus or whatever. I'd like to be more like that. See, I tend to write self- involved, self-loathing... even masturbatory stuff. VALERIE And it's wonderful, by the way."
kaufman,Thanks. That's nice to hear. But I need to challenge myself as a writer. I've arrived at an age where I want to think about the world in a different way.
valerie,Adapting someone else's work is certainly an opportunity to think differently.
kaufman,"Yes. And I welcome the challenge of taking a small subject, like orchids, something that would never draw people into a theater and making that fascinating. I want to show people heaven in a wildflower. As Blake wrote."
boy,"Any one at all, ma?"
mother, A wonderful choice! And spiritually significant! Did you know that Native Americans believe the whole world rests on the back of a turtle?
boy,Cool!   I can't wait to tell the guys.
margaret,"To a fucking awesome assignment, man."
kaufman,"Hey, I'm going to an orchid show Sunday? For research? Maybe you'll come?"
margaret,"Absolutely. I think David, this guy I'm seeing, would enjoy it, too. He's a real naturalist. Okay if he comes along?"
kaufman," Yeah, of course. Sure."
margaret,He wants to meet you anyway.     All I do is tell him how great you are.
kaufman,"Oh, thanks. That's nice to hear."
margaret,"You'll like him. He's so honest and smart. It's rare to find someone in this town who thinks about things other than this fucking business, y'know?"
kaufman,Yeah.     That's great.   He sounds great.
margaret,Like the other day we were in bed discussing Hegel. Hegel! In bed! It was fucking amazing. Have you read much?
kaufman,"Y'know, a long time ago.   A bit.   Y'know."
margaret,"Well, anyway, David and I were discussing his Philosophy of History and I was..."
kaufman,Yeah.
margaret,"... that nature doesn't exist historically, but rather cyclically. "
radio voice,"How's that Injun round-up going, Tony?"
tony,"Fuck you, Barry, you fuckin'..."
tony,Morning. May I ask what you gentlemen have in those pillowcases?
laroche,"Yes, sir, you absolutely may."
tony,"Okay, I'm asking then."
laroche,"Oh, Okay then! Let's see...  Five kinds of bromeliad, one peperomia, nine orchid varieties. About a hundred and thirty plants all told, which my colleagues have removed from the swamp."
tony,You're aware that it's illegal to remove plants or animals from state owned land?
laroche,"And don't forget these plants are all endangered, sir. Every one of them."
tony,"Exactly. Well, that's exactly the issue. This is a state preserve."
laroche,"Yes, sir, it is.  Oh, and my colleagues are all Seminole Indians. Did I mention that? You're familiar, I'm sure, with the State of Florida v. James E. Billie. Tony nods, even though he has no idea."
tony,But --
laroche,"Not to mention the failed attempts on three separate occasions to prosecute Seminoles for poaching palm fronds, which, I believe, they use to thatch the roofs of their traditional chickee huts."
russell,He's right. That's exactly what we use them for. Chickee huts.
randy,Yeah.
vinson,Yeah.
russell,Yeah.
tony,"Yeah, but I don't... I can't let you fellas go yet. Just hold on while I...  Hey, Barry, can I get some help? Barry?"
orlean,"Nothing in Florida seems hard or permanent. The developed places are just little clearings in the jungle, but the jungle is unstoppably fertile, everything is always growing or expanding. At the same time, the wilderness disappears before your eyes."
donald,Did you open your present from mom yet?
kaufman,What's with you?
donald,My back.
kaufman,A job is a plan. Is your plan a job?
donald, I'm gonna be a screenwriter!   Like you!
kaufman, Screenwriting seminars are bullshit.
kaufman,"Donald, don't say ""industry."""
donald,"I'm sorry, I forgot. Charles, this guy knows screenwriting. People from all over come to study his method. I'll pay you back, man. As soon as I sell --"
kaufman,Let me explain something to you.
donald,"Yeah, okay."
kaufman,"Anybody who says he's got ""the answer"" is going to attract desperate people. Be it in the world of religion --"
donald," Okay, go ahead. Sorry. Okay. Go."
kaufman,"There are no rules to follow, Donald, and anybody who says there are, is just --"
donald,"Not rules, principles. McKee writes: ""A rule says, you must do it this way.   A principle says, this works... and has through all remembered time."""
kaufman,"The script I'm starting, it's about flowers. No one's ever done a movie about flowers before. So, there're no guidelines, and that's good because --"
donald,What about Flowers for Algernon?
kaufman,That's not about flowers.    And it's not a movie.
donald,"Oh, okay, I never saw it.    Go ahead."
kaufman,"My point is, those teachers are dangerous if your goal is to do something new. And a writer should always have that goal. Writing is a journey into the unknown. It's not building a model airplane."
donald,"McKee is a former Fulbright scholar. Are you a former Fulbright scholar, Charles?"
boy,Turtles are of the order Testudine!
mother,Really?    Testudine?
boy,Yeah. And they're found on every continent! Except Antarptica!
mother,"Antarctica. Every continent, huh?"
boy,"Uh-huh. The turtle shell has remained unchanged for two hundred million years! And there's all different kinds, Pelusio gabonensis, Phyrnops rufipes, Chitra indica, Dermochelys coriacea coriacea... EXT. SWAMP - LATE MORNING"
laroche,"... and what we have here, my friend, is ... thirteen Encyclia Cochleata... four Encyclia Tampensis -- MIKE OWEN I'm sorry, Encyclia what?"
laroche," Okay, let's see, twenty-two Epidendrum Nocturnum. A very good haul. Two Catopsi Floribunda. Three Polyrrhiza Lindenii, the ghost orchid. What I really came for. These sweeties grow nowhere in the U.S. except in your swamp."
mike owen,"That true? Boy, you really know your plants, Mr. Laroche."
laroche,Yeah. I do. I'm one of the world's foremost experts. But that'll all be revealed at the hearing.
kaufman,"Maybe you should watch what you eat, Donald. Did you ever consider maybe you're a bit fat? Does it ever occur to you, you kind of represent me in the world? That people look at you and think, he's Charlie's twin, therefore that's what Charlie must look like?"
donald,"By the way, mom's paying for the seminar."
kaufman,Did you even hear what I said?
donald,Yeah. Anyway. I pitched mom my screenplay --
kaufman,"Jesus, don't say ""pitch."""
donald,"Sorry. Anyway, she loved my... telling of my story to her. She said it's like ""Silence of the Lambs"" meets ""Psycho."""
kaufman,"Hey, maybe you and mom could collaborate. I hear she's really good with structure."
donald,"You think you're so superior, Charles. Well, I'm really gonna write this. And you'll see. And, and... you suck, okay?"
orlean,"Florida is a landscape of transition and mutation, a hybrid of unruliness and orderliness, nature and artifice."
lerner,"Finally, Mr. Laroche, what is your experience in the area of horticulture?"
laroche,"Okay, I've been a professional horticulturist for twelve years. I've owned a plant nursery of my own which was destroyed by the hurricane. I'm a professional plant lecturer. I've given at least sixty lectures on the cultivation of plants. I'm a published author, both in magazine and book form. I have extensive experience with orchids, and the asexual micropropagation of orchids under aseptic cultures.   This is laboratory work, not at all like your nursery work.  I'm probably the smartest person I know."
lerner,Thank you.
laroche,You're very welcome.
kaufman,What?!
