Speaker,Dialogue
wade,"I'm sorry for the screw-up. But I couldn't help it it's too late to go trick-or-treating now. I couldn't help it I had to stop at Penny's for the costume. And you were hungry, remember."
jill,"Who's fault is it then if it's not yours? You're the one in charge, Daddy."
wade, Yeah.
jill,Look. Those kids are still trick-or- treating. They're still out.
wade,Those are the Hoyts.
jill,I don't care. They're out.
wade,"Can't you see... look out there. Nobody's got their porch lights on anymore. It's too late. Those Hoyt kids are just out to get in trouble. See, they put shaving cream all over that mailbox there. They chopped down Herb Crane's new bushes. Little bastards. Jesus H. Christ."
jill,Why do they do that?
wade,Do what?
jill,You know.
wade,Break stuff?
jill,Yeah. It's stupid.
wade,I guess they're stupid.
jill,Did you do that when you were a kid?
wade,"Well, yeah. Sort of. Nothing really mean. Me and my pals, me and my brothers. It was kind of funny then. Stealing pumpkins, soaping windows. Stuff like that."
jill,Was it funny?
wade,To us it was.
jill,But it's not funny now.
wade,It's not funny now. I'm a cop and I gotta listen to all the complaints people make. I'm not a kid anymore. You change.
jill,I bet you did lots of bad things.
wade,What are you talking about?
jill,I just think you used to be bad.
wade,No. I didn't used to be bad. No sir. Where do you get this stuff? From your mother?
jill,No. She doesn't talk about you anymore.
lariviere,We're looking for the funniest costume! And the scariest! And the most imaginative! And the best costume of all!
wade, Got here just in time. Go ahead. Jump in line. Maybe you'll win a prize.
wade,"Go on, Jill. Some of those kids you still know."
jill,I don't want to.
wade,Why? Why not? You know these kids from when you went to school here. It hasn't been that long.
jill,It's not that.
wade,What then?
jill,It's stupid.
wade,It's fun.
jill, I don't like it here.
wade,"Oh, Jesus, come on, will you? Don't mess this up anymore than it's already been messed up. Join the other kids. Do that and before you know it you'll be as happy as a goddamned clam."
lariviere,Wade! And who's that tiger? Is that Jill? Come and join us.
wade,What are you boys up to?
chick,Same old shit.
frankie,You see the damage these little sons- of bitches been raising tonight?
wade, You're going to have to move your pickup.
jack,I know.
chick, Take a bite.
wade,Don't mind if I do.
jack,LaRiviere's having a hell of a time in there. Master of fucking ceremonies.
wade,Where's that gun you were bragging on today?
jack,No brag. Just fact.
frankie,Nice.
jack, See you got Jill tonight. How'd you manage that?
wade,"Some party, huh? Sorry I lost sight of you. I had to step outside for a smoke. You find anybody you know here? There must be some kids you used to know from school. You want to go tomorrow? See your old teachers? Be more fun than hanging out with me all day."
jill,No.
wade,No what?
jill, No I didn't see anybody I know. No I don't want to go to school here tomorrow. I want to go home.
wade,You are home. There are lots of kids you still know here.
jill,"I don't want to be here. Don't worry, I love you, Daddy, I do. But I want to go home."
wade," Jesus. Listen, Jill, tell you what. Tomorrow morning, you still want to go home, I'll drive you down. I'll get off work or something."
jill, I called Mommy.
wade,What? You called Mommy? Just now?
jill,Yes.
wade,"Jesus, why?"
jill,I... because I want to go home. She said she'd come and get me.
wade,Come and get you! Shit! It's a damn half hour drive each way. Why didn't you talk to me about it first?
jill,"See, I knew you'd be mad."
wade,"Yeah. Yeah, right, I'm mad. What'd you tell her, for Christ sake?"
jill,"I told her I wanted to come home. Daddy, don't be mad at me."
wade,"Well, I guess I am. I planned this, I planned all this, you know. I mean, it's sort of pathetic, but I planned it. You shouldn't have called your mother.  C'mon, we're gonna call her before she leaves."
wade,She's gone already!  Gone already! Couldn't wait.
jill,Yes.
wade,"That's all you got to say? ""Yes""."
jill,Yes.
wade,She won't be here for a half hour. Think you can stand it that long?
jill,Yes.
wade,Where do you expect to wait for her? Obviously downstairs with the other kids isn't good enough.
wade,Sit right there by yourself if you want. Wait for her by yourself. That's fine with me. Just dandy. I'm going downstairs.
jill,"That's fine with me too. When Mommy comes, tell her I'm up here."
wade,I thought I told you to move that truck!
jack,"Relax, Chief. We're leaving. You wanna toke?"
wade, You gotta be more careful about that shit. Gordon or one of those guys sees you smoking that wacky tabacky around me they'll expect me to bust you. And I'll be outta a job.
jack,"Some job. Here, have a hit. Don't be such a hardass. I know you got problems, but everybody's got problems. "
wade,Not here.
jack,"Well, c'mon, then. Get in and we'll take a little ride, my man."
jack,"Got a job first thing in the morning, first day of season. Saturday I'll hunt for myself. Twombley something. - Er --"
wade,Evan. He's a mucky-muck union official from Massachusetts. You're lucky.
jack,"Don't know about lucky. The guy's a full-blown asshole. Pay's good, though. $100 a day. I got to guarantee a kill, of course. Which I can do. There's some monster bucks hiding out up there."
wade,How'd you get the job?
jack,"Gordon, he's always got some angle working. He wants to keep Twombley happy, I'm his boy."
hettie,What's wrong with you?
