Speaker,Dialogue
shooting script,"June 11, 1979 Revised 6/15/79"
elaine,"No, but thank you very much."
shirley,"Jack, isn't that Fred Bliffert over there in the blue turtleneck? Maybe he's on our flight to Chicago."
jack,"Yeah, I think he is.  Hey, Fred!"
elderly woman,"Go, O.J., go!!"
security lady,Please put your metal objects on this tray.
businessman,Taxi!
striker,Back in a minute.
striker,Elaine!
elaine, Ted!
striker,"I came home early and found your note. I guess you meant for me to read it later. Elaine, I've got to talk to you."
elaine,I just don't want to go over it any more.
striker,"I know things haven't been right for a long time, but it'll be different. If you'll just be patient, I can work things out."
elaine,"I have been patient and I've tried to help, but you wouldn't even let me do that."
striker,Don't you feel anything for me at all any more?
elaine,It takes so many things to make love last. Most of all it takes respect. And I can't live with a man I don't respect!
striker, What a pisser.
oveur,This is Captain Oveur.
oveur, I've got it!
turnansky,"There's a passenger on your Chicago flight two-oh-niner, a little girl named Lisa Davis -- en route to Minneapolis. She's scheduled for a heart transplant and we'd like you to tell her mother that we found a donor an hour ago."
turnansky,We have the heart here ready for surgery and we must have the recipient on the operating table within six hours.
turnansky,I want you to make sure she is kept in a reclined position and that a continuous watch is kept on her I.V.
oveur,"All right. Give me Hamm on five, hold the Mayo."
striker,"Look, you'll be back in town tomorrow night. We'll have dinner -- talk it over."
elaine,I won't be back. I've requested the Atlanta run.
striker,"Elaine, not yet. I promise you I really can change."
elaine,Then why don't you take the job that Louie Netz offered you at Boeing?
striker,"You know I haven't been able to get near an airplane since the war. And even if I could, they wouldn't hire me because of my war record."
elaine,Your war record? You're the only one keeping that alive. For everyone else it's ancient history.
striker,You expect me to believe that?
elaine,"It's the truth. What's hurt you the most is your record since the war. Different cities, different jobs, and not one of them shows you can accept any real responsibility."
striker,But if you'll just give me...
elaine,"It's too late, Ted. When I get back to Chicago, I'm going to start my life all over again. I'm sorry."
basta,"Any word on that storm lifting over Salt Lake, Clarence?"
oveur,"Unlikely, Victor. I just reviewed the Area Report for 1609 hours through 2400 hours. That's an occluded front stalled over the Dakotas -- backed up all the way to Utah."
basta,"If it decides to push over into the Great Lakes it could get plenty soupy. How about the southern route, around Tulsa?"
oveur,I double checked the terminal forecast and winds aloft. IFR ceilings all the way.
basta,Where do they top out?
oveur,"Well, there's some light scattered cover at twenty thousand with icing around eighteen."
basta,Looks like the original flight plan over Denver is still the best bet.
oveur,Denver it is.
murdock,"Sorry, Clarence. Latest weather report shows everything socked in from Salt Lake to Lincoln."
oveur," Hi, Roger. Good to have you aboard. Victor, this is Roger Murdock."
basta,"How do you do, Roger?"
jack,What did you think of 'Great Expectations?'
shirley,"Well, it wasn't all that I had hoped."
girl,"Oh, Bill, I'm going to miss you so much."
soldier,You promise you'll write.
girl,Every day.
airport steward,"Better get on board, son."
striker,Can you tell me if Elaine Dickinson is on this flight?
striker,I'd like one ticket to Chicago. No baggage!
striker,"Smoking, please."
randy,Fourteen-B. It's halfway down on your right.
striker,Thank you.
striker,Yes.
striker,No. I've been nervous lots of times. I used to be a pilot myself...during the war.
elaine,We'll be taking off real soon so we better fasten you in tight.
lisa,"Thank you. Oh Mother, this is so exciting."
elaine,That's good advice. You relax and I'll be back after we take off.
oveur,Two-zero-niner to ground control. We are loaded and ready to taxi.
soldier,"Good-bye, darling."
girl,"Oh, good-bye, Bill! Have your picture taken as soon as you get there and send me one!"
soldier,I will.
girl,Don't you go getting fat or anything.
soldier,"Don't worry, I won't. Okay, here -- hurry!"
girl,"Oh, but it's your watch. You shouldn't. You'll need it."
soldier,"Good-bye, darling."
girl,"Oh, Bill, I'll keep it. I'll keep it with me all the time."
soldier,"So long, darling. Good-bye. Take care of yourself."
girl,"Bill! Bill! Good-bye, Bill."
soldier,"Good-bye, darling."
girl,"Good-bye, darling. I love you. I love you, darling."
soldier,"Good-bye, darling."
oveur,Roger.
murdock, Huh?
oveur,Roger.
murdock, Huh?
basta, Request vector...over.
oveur, What?
murdock,"We have clearance, Clarence."
oveur,"Roger, Roger. What's our vector, Victor?"
randy,"Do you feel all right, sir?"
striker,Oh -- I haven't flown for a long time.
elaine,Would you like something to read?
elaine,How about this leaflet: 'Famous Jewish Sports Legends?'
elaine,"Ted, what are you doing here?"
striker,"Elaine, I've got to talk to you."
elaine,You...you shouldn't have come. I don't have time now.
elaine,Excuse me.
striker,"Yes, I know. Things used to be different. I remember when we first met. It was during the war."
striker,"We laughed, we talked, we danced, I never wanted it to end and I guess I still don't. But enough about me. I hope this hasn't been boring for you."
striker,"It's just that when I start to talk about Elaine, I get so carried away -- I lose all track of time -- not unlike Oliver in 'Jesus: the Man.'"
milton,"I happened to be passing, and I thought you might like some corfee."
bernice,That's very nice of you. Thank you.
bernice,"Ah, won't you sit down?"
milton,Thank you. Cream?
bernice,"No, thank you. I take it black. Like my men."
milton,Were you vacationing in Los Angeles?
bernice,"Well, it really wasn't a vacation. You see, I'm a teacher in the New York City school system, and I was attending a seminar on visual aids to education. Are you from L.A.?"
milton,"No. I'm from Washington, D.C. I'm a lobbyist for the Small Businessmen's Assocation."
