Speaker,Dialogue
older nun,"No tongues, Father."
guide,All lunar shuttle landings are handled by these computers and simulated on these video units.
controller 1," You're programmed on R-two-niner and locked, Lunar eight six.  Over."
captain," It's out of our hands now, gentlemen."
kruger,"Commissioner, we both know the Mercury shuttle needs another month of pre-launch testing."
commissioner,Forget it.  The boys on the board want that shuttle to go on schedule.
kruger,"And what do the boys on the board know about safety, Commissioner?  Let me talk to them."
commissioner,"Bud, get wise to the political realities. The boys on the board are under a lot of pressure from the boys downtown."
kruger,And I'll be the one they'll hang if there's a screw-up.
commissioner,"Listen, Bud, the boys downtown are under heavy fire from the boys in Washington. That's why they're putting pressure on the boys on the board."
kruger,"Well, you tell the boys on the board to tell the boys downtown to let the boys in Washington know that the press has been nosing around my people in the front office."
commissioner,"You handle your front office people, I'll handle the press and leave the boys in Washington to the boys downtown and the boys downtown to the boys on the board."
kruger,Commissioner.
commissioner,What?
kruger,I just wish it was that simple.
controller," This is Mercury One control.  We have condition green.  Mark launch 'T' minus two hours and counting.  I repeat, we have condition green."
rumack,This condition isn't as bad as it could be if it were a lot worse.  Take these pills.  Here's some water.
controller,"What is it, doctor?"
rumack,"Two parts oxygen, one part hydrogen. It'll make the pills go down easier."
worker, This is Mercury station six!  Get me the Sarg and fast!
businessman,Would you like to buy a rose to help bail out Chrysler?  We're an all-profit organization and need all the money we can get.
simon, Here.
businessmen," IACCOCA, IACCOCA, IACCOCA, IARAMA."
simon,For the best little computer officer on the Mercury mission.
elaine, Simon.
simon,Who would believe that Elaine Thompson was once a stewardess on the Denver-Chicago run.
elaine,"And I can hardly believe that I'm engaged to someone like you, Simon.  I'm a very lucky woman."
simon,"Women and the space program have come a long way, sweetheart.  But after the wedding, no more complicated computers for my little girl."
elaine,"But, darling, they've offered me a chance to head up the computer analysis division for the Jupiter probe."
simon,You're heading up the division in charge of babies for Mr. and Mrs. Simon Kurtz.
simon,"And that's an order, Lieutenant."
sarg," Marge, you better go without me.  We've got a condition red."
marge," We've got a condition red with our marriage.  I think you're in love with that shuttle, not with me.  I want a divorce, Sarg."
sarg,"Is there someone else, Marge?  Is that it?"
marge,"Sarg, there's been someone else for fifteen years.  You were just too involved in your work to see it."
sarg,"Don't wait up for me, sweetheart.  We're testing the retro-rockets tonight."
marge,"You just can't see it, can you, Sarg."
sarg,"We'll talk tomorrow, hon.  I promise."
john,That's us.
jimmy,"Will Scraps be able to sit with us, Dad?"
john,"We'll have to check, Jimmy.  It's a pretty long trip to Mercury."
