Speaker,Dialogue
crais,"That was the scene in California's Mojave Desert three years ago today -- the historic first view of the Newcomer ship upon its dramatic arrival.  As with the assassination of John Kennedy, who among us does not remember exactly where he was that October nineteenth morning, when news first broke: that people have landed... from another star."
fedorchuk,I remember where I was -- pissing off my balcony at the neighbor's dog!
alterez, Get to the goddamn ball scores!
crais,"These ""Newcomers,"" we soon learned, were a genetically-engineered race, adapted for hard labor in almost any environmental condition.  In effect, their ship was a slave ship... washed ashore on Earth with no way to get back to where they came from..."
fresno housewife,"When the Newcomers were first let out of the ship, they were quarantined in a camp not ten miles from the town here.  You can imagine how the people around here felt about that.  But once they were releases from the camp and we got a chance to know them, we saw what nice, quiet people they really are..."
fedorchuk,"Hey, Henry, how you doin' tonight? Workin' hard?"
fedorchuk,"You got your green card, buddy?  You didn't leave home without it?"
sykes,Jeez... they call that gang-bang a game...?
sykes,Take a hike.
sykes,"Why's it have to be sour milk that these guys get wasted on?  What the hell's wrong with Jack Daniels, or Thunderbird for chrissakes?  Slagtown.  Shit..."
sykes,Hope their plumbing's the same.
tuggle,It is. 
sykes,How can I go?
tuggle,"Put on your wash-and-wear suit and your clip-on tie, have your landlady tie your shoes for you, and show up at the church.  Simple.  Me and Carol are going."
sykes,What?
tuggle,"Hey, look -- we've known Kristin since... since she was conceived in that cabin up in Big Bear. Remember?  You and Edie banged the wall so hard, me and Carol were picking plaster out of our hair for a week..."
sykes,"Goddammit, Tug -- I want to see Kristin get married, okay?  But--"
tuggle,But you're bummed because your ex and her new husband are paying for the whole thing.
sykes,"Shit, if Kristin had to get married where I could afford it, we'd be holding the reception at Buddy's Burgers."
sykes,Uh-oh... Check it out.
sykes,Does that look at all suspicious to you?
tuggle,Whatever gave you that idea?
tuggle,"This is one-Henry-seven, we've got a possible two-eleven in progress at Porter's Mini-Mart, corner of Court and Alvarado.  Requesting backup."
sykes,"Let's do it, partner."
sykes,You got your vest?
tuggle,Of course.  Right in the trunk of the car.
sykes,"Yeah, that's comforting.  Mine, too."
tuggle,Watch the driver.  I'm going for a better angle on the door.
sykes,I got him.  Don't get pinned.
sykes," Aw, shit."
sykes,Get outta there!
tuggle,I can't!  Do you mind!
sykes,I'll cover you!  Get outta there!!
old man,Can I get out now?
tuggle,Move it!
sykes,"Aw shit, Tug, Jesus!  Goddamn it!"
human cop,"Whoa, whoa... hold it.  Take it easy.  You okay?"
jetson,I am all right.
human cop,I better call in.
jetson,Your hand will require attention.
sykes,Get the hell away from me!  I don't need your goddamn help.
natuzzi,Looks like a standard combat pump- action.
minkler,It is.
natuzzi,So what punched holes clear through that car out there?
minkler,BRI Sabot slugs.  These puppies are nasty.  Two plastic sabots fall away in flight leaving a fifty-caliber slug going two thousand feet per second.  Tug might as well've been hiding behind a rosebush.
natuzzi,Pretty heavy artillery for knocking over a liquor store.
minkler,Yeah?  So why the extra fire power?
jetson,Perhaps because even the larger caliber handguns aren't always effective against my people.
sykes, You saying there's some connection to this other homicide?
female cop,"Hey, give me a hand with this woman, will ya Jetson?  We've got to get her to Division for her statement and she won't budge."
jetson, Excuse me.
sykes,"So, you think there's a connection, or what?  Hey!"
kristin's voice," Danny thought Tug was the greatest -- but, then, who doesn't?  Anyway, love you, talk to you soon.  'Bye."
sykes,So what've you got on Tuggle's killers?
fedorchuk,"Jesus, Sykes -- it's been less than ten hours.  Me and Alterez are on it, okay?"
sykes,You don't have squat.
fedorchuk,You ever try to make a case in Slagtown?  The list of Newcomer informants is about as long as the list of Mexican war heroes...
alterez,Up yours.
fedorchuk,... Nobody talks to nobody down there.  Half of them don't speak English and the other half only when it suits them.  It's gonna take some time.
sykes,"Yeah, I know it's gonna take time. Like until the Ice Capades opens in Hell, with you two on it."
warner,Nobody wanders off!  I got an announcement.  Get your asses back in here.
warner,"I'll make this short.  This is a directive from Chief Evaner, who is acting on orders from the Mayor, who is under mandate from the Federal Bureau of Newcomer Relations.  As of nine o'clock this morning, one Newcomer uniform officer has been promoted to the rank of Detective, third grade."
warner,"And we've got him, gentleman.  Volunteers for duty with the new detective should see me in my office... otherwise I will choose a volunteer myself.  That is all."
fedorchuk,Unbelievable bullshit.
alterez,"How long has this Slag been on the force?  A year, max -- right?"
detective,"I don't know about the rest of you, but I sure as hell ain't gonna sit still for this.  I'm calling the union, pronto."
fedorchuk,Where the hell is he going?
warner,"Yeah, Sykes?"
sykes,Captain.  I'd like to volunteer for duty with the new detective.
warner,"... All right.  Detective Sergeant Sykes, this is Detective... Jetson."
jetson,We have met.
goldrup,"Victor Goldrup, Mayor's office. Congratulations, gentlemen."
warner, You are to have nothing to do with the investigation into Bill Tuggle's death.  You know that.  Leave that for Fedorchuk.
sykes, Departmental policy.
warner, You?
jetson,"Yes, sir."
warner,Good.
sykes,There's another case I'd like to take.  A homicide -- a Newcomer named Hubley.
warner,Granger and Pitts are already on it.
sykes,"Granger and Pitts have one hell of a caseload... and I would have thought with Jetson here being the first Newcomer plainclothes, and Hubley's body being found over in the Newcomer community..."
warner,Don't tell me what to think.
goldrup,He's got a point.  That's the sort of thing we should be doing with this early advancement program...
sykes,"... and we work my hours.  I'll do the driving, you do the paperwork. You gotta learn it so you might as well do it all."
jetson, Sergeant... I'd like to thank you for what you're doing.
sykes,"What's that?  Look, Jetson.  Get this straight in your head.  We're not pals, we're not married, and we ain't gonna take long moonlight walks together... We're just partners.  And don't call me Sergeant.  Call me Sykes... or Matt if you have to."
jetson,I am George.
sykes,Wait a minute.  George?  George Jetson?
sykes," Man, somebody really hung one on you!  I've heard some good ones for you guys... Humphrey Bogart, Harley Davidson.  I guess the people at immigration got a little punchy after a while, coming up with names for a quarter of a million of you. You weren't at the back of the line, were you, George?"
jetson,My true name is Ss'tangya T'ssorentsa'.
sykes,"Gesundheit.  You don't mind if I stick to George, do you?"
sykes,"Anyway, what's it matter to you if we think it's funny, right?  Whatta you care?"
jetson,"That is exactly so.  It is like your name... Sykes.  I'm sure it doesn't bother you at all that it sounds like ""ss'ai k'ss"", two words in my language which mean ""excrement"" and ""cranium""."
jetson,"""Shit... head""."
sykes,Let's talk Hubley.
