Speaker,Dialogue
first draft,"May 28, 1985"
leader," Internal pressure positive.  Assume nominal hull integrity.  Hypersleep capsules, style circa late twenties..."
leader," Lights are green.  She's alive. Well, there goes out salvage, guys."
ripley, Terrible.
ripley,How long have I been on Gateway station?
ripley,Jones!
ripley, Come here Jonesy you ugly old moose...you ugly thing.
man,"Nice room.  I'm Burke.  Carter Burke. I work for the company, but other than that I'm an okay guy.  Glad to see you're feeling better.  I'm told the weakness and disorientation should pass soon.  Side effects of the unusually long hypersleep, or something like that."
ripley,How long was I out there?  They won't tell me anything.
burke," Well, maybe you shouldn't worry about that just yet."
ripley,How long?
burke,All right.  My instinct says you're strong enough to handle this...Fifty-seven years.
ripley,"Fifty-seven...oh, Christ..."
burke,You'd drifted right through the core systems.  It's blind luck that deep-salvage team caught you when they...are you all right?
ripley,No...noooo!
doctor,"Hold her...Get me an airway, stat! And fifteen cc's of...Jesus!"
ripley, No.. I've slept enough.
ripley,"We made it, Jones.  We made it."
ripley, Dumbshit.
burke,Sorry...I've been running behind all morning.
ripley,Have they located my daughter yet?
burke,"Well, I was going to wait until after the inquest..."
ripley,Is she...?
burke, I'm sorry.
ripley,Amy.
burke," Cancer.  Hmmmm.  They still haven't licked that one.  Cremated.  Interred Parkside Repository, Little Chute, Wisconsin.  No children."
ripley,"I promised her I'd be home for her birthday.  Her eleventh birthday.  I sure missed that one.  Well...she has already learned to take my promises with a grain of salt.  When it came to flight schedules, anyway."
ripley,"You always think you can make it up to somebody...later, you know. But now I never can.  I never can."
burke, The hearing convenes at 0930.  You don't want to be late.
ripley,You read my deposition...it's complete and accurate.
burke,"Look, I believe you, but there are going to be some heavyweights in there.  You got Feds, you got interstellar commerce commission, you got colonial administration, insurance company guys..."
ripley,I get the picture.
burke,Just tell them what happened.  The important thing is to stay cool and unemotional.
ripley,"Do you people have earwax, of what?  We have been here three hours.  How many different ways do you want me to tell the same story?"
van leuwen,"Look at it from our perspective. You freely admit to detonating the engines of, and thereby destroying, an M-Class star-freighter.  A rather expensive piece of hardware..."
van leuwen,"The shuttle's flight recorder corroborates some elements of your account.  That the Nostromo set down on LV-426, an unsurveyed planet, at that time.  That repairs were made.  That it resumed its course and was subsequently set for self-destruct.  By you.  For reasons unknown."
ripley,"Look, I told you..."
van leuwen,"It did not, however, contain any entries concerning the hostile life form you allegedly picked up."
ripley,Then somebody's gotten to it... doctored the recorder.  Who had access to it?
eca rep,Would you just listen to yourself for one minute.
van leuwen,The analysis team which went over your shuttle centimeter by centimeter found no physical evidence of the creature you describe...
ripley, Like I said.
insurance man, Are there any species like this 'hostile organism' on LV-426?
eca rep,No.  It's a rock.  No indigenous life larger than a simple virus.
ripley,"I told you, it wasn't indigenous. There was an alien spacecraft there. A derelict ship.  We homed on its beacon..."
eca rep,"To be perfectly frank, we've surveyed over three hundred worlds and no one's ever reported a creature which, using your words...  ...'gestates in a living human host' and has 'concentrated molecular acid for blood.'"
ripley,"Look, I can see where this is going.  But I'm telling you those things exist.  Back on that planetoid is an alien ship and on that ship are thousands of eggs.  Thousands. Do you understand?  I suggest you find it, using the flight recorder's data.  Find it and deal with it -- before one of your survey teams comes back with a little surprise..."
van leuwen,"Thank you, Officer Ripley.  That will be..."
ripley," ...because just one of those things managed to kill my entire crew, within twelve hours of hatching..."
van leuwen,"Thank you, that will be all."
ripley,"That's not all, Goddamnit!  If those things get back here, that will be all.  Then you can just kiss it good-bye, Jack!  Just kiss it goodbye."
burke,"You had them eating out of your hand, kiddo."
ripley,They had their minds made up before I even went in there. They think I'm a head case.
burke, You are a head case.  Have a donut.
van leuwen,"It is the finding of this board of inquiry that Warrent Officer Ellen Ripley, NOC-14672. has acted with questionable judgment and is unfit to hold an ICC license as a commercial flight officer."
van leuwen,"Said license is hereby suspended indefinitely.  No criminal charges will be filed at this time and you are released on own recognizance for a six month period of psychometric probation, to include monthly review by an ICC psychiatric tech..."
ripley, Why won't you check out LV-426?
van leuwen," Because I don't have to.  The people who live there checked it out years ago and they never reported and 'hostile organism' or alien ship.  And by the way, they call it Acheron now."
ripley,What are you talking about. What people?
van leuwen,Terraformers...planet engineers. It's what we call a shake 'n' bake colony.  They set up atmosphere processors to make the air breathable...big job.  Takes decades.  They've already been there over twenty years.  Peacefully.
ripley,How many colonists?
van leuwen,"Sixty, maybe seventy families."
ripley, Sweet Jesus.
elevator passenger,Do you mind?
lydecker,"You remember you sent some wildcatters out to that plateau, out past the Ilium range, a couple days ago?"
simpson,Yeah.  What?
lydecker,"There's a guy on the horn, mom-and-pop survey team.  Says he's homing on something and wants to know if his claim will be honored."
simpson,"Christ.  Some honch in a cushy office on Earth says go look at a grid reference in the middle of nowhere, we look.  They don't say why, and I don't ask.  I don't ask because it takes two weeks to get an answer out here and the answer's always 'don't ask.'"
lydecker,So what do I tell this guy?
simpson,"Tell him, as far as I'm concerned, he finds something it's his."
jorden," Look at this fat, juicy magnetic profile.  And it's mine, mine, mine."
anne,"Half mine, dear."
newt,And half mine!
jorden,I got too many partners.
newt,"Daddy, when are we going back to town?"
jorden,"When we get rich, Newt."
newt,You always say that.  I wanna go back.  I wanna play 'Monster Maze.'
tim,You cheat too much.
newt,Do not.  I'm just the best.
tim,Do too!  You go in places we can't fit.
newt,So!  That's why I'm the best.
anne,Knock it off!  I catch either of you playing in the air ducts again I'll tan your hides.
newt,Mom.  All the kids play it...
jorden, Holy shiiit!
jorden,"Folks, we have scored big this time."
anne,You kids stay inside.  I mean it!  We'll be right back.
anne,Shouldn't we call in?
jorden,Let's wait till we know what to call it in as.
anne, How about 'big weird thing'?
tim,Cheater!
newt,Timmy...they've been gone a long time.
tim," It'll be okay, Newt.  Dad knows what he's doing."
anne,Mayday!  Mayday!  This is Alpha Kilo Two Four Niner calling Hadley Control. Repeat.  This is...
bon," Best decision I ever made, Bill. We'll be starting a new life from scratch, in a clean world. No crime.  No unemployment..."
burke,"Hi, Ripley.  This is Lieutenant Gorman of the..."
burke,Ripley we have to talk.  They've lost contact with the colony on Acheron.
ripley,No.  There's no way!
burke,Hear me out...
ripley,"I was reamed, steamed and dry-cleaned by you guys...and now you want me to go back out there?  Forget it."
burke,"Look, we don't know what's going on out there.  It may just be a down transmitter.  But if it's not, I want you there...as an advisor.  That's all."
gorman,You wouldn't be going in with the troops.  I can guarantee your safety.
burke,"These Colonial Marines are some tough hombres, and they're packing state-of-the-art firepower. Nothing they can't handle...right, Lieutenant?"
gorman, We're trained to deal with these kinds of situations.
ripley, What about you?  What's your interest in this?
burke,"Well, the corporation co-financed that colony with the Colonial Administration, against mineral rights.  We're getting into a lot of terraforming...'Building Better Worlds.'"
ripley,"Yeah, yeah.  I saw the commercial."
burke,I heard you were working in the cargo docks.
ripley, That's right.
burke,"Running loaders, forklifts, that sort of thing?"
ripley," It's all I could get.  Anyway, it keeps my mind off of... everything.  Days off are worse."
burke,What if I said I could get you reinstated as a flight officer? And that the company has agreed to pick up your contract?
ripley,If I go.
burke,"If you go.  It's a second chance, kiddo.  And it'll be the best thing in the world for you to face this fear and beat it.  You gotta get back on the horse..."
ripley," Spare me, Burke.  I've had my psych evaluation this month."
burke,"Yes, and I've read it.  You wake up every night, sheets soaking, the same nightmare over and over..."
ripley," No!  The answer is no.  Now please go.  I'm sorry.  Just go, would you."
burke,Think about it.
burke," Yello?  Oh, Ripley.  Hi..."
ripley,"Burke, just tell me one thing. That you're going out there to kill them.  Not study.  Not bring back.  Just burn them out...clean ...forever."
burke,That's the plan.  My word on it.
ripley,All right.  I'm in.
ripley,"And you my dear, are staying right here."
spunkmeyer,Arrgh.  I'm getting too old for this shit.
drake,They ain't payin' us enough for this.
dietrich,"Not enough to have to wake up to your face, Drake."
drake,"Suck air.  Hey, Hicks...you look like I feel."
hudson,This floor's freezing.
apone,"Christ.  I never saw such a buncha old women.  You want me to fetch your slippers, Hudson?"
hudson,"Would you, Sir?"
hudson,"Hey, Vasquez...you ever been mistaken for a man?"
vasquez,No.  Have you?
frost,"Hey, hand job, you take my towel?"
spunkmeyer," I need some slack, man.  How come they send us straight back out like this?  We got some slack comin', man."
hicks,You just got three weeks.
spunkmeyer,"I mean breathing, not this frozen shit."
dietrich,"Yeah, 'Top'...what about it?"
apone,You know it ain't up to me.  Awright!  Let's knock off the grabass.  First assembly's in fifteen...let's shag it.
vasquez,Who's the fresh meat again?
ferro,She's supposed to be some kinda consultant...  ...She was an alien once.
hudson,Whoooah!  No shit?  I'm impressed.
apone,Let's go...let's go.  Cycle through!
hudson,"Hey, 'Top.'  What's the op?"
apone,Rescue mission.  There's some juicy colonists' daughters we gotta rescue from virginity.
spunkmeyer,Shee-it.  Dumbass colonists. What's this crap supposed to be?
wierzbowski,"Cornbread, I think.  Hey, I wouldn't mind getting me some more a that Arcturan poontang.  Remember that time?"
hicks, Looks like that new Lieutenant's too good to eat with us grunts.
wierzbowski," Yeah.  Got a corn cob up his ass, definitely."
bishop,"I'm sorry you feel that way about Synthetics, Ripley."
ripley,You never said anything about an android being here!  Why not?
burke,"Well, it didn't occur to me.  It's been policy for years to have a synthetic on board."
bishop,I prefer the term 'artificial person' myself.  Is there a problem?
burke,A synthetic malfunctioned on her last trip out.  Some deaths were involved.
bishop,I'm shocked.  Was it an older model?
bishop,"Well, that explains it.  The A/2's were always a bit twitchy. That could never happen now with out behavioral inhibitors.  Impossible for me to harm or, by omission of action, allow to be harmed a human being.  More cornbread?"
ripley,"Just stay away from me, Bishop! You got that straight?"
wierzbowski,She don't like the cornbread either.
apone,Tench-hut!
gorman,At ease.  I'm sorry we didn't have time to brief before we left Gateway but...
hudson,Sir?
gorman," Yes, Hicks?"
hudson,"Hudson, Sir.  He's Hicks."
gorman,What's the question?
hudson,"Is this going to be a stand-up fight, Sir, on another bug-hunt?"
gorman,All we know is that there's still no contact with the colony and that a xenomorph may be involved.
wierzbowski,A what?
hicks, So what are these things?
ripley,I've dictated what I know on these.
apone,Tease us a bit.
spunkmeyer,Yeah...previews.
ripley,"Okay.  It's important to understand this organism's life cycle.  It's actually two creatures.  The first form hatches from a spore...a sort of large egg, and attaches itself to its victim.  Then it injects an embryo, detaches and dies. It's essentially a walking sex organ. The --"
hudson,"Sounds like you, Hicks."
ripley, ...then it...emerges.  Moults. Grows rapidly --
vasquez,I only need to know one thing.
ripley,Yes?
vasquez,Where they are.
drake,Yo!  Vasquez.  Kick ass!
vasquez,Anytime.  Anywhere.
hudson,Somebody said alien...she thought they said illegal alien and signed up.
vasquez,Fuck you.
hudson,Anytime.  Anywhere.
ripley, Am I disturbing you conversation Mr. Hudson?
ripley,I hope you're right.  I really do.
burke, I suggest you study the disks Ripley has been kind enough to prepare for you.
gorman,Are there any questions?  Hudson?
hudson,How do I get out of this chicken-shit outfit?
gorman,"All right.  I want this to go smooth and by the numbers.  I want DCS and tactical database assimilation by 0830.  Ordnance loading, weapons strip and drop-ship prep details will have seven hours..."
bishop, Attention.  This concluded final maneuvering operations.  Thank you for your cooperation.  You may resume work.
burke,Still nothing from the colony?
gorman,Dead on all channels.
frost,"Clear, please."
hudson,Excuse me.
ripley,I feel like a fifth wheel here.  Is there anything I can do?
apone,I don't know.  Is there anything you can do?
ripley, I can drive that loader.  I've got a Class Two rating.  My latest career move.
ripley,Where you want it?
apone,"Let's move it, girls!  On the ready line.  Let's go, let's go."
hudson,"I am ready, man.  Ready to get it on.  Check-it-out.  I am the ultimate badass...state of the badass art.  You do not want to fuck with me.  Hey, Ripley, don't worry.  Me and my squad of ultimate badasses will protect you. Check-it-out..."
hudson,"Independently targetting particle-beam phalanx.  VWAP! Fry half a city with this puppy. We got tactical smart-missles, phased-plasma pulse-rifles, RPG's.  We got sonic eeelectronic ballbreakers, we got nukes, we got knives...sharp sticks --"
hicks,Save it.
hudson,"Sure, Hicks."
burke,Here we go.
ferro,Initiate release sequencer on my mark.  Three.  Two.  One.  Mark!
ferro, Switching to DCS ranging.
spunkmeyer,Two-four-o.  Nominal to profile. Picking up some hull ionization.
ferro,Got it.  Rough air ahead.
ferro, Stand by for some chop.
ripley,"How may drops is this for you, Lieutenant?"
gorman,Thirty-eight...simulated.
vasquez,How many combat drops?
gorman,"Well...two.  Three, including this one."
ferro,Turning on final.  Coming around to a seven-zero-niner.  Terminal guidance locked in.  Where's the damn beacon?
gorman,"Let's see.  Everybody on line. Drake, check you camera.  There seems to be a..."
gorman, ...that's better.  Pan it around a bit.
apone,Awright.  Fire-team A.  Gear up. Let's move.  Two minutes. Somebody wake up Hicks.
ripley,That the atmosphere processor?
burke,"Uh-hunh.  One of thirty or so, all over the planet.  They're completely automated.  We manufacture them, by the way."
gorman, Hold at forty.  Slow circle of the complex.
gorman," Okay, let's do it."
apone,Awright!  I want a nice clean dispersal this time.
vasquez,You staying in here?
ripley,You bet.
vasquez, Figures.
gorman," Set down sixty meters this side of the telemetry mast.  Immediate dust off on my 'clear,' then stay on station."
apone,"Ten seconds, people.  Look sharp!"
gorman," First squad up, on line.  Hicks, get yours in a cordon.  Watch the rear."
apone,"Vasquez, take point.  Let's move."
apone,"Sealed.  Hudson, run a bypass."
apone,"First squad, assemble on me at the main lock."
gorman," Second team, move up. Flanking positions."
gorman,"Quarter and search by twos.  Second team move inside.  Hicks, take the upper level.  Use your motion trackers."
hicks,Nothing.  No movement.
