Speaker,Dialogue
addison's voice,"The Sarah Siddons Award for Distinguished Achievement is perhaps unknown to you. It has been spared the sensational and commercial publicity that attends such questionable ""honors"" as the Pulitzer Prize and those awards presented annually by the film society..."
addison's voice,The distinguished looking gentleman is an extremely old actor. Being an actor - he will go on speaking for some time. It is not important what you hear what he says.
addison's voice,"However it is important that you know where you are, and why you are here. This is the dining room of the Sarah Siddons Society. The occasion is its annual banquet and presentation of the highest honor our Theater knows - the Sarah Siddons Award for Distinguished Achievement."
addison's voice,"These hollowed walls, indeed many of these faces, have looked upon Modjeska, Ada Rehan and Minnie Fiske; Mansfield's voice filled the room, Booth breathed this air. It is unlikely that the windows have been opened since his death."
addison's voice,"The minor awards, as you can see, have already been presented. Minor awards are for such as the writer and director - since their function is merely to construct a tower so that the world can applaud a light which flashes on top of it and no brighter light has ever dazzled the eye than Eve Harrington. Eve... but more of Eve, later. All about Eve, in fact."
addison's voice,"To those of you who do not read, attend the Theater, listen to uncensored radio programs or know anything of the world in which we live - it is perhaps necessary to introduce myself. My name is Addison deWitt. My native habitat is the Theater - in it I toil not, neither do I spin. I am a critic and commentator. I am essential to the Theater - as ants are to a picnic, as the ball weevil to a cotton field..."
addison's voice,"This is Karen Richards. She is the wife of a playwright, therefore of the Theater by marriage. Nothing in her background or breeding should have brought her any closer the stage than row E, center..."
addison's voice,"... however, during her senior year in Radcliffe, Lloyd Richards lectured on drama. The following year Karen became Mrs. Lloyd Richards. Lloyd is the author of 'Footsteps on the Ceiling' - the play which has won for Eve Harrington the Sarah Siddons Award..."
addison's voice,There are two types of theatrical producers. One has a great many wealthy friends who will risk a tax deductible loss. This type is interested in Art.
addison's voice,The other is one to whom each production mean potential ruin or fortune. This type is out to make a buck. Meet Max Fabian. He is the producer of the play which has won Eve Harrington the Sarah Siddons Award...
addison's voice,"Margo Channing is the Star of the Theater. She made her first stage appearance, at the age of four, in 'Midsummer Night's Dream'. She played a fairy and entered - quite unexpectedly - stark naked. She has been a Star ever since."
addison's voice,Margo is a great Star. A true Star. She never was or will be anything less or anything less...  ... the part for which Eve Harrington is receiving the Sarah Siddons Award was intended originally for Margo Channing...
addison's voice,"Having covered in tedious detail not only the history of the Sarah Siddons Society, but also the history of acting since Thespis first stepped out of the chorus line - our distinguished chairman has finally arrived at our reason for being here..."
aged actor,"I have been proud and privileged to have spent my life in the Theater - ""a poor player ... that struts and frets his hour upon the stage"" - and I have been honored to be, for forty years, Chief Promoter of the Sarah Siddons Society...  ... and never before has this Award gone to anyone younger than its recipient tonight. How fitting that it should pass from my hands to hers..."
aged actor,"Such young hands. Such a young lady. Young in years, but whose heart is as old as the Theater..."
aged actor,Some of us a privileged to know her. We have seen beyond the beauty and artistry-
aged actor,"-that have made her name resound through the nation. We know her humility. Her devotion, her loyalty to her art."
aged actor,"Her love, her deep and abiding love for us-"
aged actor,"-for what we are and what we do. The Theater. She has had one wish, one prayer, one dream. To belong to us.  Honored members, ladies and gentlemen - for distinguished achievement in the Theater - the Sarah Siddons Award to Miss Eve Harrington."
addison's voice,"Eve. Eve, the Golden Girl. The cover girl, the girl next door, the girl on the moon... Time has been good to Eve, Life goes where she goes - she's been profiled, covered, revealed, reported, what she eats and when and where, whom she knows and where she was and when and where she's going..."
addison's voice,... Eve. You all know all about Eve... what can there be to know that you don't know...?
karen's voice,"When was it? How long? It seems a lifetime ago. Lloyd always said that in the Theater a lifetime was a season, and a season a lifetime. It's June now. That was - early October... only last October. It was a drizzly night, I remember I asked the taxi to wait..."
karen's voice,"Where was she? Strange... I had become so accustomed to seeing her there night after night - I found myself looking for a girl I'd never spoken to, wondering where she was..."
eve's voice, Mrs. Richards...
karen,"So there you are. It seemed odd, suddenly, your not being there..."
eve,Why should you think I wouldn't be?
karen,"Why should you be? After all, six nights a week - for weeks - of watching even Margo Channing enter and leave a theater-"
eve,I hope you don't mind my speaking to you...
karen,Not at all.
eve,I've seen you so often - it took every bit of courage I could raise-
karen, To speak to just a playwright's wife? I'm the lowest form of celebrity...
eve,You're Margo Channing's best friend. You and your husband are always with her - and Mr. Sampson... what's he like?
karen, Bill Sampson? He's - he's a director.
eve,He's the best.
karen,"He'll agree with you. Tell me, what do you between the time Margo goes in and comes out? Just huddle in that doorway and wait?"
eve,"Oh, no. I see the play."
karen," But, don't you find it - I mean apart from everything else - don't you find it expensive?"
eve,Standing room doesn't cost much. I manage.
karen,I'm going to take you to Margo...
eve," Oh, no..."
karen,She's got to meet you-
eve,"No, I'd be imposing on her, I'd be just another tongue-tied gushing fan..."
karen," There isn't another like you, there couldn't be-"
eve,"But if I'd known... maybe some other time... I mean, looking like this."
karen,You look just fine...  ... by the way. What's your name?
eve,Eve. Eve Harrington.
eve,You can breathe it - can't you? Like some magic perfume...
karen, ... now don't run away-
margo's voice," ""Honey chile,"" I said, ""if the South had won the war, you could write the same plays about the North!"""
karen,"Hi.  Hello, darling-"
lloyd,How was the concert?
karen,Loud.
birdie,Lemme fix you a drink.
karen,"No thanks, Birdie."
lloyd,Margo's interview with a lady reporter from the South-
birdie,The minute it gets printed they're gonna fire on Gettysburg all over again...
margo,It was Fort Sumter they fired on-
birdie,I never played Fort Sumter.
margo,"Honey chili had a point. You know, I can remember plays about women - even from the South - where it never even occurred to them whether they wanted to marry their fathers more than their brothers..."
lloyd,That was way back...
margo,"Within your time, buster. Lloyd, honey, be a playwright with guts. Write me one about a nice, normal woman who shoots her husband."
birdie,You need new girdles.
margo,Buy some.
birdie,The same size?
margo,Of course!
birdie,Well. I guess a real tight girdle help when you're playin' a lunatic.
karen," Margo does not play a lunatic, Birdie."
birdie,I know. She just keeps hearin' her dead father play the banjo.
margo,It's the tight girdle that does it.
karen,I find these wisecracks increasingly less funny! 'Aged in Wood' happens to be a fine and distinguished play-
lloyd,- 'at's my loyal little woman.
karen,"The critics thought so, the audiences certainly think so - packed houses, tickets for months in advance - I can't see that either of Lloyd's last two plays have hurt you any!"
lloyd,"Easy, now..."
margo," Relax, kid. It's only me and my big mouth..."
karen, It's just that you get me so mad sometimes... of all the women in the world with nothing to complain about-
margo, Ain't it the truth?
karen,"Yes, it is! You're talented, famous, wealthy - people waiting around night after night just to see you, even in the wind and rain..."
margo,Autograph fiends! They're not people - those little beast who run in packs like coyotes-
karen,"They're your fans, your audience-"
margo,"They're nobody's fans! They're juvenile delinquents, mental detectives, they're nobody's audience, they never see a play or a movie, even - they're never indoors long enough!"
karen,Well... there's one indoors now. I've brought her back to see you.
margo,You've what?
karen, She's just outside the door.
margo, The heave-ho.
karen,"You can't put her out, I promised... Margo, you've got to see her, she worships you, it's like something out of a book-"
lloyd,"That book is out of print, Karen, those days are gone. Fans no longer pull the carriage through the streets - they tear off clothes and steal wrist watches..."
karen,"If you'd only see her, you're her whole life - you must have spotted her by now, she's always there..."
margo,Kind of mousy trench coat and funny hat?  How could I miss her? Every night and matinee - well...
birdie,"Once George Jessel played my hometown. For a girl, gettin' in to see him was easy. Gettin' out was the problem..."
eve, I thought you'd forgotten about me.
karen,"Not at all.  Margo, this is Eve Harrington."
margo," How do you do, my dear."
birdie," Oh, brother."
eve,"Hello, Miss Channing."
karen,My husband...
lloyd," Hello, Miss Harrington."
eve,"How do you do, Mr. Richards."
margo," And this is my good friend and companion, Miss Birdie Coonan."
birdie,"Oh, brother."
margo,Miss Coonan...
lloyd, Oh brother what?
birdie,When she gets like this... all of a sudden she's playin' Hamlet's mother...
margo," I'm sure you must have things to do in the bathroom, Birdie dear."
birdie,"If I haven't, I'll find something till you're normal."
margo,"Dear Birdie. Won't you sit down, Miss Worthington?"
karen,Harrington.
margo,I'm so sorry... Harrington. Won't you sit down?
eve,Thank you.
margo,Would you like a drink? It's right beside you...
karen,I was telling Margo and Lloyd about how often you'd seen the play...
eve, Yes. I've seen every performance.
lloyd, Every performance? Then - am I safe in assuming you like it?
eve,I'd like anything Miss Channing played...
margo," Would you, really? How sweet-"
lloyd, I doubt very much that you'd like her in 'The Hairy Ape'.
eve,"Please, don't misunderstand me, Mr. Richards. I think that part of Miss Channing's greatness lies in her ability to choose the best plays... your new play is for Miss Channing, isn't it, Mr. Richards?"
margo,Of course it is.
lloyd,How'd hear about it?
eve,There was an item in the Times. i like the title. 'Footsteps on the Ceiling'.
lloyd,Let's get back to this one. Have you really seen every performance?  Why? I'm curious...
eve,"Well. If I didn't come to see the play, I wouldn't have anywhere else to go."
margo,There are other plays...
eve,Not with you in them. Not by Mr. Richards...
lloyd,"But you must have friends, a family, a home-"
karen,Tell us about it - Eve...
eve,If I only knew how...
karen,Try...
eve,Well...
eve,Well... it started with the play before this one...
lloyd,'Remembrance'.
margo,Did you see it here in New York?
eve,"San Francisco. It was the last week. I went one night... the most important night in my life - until this one. Anyway... I found myself going the next night - and the next and the next. Every performance. Then, when the show went East - I went East."
birdie,I'll never forget that blizzard the night we played Cheyenne. A cold night. First time I ever saw a brassiere break like a piece of matzos...
karen,Eve... why don't you start at the beginning?
eve,It couldn't possibly interest you.
margo,Please...
