Speaker,Dialogue
elaine,"Excuse me, I'm a teacher.  There is no word in The English Language -- ""Xmas."" It's either Merry Christmas... or Happy Holidays."
william,- so Livia -
elaine,-- killed everyone off so her son Tiberius could inherit the throne.  Just like Nixon.
anita's voice,Hey Mom!  I already ate.
elaine,You sure?  I'm making soy cutlets.
anita,I'm fine.  Already ate.
elaine,Wait.  You've been kissing.
anita, No I haven't.
elaine," Yes... yes, you have..."
anita,No I haven't.
elaine,Yes you have.  I can tell.
anita, You can't tell.
elaine,"Not only can I tell, I know who it is. It's Darryl."
anita, It's unfair that we can't listen to our music!
elaine," Honey, it's all about drugs and promiscuous sex."
anita,Simon and Garfunkel is poetry!
elaine,Yes it's poetry.  It's the poetry of drugs and promiscuous sex.  Look at the picture on the cover...
anita,"First it was butter, then sugar and white flour.  Bacon. Eggs, bologna, rock and roll, motorcycles."
elaine,That was an experiment.  But I understand -
anita,What else are you going to ban?
elaine,"Honey, you want to rebel against knowledge."
anita, We're like nobody else I know.
elaine,I'm a teacher.  Why can't I teach my own kids?  Use me.
anita,"Darryl says you use knowledge to keep me down.  He says I'm a ""yes"" person and you're trying to raise us in a ""no"" environment!"
elaine," Well, clearly, ""no"" is a word Darryl doesn't hear much."
william,Mom --
elaine,Everything I say is wrong.
anita,I can't live here!  I hate you!  Even William hates you!
william,I don't hate her.
anita, You don't even know the truth!
elaine,"Sweetheart, don't be a drama queen."
anita,Feck  you!  All of you!
elaine,Hey!
william,"I think she said ""feck."""
elaine, What's the difference?
william," Well.  The letter ""u""..."
voice, Are you really in our grade?
william,Yeah.
tobin,Hey guys!  Check it out!  William doesn't have any pubes!
tobin,"He's not a man, he's a little baby kid.  He Doesn't even get zits yet."
tobin, Where are your pubes???!!
william, I had 'em.  I shaved 'em off.
elaine, Put on your seatbelt.   I don't want you flying through the windshield.
william,We got our annuals today --
elaine," ""Received"" your annual."
william, I look so much younger than everyone else.
elaine,Enjoy it while you can.
anita,Mom.  It's time.
elaine, Can this wait until we get home?
anita,"Mom, pull over.  Tell him the truth. Tell him how old he is."
elaine, He knows how old he is.
anita,The other kids make fun of him because of How young he looks.  Nobody includes him.
william,They do?
elaine,"What's a ""Narc?"""
anita, A Narcotics Officer!
elaine,Well what's wrong with that?
william, Aren't I?
elaine, I also put you in first grade when you were five and never told you.
william, So...  I'm... how old?
anita,You lied to him!  You make such a big deal about the truth and you lied!
elaine, He never asked.
anita,"What -- like he's going to ask if he's as old as he thinks he is?  Don't you realize, this is going to scar him forever?"
elaine,Honey... sweetheart... don't be Cleopatra.  We have to be his mother and his Dad.
anita,You put too much pressure on him!
william, How... old...
anita,"And when he rebels in some strange and odd way, don't blame me."
william,... am I?
elaine, I skipped you an extra grade.  You're eleven.
william, ELEVEN?
elaine,"So you skipped fifth grade.  There's too  much padding In the grades.  I taught elementary school.  5th grade - unnecessary.  Nothing happens in the 5th grade.  All Teachers know it, no one talks about it."
william, E - leven.
elaine,And you skipped kindergarten because I taught it to you when you were four.
william, This explains... so much...
anita,You've robbed him of an adolescence!
elaine,Adolescence is a marketing tool.
anita,"He's got no ""crowd""... no friends..."
william,Okay!
anita,"Honey, I know you were expecting puberty.  You're just going to have to shine it on for a while."
elaine,"Who needs a ""crowd?""  You're unique.  You're two years ahead of everybody.  Take those extra years and do what you want.  Go to Europe for a year!  Take a look around, see what you like!  Follow your dream! You'll still be the youngest lawyer in the country.  Your own great grandfather practiced law until he was 93.  Your dad was so proud of you.  He knew you were a pronominally accelerated child."
anita,What about me?
elaine, You're rebellious and ungrateful of my love.
anita,"Well, somebody's gotta be normal around here!"
william, Eleven.
anita,"I want to play you a song that explains why I'm leaving, and try to listen."
elaine,We can't talk?  We have to listen to rock music?
william,"Take good care of her in San Francisco, man."
elaine,How can she leave such a loving family?
anita,One day you'll be cool.
elaine,She'll be back.
anita,YEAHHHHH-HOOOOOOOO.
elaine,Maybe not soon...
lester bangs,What is this hippie station?!  Where's Iggy Pop?  Don't you have a copy of Raw Power?!
bangs,Found it!!
bangs,So you're the one who's been sending me those articles from your school newspaper -
william,"I've been doing some stuff for a local underground paper, too."
bangs,What are you like the star of your school?
william,They hate me.
bangs,You'll meet them all again on their long journey to the middle.
william,I did?
bangs,Oh yeah.  It's over.
william,Over?
bangs,"Over.  You got here just in time for the death rattle, the last gasp, the last grope."
william,Well.  At least I'm here for that.
bangs,What do you type on?
william,Smith-Corona Galaxis Deluxe.
bangs,You like the new Lou Reed?
william," The early stuff.  The new stuff, he's trying to be Bowie, he should be himself.  I'm not a big Lou man."
bangs,"Yeah, but if Bowie's doing Lou, and Lou's Doing Bowie, Lou's still doing Lou."
william, If you like Lou.
bangs,Take drugs?
william,No.
bangs,"Smart kid.  I used to do speed and sometimes Nyquil and stay up all night writing and writing, like 25 pages of dribble about, you know, the Guess Who, or Coltrane, just to write, you know, with the music blasting..."
william,Me too.  The writing part...
bangs,"Well, alright.  It's been nice to meet you.  I'll see you around.  Keep sending me your stuff."
william,Okay.  See you.
bangs,I can't stand here all day talking to my many fans.
bangs,"-- so anyway, you're from San Diego and that's good.  Because once you go to L.A., you're gonna have friends like crazy but they'll be fake friends, they're gonna try to corrupt you.  The publicists!  The bands!  You got an honest face, they're gonna tell you everything.  But you CANNOT make friends with the rock stars."
william,... Industry... of... cool...
bangs,"And that's what they want!  And it's happening right now.  I'm telling you, you're coming along at a very dangerous time for rock and roll.  The war is over.  They won.  99% of what passes for rock now... SILENCE is much more compelling.  It's over.  I think you should turn around and go back and be... a lawyer or something... but I can see from your face that you won't. I can pay you thirty-five bucks.  Gimme a thousand words on Black Sabbath."
william, An assignment.
lester,Yeah.  And you should build your reputation on being honest... and unmerciful.
william, Honest... unmerciful...
bangs,And if you get into a jam -- call me. I stay up late.
elaine,Look at this.  An entire generation of Cinderellas and there's no slipper coming.
william,You can drop me off here.
elaine,Black.  Sabbath.  Just remember - you wanted to be Atticus Finch in To Kill a Mockingbird.
william,All I have to do is listen.  That's what Lester Bangs said.
elaine," I'll be waiting right here at eleven 'o clock sharp.  If you get lost, use the family whistle."
william,Hi.  I'm William Miller and I'm here from Creem Magazine to interview the band Black Sabbath.
scotty,Not on the list.
william,"Sir, I'm a journalist, and here's a copy of the magazine."
scotty,You're not on the list.   Go to the top of the ramp with the girls!
william, What-happens-after-I-go-to-the-top-of- the-ramp with-the-gi -
estrella,Who are you with?
william, Me?  I'm with myself.
estrella,"No, who are you with?  What band?"
william,I'm here to interview Black Sabbath.  I'm a journalist.  I'm not a... you know...
penny lane,... you're not a what?
william, Oh... I'm just... not a... you know.
penny lane,"Not a ""what""?"
william," You know.  A ""groupie."""
estrella,Ohhh!
william,"Sorry, I -"
penny lane,"We.  Are not.  ""Groupies."""
estrella,"This is Penny Lane, man.  Show some respect."
william,-- sorry.
penny lane,"""Groupies"" sleep with rock stars because they want to be near someone famous. We are here because of the music.  We are Band Aids."
estrella,She used to run a school for Band Aids.
penny lane,We don't have intercourse with these guys.  We support the music.  We inspire the music.  We are here because of the music.
estrella,"Marc Bolan broke her heart, man.  It's famous."
penny lane,It's a long story.  I'm retired now. I'm just visiting friends.
estrella,"She was the one who changed everything. She said ""no more sex, no more exploiting our bodies and hearts... """
william,Right.  Right.
estrella,"""... just blow-jobs, and that's it."""
william,"Okay.  Well, see, now I get the difference."
polexia, It's all happening.  It's all happening.
estrella,Polexia!!   Did you tell Sabbath we were going to be here?
polexia,"I talked to Dick with Stillwater, I talked with Sabbath.  They're all dying to see us.   It's all happening."
penny lane,"This is our journalist friend. Journalist Friend, meet Estrella Starr, and Polexia Aphrodisia. And you are --"
william,William.
polexia,Here comes Sabbath!
estrella,Ozzy!!!  Tony!!!  It's us!!
polexia, Okay.  I was with Ian Hunter all night at Rodney's Last night.  Wanna see his spoo?  I saved it in a baggie.
estrella, I'm really happy he's doing so well.
penny," Yeah.  I know he's such a talented guy.  I mean, look at him.  Who deserves it more?"
polexia, Nobody -- he's so sweet.
estrella," Don't you just root for him, you know. To go that little distance between good and great?"
penny,Wait.  That's not his.  I would know his.
sapphire,Does anybody remember laugh-tah?  Come and GET 'EM!
scotty,Oh no.  Not this one --
sapphire, Who brought Opie?
penny,He's with us.
scotty, He wasn't with you.
sapphire, Are you going to turn this into a Thing?
scotty,All of you can wait outside!  Top of the ramp!
william,I don't want to cause a Thing.  I'll wait.
penny, I'll go take care of this.
dick,"Let us in, we're Stillwater!  We're on the show!!"
william," Hi, I'm a journalist.  I write for Creem Magazine."
jeff,The enemy!  A rock writer!
william, I'd like to interview you or someone from the band.
dick, I'm sorry but could you please fuck off?
william,Okay.  Okay.  I could do that.
jeff,"You guys never listened to our records. You're all just frustrated musicians. Do you know what your magazine SAID about us?  What was it - ""the singer's incessant cater walling distracts From an assault with no clear purpose."""
larry, That was Rolling Stone.
russell,"Yeah.  Okay.  Fuck off anyway.  We play for fans, not critics."
william,Russell.  Jeff.  Ed.   Larry.  Way to go.
russell, Well don't stop there.
jeff,"Yeah, come back here!!  Keep going!"
scotty,Not this one.
russell,He's with us.
scotty,He's not with you.  He's not with them. He's not on the list.  He's not coming in.  And this is my arena.  And furthermore -
russell,Red Dog!
red dog,We're playing here tomorrow night.
jeff," This is Red Dog, the Allman Brothers Band's number one roadie."
russell,How're the guys?
red dog,"Havin a ball, man.  When we have a party, we have an Allman Brothers Band party.  Everybody boogies.  Everybody gets off.  It's family, man.  We all got These now.  Dicky and Gregg send you their love."
