Speaker,Dialogue
old salieri,Mozart! Mozart! Mozart. Forgive me! Forgive your assassin! Mozart!
old salieri,Show some mercy! I beg you. I beg you! Show mercy to a guilty man!
valet,"Open the door, Signore! Please! Be good now! We've brought you something special. Something you're going to love."
valet,Signore Salieri! Open the door. Come now. Be good!
old salieri,Mozart! Mozart! I confess it! Listen! I confess!
old salieri,Mozart! Mozart! I cannot bear it any longer! I confess! I confess what I did! I'm guilty! I killed you! Sir I confess! I killed you!
old salieri,"Mozart, perdonami! Forgive your assassin! Piet! Piet! Forgive your assassin! Forgive me! Forgive! Forgive!"
valet," That's all right, Signore! He heard you! He forgave you! He wants you to go inside now and shut the window!"
valet,"Come on, Signore! Look what I have for you! I can't give it to you from down here, can I?"
bystander,Who is that?
valet,"No one, sir. He'll be all right. Poor man. He's a little unhappy, you know."
valet,Did he open?
valet,"Here I am, Signore. Now open the door."
valet,"Mmmm - this is good! This is the most delicious thing I ever ate, believe me! Signore, you don't know what you're missing! Mmmm!"
valet,"Now that's enough, Signore! Open!"
valet,"If you don't open this door, we're going to eat everything. There'll be nothing left for you. And I'm not going to bring you anything more."
doctor gulden,He's going to live. It's much harder to cut your throat than most people imagine.
doctor gulden,Here we are. Do you wish me to come in with you?
vogler,"No, Doctor. Thank you."
vogler,Herr Salieri?
old salieri,What do you want?
vogler,I am Father Vogler. I am a Chaplain here. I thought you might like to talk to someone.
old salieri,About what?
vogler,"You tried to take your life. You do remember that, don't you?"
old salieri,So?
vogler,In the sight of God that is a sin.
old salieri,What do you want?
vogler,Do you understand that you have sinned? Gravely.
old salieri,Leave me alone.
vogler,I cannot leave alone a soul in pain.
old salieri,"Do you know who I am? You never heard of me, did you?"
vogler,That makes no difference. All men are equal in God's eyes.
old salieri,Are they?
vogler,Offer me your confession. I can offer you God's forgiveness.
old salieri,I do not seek forgiveness.
vogler,"My son, there is something dreadful on your soul. Unburden it to me. I'm here only for you. Please talk to me."
old salieri,How well are you trained in music?
vogler,I know a little. I studied it in my youth.
old salieri,Where?
vogler,Here in Vienna.
old salieri,Then you must know this.
vogler,I can't say I do. What is it?
old salieri,I'm surprised you don't know. It was a very popular tune in its day. I wrote it. How about this?
old salieri,This one brought down the house when we played it first.
old salieri, Well?
vogler,I regret it is not too familiar.
old salieri,Can you recall no melody of mine? I was the most famous composer in Europe when you were still a boy. I wrote forty operas alone. What about this little thing?
vogler,"Oh, I know that! That's charming!  I didn't know you wrote that."
old salieri,I didn't. That was Mozart. Wolfgang Amadeus Mozart. You know who that is?
vogler,Of course. The man you accuse yourself of killing.
old salieri,Ah - you've heard that?
vogler,All Vienna has heard that.
old salieri, And do they believe it?
vogler,Is it true?
old salieri,Do you believe it?
vogler,Should I?
vogler,"For God's sake, my son, if you have anything to confess, do it now! Give yourself some peace!"
vogler,Do you hear me?
old salieri,"He was murdered, Father! Mozart! Cruelly murdered."
vogler, Yes? Did you do it?
old salieri,He was my idol! I can't remember a time when I didn't know his name! When I was only fourteen he was already famous. Even in Legnago - the tiniest town in Italy - I knew of him.
old salieri,"Suddenly he was dead. Just like that! And my life changed forever. My mother said, Go. Study music if you really want to. Off with you! And off I went as quick as I could and never saw Italy again. Of course, I knew God had arranged it all; that was obvious. One moment I was a frustrated boy in an obscure little town. The next I was here, in Vienna, city of musicians, sixteen years old and studying under Gluck! Gluck, Father. Do you know who he was? The greatest composer of his time. And he loved me! That was the wonder. He taught me everything he knew. And when I was ready, introduced me personally to the Emperor! Emperor Joseph - the musical king!  Within a few years I was his court composer. Wasn't that incredible? Imperial Composer to His Majesty! Actually the man had no ear at all, but what did it matter? He adored my music, that was enough. Night after night I sat right next to the Emperor of Austria, playing duets with him, correcting the royal sight-reading. Tell me, if you had been me, wouldn't you have thought God had accepted your vow? And believe me, I honoured it. I was a model of virtue. I kept my hands off women, worked hours every day teaching students, many of them for free, sitting on endless committees to help poor musicians - work and work and work, that was all my life. And it was wonderful! Everybody liked me. I liked myself. I was the most successful musician in Vienna. And the happiest. Till he came. Mozart."
arco,Mozart is not here.
colloredo,Where is he?
arco,"They're looking for him, Your Grace."
colloredo, We'll start without him.
mozart,"Miaouw! Miaouw! Mouse-wouse? It's Puss-wuss, fangs-wangs. Paws-claws. Pounce-bounce!"
constanze,Stop it. Stop it!
constanze,Stop it!
mozart,"I am! I am! I'm stopping it - slowly. You see! Look, I've stopped. Now we are going back."
constanze,No! No! No!
mozart,Yes! Back! Back! Listen - don't you know where you are?
constanze,Where?
mozart,We are in the Residence of the Fartsbishop of Salzburg.
constanze,Fartsbishop!
constanze,"Your Grace, I've got something to tell you. I want to complain about this man."
mozart,"Go ahead, tell him. Tell them all. They won't understand you anyway."
constanze,Why not?
mozart,"Because here everything goes backwards. People walk backwards, dance backwards, sing backwards, and talk backwards."
constanze,That's stupid.
mozart,Why? People fart backwards.
constanze,Do you think that's funny?
mozart,"Yes, I think it's brilliant. You've been doing it for years."
constanze,"Oh, ha, ha, ha."
mozart,Sra-I'm-sick! Sra-I'm sick!
constanze,"Yes, you are. You're very sick."
mozart,"No, no. Say it backwards, shit-wit. Sra-I'm-sick Say it backwards!"
constanze, Sra-I'm-sick. Sick - kiss I'm - my Kiss my! Sra-I'm-sick - Kiss my arse!
mozart,Em iram! Em iram!
constanze,"No, I'm not playing this game."
mozart,"No, this is serious. Say it backwards."
constanze,No!
mozart,Just say it - you'll see. It's very serious. Em iram!  Em iram!
constanze,"Iram - marry Em - marry me! No, no! You're a fiend. I'm not going to marry a fiend. A dirty fiend at that."
mozart,Ui-vol-i-tub!
constanze,Tub - but i-tub - but I vol - love but I love ui - You. I love you!
mozart,Tish-I'm tee. What's that?
constanze,What?
mozart,Tish-I'm-tee.
constanze,Eat
mozart,Yes.
constanze,Eat my - ah!
