Speaker,Dialogue
ingrid,What are you looking for?
jack,Nothing.
ingrid,There are no wolves in the woods so close to the city.
ingrid,Snow-hare.
ingrid,A hunter?
ingrid,You have a gun.
ingrid,You have a gun! How do you have a gun? Why should you carry such a weapon?
ingrid,Jack?
ingrid,Jack talk to me!
ingrid,Who is he?
jack,A hunter.
ingrid,He's not dressed like a hunter. Why is he alone? Hunters always go in pairs. For safety.
jack,Go for help. Call the police.
jack,Blending in?
larry,Jack. What brings you to Rome?
jack,I closed the Stockholm account.
jack,But there were complications.
jack,Collateral damage. Two shooters. Unidentified. [A beat] And a girl.
larry,There's a bar across the street: the L'Aquila. Freshen up. Sit tight. Give me two hours.
larry, You started smoking again?
jack,Guess so.
larry,Since when?
jack,Since now.
waiter,Cafe?
larry,Due.
larry,Stockholm account. Final installment.
larry,"You can't stay here, Jack. You won't see `em coming, not in a big city. But you can't go far, either. If the gentlemen whose accounts you closed belonged to Brink, Gallazzo, Simenov- any of the first division- you have four or five hours at most before every airport, train station, bus stop, toll booth and ski lift from Stockholm to Skopje is under surveillance."
jack,So.
larry,So. You find a hole- somewhere nearby- and you crawl into it and you stay put until I say it's safe to come out.
larry,Turn right outside the bar then second left. Via Spinetti. You'll find a silver Citroen C2 with Chieti plates. Check the glove box and follow the map. Castelvecchio. It's a fucking fortress. Literally. And as dead as a graveyard. Anyone within a three to five mile radius you'll see `em coming.
larry,Get there. Stay there.
larry,Do nothing `till you get my call.
jack,Buon giorno.
jack,America.
jack,Si. Il Americano.
jack,I'm no good with machines.
father benedetto,You are American.
jack,Si.
father benedetto,You speak Italian?
jack,Poco.
father benedetto,Va bene! You stay at Pensione Arbruzzo.
jack,Not for much longer.
father benedetto,On vacation?
jack,Working vacation.
father benedetto,Lavoro? Che genere de lavoro?
jack,Photographer.
father benedetto,Va bene. Che genere de fotografia?
jack,"Pictures of the region. Architecture, landscapes..."
father benedetto,People?
jack,"No people. Sights and landmarks. For guidebooks, magazines..."
father benedetto,Ah! Magazine! Which magazine?
jack,Actually it's a syndicate. Lots of different publications. Um... Casa editrice.
father benedetto,Va bene. So you must share a glass of wine with me. Questa sera. This evening.
jack,"You're very kind, but I..."
father benedetto,Certo. You want to know the truth about Abruzzo? A priest sees everything.
jack,Did I forget to mention my electromagnetic hypersensitivity?
jack,Who's the client?
jack,"This is a small town, Larry. I don't like small towns. I grew up in one. Besides, I'm already attracting attention."
jack,I'll think about it.
father benedetto,"Que siamo! The quality of the brandy is good, the liquor is smooth and the glass warmed by the sun."
father benedetto," The only good thing to come from the Francesi, everything else..."
father benedetto,"The French are... pezzi di merda. This is not an American discovery. Italians have known this for centuries. [In ITALIAN] When Rome called France the province of Gaul, they were just the same. Arrogant sensualists. Their cuisine is fussy and their wine effeminate. Only their brandy is worthy of any attention."
father benedetto, Forgive me. I speak too fast. You study our history?
jack,No.
father benedetto,You come to Italy to make a guide book and you don't care about history?
jack,"I take pictures, father."
father benedetto,Of course. You are American. You think you can escape history. You live for the present.
jack,"I try to, father."
jack,"Un po' di formaggio, per favore."
old woman,"Quale? Pecorino, parmigiano?"
jack,Questo.
jack,E un po' di pecorino.
woman,Grazie.
jack,Prego. You're welcome.
woman,You're American.
jack,"""Amidst gathering clouds""."
woman,You're assuming I'm English or you'd never have mentioned the weather. In fact I'm Belgian but I went to boarding school in England. And am quite happy to converse on all subjects meteorological.
waiter,Buon giorno. Desidera?
woman,Una spremute di limone. Per favore.
waiter,Signore?
jack,Una gelata alla fragola. Per favore.
jack,Edward.
woman,Mathilde.
mathilde,"It's hot. My car has no air conditioning. I asked for it, but..."
jack,What car did they give you?
jack,Range?
mathilde,One fifty to one seven five meters.
jack,Time?
mathilde,Five seconds. Seven at the most.
jack,Targets?
mathilde,One.
jack,Fire rate?
mathilde,Rapid.
jack,Magazine capacity?
mathilde,Large. Preferably 9mm Parabellum.
mathilde,The weapon must be fairly light. And compact. Possible to be broken down into its constituent parts.
mathilde,As compact as possible.
jack,You want a submachine gun to fit in a lady's purse?
mathilde,A small vanity case would be permissible.
jack,A small briefcase would be possible.
jack,"X-rays? Camouflage: lap-top, DVD player, MP3 or digital camera?"
mathilde,Not necessary.
jack,Noise?
mathilde,Silencer.
jack,"No such thing. You'll have to make do with a suppressor like everyone else. It'll dampen the decibels, dislocate the sound source and reduce muzzle flash. I can't make you silent but I can make you invisible as the Finnish phrase goes, but only as long as you're prepared to lose some range."
jack,Two o'clock.
mathilde,Excuse me?
jack,"By the clothes stall. Light blue shirt, open at the neck, expensive buff suede shoes. Is he with you?"
mathilde,"I didn't see him. In any case, I'm alone."
mathilde,I can accept a slight loss of range.
