Speaker,Dialogue
final shooting script,"July 27, 2006"
bumpy,The corner grocery's a supermarket. Candy store's a MacDonald's. And this place. 
bumpy,"What right do they have cutting out the suppliers, pushing all the middlemen out, buying direct from the manufacturer - Sony this, Toshiba that, all them Chinks - putting Americans out of work?"
bumpy,"What am I supposed to do with a place like this, Frank? Who am I supposed to ask for, the assistant manager?  This is the problem. This is the way it is now: You can't find the heart of anything to stick the knife."
frank,What is it?
bumpy,"Forget it, Frank. No one's in charge."
reporter,- whose passing has brought together a who's who of mourners on this chilly afternoon. The Governor has come down. The mayor of New York - its Chief of Police and Commissioner - sports and entertainment luminaries -
tosca,"White wine, please."
banker,"How you doing, Frank?"
frank,All right.
banker,What a loss. 
banker,Bumpy set something up for you?
tango,"Hey, Frank, get me an ashtray while you're at it."
charlie,"I know you're hurting, Frank.    So am I."
charlie,You going to be all right?
frank,Yeah.
charlie,"I'm sure Bumpy never told you, but he made me promise, anything ever happened to him, I'd make sure you didn't go without."
frank,"I'll be fine, Charlie. Half the people here owed Bumpy money when he died. A lot of money. If they think I'm going to forget to collect, they're wrong."
charlie,That's the spirit. Go get them.
professor,"Mr. Roberts, Give us U.S. vs. Meade -"
richie,I don't like being like that.     I want to beat it.
clerk,Hey -
richie,"He knows me, he'll take it from me. I've known him since high school."
campizi,"I swear to God, Richie, I didn't know it was you. I would never slam a door on your hand. Knowingly."
richie,You bit my fuckin hand -
campizi,"What can we do, Richie? You don't want to do this. For old times sake, what can we do? Who do you want? Who can I give you? You want Big Sal's bookie? You want his accountant? I'll give him to you."
trupo,Now just enough for the reagent test.
rossi,"They basically control the market with it. What the fuck has happened to the world, Frank?"
frank,Fuckin crooks.
rossi,Sad about Bumpy.
rossi,"Things are never going to be the same in Harlem. The girls, the clubs, the music - walk down the street, nobody bothers you because Bumpy's making sure of it.  How bad is it there now?"
frank,It's chaos.    Every gorilla for himself.
rossi,Who can live like that? There has to be order. That would never happen with Italians. More important than any one man's life - is order.
frank,"Thank you, Charlene.      Last one."
charlene,"It's all right with me, Frank, you can stay all day if you want, but I wouldn't. It's nice outside."
frank,Then maybe I'll have to go for a walk. Just cause you said so.
red top,On the house for our men in uniform.
serviceman 1,"Why, thank you, sugar, that's very kind."
red top,Thank Frank.
frank,How's Nate?   You seen him?
serviceman 1,All the time. Nate is everywhere. He's good. Got himself a club now.
frank,"Where, Saigon?"
serviceman 1,Bangkok.
serviceman 2,I don't think he's ever coming home.
frank,"You're gonna have to boot it a couple times. Cops keep cutting it, selling it, cutting it -"
serviceman 1,"I don't want to say anything cause the price is right - but the shit in Nam is way, way, way, way, way -"
campizi,That's him.
richie,All right.   Get lost.    Get out.
richie,Let's see who comes for the car.
richie,"We saw him with the slips, Javy."
richie,"Yes, I do, and so do you, don't give me that bullshit -"
richie,I got night school.
richie,Not when it's less.
richie,Than what I make now.
richie,They do in the Prosecutor's Office. Three thousand less. RIVERA You're fuckin kidding me.
richie,Fuck this -
richie,Check inside.
richie,Javy ...
richie,This isn't a couple of bucks.
richie,We're talking about principle?
richie," Yes, we are."
toback,How much.
richie,Nine hundred and eighty thousand.
toback,What happened to the rest?
toback,What're you doing counting this in front of everybody? Are you out of your fuckin mind? Take it into a room. Now.
tango,"Didn't you see the jar, Frank? I think you walked right past it."
tango,"The money jar. On the corner.      What I got to do, put a sign on it?"
tango,"Bumpy don't own 116th Street no more, Frank. Bumpy don't own no real estate in Harlem no more. I'm the landlord now and the lease is twenty-percent."
tango,"Then don't sell dope, Frank. Get a fuckin job. You need a job? You can be my driver, drive me around, open my door, yes, sir, no sir, where to, sir, right away, Massa Johnson, sir."
frank,Twenty percent?
tango,"Of every dollar. Every VIG, every truckload, every girl, every ounce.      In the jar."
frank,"Twenty percent's my profit. If I'm giving it to you then what am I doing? Twenty percent puts me, and everyone you know, out of business, which puts you out of business.  There are ways to make money legitimately, and then there's this way. Not even Bumpy took twenty percent."
tango,Bumpy's fuckin dead.
frank,There.   That's twenty-percent.
bumpy,He's got the stick - the cane - and he'll use if he has to. 
bumpy,"What right do they have cutting out the suppliers, the middlemen, buying direct, putting Americans out of work ... This is the way it is now, Frank."
frank,Get yourself a new suit.
richie,I'm sorry.
laurie,"I don't know, Richie."
richie,It couldn't be avoided. Next weekend I'll be able to take him.
laurie,I'm moving.
richie,What?   Where?
laurie,"To the St. Regis, what do you care.  My sister's."
richie,Your sister's. In Vegas?
richie,You can't move to Vegas.     Not with Michael anyway.
laurie,What am I supposed to do with him?       Leave him with you? There's a picture.
richie," Hey, you want to shut up over there?"
richie,No court will allow it for one thing. I won't allow it.
laurie,You?
richie,When am I supposed to see my son?
laurie,Last weekend!
richie,"Laurie, you can't raise a kid in Las Vegas."
laurie,"Oh, like this is a good environment. Around your friends. There are less creeps in Vegas."
richie,What's he going to grow up to be in a mobbed up place like that? What are you thinking?
laurie,I'm thinking - Richie - of him!
richie,Goddamn it -
richie,I told you nice to shut the fuck up. Now I'm gonna kill you.
richie,Pick up the fuckin glass!
thai,He say how much he wants?
nate,"He said ""a lot."" What that means, I don't know. Four or five keys?"
thai,He's your cousin.
nate,My cousin-in-law.    My ex-wife's cousin.
thai,Ask him how much he wants.
nate,"How much you gonna want, Frank?"
frank,A hundred kilos.
nate,No one I know can get that much. It'd have to be pieced together from several suppliers and none of it's gonna be 100- percent pure.
frank,That's not what I want.
nate,I know that. But that means dealing with the Chiu-Chou syndicates in Cholon or Saigon - if they'll deal with you -
frank,"No, even then it's too late. It's been chopped. I want to get it where they get it. From the source."
nate,You're gonna go get it.
frank,Why not.
nate,You're gonna go into the fuckin jungle -
frank,I've lived in jungles all my  -
nate,No. This is the jungle. Tigers. Vietcong. The fuckin snakes alone will kill you.
nate,He says this whole area's controlled by the Kuomintang - Chiang Kai-Shek's defeated army.
frank,They ain't Chinese.
general,How would you get it into the States?
frank,What do you care?
general,Who do you work for in there?
frank,What do you care?
general,Who are you really?
frank,It says right there.   Frank Lucas.
general,"I mean, who you represent?"
frank,Me.
general,You think you're going to take a hundred kilos of heroin into the US and you don't work for anyone? Someone is going to allow that?
general,I don't believe a word of this.
general,"After this first purchase, if you're not killed by Marseilles importers - or their people in the States - then what?"
frank,Then there'd be more. On a regular basis. Though I'd rather not have to drag my ass all the way up here every time.
general,Of course not.
colonel,Where's it now?
nate,Bangkok. I can bring it here or anywhere in between.
colonel,A hundred kilos.  I never seen that much dope in one place. NATE It's bigger than an Amana refrigerator- freezer.
nate,"Fifty grand. In advance. That'll cover them, the pilots and the guys on the other end."
frank,Give them a hundred.
nate,"Fifty, to cover them all."
frank,"A hundred. And it's all I got left. So if that dope doesn't arrive, for whatever reason -  Cousin or no cousin - don't let me down."
nate,I'll let you know when it's in the air.
richie,Is he dead?
richie,"Where are you? Javy, where are you?"
dispatcher,"There are no cars in that area, Detective Roberts."
richie,Bullshit. I got a man in trouble and I need back-up.
dispatcher,I missed that - you're breaking up -
richie,"I said, put the fucking call out again -"
dispatcher,"I just did. No one responded.     I'll try again, but -"
paramedic,You got no back-up? Why is that?
richie,Bandage his head.
paramedic,Detective ... he's dead.
richie,"I know he's fucking dead. Bandage his head, clean him up, put him on a gurney and prop it up so he's sitting. And open his eyes."
richie,"Step back, injured man coming out. Let them do their job and he'll be all right. Ma'am. Excuse me. Step back. Sir. Please."
richie,"You robbed him, didn't you."
richie,This.   Where'd this come from?
richie,You lying piece of shit -
richie,Yeah.
richie,"You robbed him, and then you shot him, and I helped you get out of there. How many more you shot? "
richie,You're a disgrace.
richie,"Don't look down there. Look here.  You ever fuckin threaten me again, I'll kill you."
army captain,Open the trunk.
chemist,"Typically what I see is 25 to 45 percent pure. I've never seen anything like this. No alkaloids, no adulterants, no dilutents. It's a hundred percent. May I?"
jimmy,Yeah ... for you.
teddy,Who is it?
teddy,Yeah.
teddy,Who's this?
teddy,Frank who?
sheila,"I'm not talking about your proclivities, Richie. Those I only know too well. I'm talking about being a cop."
richie,About taking money? I don't care about money. I don't do that.
sheila,"Because it'll come out. You're going to have to sit down with shrinks and social workers, her lawyers, the judge, lots of questions."
richie,What's going on there?
richie,I play softball on Sundays with some guys.
sheila,Wise guys.    That's going to look good.
richie,"I grew up with them, big deal."
sheila,What about Anthony Zaca?
richie,"What about him? SHEILA Richie, I'm just trying to understand things your wife has said. If they're not true, tell me."
richie,"Yeah, Tony's one of them."
sheila,Is he also your son's godfather?
sheila,Do you really care about this? Or do you just not want her to win - ever. How often do you see your son as it is?
richie,Not enough.   But she wants to make it never.
bailiff,All rise -
turner,"He got an arm on him.     Major League arm, ain't that right."
frank,You show me after supper.
turner,"You can't catch him. He'll take your head off. We're talking 95-mile-an-hour. You know how fast that is? You see the ball leave his hand, and that's the last you see it before it knocks you down."
frank, Is that right.
frank,This is your room.
frank,I had it made. From memory. MRS. LUCAS You were five when they took it away. How could you remember it?
frank,I remember.
frank,"I was with him every day for fifteen of them, looking after him, taking care of things, protecting him, learning from him."
frank,"Bumpy was rich, but never white   man rich. Why? Because he didn't own the    company. He thought he did. He didn't.     He only managed it. Someone else owned    it. So they owned him."
frank,Nobody owns me. Because I own my company.
frank,And my company sells a product that's better than the competition's at a price that's lower.
teddy,"What are we selling, Frank?"
redtop,"Hi, Frank."
frank,"Honey, these are my brothers."
frank,"What matters in business is honesty, integrity, hard work, loyalty, and never forgetting where you came from."
frank,I'll be right back.
frank,"Hey, Tango, what's up.    I was just thinking about you. "
tango,"The fuck you want, Frank -"
tango,"What're you going to do, boy? Shoot me in broad daylight? In front of everyone?"
frank,"Yeah, that's right."
frank,For the cops. Should be enough.
frank,That basically's the whole picture right there.
detective,Did you know his girlfriend? Good- looking girl. One of his informants.
richie,Beth.
detective,Should've seen their place.    Like animals lived there.
richie,I have seen it.
detective," Chose a good night, huh?   Grand Central Station in here."
medical examiner,It's been like this. I'm lucky I get home before midnight; lots of careless- ness.
richie,But it's federal. I'd have to answer to who? FBI?
toback,Me and the U.S. Attorney. No one else. No FBI. Hoover knows better than to mix his men with dope. Too much temptation for the feeble-minded.
richie,You know why I don't have it.
toback,Doesn't matter.
richie,"No, they're all on the take and I'm not and it doesn't matter to anyone. Instead of giving you a medal for turning in money, they bury you."
toback,It's fucked up. You're right. Maybe this's an opportunity away from all that.
richie,"I'll do it, but only like this: I don't set foot in a police station again. I work out of a place of my own. And I pick my own guys. Guys I know wouldn't take a nickel off the sidewalk."
toback,Done.
richie,This is the only floor we'll be using.
frank,"No loan, no contingencies.    Cash sale."
singer,"Mr. Joe Louis, ladies and gentlemen."
frank,Who's the beauty queen?
charlie,"She is a beauty queen.    No kidding. Miss Puerto Rico. Her glance crosses Frank's briefly but is yanked to the entrance of the club when Frank's brothers come in with their wives and girlfriends. Teddy's in a parrot green suit, gold chains, hat, acting like he owns the place."
frank,What is this?
teddy,What. These are clothes.     This is a very nice  -
frank,I'm wearing clothes. These are clothes. Those -  - are a costume. With a sign on it that says Arrest me. You look like fuckin Jackie Fox.
teddy,What's wrong with Jackie.    I like Jackie.
frank,"You like Jackie? You want to be Superfly? Go work for him, end up in a cell with him."
frank,The guy making all the noise in the room is the weak one. That's not who you want to be.
teddy,He wants to talk to you by the way.     I told him I'd tell you.
frank,You and Jackie were talking about me?
teddy,Not about you. We were talking. He said he wanted to talk to you about something.
frank,I'm taking you shopping tomorrow.
teddy,I went shopping today.
frank,You go shopping every day.    Like a girl.
joe louis,"It's a tax thing. It's a mistake my lawyers will straighten out, but for the time being it's a headache -"
frank,How much you owe?
joe louis,"It's nothing, like - fifty grand."
frank,Sure.   Don't worry about it.
joe louis,Thank you.   I'll pay you back soon as -
frank,Joe. It's a gift. Not a loan.       You don't owe me nothing.
ana,Hi.   I'm Ana.
frank,I'm Frank.
ana,You're Frank and this is your place.  Why's it called Small's? Why don't you call it Frank's?
frank,Because I don't have to.
richie,I'm reluctant to bring anyone in I don't personally know.
spearman,"You know me, and I vouch for them."
spearman,"Richie, we work together. You want me, you got to take them, too."
