Speaker,Dialogue
fade in," 1    MAN'S FOOTPRINT  on the moon.  EXT. MOON  Camera begins to pull back slowly, straight up - the song ""Moon Shadow"" by Cat Stevens begins.  Once we are high enough to see the entire moon, the main title is superimposed.  An American Werewolf in London  We continue to retreat from the moon, looking on as it grows farther from us, continuing credits until the full moon is the size it appears to us from earth.  2    EXT. CROSSROADS ON THE MOORS - NIGHT  Tree branches enter into the frame, the camera pans down and we see a truck approaching.  We are at a crossroads in the moors, looking sinister enough to have earned their literary reputation.  The truck stops at the crossroads, the DRIVER, mustached and wearing tweeds, boots, and a muffler, climbs down.  ""Moon Shadow"" ends."
truck driver,"Here, lads, East Proctor and all about are the moors.  I go east here."
jack,"Yes, well thank you very much for the ride, sir.  You have lovely sheep."
truck driver," Boys, keep off the moors. Stay on the road.  Good luck to you."
david,Thanks again!
jack,Are you cold?
david,Yes.
jack,Good.
david,Jack.
jack,David.
david,You're not having a good time are you?
jack,"Oh, I don't know.  I mean look around.  Isn't this a fun place?"
david,"Well, I like it here."
jack,"I'm sorry.  Northern England first, Italy later."
david,Right.
david,I think Debbie Klein is a mediocre person with a good body.
jack,Debbie is not mediocre and she has one of the great bodies of all time.
david,She's a jerk.
jack,You're talking about the woman I love.
david,"I'm talking about a girl you want to fuck, so give me a break."
jack,"Well, anyway, do you think she'll be there?"
david,I don't know.
jack, Rendezvous in Rome starring Jack Goodman and Debbie Klein. The love affair that shocked Europe!  See torrid lovemaking at its most explicit!  See Jack and Debbie expose their lust in the sacred halls of the Vatican!  Never has the screen dared....
david,"If you don't stop, I'm going to kill you."
jack,I have to make love to her. It's very simple.  She has no choice really.
david,It just fascinates me that you can spend so much energy on someone so dull.
jack,It is impossible for a body like that to be dull.
david,"We've known Debbie what, since the eighth grade?  How many years of foreplay is that?"
jack,She says she `likes me too much'.
dissolve,TO:
jack,The Slaughtered Lamb?
david,"Of course, The Slaughtered Lamb.  Why else would they have a severed fox head on a spear as their symbol?"
jack,That's a wolf's head.
david,"Of course, The Slaughtered Lamb.  Why else would they have a severed wolf's head on a spear as their symbol?"
jack,That's not a spear.  It's a pike.
david,A severed wolf's head on a pike as their symbol.
jack,"David, before we go in there I want you to know that - no matter what happens to us - it's your fault."
david,I assume full responsibility.
jack,Okay.
david,Shall we?
david,Hello.
jack,Nice to see you.
david, It's very cold outside.  May we come in?
jack,Do you have any hot soup?
woman,No.
david,"Well, do you have any coffee?"
woman,No.
jack,"Hot chocolate? WOMAN We've got spirits and beer. If it's something hot you want, you can have tea."
jack,Then you have some hot tea?
woman,No.
jack,Oh.
woman,But I can heat some up for you if you'd like.
jack,Nice looking group.
david,"Listen, at least it's warm in here."
jack,Look at that.
david,What about it?
jack,It's a five-pointed star.
david,Maybe the owners are from Texas.
jack, Remember the Alamo?
woman,I beg your pardon?
david,He was joking.  Thank you.
woman,"Joking?  I remember The Alamo. I saw it once in London, in Leicester Square."
chess player,"She means in the cinema, that film with John Wayne.  Checkmate."
david,"Oh, yes, of course."
jack,"Right, with Laurence Harvey and everybody died in it.  It was very bloody."
chess player,Bloody awful if you ask me!
chess player,"Here, Gladys, Tom.  Did you hear the one about the crashing plane?"
woman,"No, but we're about to."
chess player,"You be quiet, woman, and let me speak."
woman," Quiet, everyone!  Hush!  Shhh!"
chess player,"All right, laugh then.  I shan't tell it."
woman,"Oh, come on, tell us."
chess player,No.  You've had your chance.
jack, Ask them what the candles are for.
david, You ask them.
jack," Listen, that's a pentangle, a five-pointed star.  It's used in witchcraft.  Lon Chaney, Jr. and Universal Studios maintain it's the mark of the wolf man."
david, I see.  You want me to ask these people if they're burning candles to ward off monsters.
jack, Right.
david, Wrong. The drinkers have gotten the Chess Player to tell the joke as everyone knew he would.
chess player,"Oh, all right.  There was this airplane over the Atlantic on its way to New York.  It was full of men from the United Nations."
woman,"That's very funny, that is."
jack," Go on, ask them."
david, You ask them.
chess player,"Here now, let me finish!  So halfway over the ocean the engines run low on petrol so they have to lighten the plane.  So they heave out all the baggage, but it's still too heavy.  So they chuck out the seats, but it's still too heavy!  Finally this Froggy steps up and shouts ""Viva la France"" and leaps out.  Then an Englishman...."
dart players,Hear!  Hear!
