Speaker,Dialogue
shooting script,27TH JULY 2012
figure,Kill them. Kill them all.
lisa,Me! Sorry-
lisa,Shit!
lisa,"Oh God, I'm sorry, I didn't mean to say that!"
mixter,It's quite alright. I'm Doctor Elliot Mixter. Come into my office.
mixter,"Please, take a seat."
lisa,I've uh... brought my resume and some references. I know I already sent a copy with my application but just in case.
mixter,Thank you.
mixter,Very good. I see you've had lots of experience cleaning private homes.
lisa,"Yes, I uh... I've done a lot of them."
mixter,Well an institution such as this one is a very different proposition.
lisa,"Oh yes. Yes I know. You'll see I've also worked cleaning a school, so I am used to big areas."
mixter,Yes I've seen that. When I say this is a different proposition I mean in terms of the sensitivity required due to the nature of what we do here.
lisa,"Oh yes, yes of course."
mixter,You would mainly be working night shifts at a time when patients are on lock down. But many of our patients here have psychological disturbances so there may be situations where you have to clean up things you may not be used to cleaning up. If you know what I'm saying.
lisa,"I know what you mean, yes."
mixter,Would that bother you?
lisa,It may be strange at first but I actually have some experience in 8
mixter,I see. How is your mother now?
lisa,Well... she passed away.
mixter,"I'm sorry to hear that. So... it's important to me that every employee here, whether they are a psychiatrist, an orderly or a cleaner, needs to fully understand what our mission statement at this hospital is."
lisa,Okay.
mixter,"High Hopes was only built two years ago and as an institution we have only been running for just over a year now. So we're still building our reputation. But I am very clear on what I want that reputation to be. I intend to make this institution one of the foremost centres for mental health treatment in the country. If you look into my history you'll know that I have a stellar reputation in the field of psychiatry and I want to use that to help others. That is why I have put my own money into the creation of this institution. We are only just starting out but we have a long term ambition to be considered the best. So what I require is that every person who works at this institution, in any capacity, must be professional and sensitive to the needs of the patients. Unlike other institutions, the welfare and care of our patients comes first here."
lisa,I really admire that and I promise I would not let you down if I was given this job.
mixter,I'm sure you wouldn't.
lisa,"Oh my God, I'm so sorry!!"
mixter,"It's quite alright, please sit down, I can take care of it."
mixter,Okay... well thanks for coming in. I'll let you know.
lisa,"Look I'm so sorry, I really am!"
mixter,It's fine. We'll be in touch.
lisa,Hello? 10
lisa,Hey Nancy.
lisa,It was a total fucking disaster!
lisa,I sneezed on the head of the institution.
lisa,"I sneezed on him! It was one of those sneezes that just sneaks up on you, I didn't have time to cover my face. Before you know it he's covered in my snot!"
lisa,"Go on, go ahead. You know you want to!"
lisa,"Laugh it up, it's gonna be your last chance because I'm not going for any more job interviews! I'm done, I'm always so damn nervous and I just don't make a good first impression."
lisa,"That's just not me Nance. I wouldn't know where to start with flirting or any of that. Christ, if I wore high heels to one of these interviews I'd probably trip over! I'm a clumsy dork!"
lisa,I dunno. Thanks for not disputing that dork remark by the way.
lisa,"I guess I'll have to sign on welfare to make the rent. Long term, maybe I should go back to school. Get better qualified for something."
lisa,"I dunno, I just... it's like I just haven't been able to bring myself to write since ... you know..."
lisa,Maybe.
lisa,Not really. I just think I'm gonna get myself a nice big tub of ice cream from the freezer and watch some TV.
lisa,[Smiles] I know but if there's ever a good time for ice cream it's today!
lisa,Sure. Night.
lisa,Hello?
lisa,"Really? Oh, I uh... Hi!"
lisa,Um... is this a joke or something?
lisa,Seriously?
lisa,Oh my God I... I can't believe it.
lisa,"Oh God, thank you so much! I really appreciate this, I won't let you down!"
lisa,"Okay, see you tomorrow!"
man,Gswno!
man,Can I help you?
lisa,"Yeah, I'm here for an induction into the cleaning job."
man,You must be Lisa?
lisa,"Yes, that's right."
man,"Doctor Mixter said you would be coming. I'm Delaney, we'll be working together."
lisa,Oh great.
delaney,"We work nights so today we'll just show you around, okay?"
lisa,"Okay, thank you."
delaney,I'll clean this up and we'll get to it.
lisa,Okay.
delaney,"The most obvious task is hoovering. This is our hoover here, it's straight forward. You'll be surprised that although it's powerful it's very quiet, because we are working when everyone's in bed so obviously we don't want to wake them up! It has a Telescopic suction tube and six stage filter system. So a lot more powerful than you may be used to."
lisa,Okay.
delaney,"The mop and bucket is here, we usually use standard bleach to mix with the water so that's straight forward. But there is this specialist stain remover that you must use if there are any stains on the floor or carpet. It needs to be sprayed and left to set for twenty minutes before scrubbing or mopping. It's a special formula for tea, coffee, water marks and other yellow and brown discolourations on the carpets or floors. It's pretty strong so wash your hands after you use it!"
lisa,OKAY
delaney,"One of the worst parts of the job is we have to remove chewing gum from lots of surfaces. They don't just stick it underneath the tables, it ends up everywhere!"
lisa,Gross! 16
delaney,"Yes! I think a lot of the time it's the staff doing it, not the patients! But we have this GumCart, which is a bit complicated but it's easier than just scraping the gum. The steam is super heated to one hundred eighty degrees and delivered at seven point zero bar pressure. It can produce a hundred and fifteen litres of superheated steam per minute."
lisa,Is it okay if I watch you use it a few times first so I know exactly what I'm doing? I don't want to end up burning myself or any furniture!
delaney,"No problem. Now here we come to the most dangerous chemical we have. This is a concrete cleaner, very toxic stuff, so you have to wear the face mask and gloves we have here, okay?"
lisa,Okay.
