Speaker,Dialogue
for educational,PURPOSES ONLY
2.,"appeared, holding AUTOMATIC WEAPONS. DUCKS Caesar, you know me! What kind of fuckin' idiot would I have to be to try that shit with you? CAESAR A dead fuckin' idiot. As he walks out the door, the soldiers OPEN FIRE on Marty ""Ducks."" Caesar doesn't look back."
tv screen,"The title credits come up on the made-for-cable series we've been watching, ""Little Caesar."" CLAPPING AND CHEERING from O.S. WIDEN TO:"
3.,VITTI I'm going to bed. Vitti stands up and heads back to his cell.
cut to:,"INT. CELL BLOCK - MOMENTS LATER As Vitti approaches his cell, he sees a prison guard standing by. His cellmate, EARL, a giant of a man, comes out of their cell carrying his bedroll and a box containing his other meager possessions. VITTI  I'm sorry. I just grabbed stuff -- I didn't know -- VITTI That's okay.     Keep it.   Go ahead. EARL Thanks.     See you around. Earl exits with the guard. Vitti hesitates a moment, then warily steps into his cell. CUT TO: INT. VITTI'S CELL - MIDDLE OF NIGHT The cellblock is quiet. A guard stops outside the darkened cell, looks around to make sure no one is watching, then"
4.,"pulls out a GUN with a SILENCER, reaches through the bars and FIRES REPEATEDLY into Vitti's shadowy form under the blanket. Then he slips away as quietly as he appeared."
ben," One, of    course, is the public Isaac Sobel,    the eminent psychotherapist and popular    author known to millions of readers    around the world. Laura, Michael and Ben's Mother listen proudly to the eulogy. BEN The second Isaac Sobel is the private man -- my father -- Dad. And for those of you who knew him well and knew our family -- well, let's face it -- my father was a psychotic, mind- fucking prick. An arrogant, abusive, ego-inflated -- A RINGING CELL PHONE interrupts him. JUMP CUT TO: BEN"
5.,"still seated in the front row, daydreaming. The RINGING CONTINUES as all the mourners and even the Rabbi discreetly check their cell phones."
cut to:,"INT. PRISON PAY PHONE - SAME TIME VITTI Guess who, you fuck! INTERCUT WITH:"
ben,"Paul?  I can't talk right now.     My father died! VITTI So what does that have to do with me? BEN Call me later -- VITTI Don't hang up on, Sobel!    They're tryin' to kill me!"
6.,Ben hangs up. CUT BACK TO:
vitti,"He stands there for a long beat just staring, the DIAL TONE BUZZING in his ear. CUT TO: INT. SING SING - MESS HALL - NEXT DAY"
7.,"But Vitti can't stop. He drops his tray of slop, splattering food on the men. Coyote leaps to his feet and pulls a shiv. COYOTE You're a dead man, jefe! Coyote lunges at Vitti with the knife, but Vitti suddenly whirls around, bashes Coyote in the face with his food tray and bursts into song. VITTI  'I like to be in America, Okay by me in America...' The guards drag him down and cuff his hands behind him, then carry him out stiff as a board. VITTI 'Tonight, tonight, won't be just any night -- ' DISSOLVE TO: EXT. SOBEL HOUSE - LATER A limo pulls up to an old, but well-maintained suburban house, the family gets out and starts walking to the house."
cut to:,EXT. SOBEL HOUSE - FRONT PORCH - MOMENTS LATER
ben,"Okay, I might have strayed from my notes a little. I'm dealing with a lot of stuff here. Grief is a process. Laura notices FBI AGENTS CERRONE and MILLER waiting for them in the living room. Cerrone is an attractive woman in her late twenties, wearing a dangerously-short skirt. Miller is a clean-cut man in his thirties. MILLER Dr. Sobel, I'm Agent Miller, this is Special Agent Cerrone, Federal Bureau of Investigation. We'd just like to ask you a few questions, if we could. LAURA  Can I ask what this is about?    We just came from the cemetery. CERRONE We know this is a difficult time for you, Dr. Sobel. Sorry about your father. BEN Thank you, I'm going to miss him"
9.,terribly. Ben gestures for them to sit.
laura,You told her --  You told her at the drop of a hat. Agents Cerrone and Miller eye each other. BEN She's with the F.B.I.   She needs to know these things.
laura,"Oh, I see. And I don't. Why tell Laura? She couldn't possibly handle a phone call. BEN Did I say that? MILLER You folks need a minute? BEN No, we're fine."
laura,"If you don't need me anymore, I'll be in the kitchen.  Vitti? BEN Oh, yes. Paul Vitti and I were involved in some organized crime activity a couple of years ago. I mean, I wasn't involved -- not 'involved' involved -- I was just trying to help him therapeutically, and some people tried to, uh, kill us. No big deal. MILLER Well, shortly after you spoke, he"
11.,seemed to have some kind of breakdown. BEN What kind of breakdown?
miller,I think you'd better go up there and see for yourself. CUT TO: INT. SING SING INFIRMARY - PSYCH WARD - DAY
12.,"there? What mirror? Where?       Who can that attractive girl be?' BEN Paul, it's me.    Ben Sobel.   Paul?  Really. Can we take him to an examining room? DR. CUTLER Of course. CUT TO: INT. EXAMINING ROOM - MINUTES LATER Vitti sits inert on the examination table. BEN You already did a neurological work- up? DR. CUTLER Yep. No tumors, no aneurisms, no sign of stroke --"
ben,"Okay -- He sticks the needle into Vitti's shoulder. VITTI  'Boy, boy, crazy boy, keep cool, boy! Got a rocket in your pocket, keep cool-y cool boy -- ' CUT TO: INT. SING SING - CONSULTATION ROOM - NEXT DAY Vitti is sitting at a table facing Ben.     Dr. Cutler observes from a chair in the corner. BEN Paul, we're going to    give you some tests to assess your    mental condition. There's no pressure    -- just answer as best you can. Do I     have your consent to share the results    of these tests? VITTI Mommy's mad at me because I made a boom on the rug."
14.,"BEN I'll take that as a yes. Okay, I'm going to show you ten cards, each containing a picture of an inkblot. I want you to look at each card and tell me what you see. VITTI I see you.   I see him.   I see a table. BEN Focus, Paul. You haven't seen the card yet.  What does this look like to you? Take your time. Vitti looks at the wrong side of the card.    It's all white. VITTI It looks like snow. BEN No, Paul, the other side. Vitti turns it over and makes a face."
vitti,A bat.   A big bat. Or a weasel. BEN  See anything else? VITTI Just the pussy with the teeth.
ben, Pussy with teeth. Next card.
cut to:,SHAPES TEST Vitti is literally trying to pound a square peg into a round hole.
vitti,Blue. CUT TO:
ben,The wife or the midget?
vitti," Trick question, right?    Both of 'em. CUT TO: ANOTHER TEST"
ben,"Okay, Paul. Last test. In this one, I'm going to start a sentence and you complete it any way you want to. Ready? 'I get angry -- ' VITTI Yes. BEN No, you're supposed to complete the sentence. VITTI I did.   I said 'yes.'"
ben,"I wasn't asking if you agreed or disagreed; it was more like, 'I get angry when -- ' VITTI -- whenever. BEN Well, that about does it for me. CUT TO: INT. U.S. ATTORNEY'S OFFICE - DAY Ben meets with RICHARD CHAPIN, the U.S. Attorney for the Southern District of New York. BEN Based on his symptoms and the test results, I'd say brief psychotic disorder -- if it persists, possibly schizophreniform disorder. And Dr. Cutler agrees with my diagnosis. CHAPIN So he's crazy?"
17.,"BEN Dr. Cutler?   No, he's annoying, but -- CHAPIN Vitti. BEN Not crazy. At least not permanently. In certain people, continuous exposure to an extremely stressful situation -- soldiers in combat, for instance, disaster victims, a hostage situation, or being locked up in a maximum security prison with someone trying to kill you -- it can produce a temporary psychotic state. CHAPIN How temporary? BEN A day, a week, up to a month -- if the precipitating stressors are removed. CHAPIN  Well, couldn't you release him to    a halfway house or some place where    he could get some decent treatment? Based on my earlier work with him,    I don't think he's dangerous, and I think he was making a real effort    to reform himself."
18.,"CHAPIN You do, huh?  Okay. Then I'll tell you what. I'm gonna release him into your custody. BEN Mine? Me? No, this is a bad time for me. My father just died -- and I've got this bulging disc in my neck -- and we're redecorating, which is a total nightmare. I can't -- CHAPIN You want to see him killed in prison? BEN No, of course not. CHAPIN Or sent to a facility for the criminally insane. BEN No --"
chapin,Then he's all yours. I'm going to talk to the Bureau of Prisons and get you certified as a temporary federal institution. BEN  Yes.    We're clear.
19.,CHAPIN You still want him? BEN  Yes. CUT TO: EXT. SING SING - FEW DAYS LATER
20.,BEN What are you talking about? VITTI I call you to say somebody's trying to kill me and you hang up on me? BEN I was at the funeral home! VITTI You're my fuckin' doctor!
ben,"My father died! VITTI Me me me me!   He's dead!   Get over it. BEN Are you hearing yourself? VITTI  What's that? BEN Decongestant. I'm getting over a cold. All right, what's going on? Who's after you? VITTI I don't know -- take your pick. Could be my old family, or could be the Rigazzis. Ever heard of Lou Rigazzi - - Lou 'The Wrench'?"
