Speaker,Dialogue
based on the novel by:, Stephen King
production draft #4a,4/25/96 rev.
dussander," A boy.  I don't need anything, boy.  Can't you read?  I thought all American boys could read.  Don't be a nuisance, now.  Good day."
dussander,Give me my newspaper.
dussander,Fine.
dussander,I'd be out of my mind to let an insane boy like you into my home.
dussander,Do you?  Good for you.
dussander,Your what?
dussander,Accelerated?
dussander,I see...
todd,What?
todd,"Actually, I'm pretty low maintenance.  That's what my dad says."
todd,"But even then I couldn't be sure.  I needed real proof.  So I went to the mall and bought a fingerprint kit from the hobby shop and a book that tells you what you're supposed to look for and then dusted your mailbox while you were at the movies.  Pretty smart, huh?"
dussander,Bourbon.
todd,Milk?
dussander,Milk.
todd,A violation?
dussander,Yes.
dussander,That fucking name.  Enough of that.  I demand it.
dussander,I demand --
dussander,Nicotine gum.
todd,Hang up the phone.
dussander,This is unforgivable.  Do you know the things you're accusing me of?
todd,Do it.
dussander,Hear about what?
dussander,Everything?
dussander,You're a monster.
joey," Take it easy, Jesus.  It's just me, flinch- man."
todd,Who?
todd,You going to tell me who it is?
todd,Fine.
joey,Becky Trask.
todd,Was that so hard?
todd,It what?
todd,Tell me.  Tell me.
todd,What did it do?
dussander,It made them dance.
todd,Dance?
todd,"Yeah, I bet."
dussander,How do you eat this crap everyday?
dussander, I was the commandant of the camp.
todd,Forget it.  I can't concentrate.
todd,I know...
dick," No, son. If you weren't enjoying it, then you shouldn't play."
dick,"He'll be fine without you. He was fine before and he'll be fine after. There's nothing wrong with wanting to help people, but you gotta make sure you got yourself squared away first. That's what matters."
dick,"Just checking.  All right... We'll give your way a shot. If you think you can do it, if you really do, and your serious, then... okay. You really like the old guy, don't you?"
dick,"Okay, okay.  Don't ever force it.  Watch."
dussander,Leave me alone.
todd,And you let them eat the soup?
