Speaker,Dialogue
beginning logo,"The familiar logo WARNER BROS. PRESENTS COMES UP. After a beat, it is consumed by FIRE. It becomes AN AMERICAN FLAG, BURNING in the street."
bob anders,"Carnival's bigger today. MARK LIJEK, 29, a consular officer, joins Anders at the window."
ann swift,There are hundreds of people out
bob anders,Are these supposed to be bulletproof?
mark lijek,"Well, they've never been tested."
al golacinski,Marines to Number One -- FALL
bob anders, Can we get some fucking police please?
al golacinski,Don't shoot. You don't want to be the sonofabitch who started a war -
protestors,"La ilaha ilallah -- A WOMAN IN A CHADOR uses her own radio. Some of them ring around the building, holding hands and chanting. Some carry AUTOMATIC WEAPONS openly."
j stafford,-- We're not going out in this --
al golacinski,I'm going outside.
gallegos,Why?
al golacinski,"To reason with them. Marines open the Chancery door, with a look --"
kupke,Just everything. Don't sort it --
ann swift," -- NONE, there are no police --"
cora lijek,"-- Second floor -- anyone who can hear this -- we need help -- As we MOVE DOWN the line of desks, J STAFFORD is also on a radio repeating the same in FARSI -- Others PACK things.  26 INT. THE HALLWAY - INTO THE VAULT - MORNING 26  MARINES and STAFFERS -- including TOM AHERN -- RUN down the hall, pushing a cart of items to secure. They reach the security locker -- code the door -- and enter the locker, heading to the INCINERATOR to begin destroying classified material --  27 EXT. CHANCERY - MORNING 27  Golacinski HELD UP TO THE DOOR -- GUN TO HIS HEAD. He starts to panic.  "
al golacinski,Let me in! Jesus Christ! Open the fucking door! The Marines OPEN THE CHANCERY DOOR -- PROTESTERS POUR IN.
ann swift,"-- Washington on flash -- Get Ops -- get a line -- We hear -- The POUNDING of footsteps on the roof. They look up.  28 EXT. CONSULATE ROOF - MORNING 28  Protestors RUNNING on the roof of the consulate building. Several stop to try and RIP off a vent cover using CLUBS and PIPES.  29 EXT. EMBASSY GROUNDS - MORNING 29  THOUSANDS are now on the grounds of the embassy and they continue to swarm through the gates. The student with the SUPER 8 continues to film it all. Also filming, a NEWS PHOTOGRAPHER with a 16 mm camera. Smoking cannisters of TEAR GAS, people hurling them. A protestor lights a paper on fire to ward off the sting of the gas --  30 INT. CHANCERY OFFICE - MORNING 30  STAFFERS using pieces of machines to destroy other machines -- any embassy equipment that might function -- Then... screams. The lights have gone out. The power has been cut.  31 IN THE VAULT - MORNING 31 AHERN destroys the cryptography keys -- box-sized hard drives -- while BILL DAUGHERTY, 33, tosses stacks of papers into an electrical furnace.  "
bill daugherty,"Well, Tom. You wanted to see the world... The furnace makes a LOUD CHUNK and stops. They both hold their looks for a beat."
bill daugherty,Are you kidding me?
ahern,Get the shredder.
ann swift,"No... Hal -- yes -- INSIDE the building, IN --"
mark lijek,Nobody is coming. We need to go.
