Speaker,Dialogue
baseball fan,"I'll knock your block off, you big stiff ! You're a bum !"
the umpire,Strike ! You're out !
the photographer,I wonder if any big shots are getting married today ? They stop at the door of the room.
the photographer,"Hey, the guy with the cheaters."
the photographer,"Mortimer Brewster, the dramatic critic ?"
the clerk,"""Two by two they come and go. Hip hip hig hay !"""
the clerk,"Good morning, children. Your name, please ?"
elaine,Elaine Harper.
elaine,Elaine Harper.
the clerk,Thank you. Yours ?
mortimer,Mortimer Brewster. The clerk puts his hand back around his ear.
the clerk,How's that ?
mortimer,Mortimer Brewster.
the clerk,"Speak up, sonny. There's nothing to be afraid of."
the clerk,"Love her ? But of course you love her. You're going to marry her, aren't you ?"
mortimer,"No-no, you don't understand. Come here, come."
mortimer,"You see, I don't want this to get out for a while. I'm Mortimer Brewster."
the clerk,You're who ?
mortimer,Mortimer Brew...
mortimer,"Goodbye, dear."
mortimer,"Don't you understand ? How can I marry you ? Me, the symbol of bachelorhood. I've sneered at every love scene in every play. I've written four million words against marriage ! Not only hooked, but to a minister's daughter, and not only a minister's daughter but a girl from Brooklyn. And look at the way you look ! What is that sort of contraption you've got there ?"
elaine,"That's a pin I borrowed from your aunts. You know what they're saying, ""Something borrowed..."""
mortimer,"Yeah, I know that ""Something borrowed, something blue."" Old, new. Rice and old shoes. Carry you over the threshold. Niagara Falls. All that silly tripe I made fun for years. Is this what I've come to ? I can't go through with it. I won't marry you. And that's that."
elaine,"Yes, Mortimer. MORTIMER What do you mean, Yes, Mortimer ? Aren't you insulted ? Aren't you going to cry ? Aren't you going to make a scene ?"
elaine,"No, Mortimer."
mortimer,"And don't No, Mortimer me, either ! Don't you see marriage is a superstition. It's old-fashioned. It's... a... a... Ohh !..."
brophy,"O'Hara, don't be a jerk. You don't seem to realize. I'm turning over to you the nicest, the best beat in Brooklyn. Now look at that old church. And them old houses. O'HARA Did George Washington ever do any sleeping around here ?"
brophy,"Of course he did. Well, this whole neighborhood just stinks with atmosphere. And look at that old house there."
brophy,"Now, don't crack wise about the Brewster sisters. They're two of the dearest, sweetest, kindest old ladies that ever walked the earth. They're out of this world. They're like... they're like pressed rose leaves. They have come near a police call box. Brophy takes a key out of his pocket to open the box"
brophy,"No, no. Their old man left them fixed for life. And don't you call them the girls, either."
brophy,Brophy. Is Lieutenant around ?
brophy,"They don't rent rooms. But you can bet if anybody came looking for a room, they wouldn't go away without a good meal and probably a couple of bucks in their pockets. That's just their way of digging up people to do good to."
abby,"Reverend Harper, I do hope you don't disapprove of Mortimer just because he's a dramatic critic and takes your daughter to the theater every night."
reverend harper,"It's not so much that I disapprove of his being a critic, but no man, no man with this published attitude on marriage..."
reverend harper,...at any time.
teddy,I must be catching cold.
abby, Bless you.
abby,"We mustn't be angry with Mortimer. He's so very much in love with her. And Sister Martha and I are so happy about it. He used to come to see us only occasionally, and now, now he's in Brooklyn six nights a week."
brophy,"Remember now, watch your language."
brophy,You'd be surprised what they'd consider swearing.
abby,"Oh, will you excuse me ?"
abby,"No, no, Teddy, dear. Thank you. I'll go."
abby,"Oh, come right in, Mr. Brophy."
brophy,"Miss Abby, we came for the toys."
abby,Oh yes.
brophy,This is Officer O'Hara. He's taking over my beat.
abby,"May I welcome you to our neighborhood, Mister O'Hara."
teddy,"Gentlemen, what news have you brought me ?"
brophy,"Colonel, we have nothing to report."
teddy,"Splendid ! Thank you, gentlemen.  At ease."
abby,You know the Reverend Doctor Harper from the church next door ?
brophy,"Hello, Reverend. This is Officer O'Hara, the new man on the beat."
abby,"The toys are on the chair up here, by the library door."
abby,"Oh, Teddy, will you run upstairs and bring down your Army and Navy from Aunt Martha's room. They're all packed."
reverend harper,"That's splendid work you men do, fixing up discarded toys for the kids at camp."
teddy,Charge !
brophy,It gives us something to do as we are sitting around the station. You get tired of playing cards.
brophy,So these are the toys ?
abby,How's Missis Brophy ?
brophy,"Oh, she's better, thank you. But a little weak, still."
abby,"Well, I'll better get some beef broth for you to take to her."
brophy,"Oh, Miss Abby, please don't bother. You've done so much already."
abby,"Oh, Stuff and nonsense ! I won't be a minute."
reverend harper,"Gentlemen, if I know what pure kindness and absolute generosity are, it's because I've known the Brewster sisters."
brophy,"Oh, Teddy, you promised me you wouldn't do that anymore."
teddy,But I have to call a Cabinet meeting to get the release of those supplies.
brophy,Now don't do that again. Do you hear me ?
brophy,"He used to do that in the middle of the night, and neighbors raised Cain with me. They're a little afraid of him anyway."
reverend harper,"Oh, he's quite harmless."
brophy,"He thinks he's Teddy Roosevelt. So what, there's a lot of worse guys he could think he was."
brophy,"Isn't it a shame, Father, isn't it a shame, Reverend, that a nice family like this should be hatching a cuckoo ?"
