Speaker,Dialogue
melvin,"Come here, sweetheart... come on."
melvin,"Wanna go for a ride? Okay, sweetie?"
melvin," You've pissed your last floor, you dog-eared monkey."
melvin,"I'll bet you wish you were some sort of real dog now, huh? Don't worry...  this is New York. If you can make it here, you can make it anywhere, you know? You ugly, smelly fuck."
simon,"Verdell!?!! Here, good doggie..."
simon,Mr. Udall... excuse me. Hey there!  Have you seen Verdell?
melvin,What's he look like?
simon,My dog... you know... I mean my little dog with the adorable face... Don't you know what my dog looks like?
melvin,I got it. You're talking about your dog. I thought that was the name of the colored man I've been seeing in the hall.
simon,Which color was that?
melvin,"Like thick molasses, with one of those wide noses perfect for smelling trouble and prison food..."
simon,Frank Sachs -- Melvin Udall.
melvin, How're you doing?
simon,"Franks shows my work, Mr. Udall. I think you know that."
frank," Simon, you've got to get dressed."
melvin," What I know is that as long as you keep your work zipped up around me, I don't give a fuck what or where you shove your show. Are we being neighbors for now?"
simon, Do you still think I was exaggerating?
frank,Definitely a package you don't want to open or touch.
melvin,Hope you find him. I love that dog.
simon," You don't love anything, Mr. Udall."
melvin,I love throwing your dog down the garbage chute.
simon,Thank the good Lord... wow... my honey... where have you been?
party goer, He always liked me.
simon,"Just for a second, okay?"
simon, Look at him...  where was little baby?
handyman, In the basement garbage bin eating diaper shit.
simon,"Go ahead, John, you earned your fun.  How did he get down in the basement? I mean even if he got on the elevator how... ?"
handyman,Maybe some nice neighbor shoved him down the garbage chute.
simon,My God! No!
melvin,"'Somewhat in the dark, she had confessed and he had forgiven. This is what you live for, he said. Two heads on a pillow where there is only the safety of being with each other. How, she wondered, could she find such hope in the most shameful part of her.'"
melvin,'At last she was able to define love. Love was... '
melvin,'Love was... '
melvin,... Son-of-a-bitch-pansy-assed- stool-pusher.
melvin, Yeeeess!!!
simon,Maybe this can wait.
simon,"I found Verdell, Mr. Udall."
melvin,"Well, that's a load off."
simon,Did you... do something to him?
melvin,Do you realize that I work at him?
simon," No, I didn't."
melvin,Do you like to be interrupt when you are danging around in your little garden?
simon,"No...  actually, I even shut the phone off and put a little piece of cardboard in the ringer so no one can just buzz me from d..."
melvin,"Well, I work all the time. So never, never again interrupt me. Okay? I mean, never. Not 30 years from now... not if there's fire. Not even if you hear a thud from inside my home and a week later there's a smell from in there that can only come from a decaying body and you have to hold a hanky against your face because the stench is so thick you think you're going to faint even then don't come knocking or, if it's election night and you're excited and want to celebrate because some fudge-packer you dated has been elected the first queer President of the United States... and he's going to put you up in Camp David and you just want to share the moment with someone...  don't knock ...  not on this door. Not for anything. Got me. Sweetheart?"
simon,Yes. It's not a subtle point you're making.
melvin,"Okay, then."
simon,So the theory of confrontations is that now he'll think twice before messing with me?
simon,"He's genuinely upsetting, isn't he?"
frank,Won't worry about it. You go ahead.
melvin,No touch. No touch. No touch.
frank,"You may think you can intimidate the whole world with your attitude, but I grew up in Hell. My grandmother had more attitude. You don't intimidate me."
melvin, Assault and battery and you're black.
frank,"Shhhh now. I like Simon. I like him enough to batter you unrecognizable if you verbally abuse him or so much as touch his dog again. Meanwhile, I'll try and think how you can make this up to him.  Have a nice day. Party!"
carol," Look at you, you're all better."
