Speaker,Dialogue
ketcham,Aw-shit!
ketcham,How much farther?
rath,Just a little ways.  Up to those trees.
ketcham,"Oh, fuck it."
ketcham,"Hey, this feels kinda good."
ketcham,"Hey, do you mind if I talk a little?  I feel like, I don't know, talking I guess."
rath,Sure.
ketcham,"Funny, I've never been a talker. My wife was always getting on me about that.  'Say what you feel, tell me what's bothering you, you ve got to talk to me.'  I never would though.  Not really."
rath,Why not?
ketcham,"I don't know.  Part of me wanted to but part of me always said, 'What's she going to be able to do?'  I don't know.  Maybe I didn't trust her."
ketcham,"My Margaret... I loved her but you know what?  I cheated on her.  All the time.  I don't even know why. It wasn't the sex, Margaret was great in bed.  I think if I wasn't married I wouldn't have even looked at some of those women.  I knew she couldn't trust me, so how could I trust her?  If she was here right now I'd think that I would tell her that I was sorry... 'course, if she were here right now, maybe I wouldn't feel like talking."
ketcham,I think I've heard of you.
rath,It's possible.
ketcham,You're pretty famous aren't you?
rath,I hope not.
ketcham,"I know this may seem like a strange question, but can I ask you how much the contract was for -- not to insult you or anything, I know you're a professional, but just for me, I was just wondering."
rath,It's a common question.
ketcham,"Oh yeah?  I guess we still need to see that price tag.  Like art, right?  You hang some painting that looks like baby-puke in your living room only if it costs a bundle."
rath,A dime.
ketcham,One hundred thousand?  That's it? Jesus... Is that a lot?
rath,Average.
ketcham,Shit... oh well.
ketcham,I have been thinking about this for a long while.  I knew this day was coming.  I knew someday someone would make the call on me. I never thought about anyone that I had whacked.  What do you call it anyway?
rath,Taken.
ketcham,"'Taken.'  That's nice.  When I had someone taken I would call our General Contractor, transfer the money and as soon as I hung up the phone I forgot about them."
rath,Everyone who plays the game knows the rules.
ketcham,That's exactly what I told myself.
ketcham,"I always wondered what I'd be thinking at this exact moment.  I imagined that I would be thinking about the fucker who contracted this, trying to figure out who it was..."
rath,Don't know.  That's how it works.
ketcham,That's what our General Contractor told us but how can you trust someone like that?
rath,Right.
ketcham,"I thought that I would be thinking about Margaret, or work, or that I'd be having these deep, profound and depressing thoughts but I'm not.  I'm trying to think really profound thoughts, but I can't. It seems very funny to me."
rath,What are you thinking about?
ketcham,"I'm thinking about Moonpies.  Ain't that funny?  I haven't had a Moonpie since I was ten years old. Right now, I'm thinking how much I'd love one."
rath,And an R.C.
ketcham,Can I ask you something?
rath,Go ahead.
ketcham,What do other guys do?
rath,"Everyone handles it differently. Some are ready, some are not."
ketcham,"Do they get down on their knees, begging and crying?"
rath,Some.
ketcham,"When I thought about this, that was always there, in the back of my head, that image of me on my knees, crying.  It wouldn't go away and it would really upset me. It was something that I could never get away from... but now, I feel it's okay.  I feel good."
rath,Can I ask you a question?
ketcham,Anything.
rath,Why didn't you fade?
ketcham,You mean quit?
rath,Yeah.
ketcham,"I used to think about it.  I had Margaret.  She wanted kids.  I thought about moving somewhere far away like, Europe.  I could see all of that, the first part, the getting away but I couldn't see that next part.  'Then what?' So I'd stop thinking about it and go back to work.  You understand?"
rath,Yeah.
ketcham,"I always pictured that I would end in some land fill, under someone else's garbage.  I kept picturing those plastic diapers filled with some baby's green shit, covering me.  But this is nice..."
ketcham,Look at that.  I haven't watched the sun set in a million years. Do you mind?
rath,No.
ketcham,Nice... real nice.
rath,Yes.  Please come in.
escort,"Goodness, it's so dark..."
rath,I prefer it like this.
escort,How can a beautiful man like you be shy?
rath,"I prefer it, that's all."
escort,"It's okay, honey.  We can do it anyway you want."
rath,Would you like a drink?
escort,I'd love one.  Whatever you're having.
escort,Beautiful.
escort,Good will towards men.
rath,Why are you working today?
escort,Holidays are our busiest days.  No one likes to be alone on holidays. I know I don't.
rath,You're very good at this aren't you?
escort,I think you're supposed to answer that question.
rath,"I know what you expect, but I don't want..."
escort,"That's okay, hon, I always expect the unexpected."
rath,I called because I just want... I need to talk.
rath,"I've been thinking about my life, about things I have done... What I do for a living is in some ways similiar to what you do."
rath,I know that everything has a price.  I want you to understand that I'm willing to pay.
escort,For what?
rath,Honesty.
rath,I just want to ask you some questions.
rath,Do you ever regret things you've done?
escort,Everyone regrets something.
rath,"But when you finLsh a job, afterwards do you think about them?"
escort,Sometimes.
rath,Do you think about their wives or their families?
escort,"No.  They call me, I don't call them.  If they didn't call I wouldn't exist."
rath,Do you ever think about starting over?
escort,All the time.
rath,Can you tell me about it?
escort,"Sometimes I dream that I meet a man, this good, honest man and we fall in love.  I imagine us living on a boat, reading books, sailing to places where no one knows who we were or cares what we did."
rath,And what if you never meet that man?
escort,"Then, I'll sail alone."
rath,Do you believe that?
escort,Are you asking me if I believe in another life?
escort,I have to.
escort,Is that all you want?
rath,Yes.
rath,Thank you.
escort,Anytime.
rath,"Fuck you, Nick."
rath,I don't give a fuck --
rath,"Fuck you, fuck Cleveland, and fuck your contracts --"
rath,You fucking should be --
leevio,Don't!
bain,"Don't anybody move.  You move, you're dead."
bain,"Come on, you chicken shit motherfucker.  I know you're here. Let's go."
bain,You!  Get up!
bain,"You, too!  Up!"
bain,Not yet.  Don't move or you're fucking dead.
rath,Shit.  Just do them all.  All of them.  Shit.
bain,Now run!
rath,"Shit.  What are you doing, old man? You're too fucking slow."
rath,Okay.  Which one?  Which one is yours?
rath,Amateur.
bain,Fuck!
rath,Your move.
bain,Don't shoot!  Don't shoot!  I give up!
cop,Hit the ground!  Face down!  Spread your legs!
bain,"Hey, don't touch that!"
cop,Shut up!
rath,Son of a bitch.
rath,I'm not done yet.
bain,Is there a problem?
rath,"No.  No problem.  The airport, right?"
bain,Right.
rath,How'd you cut yourself?
bain,Oh?  Working.  A little accident.
rath,You a waiter?  You look like a waiter.
bain,"Yeah.  Yeah, I'm a waiter."
rath,Where?
bain,What?
rath,What restaurant?
bain,"Uh, Fontella's"
rath,So you're from around here?
bain,No.  No I'm not.
rath,Where you from?
bain,What is this?
rath,"Not too good at small talk, eh?"
bain,"Look, I'm real tired and I'm not interested in fucking chit-chat."
rath,I know just what you mean.  I'm pretty beat myself.
rath,"Since you looked like a waiter, I had to ask what restaurant because of what happened at the Trattoria Roma."
bain,Why?  What happened?
rath,"Didn't you here all them sirens? It's been all over the radio.  Some guy shot Leevio Valli, and a bunch of bystanders, in the Trattoria Roma."
bain,No shit.
rath,"Yeah, it's terrible.  I mean Valli, and I don't care what office he's running for, the guy's a crook.  He probably had it coming, but all the other people.  Real sad."
