Speaker,Dialogue
written by, Dan Gordon & Sabi H. Shabtai
carlos, You lose...
colette,What do you mean?
carlos,I mean get out.
colette,"You're a pig, you know that? How can you be like that?"
carlos, Leave without saying another word.
carlos," All you need is love... Rum da, da da da All you need is love Rum da da da da All you need is lo-ve Love is all you need. Love is all you need."
carlos,Pardon monsieur...
carlos,Merci.
carlos, One thousand one... one thousand two... one thousand three...
du foltiere,"Du Foltiere, Monsieur, intelligence liaison officer. DST. My understanding is that you are the Deputy Chief of Station, CIA, Paris, and that you witnessed by coincidence this attack."
jack,That's right.
du foltiere,And you have told my subordinate that you recognized the terrorist as Carlos?
jack,That's not what I told him. I said he recognized me. Afterwards I realized who he was. By then it was too late.
du foltiere, Ah yes... The deputy chief of station did not recognize him... But he recognized you.
jack,I wasn't the one wearing the disguise.
du foltiere,Yes of course... But then how are you sure it was him?
jack,"How often do you see someone holding a live grenade listening to the fuse? Besides, the arrogant son of a bitch bastard smiled at me."
carlos, I shot the sheriff... But I did not shoot the deputy...
carlos, Pardon me. Is the conference still in progress?
receptionist," Yes, but sir..."
carlos, I have an urdent delivery for the ministers.
carlos, EVERYONE FREEZE!
koj,We've got company.
carlos,My name is Carlos. You'll do as I say.
mickena,...Twenty million dollars ransom.
jack,Who's asking for it?
mickena,"""The Arm of the Arab Revolution."" Alias of the month time.  Could be anybody. The point is... their leader claims to be Carlos..."
jack,"He does, does he?"
mickena,He wants to make sure everyone knows it's him. He wants the credit and the Austrians want a positive ID. That's when your name came up.
jack,Who brought my name up?
mickena,The guy who says he's Carlos. The Austrians want you there to identify him.
jack,Where?
mickena,At the airport. Tomorrow. When they provide the plane to fly him and the hostages to Libya. Carlos evidently feels very comfortable in Libya.
jack,They got him here in their own backyard and they're gonna let him walk away?!
mickena,"They've got no choice, Jack."
jack,Bullshit! Let 'em handle it like the Israelis would.
mickena,They're not the Israelis Jack. It's not their fight.
jack,Then let me take him out! They want me to meet him at the airport. I can get close enough to get a clear shot at him. We can end this shit now.
mickena,Jack! He's got seventy hostages.
jack,Fuck the hostages!
jack," Harold, we can handle it with a minimum loss of life."
mickena,"We will handle it with no loss of life. Those aren't just any hostages. They are the oil ministers of the richest countries in the world, and that twenty million bucks they're gonna have to pay isn't gonna break 'em you know. It's nothing to them. They just want to pay it and... it's not our fight."
jack,What do you think Carlos is gonna do with that money? Put it in mutual funds? He'll use it to hit us. Let me assemble a team and we can...
mickena,"Jack goddamnit, there isn't any team to assemble! You're a fuckin' dinosaur. We're out of the assassination business. All of us! You got a personal hard on against this guy because he made you look like an asshole and now he's gonna rub your nose in it. I can appreciate your feelings, but it's not going down on our soil. It is not with our nationals and it is not our fight! Now I got my orders and you just got yours."
jack,I gotta hit the john.
jack," I think it's him, but I can't be sure. Not with those dark glasses and the beard..."
carlos,"Minister of the Interior, I presume...?"
carlos,I'm sorry this had to happen in Austria. We have no quarrel with your government.
carlos,Pardon monsieur...
carlos,We were never really properly introduced Mister Shaw. My name is Carlos.
jack, Eat shit and die slow.
mickena,You don't want your picture taken shaking his hand.
carlos," As I was saying, I'm sorry about the loss of life. And thank you for your cooperation."
amos, How do you feel?
carlos, Yo soy Cubano... de Cuba... Castro... Su amigos... Amigos... Entiende?
amos,"You spoke English well enough to your contact... the street vendor... so please let's not play games. We're both professionals, Carlos."
carlos, My name... Ramirez... no Carlos.
amos,"Yes, I know what your name is... Illich Ramirez..."
carlos,No Illich.
amos,"Alias Carlos Sanchez, alias Carlos Martinez, alias The Jackal."
carlos, Jou're loco man... No Carlos... I am tourist...
amos,Listen to me you piece of shit. I'm trying very hard to be professional about this but you are in Israeli hands now... So don't play games with me... entiende hombre?
carlos,Okay.
carlos,You... You're telling me you're Israelis... not Arabs?  I'm in some kind of an Israeli prison... is that what you're telling me?
amos,Amazing how much your English has improved in just a few seconds...
carlos," Look, obviously there has been some kind of mistake. I don't know who you think I am, but I am a Lieutenant Commander in the United States Navy, okay? I am Lieutenant Commander Annibal Ramirez of the U.S.S. Yorktown, Sixth Fleet, docked in Haifa. I am not Carlos or Sanchez or Illich or the Jackal or whoever you think you just caught. If you call the U.S. Embassy and ask for the Sixth Fleet Liaison Officer, he'll confirm everything I've said."
amos,Remarkable... remarkable performance... the chutzpa of it is unbelievable... my hat is off to you Carlos.
ramirez,"Your hat's off?! I'll tear your head off! You get on the horn and you call the U.S. Embassy and you call the Sixth Fleet Liaison Office and then motherfucker you go out and find yourself a good lawyer and I'll tell you somethin' Jack, I'm gonna sue your ass so bad that your great great grandchildren will still be shovelin' shit to pay off the debt!"
amos,"Carlos... give me a break, huh? If you were an American officer you would have... ID papers, dog tags."
ramirez,I ditched 'em in an alley just before you guys got me. Go back there you'll find 'em.
amos,You ditched them.
ramirez,"Per instructions... An American officer on shore leave in the Middle East must travel in mufti, civilian clothes. A bunch of Arabs start chasing me... could be terrorism... could be kidnapping... instructions are to ditch our tags, our ID or anything else that could identify us. That's why I spoke Spanish, that's why I said I was a Cuban, not an American. And you broke my ribs here asshole. I'm gonna sue you, I'm gonna sue your government... I'm gonna sue every fuckin' Jew I can get my hands on you, understand me?!"
ramirez," I'm gonna sue Menachem Begin, I'm gonna sue Moshe Dayan, I'm gonna sue the goddamned B'nai B'rith or whatever you call it."
yoni,Sir?
amos,Yoni... I want you to go back to the old city... where we caught... Carlos... I want you to be very inconspicuous. Take a half dozen men... you comb every alleyway there... every garbage can... everything you can find... for what looks like a U.S. military ID if there is such a thing there.
yoni,What's the problem?
amos,Who said there was a problem? There's no problem. I just asked you to do something and you're going to do it. So there's no problem.
amos,Nu?
amos,Oyyyy.
scott,I love it! Those cocky Israeli bastards thought they hit the jackpot. Got the Jackal right in their own backyard...
monroe,State Department's goin' apeshit. And the Navy... Admiral Trost was so pissed he was ready to shell the port of Haifa.
jack,You're not gettin' it are ya?
scott,What?
jack,"These weren't some yokels... This was the Israeli General Security Service... The Mossad. The best in the business. They have the most complete dossier there is on Carlos, the latest pictures of him... everything. I mean what's that tell you?"
scott,That they really ate it this time.
jack,Scott... doesn't it hurt to walk around like that with your head up your ass... I mean isn't it painful?
joey,Poppi!
maura,I thought you weren't coming back till tomorrow...
ramirez,I wanted to be here for his game. Look how beautiful she is!
ramirez,Just like her mother.
maura,What happened to your eye?
ramirez,Nothing. Just fell. It doesn't matter. I'm home.
ramirez,Joey watch Yolanda... okay?
jack,Jesus...
ramirez,I beg your pardon?
jack,Lieutenant Commander Ramirez my name is Jack Shaw... I'm with the government... I'd like to talk to you about what happened in Israel.
ramirez,"I want to sue them, okay? I want to sue the guy who broke my ribs. I want to sue their government and their Mossad... and I want to sue Golda Meir!"
jack,"Mrs. Meir is dead, Lieutenant Commander."
ramirez,Then you might want to have them dig her up because I intend to sue her.
jack,"Commander Ramirez when I said I was from the government, perhaps I should have been more specific. I'm from the CIA."
jack,Does the man in that picture look familiar?
yolanda,Poppi...
ramirez,That's not me... I mean I know it looks like me... but...
jack,I know it's not you.
ramirez,It's... this Carlos guy.
joey,"Poppi, you don't need to watch the fire, come climb with me."
ramirez,"Get out of that tree, Joey. Your mother sees that and I'm dead."
jack,This is the only recent shot we have of him... telescopic lens from half a mile away taken by the Israelis. Can you blame 'em for what happened? The only difference is the eyes.
ramirez,"Okay I get it now, you're here to talk me out of my lawsuit. But see I identified myself but they kept me in that cell for two more days chained to that wall after I told 'em who I was so..."
jack,"Lieutenant Commander, I am not here about your lawsuit. Carlos is the single most vicious terrorist in the world. He's personally carried out or masterminded the worst terrorist attacks in modern history. Men, women, children. Children like yours... blown to bits or slaughtered in cold blood. Annibal... why did you join the Navy?"
ramirez, To serve my country.
