Speaker,Dialogue
july 14 2012, REVISED
alan,We thought this was going to be a reality series.
colette,"You know, like the Kardashians."
alan,Oh. Really? A documentary? This is going to be a documentary about our writing group?
colette,"The whole group. Not just us, right? Not that it should be just about us..."
alan,No.
colette,So this is going to be like--like what I saw the other night on cable? About bees mating.
alan,"Or that, um, that one about the Holocaust."
colette,--Powerful.
alan,Powerful.   Yes. Powerful.
colette,We love documentaries.
alan,We do.
alan,Well?   Comments?
hannah,"I really like the way Yuri is developing, Colette."
colette,You do?
john,"Well, if you ask John K. Butzin..."
alan,"I was bothered by that, too. Why would Natasha betray a reliable, dependable husband for a washed-up young punk?"
colette,Oh.   Well...um...um...
alan,Poodles.     It's OK.
colette,No. It's not OK. I still can't explain Natasha's motive. What's the use? I'm not a writer.
william,"Whoa. Whoa. Time out. The dude's good in bed. Trust me, that's all the motive she needs."
john,Roger that. Torpedo Chapter Three. Blow it up. Get the focus back on this broad--Natasha.
henry,--Yes. I was thinking the same thing.
hannah,Make it clear that Natasha wants to be closer...
colette,Who wants coffee?
william,Lend me ten bucks? I'm having cash flow issues.
henry,Sure.
william,"Thanks, bro'. You're the best."
hannah,What do you think? On or off? Do they make me look smarter? I need a new pair.
william,What do you want to know about me?
hannah,I've always had this knack for telling stories. Ever since I was a kid.
maureen,She's a natural.
hannah,Moved here. Took a couple writing classes. Decided to go for it. 24/7. Total dedication to my craft. The writing always comes first. My latest effort is called Sleeping on the Moon. It's about rejection. And pain. Not really about the moon itself. More of a...
maureen,Metaphor.
hannah,Right.
william,So. LA? I'm here because of Bukowski. Charles Bukowski. Greatest writer ever. Period.
hannah,My favorite writer? Favorite writer. Favorite writer...
maureen,Jane Austen.
hannah,"That's the one. I hear she's good. But my favorite writer? Let me think about that a bit, OK?"
john,"Everything John K. Butzin knows about writing comes down to two simple words: Tom Clancy. Yes, sir. Tom Clancy. The man's a genius. Does his research. All those nitty-gritty technical details. Now that's writing! John K. Butzin has one agent very interested in Roaring Lion. And a publisher up in Oxnard is looking at it as we speak. Plus a certain cousin's best friend has a neighbor who has an in with Clint Eastwood, so Hollywood might be calling soon. Don't know how the other members of the writing group will handle all this success by one person. They better not be pussies."
alan,"Well, I'm an optometrist in Glendale."
colette,And I write full-time.
alan,Our last name's Mooney. You could call us Mooneys. We get that joke all the time.
colette,Alan likes to tease.
alan,"Colette, here, is the real writer. I'm more of an idea guy. I come up with great ideas, but don't always follow through. I'll show you."
colette,This is where I come for inspiration. I believe a writer must have quiet and solitude. I'll meditate. Write in my journal. Set out my creative path for the day. This is my Walden Pond.
colette,"Oh, this? I keep Oprah out here for luck. She's done so much to help writers. I know I'm going to be on her television show one day. I just know it."
henry,Tonight's the night. I'm going to ask Hannah out.
alan,"I'm the group leader. After all, getting together was my idea. They're all my patients. That's how we met. First one published gets a free eye exam."
john, How come we never chow down at your place?
william,This is my place. Close to the working people.
henry,Where's Hannah? Anyone know?
alan,Time to get started.
henry,Shouldn't we wait for Hannah?
william,"Let's go, people. I'm ready to read."
alan,William's right. We'll start. She'll show up.
colette,"William, aren't these the same pages you read last time?"
william,"Nope, they're different."
john,They look the same.
william,They're different. I changed a word.
henry,One word?
colette,That's it?
william,"Writing is rewriting, Colette. Bukowski said, ""Write five words. Rewrite seven."""
henry,No. Dorothy Parker said that.
john,One word?    Jesus H. Christ.
william,"It's my creative vision, John."
alan, Which we are here to support. This is William's decision.
william,"Let me just read. See if you can pick out the word. Tell me if it's better, or worse."
john, One goddamn word.
henry,I wonder what happened to Hannah.
alan,It's not like her to miss.
hannah,I'm so sorry. I'm so sorry for missing the meeting.
john,What happened? Your car break down?
alan,You oversleep?
colette,Maureen. Is Maureen OK?
william,People. C'mon. Look at her. That glow. Hannah met a guy. She got laid.
hannah,"As a matter of fact, I did meet a guy."
william,Told ya.
hannah,His name's Brian.
william,Bet Brian wants more than that.
colette,"That's so great, Hannah."
john,"I salute you, young lady."
alan,Yes.   Fantastic. Fanntasstic.
alan, To Hannah!
hannah,Thank you. But I just want to remind everyone that we're all in this together. I couldn't have come this far without the group.
alan, All for one . . . .
hannah,I'm merely the first one to get signed. But we're all going to have an agent soon.
john,"Well, as a matter of fact, there's an agent in Santa Monica very interested in John K. Butzin. He's reading the manuscript as we speak."
william," Hey, can you lend me ten bucks?"
henry,Sure.
william,"Thanks, bro'. You're the best."
alan,"Congratulations again, Hannah!"
colette,"Yes, yes.   Way to go, Hannah!"
hannah, Thank you! 'Night.
alan,"Well, Hannah's got an agent."
colette,She must have slept with him.
alan,Of course she did.
henry,"I'm so proud of you, Hannah."
hannah,"Your turn will come, Henry. You're a better writer than I am. So much better. You went to college."
henry,Listen. Maybe some afternoon we could go for a drive. There are some special places I'd like to show you.
hannah,Sure. I can't believe I've lived out here four years and haven't seen --
henry,What?
hannah,Four years. It's been four years since I moved here. And now I have an agent. It's the number four again. My lucky number. I should have known this was going to happen.
henry,There is no one more deserving.
hannah,I'm going to dedicate my novel to you.
henry,I'm happy for Hannah. 
colette,"My novel is called Nyet, Not Yet. It's about a Russian woman who comes to this country in search of love. It was inspired by a story I heard from one of my massage clients, Yuri. Yes, it's true--I used to do massage. In fact, that's how I met Alan, though I certainly didn't give him the kind of massage he really wanted. At least not the first time."
hannah,"Have I thought of my favorite author yet? No. Not yet. There are so many, you know?"
colette,Hi...Hi...Hello everyone. I was just in the neighborhood and--
hannah,Colette.    What a lovely surprise!
colette,"Oh. It's nothing. I just had to say ""Congratulations"" to my new favorite author."
maureen," ""For Poodles...Now may we have sex again? Love, Alan."""
hannah,"So sweet of you, Colette."
colette,"My pleasure.     Say, Hannah...about your agent?"
hannah,Gee.   I don't really know.
colette,Think you could ask?
hannah,I guess so.     Maybe.
colette,Because if he is...
hannah,"Let's talk about this at group meeting, OK?"
colette,Oh. Of course. Of course. Absolutely.
maureen,"Colette Mooney. My, that woman is something else."
hannah, Colette Mooney. C-o-l-e-t-t-e M-o-o- n-e...
hannah,"Thanks for seeing me today, Alan."
alan,No problemo. Let's get you some new eye wear.
hannah,Something that makes me look smart.
henry,"You're already smart, Hannah."
alan,How about...
hannah,Mmmmmmm.
alan,Excuse me.   One sec.
hannah,Of course he would.
alan,You know this great idea for a novel hit me this morning. It's called Unleashed.
hannah,Could be a winner.
henry,"You look great, Hannah."
alan,Question: You think your agent might be interested in this idea? Does he have a dog?
hannah, Oh. I don't know--
alan,How about a cat? It could be a cat.
hannah,Um. Sure.   Probably could be.
alan,"Think about mentioning it to your agent, OK? Unleashed. Dog -- or cat -- becomes human."
henry,"I'll help you develop the idea, Alan."
john,Meet someone very s-p-e-c-i-e-l. Here with us today all the way from...
sigrid,Germany.
john,Oh! That accent! Found her    working at the hardware store. Went   in for a drill bit. Came out with a    prime candidate for Mrs. John K.    Butzin.
sigrid," Apologies. American only. I come from Dusseldorf, yes? Came to this great country 90 years ago -- no, 90 days ago. Apologies. Took job in store as cleaning lady. Promoted to cashier. Now assistant, assistant manager."
sigrid,"This my 'Wall of America' tribute, yes? To my new country. And in the center, of course, the three men I admire most in America."
colette,I know this is a rejection letter. I can't open this. I can't be rejected today. I take rejection so personally.
alan,I bet it's good news.
colette,"""Sorry. Not interested."" I knew it. How can such a big rejection come from such a small piece of paper?"
hannah, Oh my god! Oh my god! Oh my god!
maureen,What's he saying?
hannah,He sold my novel.
henry,What?
hannah, Brian sold Sleeping on the Moon!
maureen,Oh my god!   Oh my god!
hannah," Yes, Brian. I will. Thank you. Thank you. Thank you. I will. Promise. Thank you!"
henry,"You did it, Hannah!   You did it!"
maureen,"I'm so proud of you, dear!"
hannah,Thank you.
henry,We need to tell the group!
hannah,"The group. Oh, dear. The group. No, no, I can't tell them about this."
henry,Why not?
hannah,Oh.
henry,Suppose I tell them? They could hear the news from me.
hannah,"Thank you, my friend. I can always depend on you, can't I?"
john,"That's great for Hannah, her little book deal, and all. But John K. Butzin has some news to announce, as well."
william,Hannah's just lucky. That's all.
henry,Here she comes!
hannah,Ohhhhhh.    For me? You shouldn't have.
william,"Way to go, Ms. Published Author!"
alan,"We're all jealous, Hannah. Just teasing."
colette,No.   Seriously. We're all jealous.
hannah,You're all making too much of a spectacle here.
henry,"When will your book come out, Hannah?"
hannah,A year.    Takes about a year.
william,So how much did you get?
alan,Don't ask her that.
william, Why not? How much did you get?
hannah,I did OK. Leave it at that. What's important is that I owe this success to all of you. I would be lost without this writing group.
john, I don't know if anyone heard.
alan,U.R. the Publisher?
henry,They self-publish. E-books. Print on Demand.
john,"That's right, Obert. But I'll have my book in two weeks. None of this B.S. waiting around. John K. Butzin will be a published author. And be published first."
hannah," Well, John. Congratulations."
alan,"My, two published authors in the group. The rest of us are going to have to catch up."
john," Gunner stared out over the bleak horizon, seeing one dead Viet Cong after another lay scattered on the bloody hillside. He had won this time, but Gunner knew Charlie would be back in the morning. By god, he would be ready. So would his M60 General Purpose Machine Gun and Mark 2 Fragmentation/Hand Rifle Grenade."
alan,"OK, John. Nicely done. Let's get some feedback."
henry,Well.   In terms of the characters--
john," --Hold on, Obert. I wanna hear from her."
alan,We'll hear from everybody.
john,"I don't want to hear from everybody. She has a book coming out. John K. Butzin has a book coming out. I want to hear from Hannah, author to author."
william,"Oh, screw you."
alan,"This is really going against the spirit of the group, John. Everyone's opinion is valid."
john,"Hers is more valid. What'd you think, Hannah? Tell me."
hannah,I-I . . .
william, Going outside for a smoke.
colette,I'll go talk to him.
alan,"Let's take a fifteen minute break, shall we?"
colette,I want you to meet someone special. This is my spiritual adviser. Doctor Xiroman has taken a vow of silence for one full year to protest climate change. What an amazing man. Dr. Xiroman is going to cleanse the air of all this rejection.
william,See those jokers back there? 
henry,"""...such as I have never found in any other person and which it is not likely I shall ever find again..."""
alan,"There's been one rule in this house. Whatever Colette wants, Colette gets."
colette,"Thank you, Alan."
alan,She wants a Mercedes? No problem. Credit cards? How many? Her own business? Done. An agent?
colette, --Very well-known. He's so known.
alan,"Exactly. Well, guess who is coming in tomorrow to see Dr. Alan Mooney for an eye examination and new glasses?"
colette,"I love you, Poodles."
alan,"Love you more, Poodles."
alan,Dr. Alan Mooney.
david, Let me call you back.
alan,I know. Big fan. Big fan.
david,Really?
alan,Just act natural.
alan,Great. Let's start out with a basic eye examination.
david, X7K6AC
alan,"Very good, David. Would you like to try for what's behind Door Number Three? Try this one, please."
david, E2PH8S
alan,"20/25. Looking good, David. But anyone can identify simple letters and numbers. Let's see how you do reading a more challenging text."
david,Yes.
alan,"Good. Read me the first paragraph, please."
david," Natasha, the Russian peasant, dressed oh-so-slowly, consumed totally, completely, absolutely, by endless thoughts of Yuri."
alan,"Oh. Very nice. Very nice. Now the next paragraph, please."
david," ""I never, ever thought I could feel this way,"" Natasha said excitedly. ""Nor could I,"" Yuri said happily, his body dripping with enormous beads of sweat."
alan,"Man. Wow. Gee. Isn't that great writing? My wife Colette wrote that. The patients just love reading her stuff. It's from her new novel, Nyet, Not Yet."
colette,"Hi, honey.   So sorry to intrude."
alan,"Colette? Gee, this is an incredible coincidence. We were just talking about you. And here you are!"
colette, Hello.
alan,"Oh, where are my manners? Colette, this is David Keller. David, this is my wife, Colette Mooney. The writer."
david,Hi.
colette,"Pleasure to meet you, David."
alan,"Actually, Colette wrote this beautiful prose you've been reading, David. Honey, I can't believe this coincidence."
colette,"Well, I was just dropping off--"
alan," Oh, of course. Thanks for bringing it by. Say, honey, David's been reading that first page of yours. You don't happen to have any more of that opening chapter, do you?"
colette,"As a matter of fact, I think I do. I think I do."
alan,"Say, how about that?"
david,How about that?
colette,That went very well.
alan,"Oh, yes, Poodles.    Very."
colette,Though David Keller did seem in a hurry to leave.
alan,The sooner he can begin reading.
colette,I bet he calls tomorrow with an offer.
alan,I bet he calls tonight.
hannah,Henry.     This is good.   So good.
henry,Really?
hannah,I'm dying to know more about Scott and Christy. What great characters.
henry,Yeah. Sure wish I knew what was going to happen with them.
hannah,"You'll figure it out, Henry. It'll pass. Focus on your writing. No distractions. The writing comes first."
henry,"Say, um, remember I offered to drive you around and show you a couple special places?"
hannah,Who lives here?
henry,Richard Benedict.
hannah,Oh.   That writer you like?
henry,Like? No. It's much more than that. Wow. He...He...
