Speaker,Dialogue
wills,"-- and I could have waited to tell you, but I wanted to leave no room for misunderstanding."
woman,"Well, you certainly didn't."
woman,"No, I see how you could feel this way. Of course I do. It's human. But what I don't get is why you'd want to announce it so quickly. I mean, we just met. Feelings change. You don't even know me."
wills,"Yes, I do."
woman,"Oh, really?"
wills,The minute I laid eyes on you. It's the saddest thing about getting older. You know people so quickly. I even knew you'd end up hating me.
woman,"Well, you're wrong. I don't."
wills, Give it time.
charlotte,-- and for weeks I sat by her bed and cried. I told her I loved her and I begged her not to leave me. All I could think about was what I'd lose if she died. And then one night... she was in really bad pain... I stopped thinking about myself for a second and I thought about her.  I stopped crying. I said goodbye. And in less than an hour Ella was gone.
woman,It's so sad.
charlotte,I really think it's possible to hold a person back... cry them back... from dying. That's what I did to Ella and I'll never do it to anyone else again.  I hope no one ever does it to me.
woman,So what do you know about her?
wills,That she's just a kid.
charlotte,Shit.
charlotte,Dolly! The bulb burned out!
charlotte,Dolly?
raspy voice,My ass hurts.
all,SURPRISE!
charlotte,See? Surprises suck!
tanya,"Oh, Wills, please, not again. It's our third date and we're already in a rut."
wills,But I thought you loved it.
tanya,"Oh, I do -- except for the fact that there isn't a single thing on the menu I can eat."
wills," Sure, there is; there's just very little you're willing to digest."
tanya,"Fine then. We'll go, I'll get big, fat, and horrible, and it'll serve you right."
wills,"No, it won't. Because it takes at least a few weeks to get fat and by then you won't even be speaking to me."
tanya, Why do you say that?
wills,Because we have no future. All I can offer you is this... what we have right now... nothing more meaningful... until it ends.
wills,"I could have waited to tell you, but I wanted to leave no room for misunderstanding."
jesus,"Good evening, Mr. Keane. Will you be dining with us tonight?"
wills,"We certainly will. Table seven, Jesus, if it's available."
jesus,"Yes, sir."
wills,"How are you, Melissa?"
melissa," Fine, Mr. Keane."
wills,"Good evening, Celia. And how --"
celia," Just dandy, sir, thanks!"
jesus,Table seven.
celia,"This way, please."
wills,I'll be right with you.
wills,How's it going?
john, Chaos.
wills,The house specialty.
john,"Easy for you to say, ya prick. Waltzin' in here like you own the joint."
john,So who's the new potential ex-wife? I thought you were still wastin' time with Tanya-von-What's-her-name.
wills,We wisely agreed to cut our losses.
celia,"Look, I have no right to say this, okay? And you can fire me if you want, but in the six weeks we've been open you've brought in six different women -- tonight makes seven -- and it's really starting to get to me."
wills,In what way?
celia,I have to greet them! It's like working at a dog shelter! I'm afraid to learn their names or even smile at them because I know any minute they could be put down!
wills,I assure you it's an absolutely painless procedure.
celia,It is?
wills,Sure.  Especially for me.
wills,"Actually, I appreciate your concern, Celia. The truth is I'm a little worried myself."
celia,Seriously?
wills,Seriously. I've been trying to do better.  But... you know how it is... old habits die hard.
celia,So I'm not fired?
wills,"Nope. In fact, John's been looking for an assistant. Tell him you've just been promoted."
charlotte,You guys! Let me think!  Okay. Okay.
simon,"Watch carefully, everyone -- they ought to begin emerging any moment now."
charlotte,"Very funny! Actually, any moment now you're gonna turn straight and fall at my feet."
simon,"Oh, darling, you know I would if I could."
shannon,The only time he falls at your feet now is when he wants to borrow your Prada loafers.
woman's voice,Is that Wills Keane?
woman,It sure as hell is and he hasn't changed a bit!
wills,"I'm sorry, do I --"
woman,"You little fool, it's Dolores Talbot. Dolly!"
wills,"My God, it is."
dolly,"Yeah, I know, time's kicked my ass but good. Come on, Romeo, let's bury the hatchet. Give me a hug. Careful of the cocktail."
dolly,So what the hell're you doin' around here? Last I heard you were out in earthquake country blowin' the family fortune.
wills,"Actually, I doubled it."
dolly,Good for you!
shannon,"-- and you know how bouncer's get. He's like, ""That's the worst fake I.D. I've ever seen."" And I'm like, ""Yeah? Well, you have the worst dread- extensions!"" And then just when --"
simon,Are you feeling all right? You look positively green.
charlotte,He's here. And he's staring at me again.
shannon,No way!
charlotte,"Don't!  Wait a few seconds, then go to the bathroom."
simon,How will I know him?
charlotte,He's beautiful. And much older.
simon,Really?  If he's rich you might have a fight on your hands.
charlotte,"Okay, look."
shannon,He's as old as my dad!
dolly,"Sure, L.A.'s okay if you're a cactus or a lizard, but if you're a New Englander, your soul dries up and blows away like a god damn leaf."
wills,It only took me twenty years to come to my senses.
dolly,"So what're you doin' now? You owned some restaurants out there, didn't you?"
shannon,"And so, after all that, we pay our cover, we get in, and it's totally heinous! Nothing but losers and --"
charlotte,"Oh, shit."
shannon,What?
dolly,"Kids! I want you to meet an old chum of mine, the owner of this fine establishment -- Wills Keane!"
dolly,"And that over there's the birthday girl -- my granddaughter, Charlotte."
wills,Not Katie and Jay's daughter?
dolly,You bet. She got her height from her dad. But her talent's all Katie's.
dolly,"Made it herself from scratch. That one, too.  Honey, show 'im."
wills,Impressive.
charlotte,Thanks.
wills,I think we can do better than that.
wills,"Happy birthday, Charlotte."
charlotte,Thanks.
shannon, Twenty years old and never been...
charlotte, Shut up!
wills,I'll let you get back to your celebration.  A pleasure to see you again.
dolly,Same here.
simon,Leaving so soon?
simon,Be still my beating heart.  Or is that your heart?
shannon," You're not really into him, are you?"
charlotte,"Hey, Dolly, how do you know him?"
dolly, From Newport. Old friend of your mom's.
charlotte,"Okay, bitch, I'm ready!"
wills,For what?
charlotte,"Oh my God, I'm so sorry! Wait. Who is this?"
wills,Wills Keane.
wills,Who did you think it was?
charlotte,"My friend Simon, actually. He always calls me the morning after to sort of... you know... sum everything up."
wills,"And how would you sum it up, Charlotte? Turning twenty."
charlotte,"Kinda cool, kinda creepy. Anyway, you wanna speak to my grandmother?"
wills, I don't think so.
wills,I called because I'm going to be attending a benefit... a black-and- white ball.... and I'd like you to design a hat... for my date.
charlotte,Really? Wow. Sounds fun. Okay.
wills,"It's a gift. I don't have her measurements, but she's about your size. What're you, a six?"
charlotte,Uh-huh.
wills,Good -- then let's assume your hat size is also the same.
charlotte,But that doesn't necessarily --
wills,It's a risk we'll just have to take.
wills,"Her dress is a sheath... sleeveless, black. The hat must, of course, be black or white or both."
charlotte,Any particular style?
wills," No, just plenty of it. How long will it take?"
charlotte,A week or two.
wills,You have till Thursday. I'll need it here by seven o'clock. I'm at the Pembroke on Central Park West and 76th.
charlotte,Oh. Wow. Okay.
wills,What's your fee?
charlotte, I don't really have one. I usually just make them for friends.
wills,How's five hundred dollars?
charlotte,Really? Wow.
wills,Charlotte?
charlotte,Yeah?
wills,"You say ""wow"" a lot."
charlotte,I know.
wills,It has to stop. You're a woman now.
charlotte,I know.
wills,Bye.
charlotte,Bye.
olivia,"See, now you got me worried."
wills,What do you mean?
olivia,You slept alone last night. You must be sick or somethin'. You want me to call a doctor?
wills,"Thank you, no, I'm fine."
john,"Save it, pal! Don't even bother! I may not have gone to a fancy school like Bendover --"
wills, That would be Andover.
sarah,"Sure, if his folks could have afforded it."
john,"-- but when Wills Keane comps three bottles of Dom to a twenty-year-old girl, then tells me he did it 'cause he likes the kid's grandma, I smell a rat!"
sarah," Oh, is that what that is? I figured there was a dirty diaper somewhere."
wills," Okay, I admit it, she interests me."
john, He's gonna do it! I don't believe it! He moved us back here for nothing!
sarah,So much for that turned leaf.
wills," Come on, you're overreacting."
john,"Is that what you think? Buddy, since we hit town, I have done nothin' but cut you slack! Every week a new woman on your arm and I didn't say a word. Why? 'Cause I figured at least they're in the right demographic. Maybe by accident you'll trip over something substantial. But this little girl? Best she could be is Miss Right's daughter!"
wills, I know. It's just that there's something about her. She's special... and I just thought --
sarah,"""She's young. She's hot. I'm on the verge of menopause. Why not go for it?"""
wills,"There wouldn't be much point in lying to you, would there?"
kids' voices,"Mommy, Daddy, look, look!"
john,"Hey, they're bigger than you are!"
charlotte,Why don't you mark what isn't important? That way you'll save ink.
shannon,Why don't you sew your mouth to my butt? That way you'll stop annoying me.
dolly,"Now, now, if you two kids can't play nice --"
shannon,"God, I hate school."
charlotte,"Oh, come on, just last week, you said you were on a roll. You loved it!"
shannon,"Well, now I'm on the rag and I hate it."
charlotte,I think you're incredibly lucky. I'd love to be going to college.
shannon,Am I the most spoiled brat in the world or what?
charlotte,Spoiled brats don't even ask questions like that.  What do you think?
shannon,That you're the most beautiful person in the entire world.
driver,Mikey! How ya doin'?
doorman,"A bit early, aren't you?"
driver,"Hey, in this soup, better safe than sorry, you know what I mean?"
charlotte,KEANE!
michael,He's goin' to a fancy party tonight.
charlotte,"Oh, really?"
michael,"Watch your step, Miss."
charlotte,Thank you.
olivia,"He's waitin' for you, Miss Fieldin'."
wills,What happened?
charlotte,"I couldn't get a cab, so I took the subway... only it was an express and it didn't stop at --"
wills,"You realize, don't you, that you're a full eighteen minutes late?"
charlotte,I know... I'm so sorry... I --
wills,"Charlotte, relax. What's the point of being a beautiful young woman if it isn't to keep your admirers waiting? In fact, you disappoint me: I was looking forward to at least another half hour of suspense."
charlotte,I could leave and come back.
wills,"Nope, too late. Anyway, I want to see the hat."
wills,Try it on.
charlotte,I can't. I'm soaked.
wills,It's all right.
wills,It's perfect. It's like a tiny sculpture.
charlotte,I wanted it to be a tiny poem.
wills,If only I had some use for it.  My date canceled a few hours ago.
charlotte,Why?
wills,I don't know. She was vague. Would you... like to come in her place?
charlotte,Like this?
wills,The outfit I bought her is hanging in the guest room closet.
charlotte, It's okay? Are you sure?
wills, Of course.
wills,Nonsense. You're very good. Where did you learn?
charlotte,From Ella. The woman whose memorial you crashed.
wills,So you did see me there.
charlotte,"Uh-huh. And the next time I saw you, you were on the cover of New York magazine. And I had to pick a place for my birthday. So..."
lisa,The C-list?
lisa,Why do you say that?
charlotte,"I met Ella in the fourth grade. She was my teacher at the Little Red School House. We stayed friends after she retired. She taught me how to cook and sew... speak Italian... basically enjoy life, have fun -- that's what she was best at... even when she knew she was dying.  The most important thing she did was introduce me to poetry. She believed it was the highest form of art and that everything we say and do should aspire to it."
wills,"It sounds as though, in a way, she took your mom's place..."
charlotte,"My mom and my dad's. After they died, Dolly was so devastated she pretty much gave up on everything. It was like if something that tragic could happen, there was no way she was ever gonna care about anyone else ever again. Including herself. She wasn't a horrible parent... she didn't abuse me or anything... she just ignored me. She was more like a weird landlady than a grandmother."
wills,I'm sure she did the best she could.
charlotte,"For a long time I kinda thought that, too, and I made excuses for her, but now I don't. I was seven years old and I needed her and she wasn't there."
wills,"I remember when I heard the news about your parents. You know how after a crash they print a long list of names in the newspaper? Well, I grew up outside Boston, so I naturally started to scan the list. But casually, not expecting to --"
charlotte,"Oh, no, come on! I love this stuff! Don't you? Didn't you grow up on it?"
wills,How old do you think I am?
charlotte,Ancient!
wills,I have no idea what to do!
charlotte,Have fun!
lisa,I had to come. I work at the Met. What's your excuse?
charlotte,Sort of a date.
lisa,"With Wills Keane, right?"
charlotte,You know him?
lisa,Just by reputation.
charlotte,"A major womanizer, right?"
lisa,That's what they say.  I'm Lisa.
charlotte,Charlotte Fielding.
lisa,"Anyway, I should keep mingling. But it was nice to meet you."
charlotte,Same here.
wills,Who was that?
charlotte,Lisa something.
wills, Here's to --
charlotte,Us.
charlotte,"God, you talk like you're a hundred and sixteen!"
wills,That's usually how I feel. But not tonight. Tonight I feel sixteen... just sixteen... and three-quarters.
wills,Champagne?
charlotte,He asked nonchalantly.
wills,"You see, Charlotte, the way you know you're getting older is that you start to notice patterns. People start falling into types. Pretty soon you know a person before you've even been introduced. And if it's a woman, before the romance even starts, a whisper in your head tells you exactly what it is and how long it's going to last. And the saddest, the most tedious, part of all is that that little voice is almost always right.  Now, what I like about you -- and I think that's actually what inspired this little lecture -- is that I find you completely unprecedented... and, therefore, wholly unpredictable."
charlotte,"God, it must be a relief."
wills, What?
charlotte,To finally deliver that speech to a woman and actually have it apply to her.
wills,Now wait a minute.
charlotte,"No, because coincidentally I am all those things you just said. And more."
charlotte,"I'm a ""unique"". At least that's what my yoga teacher says. He says there are very few uniques in the world and I'm one of them."
wills,"Well, he's a wise man."
charlotte,"You, on the other hand, are what he'd call a ""typical."""
wills,"Oh, really?"
charlotte,Uh-huh. And I can prove it. Want me to? Come here.
charlotte,Closer.
charlotte,"No, come on, really close."
charlotte,Perfect. Now watch very carefully.
charlotte,"See? You're a typical.  Lucky for you, I'm a unique."
charlotte,"Boy, do you look guilty."
charlotte,Didn't anyone ever teach you that it's bad manners to stare at a girl when she's eating like a pig?
wills,Listen --
charlotte,Uh-oh. Here it comes.
wills,"That's right, because, look, I could put this off, but I genuinely like you. So I want to be clear... right now... from the start, so there's no chance for misunderstanding later."
charlotte,Okay.
wills,What I want to say you is.... well... that all I can offer you is this... what we have right now... nothing more substantial... just this... until it ends.
wills,"The truth is, we have no future together."
charlotte,I know. I'm dying.
wills,What... what do you mean?
charlotte,What I said. Nobody thought I'd even last this long.
charlotte,"I could have put off telling you, but I genuinely like you, so I wanted to be clear... you know, right from the start."
charlotte,"Thanks, Olivia!"
sibley,Mr. Keane? Dr. Sibley.
wills,Thank you so much for taking the time.
sibley,"It's my job, sir. Please, sit down."
sibley,"Now, Mr. Keane, on the phone you referred to Charlotte's condition as cancer. That isn't strictly accurate. Neuroblastoma is a soft tissue malignancy, but it isn't cancer -- although it sometimes can be just as aggressive.  It's most common in children. In young adults, the condition is extremely rare. In Charlotte's case, the tumor is located in her chest. It's growing rapidly and has proved resistant to both irradiation and chemotherapy. And because of its proximity to her aorta, surgery is out of the question."
wills,So then what treatment is she getting?
sibley,At present? Nothing.
sibley,"Eventually she'll be treated for pain. In the end, surgery could become an option, but her chances of survival would be slim. Right now Charlotte's against it. She's signed a directive forbidding any sort of heroic intervention."
sibley,"There's more here if you're interested, but it won't mean much to you."
wills,How long?
sibley,Optimistically? A year.
charlotte,"A real charmer, isn't he?"
charlotte,How are you on Cambodian money units?
charlotte,"Are you okay, old man? You look kinda woozy.  Is there a doctor in the house?"
charlotte,Hey.
charlotte,"Look on the bright side: if I weren't sick, there's no way we could hang out together.  I'm serious. You'd be scared of hurting me and I'd be scared you were just using me for my perfect young body."
charlotte,"And then our friends would say we were just into each other for weird psychological reasons. You know, because I'm looking for a daddy substitute and you're looking for someone you can feel superior to so you won't have to confront how scared you are of real intimacy -- and, of course, they'd be right and eventually we'd break up.  But since I'm so sick it doesn't really matter what deep-seated weirdness has brought us together because there's no way we can possibly screw each other over... or up... because that takes time. And I don't have much left."
charlotte,"So considering everything, don't you think we should just sort of chill out, forget I'm sick, and enjoy what we have... right now... no strings... just this... until it ends? 'Cause that's really all I have to offer."
charlotte,"Think about it, okay? But not too hard."
charlotte,Last night was so incredibly hot.  By the way -- it was my first time. And I picked you for the job. I hope you're flattered.
driver,"Okay, pal, where to?"
shannon,I don't believe it! I don't believe it!
simon,"I think what Miss Harris is trying to say, is that you've strained her credulity."
charlotte,Really? Better put some ice on that.
shannon,"Girlfriend, you are so incredibly cool!"
simon,So I've been told.
shannon,"Okay, now tell us everything! Don't leave anything out!"
john's voice,"Okay, then what happened?"
wills,Not much. I took her home and she pointed out an irony -- that fate was now offering us the very same thing that just this morning I'd told her was all I could offer her: a relationship with no future.
john, A kid figured that out?
wills,She's not a kid! That's what I've been trying to tell you. Nothing's lost on her. I'm the kid. She... I don't know what the hell she is...  But I do know what she was.
wills,A virgin.
john,What?
wills,"I had no idea. That's the only reason she had her party here, so she could lure me into doing the honors."
john," She used you, pal."
wills,I know.
john,The hangman got hanged. How's it feel?
wills,Embarrassing.
john,So what now?
wills,I end it.
john,How come?
wills,"What, you're endorsing this now?"
john,"I don't know, when you talk about her, you're not such an arrogant son of a bitch. You get all whiny and stupid. I like that."
wills,Thanks.
john,"And since I don't see you gettin' serious with any of your other victims, I figure why not spend a little time together?"
wills,Because she's dying.
john,"I got bad news for you, brother, so are you."
dolly,"Well, well."
dolly,"She'll be right down. She's upstairs, gildin' the lily.  Do come in."
dolly,Excuse the mess. My maid died fourteen years ago and it's been simply impossible to replace her. She did windows and spoke English.
wills,For you.
dolly,"Well, aren't they loverly."
dolly,Care for a cocktail?
wills,"No, thanks."
simon,"It really is uncanny. I tell you, in that dress you're the spitting image of Michel Simon."
charlotte, Who's she?
simon,"A French character actor, long dead, who was not only hideous and fat, but quite male."
charlotte,"So that would be a ""no."""
dolly,"What can I say? Time's a thief. One day you're rich as an Arab, the next you're lucky if you can afford a god damn can of pistachio nuts."
dolly,"How about that, huh? That was the summer you two --"
wills,I know.
dolly,"Who'd have guessed what time had in store for her, huh? Look at that smile."
dolly,"Then again, time loves some people. Like you, for instance. Oh, time's just wild about you."
dolly,Just as handsome and charming as ever. And still up to the same old tricks.
wills,What do you mean?
dolly,"First time you came to pick up Katie, you brought me flowers. Just like those.  Flower the mother; then deflower the daughter. But Katie was too smart for you..."
wills,"Dolly, look --"
dolly," Aw, why the hell don't you leave her alone? Christ, she's sick!"
charlotte,What? What's wrong?
dolly,You look like your mom is all.
wills,"What do you mean, you knew?"
charlotte,I did! I just didn't think it would take so long!
wills,Two days is long?
charlotte,It is when you're sitting by the phone. You wanna know how I knew?
wills,You're psychic?
charlotte,"I am, but no -- it's because of my birthday wish."
wills,But we hadn't even been introduced yet.
charlotte,"I know, but I wished that whatever happened... you know, with my illness... I'd go out with a bang. Nothing heavy. No violins. No melodrama. Just fun. A total adventure!"
wills,CAREFUL!
charlotte,"Wow, it's getting exciting already."
charlotte,"""Lord, I do fear Thou'st made the world too beautiful this year! My soul is all but out of me, -- let fall No burning leaf; prithee, let no bird call!"""
wills,We could go to a museum.
charlotte,"No, that would be a thing! I don't want to do any thing today. I want to do no thing all day."
wills,Nothing at all?
charlotte,Uh-huh. No thing at all.
wills,So a movie is out.
charlotte,Way out!
wills,Ice cream at the Plaza? High tea at the Palace?
charlotte,Both out.
wills,What about shopping?
charlotte,Possible.
wills,It's not a thing?
charlotte,Only when I have money.
wills,But all I gave you was champagne. That's not a proper birthday present.
charlotte,"I agree, and I promise I'll let you give me something else, but not today."
wills,When?
charlotte,"Soon. But I'm warning you, it's not going to be anything material."
wills,"Why not?  Oh, I see... because you're sick. Because --"
charlotte,"That's right, but we're not gonna talk about that."
wills,How come?
charlotte,Because it's my rule.
wills,Any particular reason?
charlotte,"Yeah, because everybody always wants to talk about miracles, or about some genius quack-doctor, or their friend's friend who went into remission eating nothing but sunflower seeds. It's boring and pointless."
wills,"Are you sure? I mean, there are specialists who --"
charlotte,"Don't start, okay?  Now what I would enjoy is taking you shopping. For clothes. I'm serious. It's quality not quantity, you know."
charlotte,"At work you should look perfect, but in everyday life you need to delight in disorder more. Don't you know? ""A sweet disorder in the dress kindles in clothes a wantonness."""
wills,I think that goes without saying.
charlotte,It was true when that poem was written three hundred years ago and it's true today. Wouldn't it be fun to look wanton occasionally?
wills,It's been a lifelong dream of mine. But will a scarf do it?
charlotte,Totally. Accessories rule. But we have to be careful. I don't want you looking too young. Nothing's worse than an old guy trying to look young.
wills,Good advice. I'll remember that for when I get old.
charlotte,You know what I meant.
wills,That I'm old.
charlotte,Uh-huh.
charlotte,Perfectly imperfect!
wills,"I don't know why, but for some odd reason, I feel absolutely compelled to tell you the truth about this... even at the risk of --"
charlotte,"Hey, you're giving me the creeps. Just spit it out."
wills,I never had a date for the benefit. My plan from the beginning was for you to come with me.
charlotte,"So I made the hat for myself?  Why? I mean, why me?"
wills,"The eulogy you gave at Ella's service was so... impressive. You spoke about her death... about loss... in a way that I could never have done. You understood life emotionally in a way that I didn't. Whatever that understanding was, I wanted to get close to it."
charlotte,And sex seemed like the best way to do it.
wills,"And the most enjoyable, yeah."
charlotte,"Well, first of all, let me say, you have great taste because that little Dolce & Gabbana was to die for."
wills,Thanks.
charlotte,"And, second, don't ever lie to me again."
wills,All right.
charlotte,Seriously. There isn't a lie in the whole world I'd rather hear than the truth.
charlotte,I thought I told you to wait right there!
wills,I got restless.
charlotte,"Well, I hope you didn't talk to anybody!"
wills,Not a soul.
charlotte,You know what would scare me right now?
wills,What?
charlotte,This.
charlotte,Have I told you my latest motto?
wills,No.
charlotte,"If it's scary, do it."
wills,I'm not sure I like that motto.
charlotte,I'm not sure that matters.
charlotte,Oh my God.
wills,What?
charlotte,"You're scared, too."
charlotte,Your turn.
charlotte,"What's the matter, old man? Can't afford a gym?"
wills,That's it!
charlotte,"""Counting the beats, Counting the slow heart beats, The bleeding to death of time In slow heart beats, Wakeful they lie."""
wills,So many words in that wonderful head of yours...
charlotte,"If I could give you anything in the whole world, that's what it would be."
wills,Words?
charlotte,Poetry.
john,"Oh no, your boy made it! At ten minutes before close! All night I got a card announcing a halibut special, only I got no halibut! Now it's Sunday and I got three dozen cats lickin' their chops in the alley! Tony, I don't wanna hear it! I don't wanna hear it! I don't wanna -- MAN, GO TO HELL!"
wills,"Are you familiar with the phrase, ""You can catch more flies with honey than with vinegar?"""
john,"Are you familiar with the phrase, ""Mind your own god damn business?"""
wills,"Sure, it's from Poor Richard's Almanac. But the last time I checked --"
john,"No, your business is to smile, make friends, and get rich! My business is the business."
john,"What're you doin' here, anyway? You got a girl. Go home. Carve a pumpkin."
wills,We can't spend every waking moment together.
john,"Why not?  No, seriously. Why not?"
celia,Special delivery!
wills,No trouble?
celia,None.
john,Every year. You got no imagination.
wills,It's a classic. A little spirit gum and voila!
wills,-- young women are rendered helpless.
celia,It's true. I see a guy with horns growing out of his head and my knees go weak.
wills,Of course -- it's biological.
john,What's goin' on?
wills,What do you mean?
john,At home.
wills,Nothing. Honestly. We're having a lot of fun. We're very happy.
charlotte's voice,Don't come in! Don't!
wills,I'm not even tempted!
charlotte's voice, I'll be right out!
olivia,You like hot cider?
wills,"Sure, thanks."
wills,Mmmm.
olivia,Charlotte made it. I just poured it in the cup.
charlotte,Ta-da!
wills,Incredible.
charlotte,Don't I look just like her?
wills,Absolutely incredible.
charlotte,You have no idea who I am.
wills,Give me a hint.
charlotte,"""Hope is the thing with feathers that perches in the soul."""
wills,Was that the hint?
charlotte,You dummy! Emily Dickinson! Only the greatest American female poet ever!
charlotte,Uncultured swine.
wills,The truth is out. I've lost you forever.
charlotte,Wanna bet?
charlotte,When do I get to see your costume?
jesus,"No, I think we make a great couple. A good witch and a bad hombre. That could make for some very interesting sex."
john,"O, Ricky, chill out! You're gonna get snot in the water!"
john,That's it -- outta the pool!
sarah,Where're the girls? I thought you were tucking them in!
john,We got a volunteer!
woman,Guess who?
wills,Wonder Woman?
woman,No.
wills,Batgirl?
woman,I'll give you a hint. You dumped me.
wills,Princess Di?
wills,Wendy?
wills,"Yup, I'd know that throttle anywhere!"
molly,Just one more.
carla,Please?
charlotte,"All right, but this is the last last one!"
charlotte,"""Because I could not stop for Death, He kindly stopped for me; The carriage held but just ourselves And Immortality. We slowly drove, he knew no haste, And I had put away My labor, and my leisure too, For his civility."""
charlotte,"""We passed the school where children played At wrestling in a ring; We passed the fields of grazing grain, We passed the setting sun."""
celia,Sweet dreams?
charlotte,I had no idea I was so tired.
sarah, They're down?
charlotte,And out.  Where's Lucifer?
jesus," Last time I saw him, he was in the kitchen going pretty heavily with Holly Golightly."
celia,"Hey, no gossip! Holly's a valued customer."
charlotte,Lemme at 'er!
jesus,Hell hath no fury like a recluse scorned.
charlotte,"Hey, shouldn't one of your minions be doing that?"
john,"You know, in my day, you bobbed for the apple, and, sure, maybe there was a nickel inside it and that was sweet -- but you ate the god damn apple! These little animals grab the coin and they're out the door!"
charlotte,-- off to buy crack!
john,Exactly my point.
charlotte,Seen Beelzebub around?
john,The Prince of Darkness?
charlotte,Uh-huh.
john,"Yeah, he went upstairs."
charlotte,Shit.
charlotte,You lost your horns.
wills,"Hey, looking for me?"
charlotte,Uh-huh.
wills,We were checking out the roof. John's got quite a set-up.
wills,"Wendy, this is Charlotte Fielding. Charlotte -- my friend Wendy Lister."
wendy,"Actually, I saw you at that memorial service in Connecticut. Your eulogy was beautiful."
charlotte,Thank you.
wendy," Betsy Ross, right?"
charlotte,You guessed it.
wills,Is the party over?
wills,I have a strange feeling that you're upset with me.
charlotte,"No, I was just wondering if you had sex with that woman."
wills,Ever?
charlotte,"No, the answer to that's pretty obvious. I meant tonight. On the roof."
wills,You're not serious.
wills,Of course not. Why would I want to do something like that?
charlotte,"That's what I was wondering. I thought, ""We're so happy he'd have no reason to do it. And if he did do it, he'd at least look guilty, wouldn't he? But he doesn't. He looks more relaxed than before the party started."""
wills,"Well, there you have it."
charlotte,"But then I thought, ""He's a womanizer -- that's what they say."" Funny word, huh? Sounds like some sorta machine. ""And how do you get to be a womanizer? Obviously by sleeping with lots of different women for no good reason and being really good at lying about it."""
wills,"Sure, except that --"
charlotte,Let me finish.
charlotte,"Anyway, there's something about being sick right here --"
charlotte,"-- that has made me acutely aware of my heart. Nothing corny -- I mean, literally... I feel every beat. I know how sensitive it is. It reacts to everything."
charlotte,"If you're lying to me, I'll know it.  Did you have sex with Wendy on the roof?"
charlotte,My God... oh my God.
wills,"Look, I never pretended to be anything other than --"
charlotte, You hate yourself so much!
wills,"This was all a mistake. Right from the start. All of it. I'm a grown man and you're a child.  Anyway, you have better things to do with your last -- With your time than spend it with me."
charlotte, What about you? Do you have anything better?
charlotte,"You know, maybe you're right. Maybe this is the best time to end it. Because I was actually starting to love you, Wills, and that's the last thing I ever wanted."
dolly,"Well, if it ain't the Belle of Amherst."
dolly,Seen that face before.
charlotte,You have?
dolly,And for the same god damn reason.
charlotte,But you said Wills and my Mom were just friends.
dolly,"Sure, but she was nuts about him. The only reason she didn't sleep with him is 'cause she was sentimental. And smart. She wanted a ring first."
charlotte,Why didn't he give her one?
dolly,'Cause he knocked up little Millie Tyler instead. In Newport. At Bailey's Beach. During the Labor Day clam bake.
dolly,Millie was your mom's best friend from Nightingale. You had to hand it to him. He sure knew how to make a point.
charlotte,Why did he do that?
dolly,"Aw, who the hell knows? 'Cause the moon was full. 'Cause life's short. 'Cause he's Wills Keane. I'll tell you a little secret -- after that, your Mom hated his guts, but your dad never made her smile like he did.  'Course your dad never made her cry like that either."
charlotte, Why didn't you tell me any of this before?
dolly,"Oh, I dunno..."
charlotte,You never talk to me! You never try to help me!
dolly,"Christ, look at me. I'm gonna tell you what to do?"
charlotte,Yes! You're my family. You're supposed to take care of me.
dolly,"Aw, you wouldn't listen. That's the thing about people -- they just do what they want from the day they're born till the day they die."
charlotte,"No, that's you, Dolly! People who have given up don't listen to other people! People who want to die close off! That's not me! I wanted your help! I wanted to learn!"
charlotte,"Anything... anything you would ever have told me, I would have listened to! I promise."
dolly," Aw, come on, honey. I can throw a party and I can mix a gimlet. After that, what the fuck do I know?"
patty,"Oh, Wills, it's beautiful!"
wills,Thank you. It was designed by a team from --
patty,So functional! Is that stainless steel?
wills,"Actually, no, it's velvet."
patty,"Oh, my God, it is!"
wills,How are you?
melissa,"How are you, sir?"
patty,"Well, if the food's even half as good as the moldings I'm in for a very special treat."
jesus,"Uhhh, good evening, Mr. Keane. Will you be dining with us?"
wills,"Yes, Jesus. Table seven, if it's available."
jesus,"Certainly, sir."
wills,"Hello, Celia."
celia," How are you this evening, sir?"
wills,I've been worse.
celia, Are you sure?
jesus,Table Seven.
new hostess,"This way, please."
wills, Order a drink. I'll be right with you.
john,Where the hell you been?
wills,"Splendid, how are you?"
john,Where's Charlotte?
wills,Deliveries on time?
