Speaker,Dialogue
perky newscaster,"The Bengal tiger, extinct for over a century, is making a comeback. These cloned tiger cubs at the Beijing Zoo are..."
jake,I hope you realize you've just lost a customer!
jake, Candy ass bitch.
jake,If it ain't rainin' we ain't trainin'!
agent 1,Are you Jake Sully?
jake,Step off.    You're ruinin' my good mood.
agent 2,It's about your brother. CUT TO:
jake,"Jesus, Tommy."
agent 1,Your brother represented a significant investment. We'd like to talk to you about taking over his contract.
jake, Are we there?
med tech,"We're there, Sunshine."
med tech,"People, you have been in cryo for five years, nine months and twenty two days. You will be hungry, you will be weak. If you feel nausea, please use the sacks provided for your convenience. The staff thanks you in advance."
crew chief,Exopacks on!
crew chief,"Remember people, you lose your mask you're unconscious in 20 seconds and you're dead in four minutes. Let's nobody be dead today, it looks bad on my report."
crew chief,"Exopack on, let's go!"
crew chief,Go directly into the base! Do not stop! Go straight inside!
wainfleet,Look at all that new meat.
fike,"Check it out, man.    Meals on wheels."
wainfleet,That is just wrong.
jake,What're you two limpdicks starin' at?
wainfleet,Seen a lotta guys leave this place in a wheelchair. Never seen anybody show up in one.
quaritch,"... You are on Pandora, ladies and gentlemen. Respect that fact every second of every day."
quaritch,"Out beyond that fence every living thing that crawls, flies or squats in the mud wants to kill you and eat your eyes for jujubees."
quaritch,We have an indigenous population of humanoids here called the Na'vi. They're fond of arrows dipped in a neurotoxin which can stop your heart in one minute. We operate -- we live -- at a constant threat condition yellow.
quaritch,"As head of security, it's my job to keep you alive.    I will not succeed --  -- not with all of you. If you wish to survive, you need a strong mental attitude, you need to follow procedure..."
norm,"Hey, you're Jake right? Tom's brother? You look just like him.  Sorry, I'm Norm Spellman, I went through avatar training with him."
norm,He was a great guy -- funny.     It was a big shock to all of us.
jake,Yeah.
norm,"And duh! -- obviously you look like him. I mean, if you weren't genetically identical, you wouldn't be taking over his avatar."
jake,That's why I'm here.
norm,So -- you want to go check it out? CUT TO:
max,Me and Norm were out here to drive these remotely controlled bodies called avatars. They're grown from human DNA mixed with DNA from the natives here.
jake,Damn.   They got big.
norm,"Yeah, they mature on the trip out.  So the proprioceptive sims worked pretty well."
max,"Yeah, they've got great muscle tone. Give us a few hours, you guys can take them for a spin."
jake,It looks like him.
norm,"No, it looks like you.   This is your avatar now, Jake."
jake,"-- so their nervous systems are in tune. Or something. Which is why they offered me this gig, because I can link with Tommy's avatar, which was insanely expensive.  Is this right? I just say whatever in these videologs?"
norm,"Yeah. You just need to get in the habit of documenting everything -- what you see, what you feel -- it's all part of the science. Good science starts with good observation."
jake,Right.  Never been in a lab before.
max,Log off. It's time to meet your boss for the next five years.
norm,"Grace Augustine is a legend. She's the head of the Avatar Program, and she wrote the book -- I mean literally wrote the book -- on Pandoran botany."
max, That's because she likes plants better than people.
grace, Who's got my goddamn cigarette?!
max,"And here she is, Cinderella back from the ball. Grace, I'd like you to meet Norm Spellman and Ja --"
grace,Norm. I hear good things about you. How's your Na'vi?
norm, May the All Mother smile upon our first meeting.
grace, Not bad. You sound a little formal.
norm, There is still much to learn.
max,"Uh, Grace, this is Jake S----"
grace, You know -- the PhD who trained three years for this mission.
jake,He's dead. I know it's a big inconvenience to everyone.
grace,How much lab training have you had?   Ever run a gas chromatograph?
jake,No.
grace,Any actual lab work at all?
jake,High school chemistry.   But I ditched.
grace,You see? You see? They're pissing on us without even the courtesy of calling it rain.  I'm going to Selfridge.
max,"Grace, that's not a good idea."
