Speaker,Dialogue
hassan, Good morning Abdullah... I brought you this...
hassan, It's almost new.
abdullah,How much do you want for everything?
hassan,One thousand dirhams.
abdullah,One thousand dirhams? I'll give you one thousand and a goat.
hassan,"With this rifle, your sons will be able to kill plenty of jackals."
abdullah,Let Yussef shoot.
ahmed,I want to shoot first.
hassan,"Look, load it like this."
abdullah,Your turn.
yasira,Your lunch.
abdullah,You better kill at least three jackals.
hassan,"And make sure no one sees you with the rifle, hide it if you see someone approach you."
ahmed,"Yussef, Yussef..."
ahmed,What are you doing?
yussef,What the hell do you care?
ahmed,"Come on, let's go."
ahmed,Five to two.
yussef,There's a jackal over there.
yussef,Zora doesn't mind.
ahmed,"She doesn't, but I do."
yussef,This is between her and me.
ahmed,You're both pigs. Next time I'm going to tell my dad.
yussef,Stay out of this.
ahmed,"If you want me to stay out of it, don't do it."
yussef,What are you doing?
ahmed,"Hassan said that it could hit things three kilometers away, but it can't even reach that rock over there."
yussef,That's because you don't know how to shoot. Give me the rifle.
ahmed,"See, it can't reach it."
yussef,Give me another bullet.
ahmed,"Yeah, but that's not three kilometers."
yussef,You're not aiming right.
ahmed,I'll shoot.
yussef,Let me shoot.
ahmed,I told you.    Hassan's a liar.
amelia, I won...
mike,"No, I won."
amelia," Yes... yes sir... yes sir, Mrs. Rachel told me...I'm very sorry. How is Mrs. Susan?... No sir, don't worry..."
mike,"Hi dad... dad, guess what? Today, at school, they brought some baby chickens...I held one in my hand. He was really little and he was all warm...  Dad, are you ok?...And Mariana wanted to take one home, but the teacher didn't let her..."
amelia, Did you brush your teeth?
mike,Will you tell us a story?
amelia,One and then you're going to sleep.
mike,Pajaritos?     Little birds?
amelia,"Of course, that's what hawks eat. So, one day the hawk flew so, so high that it crashed into an airplane. It fainted and started to fall. And when it was about to hit the ground, all the birds flew toward him and saved him."
debbie,They saved him?
amelia,"Yes, and when the hawk was healthy again he went to talk to the birds and said: I want to thank you for saving me, but I can't change and I'm going to keep hunting you. The little birds answered: we don't care that you hunt us, because that's who you are. But we will always save you, because that's who we are."
debbie,No.
amelia,Quedamos en que se iban a dormir con la luz apagada.
debbie,But I'm scared.
amelia,No pasa nada.
debbie,I'm scared that what happened to Pat is gonna happen to me.
amelia,A ti no te va a pasar eso...
debbie,Pat died while she was sleeping.
amelia,That only happens to some babies when they're really little.
mike,Then why did daddy get so angry at mommy?
amelia,"He wasn't angry, he was just very sad."
debbie,He left.
amelia,"Go to sleep. I'll sit here with you, but you can't talk anymore."
amelia,Yes...
amelia,Your sister-in-law promised me to find someone.
amelia,It's because... I told Mrs. Jones three months ago that today is my son's wedding.
amelia,"Sir, everything is ready. Can't anyone come take care of the kids? It's just one day."
amelia, Do you want another quesadilla?
debbie,Mhh.
mike,How many little birds did the hawk eat?
amelia," None, because he started to like quesadillas."
debbie,Is the bus here?
amelia," Yes, but today you're not going to school."
debbie,Why?
amelia,We have things to do.
amelia, I just want you to take of them for today.
amelia,And she won't go out?
amelia,"Ok, thanks.    I'll call you tomorrow."
lucia, I can't Amelia.
amelia,"Please, it's my son's wedding. I helped you out with that thing with your boyfriend."
lucia,I really can't.
amelia,"Just for the day, Lucia.   I'll be back for them tonight."
lucia,And what do I tell Mrs. Black?
amelia,Tell her they're your nephews.
lucia,"Yeah right, they look just like me...with this gringa look I have."
mike,Are we going to see your house?
amelia,"Yes, you're going to see my house."
mike,Is it far?
amelia, Not very.
santiago, Good morning Aunt Amelia.
amelia,Good morning.
santiago,Are they coming?
amelia,I couldn't find anyone to leave them with. Their parents aren't coming back today.
santiago,"Why bring them, they're just going to make trouble."
amelia,They're good kids.
santiago,I know a woman who can take care of them.
amelia,"Santiago, I have to take them. I can't leave them with just anybody."
santiago,What if you lose your job?
amelia,"Come on, don't tempt the fates."
anwar, The Berbers built these kasbahs. They made them like forts and here they would reside after finishing their caravans.
richard,"This place is beautiful, don't you think?"
susan," Yeah, yeah it's very pretty..."
anwar,"Now, I'd like to show you the materials that were used to build the walls..."
waiter, You want to order?
richard,"I'll have a chicken cous-cous and a Coke, please."
susan,What do you have that doesn't have fat in it?
waiter,Everything is delicious.
susan,I'll have the fried eggplant and a diet Coke.
waiter,We don't have diet Coke.
susan,Then a regular Coke.
richard,"Look, look: a hawk."
susan,"Richard, why did we come here?"
richard,What d'you mean why? I thought you would like it.
susan,Really: why are we here?
richard,"To forget everything, to be alone."
susan,Alone?
richard,The Coke is warm.
susan,"Yeah, but you don't know what kind of water is in there."
richard,Why can't you ever relax.    You're always stressed.
susan,You're the one stressing me out. You're why I can't relax.
richard,You could if you tried.
susan,Tried? Don't you think I tried?
richard,"You're never going to forgive me, are you?"
susan,Do you even know what I'm talking about?
richard,"Susan, please; we didn't come all this way just to argue."
susan,"Oh, we didn't? Then when are we supposed to ""argue""? Or are you planning on running away again?"
boys,Stilo...stilo...
susan,I don't have any money... I don't have any...
richard,Here.
susan,What are you doing?
richard,"Susan, what's wrong?"
chieko, The ball was out.
referee," No, it was good."
teammate,Let it go.
chieko,That was out.
referee,It was on the line.
chieko,"You're not just deaf, you're blind."
referee,You're out.
chieko,You're an asshole.
teammate 1,You shouldn't have lost your temper. We lost the game.
chieko,"It wasn't my fault, it was the ref."
teammate 2,"If you hadn't been thrown out, we would've won the game."
teammate 1,Why are you in a bad mood?
teammate 2,She's always in a bad mood because nobody's fucked her yet.
chieko,I'm gonna fuck your dad to get rid of my mood.
yasujiro,What do you want to eat?
chieko,I said I'd meet my friends from the team at Eve's.
yasujiro,Weren't we going to have lunch together?
chieko,"Dad, I told you I was going to eat with them, but you never pay attention to me."
yasujiro,Why do you want to fight?
yasujiro, Don't forget you have the dentist at four.
hostess,Do you have a table?
chieko,Why all the way in the corner?
mitsu,Because of the view.
young man,Hello.
chieko,Tell him I couldn't read his lips.
mitsu, What's the matter?
chieko, They look at us like we're monsters.
mitsu,"Oh, come off it."
chieko,Now they're going to meet the real hairy monster.
chieko,I'll see you later at my place.
