Speaker,Dialogue
older kid,You're doing it wrong.
younger kid,Shut up.
older kid,You're doing it wrong.
stephen,It doesn't go like that.
brian,Who asked you?
stephen,If you do it like that it'll open in the fire. Then you'll get burned and DIE.
dennis,Who's going to die?
stephen,"Brian. He's not doing it right, dad. He never does it right."
dennis," Well, let's have a look."
dennis,Your brother's right. If you don't fasten these correctly they could open and you'd get burned.
stephen,And DIE!
brian,"You wouldn't let me die, would you, Dad?"
dennis,"McCaffreys are smarter than fire, Brian.  How 'bout lunch, huh?"
stephen,Fireman shit?
dennis,"Hey, what's with the mouth? Where'd you grow up, a barn?"
stephen,Firehouse.
dennis,Cute.
dennis, Never fails...
dennis,Big deal?
axe,Medium deal.
dennis,"Want to come along, Brian? Watch the old man earn his keep?"
stephen, Dad!
dennis,"You've come along a dozen times, Stephen, give your brother a chance. We'll be back in a few minutes.  How 'bout it, sport?"
brian,Sure!
dennis,"Hit the button, Brian."
dennis,"Stay near the truck.  And keep an eye out for us, huh? We're short handed today."
engineer,"Don't stray too far, little man."
brian,Dad...
axe,Get us some backup! We need some goddamn backup!
chief fitzgerald,Is this a joke?
brian,"If it was a joke, sir, you'd be laughing."
chief fitzgerald,You walked out on this academy six years ago. One week to graduation. You think we forgot that? You think I did?
brian,"I want another shot, Sir."
chief fitzgerald," Look, everybody remembers your old man. Being his son, all you had to do was breathe to graduate here. Dead Hero Father Rule. But you blew us off. Why should I take you back?"
brian,"If you remember, sir, my test scores were in the top --"
chief fitzgerald,"-- I don't give a damn what your test scores were, maybe you could have been a good firemen, but you had your shot."
brian,"I need another one, sir."
chief fitzgerald,"Sorry, but it's out of my hands. Try again next year."
brian,"No, it isn't out of your hands or you wouldn't even have met me. If I push you have to let me back in. Dead Hero Father Rule. Sir."
chief fitzgerald," Even if you graduate this academy, you've still got nine months of probation. That's hard duty, son. If you don't really love this job, it'll kill you."
brian, See you Monday. Sir.
chief fitzgerald," Ladies and gentlemen, it is with pleasure that I certify that Candidate Class number 322, having successfully completed all academy requirements, are hereby graduated to the Chicago Fire Department."
brian,Completely out of control.
tim,What the hell are we waiting for?
candidate,"Hot off the presses, guys. Station assignments."
brian,"A beer, Willy!"
willy,"Well, if it isn't the littlest McCaffrey.  Sorry, there must be something wrong with my eyes. I keep thinking that's a fire department uniform."
brian,"It's in my blood, Willy."
willy,"Really. Well, let's have a look at what else was ""in your blood"". I always look forward to getting these, they make such a nice collage for the bar... ""Assistant Director, Sales, Aspen Snowmobile Tours..."""
brian,Didn't offer the kinda growth and challenge I need.
willy,"Uh huh. And ""Pioneer's Pride, Mobile Log Cabins"". That was in your blood about six months wasn't it?"
brian,Management were pin heads.
willy,"""Laguna Jamming, Custom Surfboards""?"
brian,Coffee sucked.
willy,"And just this year, ""Brian's Sound Spectrum"". Your own company even. Big step."
brian,I was ahead of my time.
willy,"You know, I've got a perfect little spot here for ""Brian McCaffrey, Fireman""..."
tim,Aren't you even curious?
brian,"Engine 115, right?"
tim, How'd you know? These are supposed to be sealed.
brian,Lucky guess.  And a case of scotch to a captain in station assignments.
tim,You crooked son of a bitch. Why 115?
brian,"Lots of fires. They promote faster there. Take a look at the last Lt.'s list, half the guys on it came from that battalion. Gotta think about your future, Timmy. 115's the station."
tim,"Ah man, if you're gonna bribe your way into a station, why not 17 with me and your brother?"
tim,"Hey, that's my cousin's company! C'mon! Let's go!"
brian, Mrs. Viatkus...
jennifer,Brian.
brian, Jennifer.
jennifer,You're back.
brian,You look great.
jennifer,Thanks for calling.
brian,Uh... I've been sorta keeping a low profile... the academy... I graduated today.
jennifer,Huh.
brian,So... I see you're still in the neighborhood.
jennifer,Not quite. Just visiting. I live in Lincoln Park now.
brian,Yeah? What have you been up to?
jennifer,I work for city hall.
brian,Really? No kidding.
jennifer,"What, you think I just dried up and blew away when you left? The world does turn once in awhile Brian, even without your permission."
tim,"Don't want you overheating, Brian!"
tim,Okay okay! Uncle!
jennifer,You've certainly matured.
brian,"Well, if nothing else, it's nice to know we can still be friends."
jennifer,"I don't want to be your friend, Brian."
tim,"Let's go, man!"
tim, That way.
driver,Tim! You crazy motherfucker!
tim,What'cha got?
driver,Box alarm. Walton Ave.
tim,We'll meet ya.
tim, Man. Something sure put a crimp in his evening.
brian,Backdraft.
stephen,"Well, look what we have here. Nice costume. Rent it?"
brian,"I want to thank you for coming to my graduation, Stephen. It was a great inspiration to me."
stephen,"So you're going to fight fires now, huh?"
stephen," See ya around, little brother."
brian,Not likely.
stephen," One case of scotch, you're getting cheap in your old age, Brian..."
shadow,"If you stare any longer Stevie, I'll start charging you admission."
stephen,Got a cause?
shadow,Are the glory boys actually showing interest in Investigation's work? I may have a stroke.
stephen,The glory boys just want to finish their report so they can go home.
shadow,They're gonna have to wait a few days on this one.
brian," Hey, you forgot... this."
coroner driver,We always leave something for the dogs.
brian,"Hey, Sean. What's goin' on, man?"
brian,It's Uncle Brian. Y'know.
brian," ""Spinach? We don't need no stinking spinach"". Remember?"
kid,Mom! Mom!
brian,Hellooo...
helen,Brian?
brian,"Hi, Helen. Man, you look great."
helen,You look like... Brian.
helen,'Bout written you off. How long have you been in town?
brian,Four months.
helen,Four months?
brian,"I know, I know, Should'a called. I've been really busy. I joined the fire department."
helen,"Oh Brian...  You guys... you really know how to put each other through it, don't you?"
brian,"That's Sean? Jeez, he's a giant."
helen,"Yeah, you'd be surprised what three years can do to a kid."
brian,"Sean, come on out, man. What, you forget your favorite uncle?"
helen,Stephen told him you were killed in a hot tub accident.
sean," Dad was kidding, Mom."
brian,"Well that's two things to strangle Stephen for. Where is he, anyway?"
helen," Stephen's not staying here now, Brian. He moved out last April."
brian,"Oh, man, I'm sorry."
helen,You guys ought to try picking up a phone once in awhile.
brian,Hey.
brian,I talked to Helen...
brian,"...Man, I thought dad's boat was finally retired to the family graveyard. Don't you worry about falling out of this thing?"
brian,I like what you've done with the place.
