Speaker,Dialogue
hastings, Stopping...?
conductor, Man. They look woebegone and far away.
macreedy, I'll only be here twenty-four hours.
conductor,"In a place like this, it could be a lifetime.  Good luck, Mr. Macreedy."
hastings,You for Black Rock?
macreedy, That's right.
hastings," There must be some mistake. I'm Hastings, the telegraph agent. Nobody told me the train was stopping."
macreedy, They didn't?
hastings," I just said they didn't, and they ought to. What I -- want to know, why didn't they?"
macreedy, Probably didn't think it was important.
hastings,"Important?! It's the first time the streamliner stopped here in four years.  You being met? You visiting folks or something? I mean, whatd'ya want?"
macreedy,I want to go to Adobe Flat. Any cabs available?
hastings, No cabs.
macreedy,Where's the hotel?
macreedy, I asked where's the hotel?
macreedy,Thanks.
hastings," Hello, Pete? Now, listen..."
macreedy, 'Afternoon.
coley, Anything I can do for you?
macreedy,You run this hotel?
coley,No.
macreedy, Then there's nothing you can do for me.
hector, Find Smith!
macreedy, I'd like a room.
pete,All filled up.
macreedy, Got any idea where I might --
pete," This is 1945, mister. There's been a war on."
macreedy,I thought it ended a couple of months ago.
pete,"Yeah, but the O.P.A. lingers on."
pete,You don't know about the O.P.A...
macreedy, Tell me.
pete,"Well, for establishments with less'n fifty rooms hotel keepers got to report regularly about..."
pete,...about tenants and... and... registration...  There are penalties imposed...
macreedy, You seem to have lots of vacancies.
pete, Well... as I said...
macreedy,Lots of vacancies.
pete,They're everyone of 'em locked up. Some are show rooms...
macreedy,Yes...?
pete, You understand...?
macreedy,"Not really. But while I'm pondering it, get a room ready. Just for tonight.  This one."
macreedy, Sure could use a bath. Where is it?
pete,Head of the stairs.
macreedy,I don't know just why you're interested -- but the name's Macreedy. I'm...  It's all in the ledger.
hector, You look like you need a hand.
hector," I wanna know everything he does, Pete. Check every call -- any mail."
pete, And in the meantime...?
hector, ...see if he's got any iron in his blood...
macreedy, I think you have the wrong room.
hector, You think so?
hector,What else you got on your mind?
macreedy,"Nothing, I guess."
hector,"If you had a mind, boy, you'd of heard what Pete downstairs said. He said these here rooms are for us cowboys. For our every wish and comfort."
macreedy,"And this, I guess, is yours?"
hector,"When I'm in town. And I'm in town, as any fool can see. You see that, don't you, boy?"
macreedy,I guess I do. Would you mind very much if I sort of...  ...clean up this mess and get another room?
hector,"Not at all. But if you want this room real bad...  If a man don't claim what's rightfully his'n, he's nuthin'. What do you think?"
macreedy,I guess so.
hector,You guess so. But still you ain't claimin' this room?
macreedy,I guess not.
hector,"You're all the time guessin', boy. Don't you ever know anything?"
macreedy,"One thing I know. Since I got off the train, I've been needled. Why?"
hector, I guess I don't rightly know.
doc, Who?
sam," What do you think, Doc?"
doc,"Why ask me? He's no salesman, that's sure.  Unless he's peddling dynamite."
sam," Maybe he's a cop, or something..."
doc,Ever see a cop with a stiff arm?
sam, Maybe his arm's all right. Maybe he's just holding tight to something in his pocket...
doc," Why are you so interested, Sam?"
sam,"Who, me?"
doc,"I mean, if I was that interested...  ...I'd ask him."
macreedy,Hey! Hold it!
macreedy,Got any cigarettes?
pete,This is all.
pete,How long you staying?
macreedy,"In my new room, you mean?  I'm staying."
pete,"I mean, in the hotel."
macreedy,Just about twenty-four hours.  Why?
pete, I... I was just askin'.
macreedy, Why? You expecting a convention?
pete, I was just askin'.
macreedy,Stale.
macreedy,Where can I rent a car?
pete,I don't know.
macreedy," Let's put it this way -- if I had a car and if I wanted to put gas in it, where would I go?"
pete, But you don't have a car.
doc, You might try the garage at the end of the street.
macreedy,Thanks.
macreedy, Here we go again.
pete," That's all I know about him, Mr. Smith."
smith, Sit down.
coley, I was only...
smith, Sit down.
hector, Pretty cool guy.
smith,Doesn't push easy?
hector, That's it -- that's just it. He pushes too easy. Maybe we oughtta...
smith,"What do you want, Doc?"
doc,Nothing.  Not that I have the slightest idea.
smith,"You wonder too much, and you talk too much.  It's a bad parlay, Doc."
doc,I hold no truck with silence.  I got nothing to hide.
hector, What're you tryin' to say?
doc,"Nothing, man. It's just, you worry about the stranger only if you look at him...  ...from a certain aspect."
smith,"How do you look at him, Doc?"
doc, With the innocence of a fresh-laid egg.
smith, And some day I'll have Coley wash out your mouth with lye.
macreedy,"Hi, T.J."
macreedy,This your garage?
macreedy, Where's the man it belongs to?
macreedy,Where'd she go?
macreedy,When will she be back?
macreedy, Thanks.
hastings,"I called the Circle T. He ain't got business there -- not if they don't know him. Right, Mr. Smith?"
smith, Send a wire to Nick Gandi in Los Angeles. Tell him to find out all he can about John J. Macreedy. Tell him I want to know fast. Sign my name.
hastings,What was that?
smith,Nick Gandi. G-A-N-D-I. Care of the Blake Hotel.
coley, Who's Gandi?
smith,He's a private detective.  I drive to L.A. now and then.
hector, He'll get us the dope?
smith,"He'll get us anything, for twenty bucks a day and expenses.  Hector, you worry too fast and too easy."
hector,"It's just, I don't like it."
coley,Maybe he's just passing through.
hector,Don't bet on it. He can only mean trouble.
smith," Hector, you're jumpy as a stall horse."
hector, We oughtta see him... talk to him.
smith, You tried -- where'd it get you?
hector, I only thought...
smith,Sure. You only thought.
coley, What do we do?
smith,"What do you do? You wait. Like Pete here. Right, Pete?"
smith,That's all you do. But while you wait... I talk to him.
doc, Hey!
doc,Now what do you know?  Now what do you suppose he'd want to see the Sheriff about?
tim,"Hold it, friend."
tim, I ain't hankerin' to get locked in my own jail.
macreedy,Sorry. I thought you were a guest.
tim,"As it happens, I'm the host."
tim,Snort?
macreedy,"No, thanks."
tim,Don't blame you. It's awful.
tim, What're you lookin' at?
macreedy, You tell me.
tim," I ain't always this bad -- just that last night me and my pal Doc Velie, we did a little celebratin'. At least I did."
macreedy,What were you celebrating?
tim, What do you want?
macreedy,My name's Macreedy. I came in on the Streamliner.
tim,You what?
macreedy,I said I came in...
tim, You ain't from around here. Up Tucson way -- Phoenix? Mesa? You ain't sellin' cattle nor seed nor nothin' like that?
macreedy,No.  All I want from you is a little information. I've got to get to a place called Adobe Flat.
tim, This ain't no information bureau.
macreedy,One thing about Black Rock -- everybody's polite. Makes for gracious living.
tim,Nobody asked you here.
macreedy,How do you know? 
tim, What about Adobe Flat?
macreedy,I'm looking for a man named Komako.
macreedy,Almost a disaster.
tim, You move fast for a crip... for a big man.
macreedy,What about Komako?
tim, If there's no further questions...
smith, Mr. Macreedy.
macreedy,That's the friendliest word I've heard since I got here.
smith, I want to apologize for some of the folks in town.
macreedy,They act like they're sitting on a keg.
smith,A keg...? Of what?
macreedy,I don't know. Maybe diamonds. Maybe gunpowder.
smith, No. Nothing like that. We're a little suspicious of strangers is all. Hangover from the old days. The old West.
macreedy,I thought the tradition of the old West was hospitality.
smith, Going to be around for a while?
macreedy,Could be.
smith,How would you like to go hunting tomorrow? I'd be proud to have you as my guest.
macreedy,"Thanks, but I'm afraid not."
smith, I'm sorry. I... What I mean is -- if there's anything I can do while you're around...
macreedy,"I'm looking for...  Never mind. Thanks, anyway."
smith," You're looking for what, Mr. Macreedy?"
macreedy, A man named Komako.
smith," Komako -- Sure, I remember him -- Japanese farmer. Never had a chance."
macreedy,No?
smith,He got here in '41 -- just before Pearl Harbor. Three months later he was shipped to one of those relocation centers.  Tough.
macreedy,Which one did he go to?
smith,Who knows?
macreedy,"You think maybe if I wrote him, the letter would be forwarded?"
smith,I'm sure it would. Write your letter. I'll see it gets out tonight.
macreedy,It wouldn't be too much trouble?
smith,No trouble at all.
macreedy,Funny. Because I think it would be a great deal of trouble for you. It's been a great deal of trouble for me.
macreedy,"I wrote these letters to Komako. They weren't forwarded. They were returned -- address unknown.  So I guess there's nothing you can do for me, after all."
macreedy, Need a little help?
liz,I can manage.
macreedy,"Well, I need a little help.  I'd like to rent your jeep."
liz,"It'll be two dollars an hour, gas extra, and ten dollars for my time."
smith, Aren't you going to ask him where he wants to go?
smith,He wants to go to Adobe Flat.
macreedy,The road's marked?
liz, Yeah. It's about six -- seven miles down...
macreedy,Then I won't need your time.
liz, I thought you might... need a little help.
macreedy,I can manage.
smith,Liz. Do you have a license to rent cars? You could get into trouble.
macreedy,It's all right. I won't mention it to the Sheriff.
smith, You shouldn't have done that.
liz,"I thought it would be better if he went out there and got done with it.  I mean, what could he find out?"
smith, This is liable to be the hardest ten dollars you ever earned in your life.
smith, What did he want -- the stranger?
tim, You think he'll kick up a storm?
smith, A storm? About what?
tim,"I don't know. All I know, I don't want trouble around here.  Never again."
smith,"Trouble? You don't know anything about Komako, now do you, Tim?"
tim,I do not. That's the point.
smith,"The point is, what you don't know can't hurt you."
tim,Maybe there's something I ought to know. Maybe I ought to ask you... before the stranger comes back and starts breathing down my neck.
smith," Tim, you're a lost ball in the high weeds. I told you a long time ago, nothing happened for you to worry about."
tim, And I'm still the law.
smith,"Then do your job, Tim."
tim,"What is my job, Mr. Smith? Maybe I'd better find out before Macreedy does it for me."
smith," Macreedy'll do nothing, Tim. And neither will you."
tim,Suppose I decide to try?
smith,"That would be dangerous. You got the body of a hippo, Tim, but the brain of a rabbit. Don't overtax it."
tim," Yes, Mr. Smith."
hector, From L.A.?
hastings,Yeah! From that private detective!
hector, What does he say? Who is this guy?
hastings,"Never heard of him, that's what he says! He checked and there's no John J. Macreedy. No listing -- no record -- no information. Nothing."
pete, Where does that leave us?
coley,I'll tell you where...
smith,Shut up!
smith," Now, Coley...?"
coley, I think Macreedy's a nothing. A nobody.
smith,Is he?
coley,So there's nothing to worry about.
smith,"Isn't there?  You got brains, you have."
coley, Suppose he finds out?
smith,"A nobody like Macreedy can raise a pretty big stink. The point is... who would miss a nobody like Macreedy if he just, say, disappeared? Who, Coley?"
smith, Coley!
coley, Huh?
pete,Why don't we wait...
smith,Wait for what?
pete,"I mean, maybe he won't find anything. Maybe he'll just go away."
smith,"Not Macreedy. I know those maimed guys. Their minds get twisted. They put on hair shirts and act like martyrs. They're all of 'em do- gooders, trouble makers, freaks."
pete,But there's no danger yet. Let's wait and see.
smith, ...your own sister -- acts like a fool.
pete, She's just a kid.
smith, And he says what's the danger.
smith," Of course, if you want to take the chance..."
coley, Not me.
smith,"All right, then..."
pete,It's not all right! You're so mighty quick to kill -- he's not an animal!
smith," You sniveling toad! I'm saving your neck! If I don't, who will?"
pete, All I said...
smith,"Who will?! Doc? Tim? Your sister, with the rocks in her head?"
smith,One thing about your sister -- she's got twice the guts you have. You're only fit for running away.
coley,"It's too late for that.  He's in this, and he ain't running no place."
smith," All right, then..."
tim,Let Smith find himself a new boy. I can't take it another day.  They just laugh.
doc,"I don't laugh, Tim."
tim,Why don't you?
doc,"Cut it out, Tim."
tim,You should!
doc,"In the name of well-adjusted manhood, snap out of it. You're going to get a complex or something."
tim,Four years ago if I'd of done my job... if I'd of checked up and found out what happened. But I didn't! Just like Smith figured.
doc,What could you have found out? They told you a story. You had to believe it.
tim,Do you believe it?
tim,Do you know what happened?
doc,"I don't know.  I lead a quiet, contemplative life."
tim,"Me, I didn't even try to find out.  Me... I did nothin'. And that's what's eatin' me. What kind of prescription you got for that?"
doc,I don't know. I've never been able to find one for myself.
doc,"Only one thing -- don't quit, Tim."
tim,Why not?
doc,Maybe this feller Macreedy has the prescription.
coley,"Well, if it's not Macreedy - the world's champion road hog."
macreedy,Yeah. It's a small world.
coley,But such an unfriendly one. Now why did you want to crowd me off the road?
macreedy, I'm kind of sorry if I've incurred your displeasure.
coley,Look what you did to my car.
macreedy,If there's anything I can do to make up for it...
coley,"You ought to be careful, man -- all that one-arm driving."
macreedy,I'd be glad to pay the damages.
coley,It's a threat to life and limb.
macreedy,Fortunately no one was hurt.
coley,You could get yourself killed that way -- nosin' all over the countryside.
macreedy,"That's the real danger, I can see that."
coley,Why that's pretty smart of you. How long you intend to keep it up?
macreedy,"I'm getting out of here, right now."
macreedy, Still expecting that convention?
pete, What...?
macreedy,"If you're expecting any extra cowboys, my room is available."
pete,You're checking out?
macreedy, Is there a train through here tonight?
pete,Nothing till tomorrow morning. The streamliner.
macreedy,I know that. How about freights?  Milk train?
pete,Tomorrow. After the streamliner.
macreedy,Busses?
pete,"Closest stop is Sand City -- thirty- two miles away.  You're in such a hurry, you should have never got off here."
macreedy,I'm inclined to agree with you.
macreedy,Anybody home?
liz, If you're looking for the jeep key...
liz,...it's not there...
macreedy," In that case, where do you suggest I look?"
liz, The jeep's not for rent.
macreedy,"It was, just a few hours ago."
liz, Things change.
macreedy, Sure. And Smith is the kid who changes 'em.
macreedy,Miss Brooks.  What's the matter with this town of yours?
liz,Nothing. It's none of your concern.
macreedy,Then why are they all so concerned about me?
liz,Am I concerned?
macreedy,"No, you're not. But..."
liz,But what?
macreedy, But it strikes me you're a little too unconcerned. So unconcerned you won't even rent me a jeep.
liz, I don't run a taxi service. I don't have a license.
macreedy,I wish others in this town were as scrupulously devoted to law and order as you are.
liz," Why don't you lay off! If you don't like it here, go back where you came from!"
macreedy,"Funny thing. They try to kill me, and you feel persecuted."
liz,I don't want to get involved.
macreedy,Involved in what?
liz," Whatever you're up to. Whatever happens, I've got to go on living here. These people are my neighbors, my friends."
macreedy,All of them?
liz," This is my town, Mr. Macreedy, like it or not. Whatever happened here, it was long ago, now it's... it's..."
macreedy," Whatever did happen, you don't seem to like it. Why do you stick around?"
liz, Because of my brother. Pete. He'd never leave.
macreedy,Didn't you ever think of going without him. You're sort of independent and he's... he's...
liz,Weak. I know. That's why I couldn't leave him.
macreedy, What did your brother do?
liz,He... I...  What do you care? What do you care about Black Rock?
macreedy,"Nothing much. Only, there're not many places like this in America -- but even one is too many. Because I think something sort of bad happened here.  Something I can't find the handle to..."
liz,You just think so. You don't know.
macreedy,This much I know -- the rule of law has been suspended in this town. The gorillas have taken over.
liz,"You're a fine one to talk! You come in here, sneaking around, trying to steal the key to my jeep."
macreedy,I kind of had a notion that was the only way I could get it.
macreedy," Was I wrong, Miss Brooks?"
smith, I'd like to ask you a few questions... as long as you're around...
macreedy, I'm around all right.
macreedy, You probably know that Miss Brooks is no longer in the car rental business?
smith, Good. I wouldn't want to see that girl get into trouble...
macreedy,You wouldn't?
smith,"...what with rental permits, gas rationing... you know what I mean."
macreedy,Sure. I admire your sturdy sense of responsibility.
smith," It's just, a girl like that has a future."
macreedy,Let's talk about my future.
smith, Do you have the time?
macreedy,I don't seem to be going any place.
smith, I hear you handle a jeep real well.
macreedy,I have a way with jeeps. A certain familiarity.
smith,I think I understand. You're an Army man.  Where'd you get it?
macreedy,Italy.
smith," Tough. I tried to get in myself, the day after those rats bombed Pearl Harbor."
macreedy,What stopped you?
smith,"The physical. They wouldn't take me. The morning after Pearl, I was the first man in line at Marine recruiting in Sand City. And they wouldn't take me."
macreedy, Tough.
smith,"What do you do in Los Angeles, Mr. Macreedy?"
macreedy,I'm retired.
smith,You're a pretty young man...
macreedy,You might say I was forced into retirement.
smith,What were you looking for in Adobe Flat?
macreedy,"Komako, like I told you. Like you told me, he wasn't there."
macreedy,What's so funny?
smith,"Nothing. It's just -- I don't believe you. I believe a man is as big as what he seeks. I believe you're a big man, Mr. Macreedy."
macreedy,Flattery will get you nowhere.
smith,Why would a man like you be looking for a lousy Jap farmer?
macreedy,Maybe I'm not so big.
smith,"Yes, you are.  I believe that a man is as big as the things that make him mad. Nobody around here has been big enough to make you mad."
macreedy,"What makes you mad, Mr. Smith?"
smith,Me...? Nothing in particular.
macreedy, ...the Japanese make you mad...
smith,That's different. After the sneak attack on Pearl Harbor... after Bataan...
macreedy,...and Komako made you mad.
smith,"It's the same thing.  Loyal Japanese-Americans -- that's a laugh. They're mad dogs. Look at Corregidor, the death march."
macreedy,What did Komako have to do with Corregidor?
smith,"Wasn't he a Jap? Look, Macreedy, there's a law in this county against shooting dogs. But if I see a mad dog loose, I don't wait for him to bite me.  I swear, you're beginning to make me mad."
macreedy, All strangers do.
smith,Not all. Some of 'em. When they come here snooping.
macreedy,Snooping for what?
smith,"I mean, outsiders coming around, looking for something."
macreedy, For what?
smith,"I don't know. People are always looking for something in this part of the West. To the historian, it's the ""Old West."" To the book writers, it's the ""Wild West."" To the businessmen, it's the ""Undeveloped West."" They all say we're backward and poor, and I guess we are.  I just wish they'd leave us alone."
macreedy,Leave you alone to do what?
smith, I don't know what you mean.
macreedy,What happened to Komako?
smith,"He went away, I told you. Shortly after he left, a bunch of kids got fooling around out his place. They burned it down. It was one of those things -- you know how kids are."
smith,What's funny?
macreedy,Nothing. Only -- I don't believe you. Any more than I believed you about the letters.
smith, You don't seem to believe anything I say.
macreedy," Yes, I do -- about businessmen, for instance. I think a businessman would be interested in Adobe Flat."
smith,Why?
macreedy,"All that land lying fallow. Could be put to some use. Like a graveyard.  A historian might be interested, too. Because of the strange customs around here, such as burying cattle..."
smith,Burying cattle...?
