Speaker,Dialogue
trainer," Remember, parents don't want photos where their child isn't smiling. Some children may not want to smile. It is your job to coax a smile out of them. A good line to remember is: ""Santa thinks everybody should be happy. Can you smile for Santa?"" A camera can only copy a child's smile -- it will take you to put it there."
trainer,"If the child will not smile, the Photo Elf will go ahead and take the picture anyway. Now, it is a good Santa's job to smile as well -- I know with the big white beard your smile will be partially hidden, so you must learn to smile with your eyes. They show warmth and can be very expressive."
trainer,"Remember you have been chosen for the starring role of Santa Claus. Your portrayal of this beloved character will have a major impact on every child you meet. Keep in mind at all times that to them, you aren't a man dressed up like Santa, you are Santa."
mother,"Hurry boys, we're gonna miss Santa! She drags them across the street toward the looming art-deco monolith that is the big-city department store."
older child,There!
photo elf," My, what a darling picture! Are you certain you only want the single? Additional photos come in handy as gifts for grandma and grandpa or a wonderful remembrance for friends."
mom,"That's all right, I'll just take the single."
santa, Uh-huh... yeah... done.
bratty kid,I saw you in another mall.
santa, Right... Good for you.
bratty kid,You're not really Santa. If you were Santa you could do magic.
santa, You want magic?
santa,"There, I just made you disappear."
santa,...That it?
santa,...Thank fuckin' Christ.
security guard,"Merry Christmas, Willie."
santa,Up your ass.
security guard,"Have it your way, Willie."
santa,Don't tell me which way to have it.
willie,Ready.
marcus,Jesus.
marcus,How's it goin'?
willie,I'm finished when I'm finished.
marcus,I'm goin' downstairs...  I need a melon-bailer and a loofah.
willie,Got it.
marcus,"Fuck the loofah, let's go."
lois,"Marcus, did you get the loofah?"
marcus,Drive.
willie,"FUCK YOU, YOU FUCKING PIECE OF SHIT!"
willie,Fuck you! Fuck you! Fuck you!
willie,Goddamn it!
willie,Yeah baby!
willie,I got messages. Go wash yourself.
stripper,"I'm a dancer, I sweat."
willie,Well you smell like a bum's nutsack.
stripper,Fuck you.
willie,"Yeah, yeah."
marcus,Jesus Christ! Can you maybe keep it together for just ten minutes?!
marcus,"For crying out loud, chew a few of these... you drunken, fuckin' imbecile!"
chipeska,"Harrison, please I Just let me explain. Financially, the --"
harrison,"You get what you pay for, Chipeska! Five Christmases I've given my heart -- my soul -- my love to these kids, and now what? Now you flip me for some stranger who'll do it for peanuts and happens to work with a real midget! Lemme tell you something: nobody cares! Nobody comes here for the elf, Santa's the attraction! I do Burl Ives songs; does this schmoe even play guitar?"
chipeska,"Harrison, it's not the money or the midget. Believe me, if it was, I -- I don't think they like ""midget"". I think you're supposed to call them --"
harrison,"Aw, forget it!"
harrison,...Hacks!
chipeska,"Hi. Bob Chipeska. I, please, I, uh -- please don't listen to him. Great resume and photo by the way."
marcus,"Thanks... you know, we been at this a long time an' all, so we like to think we do a good job..."
chipeska,You two are the best men for the job. Truly. So do not let his... unpleasantness affect your performance in any way.
marcus,"Oh no, we're fine, w --"
willie, Performance?
chipeska,"Yea. Your performance... you know, the..."
willie,Performance. Like sexual?
chipeska,Excuse me?
marcus,"Willie no, he --"
willie,You saying there's something wrong with my gear?
marcus,Willie...
chipeska,I'm sorry. Your gear?
willie,You know... fuck stick.
marcus,OKAY! We're gonna head upstairs now.
marcus,Such a card.
chipeska,"He's not gonna say ""fuck stick"" in front of the children, is he?"
marcus,"No, no, no. Joke. Adult joke. For us. Adults."
marcus,...Joke.
marcus,Merry Christmas! Santa's coming!
marcus,"What the fuck you doing, ""fuck stick"" in front of the boss?"
willie,I don't like that guy.
marcus,You don't like any guy. You think I can't find another portly motherfuck can run a water drill?
marcus,"Don't tempt my hand. You blow this and we're broke for the year. So stop acting like you know something because, pal of mine, you don't know squat. You're gum on my shoe."
willie,"Yeah, yeah."
marcus,Now put on your fuckin' hat and get out there.
kid,Loser!
willie,"All right, wuddya want?"
willie,Fine. Next.
willie,YOWWWCH! Watch the toenails willya?
willie,...Wuddya want?
little girl,...Santa?
willie,"Yeah, c'mon, c'mon, wuddya want?"
little girl,Um... Barbie?
willie,Fine. Next.
willie,...What do you want?
boy,Fraggle-stick car.
willie," Fine, whatever, next."
willie,...Next. Next!
willie,"...Next, goddamnit! Let's move it along -- this is not the DMV!"
marcus,It's okay. C'mon.
marcus,What's your name?
marcus,...You can tell me...
marcus,"...How about Santa? If you don't tell him, you won't get a present."
marcus,...That's right. Let's tell Santa.
willie,"What do you want? C'mon, wuddya want? A snot rag?"
willie, Marcus I get him outta here before he pisses on me.
willie," ...Let it go, you little bastard."
kid,It's not real.
willie,It was real. The hair fell out when I got sick.
kid,How'd you get sick?
willie,I loved a woman who wasn't clean.
kid,Mrs. Santa?
willie,"No, her sister.  Let the fucking thing go."
kid,What's it like at the North Pole?
willie,Like the suburbs.
kid,Which one?
willie,Apache Junction. What the fuck do you care?
willie,Get the hell off my lap.
kid,"You are really Santa, right?"
willie,"No. No, I'm an accountant. I wear this as a fucking fashion thing."
kid,Okay.
willie,"Get that kid out of here, he's freaking me out."
willie,I gotta get a drink on. See ya tomorrow.
marcus,Just don't come in to work stinkin' of booze again.
willie,"Don't worry about me. Get going, you'll be late for your Wizard of Oz Candy Bar Guild thing."
marcus,"Lollipop Guild, asshole. Jesus, two year olds flip me shit better'n you."
willie,You tryin' to say something to me?
marcus, Yeah. I'm gonna stick my whole fist up your ass.
troublemaker," Listen here buddy, let me make yourself perfectly clear. We don't like your kind coming around here in your red silk and satin clothes with your hunger for same-sex relationships. Consider yourself warned."
willie,Well fu-uck you!
troublemaker,I know that's what you'd like to do!
willie,"Up yours, yufff --"
troublemaker,"Oh saved by a woman, mister No-Pussy- Please man!"
sue,"He ain't worth it, sugar. He got hit on last week. Didn't sit too well."
troublemaker,WHAT ARE YOU STARING AT!?
troublemaker,...This is not Flagstaff!
sue,"Another Grandad, Santa?"
willie,Yep.
sue,Got a name?
willie,Oh yeah.
sue,"What do you do? I mean, after the holidays?"
willie,Nothing 'til March. Then I'm the Easter Bunny.
sue,...Another?
willie,Why not. Buy you one?
sue,Why not.
sue,...Not a big talker.
willie,Nah.
sue,Buy you one?
willie,Why not.
sue,"You're pretty regular, for a Santa."
willie,"It's my job, no big deal. I'm an eating, drinking, shitting, fucking Santa Claus."
sue,Prove it.
willie,Which?
willie,Yes! Yes! Yes!
sue,"Fuck me, Santa! Fuck me, Santa!"
willie,At least lemme take off the hat!
sue,NO!
sue,"I got a thing for Santa Claus, I don't know, I guess it's from early childhood."
willie," Yeah, so's my thing for tits."
sue,"Maybe because my parents were Jewish and never celebrated Christmas. Santa was sort of forbidden, you know?"
sue,I like you. Most of the people around here are pretty uptight. My name is Sue. Here's my number.
sue,...Don't mothball that suit!
troublemaker,I AM NOT GAY!!
willie,"Whoa-Jesus! All right buddy, that's it..."
troublemaker,"Buddy? I said, I am not gay!"
willie,"Look, what's the problem pal, you go off your meds?"
troublemaker,"...Yes, but this isn't about that! You are queer as a ten dollar bill."
willie,"Now you listen. My brother lost an arm fighting you people in Vietnam, so I want you to take a good hard look at this face..."
willie,...'cause it's the last fuckin' thing you're gonna see before I knock your head off and sh --
troublemaker,"Who is the bitch now, fat man?!"
troublemaker,"Please little boy, I am doing this for all of us!"
troublemaker,"I think he has finished his cruising for tonight, hm?"
willie,You.
willie,This one time I take you home.
kid,Uh-huh.
willie,I'm not your fuckin' dada.
kid,Uh-huh.
willie,It's not as if you helped out with that nut-job.
kid,Uh-huh.
willie,And you're right there to grab his fuckin' balls.
kid,Uh-huh.
willie,Right height.
kid,Yeah.
willie,Twist 'em.
kid,Why do you need a car?
willie,...Fuck you talkin' about?
kid,This car.
willie,Whuh. Which turn is it?
kid,Sage Terrace. Where's your sleigh?
willie,Repairs. In the shop.
kid,Where're the reindeer?
willie,I stable 'em. Is it gonna be left or right?
kid, That way. Where's the stable?
willie,Next to the shop.
kid,How do they sleep?
willie,Who -- the reindeer? Standing up.
kid,"But the noise, how do they sleep?"
willie,What noise?
kid,From the shop.
willie,"They, uh, they only work during the day."
kid,I thought it was always night at the North Pole.
willie,Not now. Now it's always day.
kid,Then how do they sleep?
willie,"Well, they -- WILL YOU PUH-LEEEZ SHUT THE FUCK UP! HOW THE FUCK DO KNOW?! I'M GONNA -- Whoa! Sage Terrace!"
willie,...What is it with you? Somebody drop you on your fucking head?
kid,On my head?
willie,"What, are they gonna drop you on somebody else's head?"
kid,How can they drop me onto my own head?
willie,Not onto your own h -- ARE YOU FUCKING WITH ME?
willie,Nice digs. Daddy home?
kid,He's on a adventure 'sploring mountains. He been gone a long time.
willie,Exploring mountains? When's he coming back?
kid,Next year.
willie,What about Mommy?
kid,She lives in God's house with Jesus and Mary and the Ghost and the long- eared donkey and Joseph and the talking walnut.
willie,Who the fuck takes care of you then?
kid,Granma.
willie, Really... What's her name?
kid,Granma.
willie,Uh-huh. Is Granny spry?
kid,"Granma, Santa's here. Are you spry?"
grandma,Roger! You're home. Let me fix you some sandwiches.
willie,So you're tellin' me no one else is here?
willie,"...No aunts, no uncles, no cousins?"
willie,"...Butler, security guard? Nothin'?"
kid,Nuh-uh.
willie,Daddy got a safe?
kid,You need money to fix your sleigh?
willie,"Huh? Yeah, whateverthefuck..."
kid,You want milk and cookies?
willie,Daddy got a car?
kid,Bye Santa!
gin,"""Fuck stick""?"
chipeska,"Yes, I thought it was strange too, but you know, I, I, I, I, uh, I, his little friend promised he wouldn't say it in front of the children. Which is fine because, you know, urn, there's an adult world and a child's world and that's okay. I'm not a censor."
gin,Little friend?
chipeska,"Yes, a, a, a dwarf. Or midget... a, a, I don't know what he's called exactly but... a little guy. Little. Billy Barty. God rest. But thin fingers. Not the fat sausage fingers."
gin,"""Little people,"" that's what they like."
chipeska,"Ah, yes, right."
gin,"So ""fuck stick,"" that's all?"
chipeska,"Well, no, there was something else..."
chipeska,"Now don't get me wrong. I was against the Clinton impeachment. What a man does with his penis -- Oval Office, Women's Big & Tall -- it's not for the American people to say."
gin,Right.
chipeska,"But when you're dealing with children, a tender sensibility, a position of trust -- then perhaps, someone who has screaming orgasms with large women --"
gin,Mm.
chipeska,Though I can't fire him for that.
gin,No.
chipeska,Sizisra. They'd say.
gin,Sure.
chipeska,Not true. I am no siziat. But I can see the picket line now.
gin,"Yeah, a big fuckin' fat one."
chipeska,"They'd all say, If it had been a supermodel or, uh..."
gin,"Heeyeah. Unfair practices. A lot of special pleading. Bitch, bitch, bitch. Fuckin' broads."
chipeska,But -- I can't help it -- the guy makes me uneasy.
gin,Well sure. Santa fuckin' someone in the ass.
chipeska,So maybe there's something I could fire him for.
gin,Yeah. Yeah. I getcha.
chipeska,Do you? Do you think you could find something?
gin,Oh shit yeah. There's always something.
marcus,"...Motherfucker... Oh, you lousy fucking motherfuck..."
marcus,That's just the kinda shit that's gonna get us pinched!
willie, She said she was eighteen.
marcus,You promised no arcades! You said you'd only hustle Big & Tall!
willie,"Ah, it's like shooting fish in a barrel -- there's no sport,"
marcus,"How many times, you fuck? ""The bigger the store, the bigger the take."" Well, we can't work the big stores with your big fucking train wrecks!"
willie," You got some nerve you little shit ya! You my mom now?! You shat me out your womb, is that it? You gotta take care of me!? Well I can take care of myself and I don't need no lectures! I know how to keep a low profile!"
marcus,What the fuck is this?!
willie,Mind your own fucking business.
marcus,You cocksucker!
marcus,...EVER HEAR OF THE OPEN-BOTTLE LAW?!  -- You dumb Dipshit Motherfucker!
willie,"Opal, come here."
opal,"Screw you, Willie -- last time I didn't shit right for a week."
willie,"No, not that -- come here!"
willie,"Who the fuck's in my room, did you see someone go into my fuckin' room?"
opal,Yeah some guy askin' 'boutcha -- looked like a cop.
willie,Ah fuck.
marcus,What guy?! You get a look at him?
willie,"No, I think it's a cop though. You think someone's onto us?"
marcus,Is there anything in the room? Anything professional?
willie,No. Clothes.
marcus,Just ditch. You got anywhere to sack out for a while?
kid,Santa!
willie,Yeah.
kid,You're bringing my present early?
willie,NO.
kid,But I never told you what I wanted.
willie,"I said I didn't bring it, dipshit."
kid,Okay. Good. I want a stuffed elephant. A pink one.
willie,"Yeah, well..."
willie,"...wish in one hand and shit in the other, see which fills up faster."
kid,Okay.
