Speaker,Dialogue
cheeba,"Yo, let's get to it.  You don't dance, we don't eat.  Simple as that."
cheeba,"Good morning, ladies and gentlemen. I know everybody is in a hurry to work, ready to begin another day in this rat race.  But don't sleep us. I'm Cheeba and I introduce to you the world renown MANRAY, the man with the educated feet."
delacroix,"Good morning, Cheeba."
cheeba,"Good morning to you, Mr. Delapot."
delacroix,De-la-croix.
cheeba,Y'know what I mean.  Got a gig yet for Manray and I yet?
delacroix,Not yet.
cheeba,Gracias.
delacroix,"Manray, Sloan says you're too talented to be dancing on the street."
manray,Well do something about it.
delacroix,"Good morning, Marie."
marie,It's not gonna be a good morning for you if you don't get into Dunwitty's staff meeting.
delacroix,What staff meeting?
marie,The staff meeting that started 30 minutes ago.
dunwitty,"Monsieur Delacroix, this very important meeting commenced..."
dunwitty,I'm sorry I'm late.
dunwitty,Do you know how much information can be dispensed in one minute alone?
delacroix,I didn't find out about this very important staff meeting until...
dunwitty,So are you telling me everyone knew about this get-together except you?
delacroix,I wasn't told about this until Marie informed me as soon as I got off the elevator.
dunwitty,"People, you can attempt to pull a Rodman like our friend Delacroix, but I guarantee you'll be sent packing just like him."
joan,So what do you want us to do?
dunwitty,"What I want everyone to do is write some material that is FUNNY.  The junk you've been writing is about as funny as a dead baby.  It's not funny, it's not new.  It's not sexy. It, it, it..."
fish,Sucks.
dunwitty,"SUCKS.  Thank you, Fish.  This meeting is over but I want everyone to seriously think about what I said and how you can deliver."
sloan,How was it?
delacroix,Why didn't you tell me about this staff meeting?
sloan,Nobody told me anything.
delacroix,What good are you if you don't tell me stuff like this?
sloan,"It wasn't my fault.  If I would have known, I would have known."
dunwitty,Do you know what C.P. Time is?
delacroix,C.P. Time is Colored People's Time. The stereotypical belief that Negroes are always late.  That Negroes have no sense of time - time except when it comes to music or dance.
dunwitty,Let's sit down over there.
delacroix,"I understand.  But again, in all honesty I was not informed."
dunwitty,Forget it.  I believe you're my most creative person I've got on staff.  You're hip.  You know what's happening.  I got some corny white boys and girls writing for me.
delacroix,I would prefer you not use that word in my presence.
dunwitty,NIGGER.  NIGGER.  NIGGER.  NIGGER.
delacroix,"Say it again.  C'mon, say it again."
dunwitty,"The material you've been creating is too white bread.  White people with black faces.  The Huxtable's, Cosby, revolutionary.  But that's dead.  We can't go down that road again."
delacroix,"I don't agree.  The Negro middle class does exist, and it's rich material for a dramatic series or sitcom."
dunwitty,I'm telling you it's not.
delacroix,...to white?  I still feel all of my scripts would make good shows.
dunwitty,"Delacroix, wake up, brother man. The reason why they didn't get picked up was because nobody - and I mean NOBODY - niggers and crackers alike wants to see that junk."
delacroix,I've never been given a fair shot.
dunwitty,"You got your head stuck up your ass with your Harvard education and your pretentious ways.  Brother man, I'm blacker than you.  I'm keepin' it real and you're frontin', trying to be white."
delacroix,"I'm an oreo, a sell out?  Because I don't aspire to do HOMEBOYS FROM OUT OF SPACE, SECRET DIARY OF DESMOND PFEIFFER, A PJ's or some as you might put it, some ""nigger"" show?  I'm a Tom?  I'm whiter than white and you're blacker than black? Is that what you think?"
dunwitty,"That's exactly what I think.  I want you to create something that people want to see.  Let's be honest, the majority of the people in the country are deaf, dumb and blind and I'm including 35 million African-Americans.  You know and I know ""niggers"" set the trend, set the styles.  This is a golden opportunity now.  These idiots have to be led to the water."
delacroix,I'm not sure if I can deliver what you want.
dunwitty,You will or you'll be back at BET so quick you'll never know what hit you.  I need a mid-season replacement and pronto.  It will be on the fast track.
delacroix,What is it you want from me?  Some plantation follies?  Some sitcom that takes place on a watermelon patch?  Some show that follows four nigger generations of junkies and crackheads?  You want me to go back to the ante bellum days?
dunwitty,"Yes!  Yes!  Yes!  I want a show that will make headlines, that will have millions and millions of households tuned in, glued to their televisions every week.  I want advertisers dying to buy on this show.  I'm gonna squeeze this show out of you if it kills you."
manray,I'm starvin' like Marvin.
cheeba,"My world famous, famous world Arroz con pollo will be ready very soon."
manray,"Hurry up, I wanna watch HBO."
cheeba,Did we get our bill yet?
manray,"I guess that will come with the rent, gas, and Con Ed bills, too."
cheeba,"Ahh, the luxuries of life."
manray,"Yo, check it.  This is good and all that but one day soon I want to have much Benjamins so I can have a nice crib and pay all my bills. You hear me."
cheeba,"Chill, I'm the brains behind this outfit."
manray,And I'm the feet.
cheeba,"Yo, you gotta show some patience. You want me to snap my fingers and presto chango - you're an overnight sensation.  Son, there is no such thing."
manray,I'm tired of waiting.
cheeba,Oh snap!  It's a raid!
police chief,"Please evacuate this building.  All of you are illegal residents of this condemned building.  Please leave immediately, by order of the Mayor of New York City, Rudolph Giuliani."
cheeba,Not this way.  Out through the fire escape.
manray,My tap shoes.
delacroix,EUREKA!!
sloan,Oh my God!!!
delacroix,Manray!
sloan,Manray!
delacroix,How did you know?
sloan,It hit me like a ton of bricks.
delacroix,"How can this be?  You and me at the same time, the exact same thought. It's scary."
sloan,The idea was out there in the universe.  Now what?
manray,We ran out without my shoes and the floor.  I gotta get my stuff.  What about our savings?
cheeba,Are you crazy?  The joint is crawling with cops now.  You wanna go to Rikers?  Go to the hoosegow?
delacroix,Manray was under our nose the whole time.
sloan,Do you know how you will use him?
delacroix,"Not yet, but this thing will never get made."
sloan,You lost me.
delacroix,"Dunwitty wants a Coon show.  And that's what I'm going to give him, it's going to be so racist, so negative, he won't have the balls to put it on the air.  Hence I'll prove my point."
sloan,What point is that?
delacroix,"The point being that him, the networks don't want Black people on television unless they are buffoons."
sloan,Sounds risky to me.
delacroix,You getting cold feet?
sloan,I'm in till the end.
delacroix,Good.  I'm going to need your support.
sloan,Can't you just quit?  Walk away?
delacroix,And lose out on my money?  The only way I get paid is if I get fired. And that's what I intend to do.
sloan,Maybe something happened to them. Maybe they're lying in an alley bleed to death.
delacroix,"Manray better not be bleeding to death.  I need him.  After we're done he can do whatever he wants to do, until then, he's ours."
sloan,You're beginning to sound like Dunwitty.
cheeba,His name is Delapoint.
cheeba,Delapot.  Dela-something.
manray,Sloan!  She knows us.
sloan,It's alright.  They are associates of Mr. Delacroix.
sloan,That won't be needed.
delacroix,Eureka!  Where've you been?
cheeba,You'd take no offense if we called you DeLa for short?
delacroix,No offense.
cheeba,Manray needs a job.
manray,We got evicted from our home. We've both been on the streets for the last week.
cheeba,We was coming to see you.
manray,If it's not too much trouble could you order us some food?
cheeba,We're starving.
delacroix,I apologize.  What would you like to eat?  Anything you want.
delacroix,"I have this concept for a TV pilot. There's no guarantee it will get made but regardless, you'll still make some money."
cheeba,How much?
delacroix,First things first.  I have to know if Manray is up for this.
manray,What do I have to do?
delacroix,"Some tap dancing, some singing."
manray,Where do I sign?
cheeba,What kind of show is this gonna be?
delacroix,Different.
manray,How different?
delacroix,"Trust me.  Of course I still have to pitch it to my boss, but we'll have an answer one way or the other."
manray,"DeLa, I'm aboard.  As long as I get to hoof and get paid too!!!"
delacroix,That's right.  Money turns the wheel.
cheeba,What about in the mean time?  Not the in between time?
delacroix,You'll both get an advance and you can stay with me.
manray,Bet.
delacroix,I would like to change your name.
manray,To what?
delacroix,You're now Mantan.
manray,"Mantan?  I don't even care as long as I'm dancing.  Which reminds me, I need some new kicks."
manray,I never had a really real pair before.
sloan,"You've never had any formal training, either?"
manray,"Not a class, not a thing, just picked stuff up by myself."
sloan,I wish I had your natural talent. God only makes that visit once in a while.
manray,You sing and dance?
sloan,A little.  I just graduated from NYU film school.  Cinema studies.
manray,So what's up with you and DeLa?
sloan,What do you mean?
manray,Are you and him kicking it? Knocking boots. Y'knowwhatI'mtalkin'bout.
sloan,"No, we're not knocking boots.  I got this internship while I still was at NYU, DeLa was impressed with my get up and go and hired me to be his assistant."
manray,I'm sure that was the only thing he was impressed with.  You look beautiful like that.
sloan,"If that was suppose to be a compliment, I thank you."
manray,You're welcome.  You shouldn't give up on performing.
sloan,Why do you say that?  You've never seen me.
manray,"I think that would probably make you the happiest.  When I'm hoofing, I mean really doing my thing, hitting it, nothing compares to that feeling in the world."
sloan,I envy you.  That's the way I want to feel about my work.
big black,Li'l Sister.
sloan,You idiot.  You almost gave me a massive coronary.
big black,I didn't mean to scare you like that.
sloan,Well you did.
big black,Give me some?
sloan,"I'm not huggin' you in the middle of the street.  You must be crazy, Julius."
big black,"Whoa, hold up li'l sis'.  I done told you 'bout that.  Julius ain't my name, you better recognize Hopkins was our slave name.  My true name is..."
sloan,I'm not callin you Big Black Africa. Mommy and Daddy named you Julius.
big black,BIG BLACK is the first name and AFRICA is the last.
big black,"Damn, Sis, you don't keep no food up in here in dis' piece."
sloan,I order out mostly.  So what do I owe this visit to?
big black,My group we need some exposure. Was wondering if you could hook a brother up?
sloan,"Hook you up?  The Mau-Mau's?  You must be smoking.  Why in the world would I want to hook up a bunch of red, black and green flag-waving pseudo revolutionairies?"
big black,"So now I see where you're coming from.  Just because we ain't rapping about Gucci, Timberland, Rolex, Benz, Cristal, ho's and bitches, we're pseudo."
sloan,Who are you revolting against?
big black,"We're revolting against the powers that be, that been enslaving the minds and hearts of all people of color.  And we won't stop rapping till we bring about the overthrow of the government of the U.S. of A."
sloan,Please.
big black,If you were really down you would get us together with that boss of yours.  What's his name again?
sloan,Delacroix.
big black,"Yeah, him."
sloan,What makes you think he would write a show about the Mau-Mau's.
big black,"C'mon, why not?  The Monkees had a show.  Look at all that other junk that's on TV.  We got underground cult following."
sloan,You don't have the demographics.
big black,"So are you telling me that you wouldn't even introduce me to Delacroix or set up a meeting?  I'm talking 'bout me, your only brother, ya own flesh and blood, hook a brother up, youknowwhatI'msayin'."
sloan,"That'swhatI'msayin'.  I'm not blowin' my young career, brother or no brother, for you or anybody else."
big black,"There is a name, a term for your kind, the likes of you.  Back in slavery days, you would be classified as a house nigga."
sloan,"If you think I'm a house nigga then that's your prerogative.  You got your ways to affect change, I have mine.  And I would appreciate it very much if you took ya field nigga ass out of my house."
big black,My own sister throwin' me out.  I hope to seeya later when you get ya mind right.  Don't bother letting me out.
sloan,That's mighty black of you.
dunwitty,"Delacroix, I'm glad you got your mind right."
delacroix,"It's right and tight.  Good morning, let me introduce you to everybody. You know my assistant, Sloan."
sloan,Hello.
delacroix,This is Cheeba.
cheeba,Nice to meet you.
delacroix,And this is Manray.
manray,How do you do?
dunwitty,Good.  I like the names.  Very theatrical.
delacroix,We're all happy to be here and I'm going to paint a picture for you.
dunwitty,I'm wid it.
delacroix,"I've done a lot of soul searching and once again you are right.  In my previous work it's been all surface, superficial.  I have never really dug deep.  Not anymore.  As Mark Twain fully understood satire is the way.  Race has always been a hot button in this country's history and it needs to be pushed harder.  If we are ever to live side by side in peace and harmony. It's about promoting racial healing."
dunwitty,Go on.  Good so far.
delacroix,"I know you're familiar with minstrel shows.  They came about at the turn of the 19th century.  It was a variety show in which the talent was in blackface - singing, dancing, telling jokes, doing skits. Dunwitty, I ask you when was the last time there was a good variety show on the air.  Carol Burnett? HeeHaw?"
dunwitty,Word!!!
delacroix,"So let's take this great form, this very American tradition of entertainment into the 21st century, into the new millennium."
dunwitty,The name of the show?
delacroix,It is called: MANTAN - THE NEW MILLENNIUM MINSTREL SHOW.
dunwitty,"I'm lovin' it.  You know how I know? Because I'm getting a boner, my Johnson is hard, no disrespect my sister."
delacroix,"It will take a lot of courage and backbone on the part of the CNS to get this on the air.  In fact, I would understand fully if the subject matter is deemed too risque, too controversial."
dunwitty,"Don't worry about that, that's my department.  Now who do we cast? We need a star.  Can Whoopi sing or dance?"
delacroix,I don't know if Whoopi is the way to go.
dunwitty,"Are these our two stars, sitting here in front of my nose?  Which one is Mantan again?"
mantan,That's me.
delacroix,And Cheeba is Sleep 'n' Eat.
dunwitty,That's a great handle.
delacroix,Mantan and Sleep 'n Eat.  Two real coons.  I know we're way out there but it's satire.
dunwitty,I want you take it there.  All the way to the edge and back.
delacroix,Every week we follow the trials and tribulations of two real coons - Mantan and Sleep 'n Eat.  The Dusky Duo.
dunwitty,What are there character traits?
delacroix,"Ignorant, dullwitted, lazy, and unlucky."
dunwitty,Exactly!
delacroix,Mantan is an uneducated Negro who always by some stroke of unbelievable stupidity makes his best laid plans go haywire.
dunwitty,And Sleep 'n Eat is his comical sidekick?
delacroix,"Yep, you guessed it."
dunwitty,"This could be bigger than ""Amos and Andy."""
