Speaker,Dialogue
waitress,What'll it be?
basquiat,Ummm. It'll be great. We'll live together in peace. What's her name? 
waitress,Gina. What'll it be?
basquiat,Pancakes.
benny,Hey - Willie Mays.
basquiat,Willie Mays.
rene,Nurse!!! Oh!!! Nurse!!! Carrot juice. Tofu burger. Rapido!
gina,We don't serve that - amigo.
rene,Fine... A greasy cheeseburger. Fries - and a vodka.
basquiat, Who's that?
benny,"The Devil, man. Rene Ricard. Art critic - writes for Artforum. People read him. Tell him who you are.."
basquiat,Who am I?
benny,SAMO.
basquiat,Oh yeah..
customer,How's the special today?
gina,It's your stomach.
basquiat,Hey.
gina,It's me. I've never been done in maple syrup. Here's a rag.
basquiat, Gina?
leshko,"Alright. Look at you, staring at this girl, making a mess."
basquiat,How about those pancakes?
leshko,OK! Goodbye!
gina,"Pipe down, Lech. Let him order."
leshko,"You nuts? Let him order? You on his side? You're not such a good waitress. You get out, too."
gina,I just don't think you're being fair.
leshko,I need this?
gina,I need this?
benny, Willie Mays.
leshko, That's right. You go with them. Make babies
benny,Catch you later.
gina,"What's a job, anyway?  What's wrong with you?"
basquiat,I guess you did.
gina,Guess I just got sick of him.
basquiat,Can I walk you home?
gina,I think I could do that alone.
basquiat,"Wait, I'm in a band....We're at the Mudd Club on Halloween. I'll put you on the list."
gina,I hate the Mudd Club.
basquiat,"I'm clean. Smell me. I always smell good. I don't know why, I just do!"
gina, You do! You definitely do.
basquiat,Just come to the Mudd Club on Friday.
gina,I don't go there. Too many party girls.
basquiat,Party girls? Can I call you?
basquiat,"Here, this is for you. I made this."
gina,Thanks.
basquiat,"Hey, mom."
matilde,Do you like it here?
basquiat,I'd like it better in Hawaii.
basquiat,"""She loves me. Oh yeah she loves me! She loooooooves me, Oh yeah she loves me!"" Bring me some chicken, baby!"
benny,Would you shut the fuck up? You hear what I'm doing?
basquiat,"Yeah man. I'm jealous. You're always great, Benny.  ""Her name is G-I-N-A Gina And she lo-oooves me."" I did say chicken!"
benny,Thanks.  Your dad called again - something about a job.
basquiat, We're getting married. She said she could tell I was a great artist - she could see it in my eyes. She said she wanted to be by my side and have inter-racial babies with me.
benny,G'night... See you in court tomorrow.
bum,"The guy just hit me and I was on the ground!!!! Boom, for real."
voice,Hello?
basquiat, I-Is this the s-s-suicide h-h-hotline?
voice,Yes. My name is Chris. What's yours?
basquiat,Jean Michel.
chris,That's a beautiful name. French?
basquiat,"Haitian. I'm going to kill myself. I'm taking pills. Reds, blues, greens."
chris,What? Wait a minute... talk to me.
basquiat, Life doesn't... make... sense. This city's k-killing me. I want my liquid hijack Marlboros!
chris,What? Life's beautiful. Depression isn't permanent. Don't you believe that?  What is it - did your girlfriend leave you?
basquiat,No! I have a boyfriend. He loves me.
chris,You see? You have someone to live for.
basquiat,"No, I don't. I'm alone. We all are. Especially here. The world's unjust. The respect fools get. The disrespect I get."
chris,"What is it you want?    Respect? I have respect for you, just    for making this call. One philosopher said    ""Sadness is a sin against the richness    of the world."" Think about it. Feel it."
basquiat,You don't even know me. I want real respect.
basquiat, Fame. My liquid hijack Marlboros and the moon and the cow that jumped over it.
basquiat,"Boom, for real."
gina,I do.  I just said that. I was never here before. I actually like it.
basquiat,Let's get out of here.
landlady,"Miss Cardinale... Open up for me, please!"
basquiat,Why didn't you say so? Damn! She's asleep!
gina, What're you doing?
landlady,Next Monday.
basquiat,Wanna go get some breakfast?
gina,A friend of mine offered me a job doing a little work installing a show in a gallery. He's an electrician. I was supposed to be there an hour ago.
greg,"Jean, could you get me a Phillips screwdriver?"
basquiat,A what?
greg,A Phillips head. From the toolbox.
basquiat,Yeah.
greg,Yeah.
basquiat,You don't have any!!!
greg,"That's impossible. I've got, like, five of 'em!"
rene,"I need to make a call, Mary. You don't mind, do you?"
mary boone,Certainly not. You can use my line.
rene,To Paris. Bernard Picasso -  You know Bernard -
mary boone, Be my guest.
