Speaker,Dialogue
first draft," October 20, 1986"
mom,"For God's sake, Harold, can we please just get a taxi??"
dad,I'm trying to get a --  TAXI!!
jimmy,We're going the wrong way.
dad,Put that away. We'll look like tourists.
jimmy,Seventh is that way.
dad,I know where we are!
voice,"Hey, mister. Gimme a dollar?"
derelict,"Mister. How about it. One dollar?  One dollar, man. Are you deaf? Are you deaf? -- Do you speak English??"
street punk,"Do the kid a favor, lady. Don't scream."
nick, Don't leave home without it.
eddie,"Let's beat it, man. I don't like being up here."
nick,"What, scared of heights?"
eddie,"I dunno, man. After what happened to Johnny Gobs --"
nick,"Look, Johnny Gobs got ripped and walked off a roof, all right? No big loss."
eddie,That ain't what I heard. That ain't what I heard at all.  I heard the bat got him.
nick,"Gimme a break, will you? Shut up..."
eddie,"Five stories, straight down. There was no blood in the body."
nick,No shit. It was all over the pavement.
eddie,"There was no blood, man.  My brother says... all the bad things you done... they come back and haunt you..."
nick,Listen to this. How old are you? There ain't no bat.
eddie,"My brother's a priest, man."
nick,No wonder you're such a chickenshit. Now shut up.  There ain't no bat.
eddie,"You shouldn'ta turned the gun on that kid, man. You shouldn'ta --"
nick,Do you want this money or don't you? Now shut up! Shut up --
batman,I won't kill you. I want you to do me a favor.
dent,... it is no longer enough to go after the small-time punks and petty criminals who infest the streets of Gotham City. Crime and corruption must be attacked at the root!
dent,"If elected, my first act as district attorney will be to return an indictment against Boss Carl Grissom!"
dent, Together we can make Gotham city a safe place for decent people to live and work and play.
jack napier,Decent people shouldn't live here. They'd be much happier someplace else.
alicia,Anything new?
jack,The usual gas. If this clown could lay a hand on Grissom... I would've had to kill him by now.
alicia,If Grissom knew about us... he might kill you.
jack,"Don't think so, angel. I'm too valuable. That's the way I've planned it.  And besides, he doesn't know."
alicia,"You look just fine, Jack."
jack,... I didn't ask.
medic,That one there won't say a word. The other one's raving his head off.
eckhardt,"Variety, huh? The spice of life."
patrolman,They found him hugging a drainpipe. He was scared to come off the roof.
knox,"Great, but tell me: is this another you-know-what? 'Cause if so, it's the third one this week."
patrolman," I dunno. What's ""what""?"
knox,Good answer. I'm gonna put you in for a commendation.
eckhardt,"Oh Christ, it's Knox."
knox,"Hiya, gents. This anything I should know about?"
eckhardt,Nothing out of the routine.
nick,"A bat, I tell you, a giant bat! He wanted me to do him a favor...!"
knox,"No offense, boys, but these guys are seeing something up there."
eckhardt,No comment. Print what you like.
knox,Come on. One question. Is there a six-foot bat in Gotham City?
jack,You didn't show up.
eckhardt,We had another bat sighting.
jack,I'm sure that was vitally important. Listen: things are heating up. Someone is leaking information to Harvey Dent.
eckhardt,I'm doing the best I can. If it's a problem --
jack,Eckhardt... our problems are your problems.
eckhardt,I'll work on it.
jack,"Very nice, Lieutenant. But a little ostentatious on a cop's salary, don't you think?"
eckhardt," I answer to Grissom, punk. Not to you."
jack,"You're a smart boy, Eckhardt. You should be thinking about the future."
eckhardt,"Ambition.  Forget it, Jack. You'll never run that organization."
jack,And why's that?
eckhardt,"You're a psycho, friend. You're an A-one crazy boy and Grissom knows it."
jack,Here. Use mine.
knox,"What have you got for me, Jerry?"
colleague,"Hey Knox, you got a visitor."
knox,"I'm real busy, Clark. Be a pal and dust him, okay?"
colleague,This one you might want to dust yourself.
knox,... Vicki Vale.
vicki,How'd you know it was me?
knox,Honey -- I would know any randomly selected square inch of Vicki Vale.  If I had a good enough hint.
vicki,"A nice, restful vacation."
knox,"God, a girl could get hurt doing this."
vicki,I do get hurt.
knox,Got any more of those?
vicki,Nothing I'm at liberty to reveal here. What's new and hot in Gotham City?
knox,"It's too good, Vick. We got a six- foot bat that swoops out of the night and preys on evildoers."
vicki," Evildoers, huh? Big or small?"
knox,"Small so far. I mean -- they don't allow bats in boardrooms, do they."
vicki,Speaking of which... I hear the notorious Bruce Wayne is throwing a big do for the Harvey Dent campaign.
knox,Yeah. Hottest ticket in town. Every law'n'order freak in the city's gonna be there.
vicki, No.
knox,"Well, I'm starving. Will you at least buy me a hamburger?"
vicki,"Yes, but please -- be gentle."
grissom,Nine points ahead in the new poll. I don't like the way this is shaping up.
jack,We can always pop him. -- Or pop someone close to him.
lieutenant,Let's feed him to the bat.
grissom,"He's going after our front companies. Specifically Ace Chemical. Which would tie us in with Councilman Kane, Senator Miller... on up the line.  We have to clean out our files before the subpoena comes down."
lieutenant,How do we go? The usual fire?
grissom,"I'm thinking break-in. Trash the office, remove the relevant documents..."
jack,"""Industrial espionage."""
grissom,That's right. And Jack --  I'd like you to handle this operation personally.
jack,... Me?
grissom,"Hello, sweetheart. I wonder if you'd mind waiting in the other room."
jack,Why do you need me to handle a simple break-in?
grissom, Because I want someone I can trust.
jack,I understand.
grissom, Jack. Don't forget your lucky deck.
knox,How high up would you say that is?
alfred,"I'd say about thirty feet, sir."
knox,"You know, if you cut your bathroom in half, you'd have my apartment."
alfred,"Which bathroom is that, air?"
knox,The small one.
vicki,"Some. I am a rich bitch, remember.  I'm quoting."
knox,"Yeah, I guess we move in different circles. -- Though I did meet a one-eyed pimp last week."
knox,Commissioner Gordon! What do you hear from our pointy-eared friend?
gordon,"Knox, for the ninth time, and you can quote me -- there is no bat."
knox,"Aww, Commissioner. There's gotta be one honest cop in Gotham city."
dent,"How's your luck, Jim?"
knox,Mr. Dent. What's your stand on winged vigilantes?
dent,"Mr. Knox, I think we have enough real problems in this city without worrying about ghosts and goblins and Halloween characters."
knox,"My question is, where does one man get all this junk."
vicki,"All over the world. They say he spends most of the year overseas -- until recently, anyway."
knox,Holy shit...
vicki,Just what I've heard. Rich. Reclusive. Old money and lots of it.
knox,Likes to kill?
vicki, Women find him magnetic.
knox,I bet they like him for his big charity balls.
vicki,"That, and the sweet smell of two hundred million bucks."
knox,"Well, you know me. The more they've got, the less they're worth.  This guy must be the most worthless man in America."
bruce wayne,You disappoint me. Why not the world?
knox,I assume in my usual charming manner I've just insulted the host.  Alexander Knox.
bruce,Bruce Wayne. -- I've read your work. I quite like it.
knox,Great. Give me a grant.
bruce,I might consider it if you introduce me to Miss Vale.
knox,"""This is Miss Vale."" -- That felt redundant."
bruce, You're just back from Corto Maltese. I saw your combat photos. Quite a departure for you.
vicki,That's intriguing. They haven't been published yet.
bruce,... You have an extraordinary eye.
knox,Some people think she has two.
vicki,Don't mind my friend. He's a little nervous tonight.
bruce,I don't... seek publicity. -- Will you be staying in Gotham for a while?
vicki,As far as I know.
bruce,Good. Then with any luck we'll run into each other.
alfred,"Excuse me, sir. Commissioner Gordon was compelled to leave -- very unexpectedly. He asked me to convey his regrets."
bruce,"Thank you, Alfred.  And you."
knox,"I know the rich are different, but that guy is real different."
vicki,Oh. Sorry. I was thinking.
knox,What were you thinking?
