Speaker,Dialogue
gareth,I suppose we could just sack him. CUT TO:
cut to:,EXT.    THE STRAND.     DAY.
cut to:,INT.   NATIONAL GALLERY.    BOARDROOM - DAY
gareth,"Look, I don't hate the man but ..."
lord walton,"I know, Gareth. It's the mental strain he inflicts on us all. How is Professor Bradbury"
lord walton,"Mmmm, and how far are we with the computer, Hubert?"
hubert,"Timothy is loading the final catalogue data as we speak, Milord. An awful thing to say, but when the program's up and running our, Mr. Bean will become a little less than .... useful?  A glimmer of hope."
guard," Morning, Bean."
gareth,Maybe it would be simpler to pack all our paintings onto trucks and move the entire National Gallery somewhere else. And not tell him.
hubert,Seconded.     We could all move to France.
george,All those in favour.
lord walton,Come on - settle down everyone. CUT TO: INT.   NATIONAL GALLERY.    ELEVATOR - DAY
vincent,I'm sorry I'm late.
vincent,"Steady on, old man. I only ..."
gareth,"Not you, you idiot."
cut to:,INT.   NATIONAL GALLERY.    CORRIDOR - DAY
suit man,"Ah Bean, I'm looking for a painting by Van Hocht.    Still Life."
suit man,"What would we do without you! The entire inventory of British Art stored in that one, curious brain of yours."
gareth,"Then we are agreed, gentlemen.   He goes."
vincent,Only if we're positive that the new catalogue database will render Mr. Bean's hitherto 'talents' obsolete.
hubert,There's no question.
lord walton,Very well.   Mr Bean is.... art history.    We can all stop taking the pills.
lord walton,"Miss Hutchinson, would you send Mr. Bean up to the boardroom, please."
lord walton,"Thank you.  One final thing. Once again we have been invited by the Grierson Gallery of Southern California to second one of our staff for a short visit. The Grierson has a fairly modest collection - but it does include the most famous American painting of all, 'Whistler's Mother'. Any thoughts?"
lord walton,"Yes. Sir Rupert. And may I say sir, how honoured we are that you still grace us with all your time, wisdom, and infinite knowledge. Your invaluable thoughts, sir?"
sir rupert,Could you speak up please. I didn't catch the question.
suit man,"Thank you, Bean.      You're a genius."
miss hutchinson,Mr. Bean.     Lord Walton would like to see you in the boardroom.
cut to:,INT.     NATIONAL GALLERY.      CORRIDOR.   DAY
programmer,What's happening here?
bean,Ahm...
bean,Ah.... Ahm....
cut to:,INT.     NATIONAL GALLERY.      BOARDROOM - DAY
lord walton,"You have your voting slips, gentlemen.          Please remember the"
lord walton," Ah, Mr. Bean. Please take a seat for a moment.      I have some news which will not, I'm afraid..."
lord walton," Yes?     Put him on... Timothy. The computer ... Yes... When? How? All    of it? Absolutely all of it? Did you back it up? How long will    it ... ? Another six months. Fair enough. Come up here will    you, dear boy."
lord walton,"As I was saying, gentlemen. The Grierson Gallery. South California. Great opportunity. Thousands-of miles-away though it is. Doctorate or  no doctorate, perhaps"
lord walton,Mr. Bean.     Wonderful news. You are going to America.
lord walton," Ah, Timothy.    You're sacked."
grierson,Lord Walton assures me this guy's one of the very top scholars in the English art world. Has a couple of doctorates no less.
bernie,Great news.
9,"First, catching under the handle - then the couch, then"
mix through to:,INT.    AIRPORT.   RECEPTION DESK.   NIGHT
grierson,So ... I'm wondering if one of you would have this guy stay in your home instead of some expensive hotel.
bernie,"Love to, sir, but no can do. No spare room.   Period."
grierson,David?
david,"Oh, look, I mean, it's kind of the last thing... I mean, I'd really like to, but... things at home are kind of sensitive, so I couldn't really er ..."
grierson,"I thought perhaps as Vice-President, and in view of the unfortunate attendance's for the summer show this year... the MASSIVE financial LOSS ..."
david,on the other hand ... maybe a breath of fresh air is just what my family needs ... Yes. Great news. Fabulous. Triumphant. Course it might need a little smoothing over. When's he due?
grierson,Tomorrow.   You have a problem with that?
david,No. Perfect.   Looking forward to it. CUT TO:
david,"Hi, Jennifer. How was school?  oh really? That's good, great. Fantastic. We'll talk some more."
charles,"Hello, David."
david,"Hi, Charles.  Wow - late!"
alison, I had to do some last minute stuff.
charles,"My fault. We've got a heavy load on at present.     How about you, gallery going well?"
david,"Ahm, well, you know ~ that's a tough question - on one' level I think it ...."
alison,"Don't ask him about work, Charlie. Life's too short."
alison,Kevin!   You stop that right now!
charles,Great kids.     Good looking too.
david,"You think so?    Well I 'spose they're pretty, you know... okay, looks-wise."
david,Ah ... absolutely.
cut to:,INT.   THE LEARY HOUSE.   KITCHEN - DAY
alison,"Let's take a break, David. This weekend, why don't we just get into the car and drive to the coast. Find a motel. Like before the kids were born. Go to a fairground. Win me another Bambi."
alison,Jennifer can stay and look after Kevin
david,"Sounds great. Excellent. Though-, Ahm... there's this guy who's coming to work at the Gallery, from England..."
alison, Yeeees?
david,And they asked me if we'd like to ... you know... put him up for a while.
alison,There aren't hotels?
david,"Yes, there are hotels. They just thought maybe it'd be nice for him to stay with a real American family. Popcorn, waffles, all that stuff."
alison, And what did you say?
david,I said I'd check with you.
david,Then I said 'yes'.
alison,Do we know anything about him?
david,Ahm - he's male. He's English. He's a doctor of er ...      at least 2 things. I think they would have mentioned if he was a     blind dwarf. Or one of those guys who kills lots of people all     the time. I think we're looking at someone moderately normal     here.
alison,David - are you ever going to learn to say 'no'?
david,Yes.   Yes.  Sometime.
alison,It's the last thing we need.
david,"That's exactly what I said ... before I said - Great, it's a sensational idea."""
kevin,"Hiya Dad ~ I'll need you upstairs for homework in about ....  oh, 20 minutes."
david,"Great, good."
david,"Didn't kids do their own homework, like way back?     Years ago? No. Course not. Just imagining it."
old lady,Be careful.   It's for my Grand-daughter.
jennifer,Oh come on - the guy's going to be a creep.   All Englishmen are ugly.
david,What makes you say that?
jennifer,"All the guys they claim are English to and good-looking like Dan Day-Lewis and Liam Neeson, turn out to be Irish. Even Anthony Hopkins is welsh. Prince Charles is so ugly they pay him two million bucks a year to stay indoors."
david,Richard Burton was very good-looking.
jennifer,Welsh.
david,Sean Connery.
alison,Scottish.
david,Tom Jones?
jennifer,Welsh again.
david,"Okay, so the guy's gonna look like Meatloaf's backside.    No-one's asking you to go to bed with him."
alison,Bed sounds good though.    Bed sounds great.
kevin, Who do you think is the ugliest guy who ever lived.
david,"Well, Michael Bolton's pretty grisly."
kevin,I vote for Bart.
jennifer,"Shut up, Kevin."
kevin,"NO, seriously - I know he's your boyfriend, but there's something about his upper lip that is so weird. What do you think it is, Dad? Jen says it's a moustache, I say it's a cluster of about 11 mosquitoes, resting."
jennifer,You know the thing I hate most about children?
kevin,Nope.
