Speaker,Dialogue
"may 8th, 2014",SHOOTING SCRIPT
agu,Which ones having talent?
dike,That one...not that one.
village constable,"Agu, what am I supposed to be doing with this?"
agu,"Watching TV, Massah."
villager constable,It is not having a screen.
agu,It is imagination TV.
village constable,"It is garbage. Go, get out of here."
2nd lieutenant,It doesn't have any channels.
agu,"It is having 12, and one more, that is the imagination channel."
2nd lieutenant,And how much for this treasure?
agu,3000. And you are giving us some of your foods.
2nd lieutenant,Take these.
big brother,What are you two girls plotting?
big brother,"Come, I have job for you."
old woman,Enh!   You are not greeting me?
old woman,"These young person not behaving well anymore, just acting like animal. But it is okay.  Trouble go follow you."
agu,No trouble go follow me. I am a good boy.
big brother,Trouble go touch you old woman if you stay standing in the middle of the road.
old woman,"I am knowing you, boy. I am knowing your family. And trouble go follow all of you. Thieves! Throw an old woman like me from her land! Devil go bless your family!"
father,What is wrong with you? You know you cannot waste batteries on such nonsense!
agu,I...
father,I?   I. I. I. what?
agu,I got them from the Nigerians.
father,We do not need handouts. We are not beggars on the street. We are not refugees. I work for this family and I provide for this family.
agu,But I earned-
father,You will return them.
agu,"Yes, Father."
father,"Good dancing.  Go on, help Mother."
father,"It's okay Agu, do not be worrying. We are in a safe place, we are in THE-"
big brother,"When I was your age, if I was doing the same things you are doing, Father would beat me. You are lucky this war is happening."
agu,I am not lucky. It is just because everyone is liking me.
big brother,"When she is seeing these, her knees must be wobbling with hunger."
big brother,"And you will see, I will be like this with all the girls in town."
big brother,We are seeing that witch woman on the road today. She is saying we are thieves. Why is she saying that?
father,"She is not right in her head. God has taken away her ration. The land we are letting the refugees use has been in our family since before your Grandfather, we gave her a place in the camp but she refused."
agu,So she's crazy?
father,Enh?   What is that?
agu,Enh?
father,What is this?
father,Why so fearful? Doesn't the light go out all the time? It will come back.
mother,"Go on Agu, go to bed."
agu,No beating?
father,"Get up! Get up, now!    We are going to church!"
big brother,But it is not Sunday.
pastor,Isn't God protecting the Israelites when they are having to leave their own home?
agu,Where is Dike?
pastor,We cannot allow ourselves to face voluntary self-destruction. May God bless us all!
man #4,"What about our homes, property we leave behind? Our crops? Who will protect them?"
paramount chief,Linguist.
linguist, The Section Chiefs and their deputies should be assembling after this to discuss protection of this village. We all must do our part.
linguist,"The refugees are our problem, they are our guests."
agu,"Father, I am not seeing Dike."
father,It is my responsibility...
agu,"Father, where is Dike?"
father, Dike and his family are gone!     They fled.
father,"He cannot be moved, he is an old man. And I won't force-"
mother,Sometimes I am thinking that you are having no sense at all.
father,"What is so irrational about staying with your sister in the Capital, I will be coming to meet you once I am knowing everything is safe here. I cannot just be abandoning my responsibilities."
mother,But then you are abandoning us.
father,"Just remove that thought from you head. What are we just supposed to be doing, then? Enh? Just running into the bush and living like rats?"
mother,"No, you are not understanding anything. "
father,I am not asking you. I am telling you woman.
driver,Come back tomorrow.
father,"I am the Section Chief and this is my family, there must be space."
driver,No space.
father,Just one woman and these small small children.
driver,And the little boy?
agu," I am not a ""little"" boy."
father,"Him, too."
driver,And where are you thinking this woman and child will be fitting.
father,I am thinking this women and children are more valuable than all this luggage you have piled in back.
father,With the boy-
mother,We will find another way.
father, With the boy.
driver,No bargaining. Or are you wanting your woman to be walking through the bush to the capital?
mother,I would rather be walking then leaving my child. 
father, Please. How much to fit the boy?
driver,No boy.
mother,No. No we cannot!
father," Do not scare them. You are strong. You will be okay. Take care of them and I will take care of our boys. Now get in, there is no choice."
mother,"Remember to be praying praying to God all the time and not to be worrying, we will be seeing each other soon."
agu,Mother!
father,"You are with the men now, Agu. Be strong, wave goodbye."
agu,Mama!
big brother,Let's go home.
agu, Will they be killing us?
man, Shut up!
man #2, If they are finding us...
man #3," They will drive our body into the bush, just leaving us for animal to be eating."
father," Do not be listening to them, Agu. No matter what happens, this is how God tests us, we must be strong."
man #2, I am rather to be outside than to just be dying like animal inside!
father,"We stay here, outside we die."
man #2,We must go!
father,You are killing us all!
man #3,"If you are running fast, then the soldier won't be seeing you."
man,"Shut up, quiet, they will be hearing us!"
father,Stay down!
sergeant,Which faction are you fighting for?
father,We are not fighters. We are from this town. We were protecting the stores.
sergeant,You are Native Defense Forces?
father,No. I am a Section Chief. We were tasked to stop looters.
old woman,I do not know them.
father,"This woman, everyone knows she is crazy. Just talk to her, Massah, you will see she is not right in the head."
old woman,"They are not from here, they must be rebels."
sergeant,"We, the armed forces of the National Reformation Council, find you to be spies and sentence you to immediate and summary execution.  Waste them."
father, Run!
voice,Make way!
commandant,Why is this thing here on the ground?  Who is catching this thing?
two-i-c,"Commandant, sah!"
commandant,What are we to be doing with this thing?
two-i-c,This thing? It is just a boy.
commandant,A boy.
ndf sbu,"Harmless no, sah!"
commandant,Does a boy not have eyes to see?
ndf sbu,"Two eyes, sah!"
commandant,A boy has hands to strangle!
two-i-c,Sah? We need to be move-
commandant,I said wait.  You are from Alpha Town?
agu,"My father is telling me to run. Run far far so the Army Soldier is not catching me and killing me. And then, and then I am just hiding in the bush and running running..."
commandant,And where is this your father?
agu, Agu.
commandant,Say it like you are proud of it.
agu,Agu.
commandant,"Agu, enh? Well, that is what I will be calling you then."
two-i-c,Formation!
commandant,You should be saying yes.
agu,Yes.
commandant,"Say yes, sah."
agu,"Yes, sah."
commandant,Move on!
rambo,Botu botu botu.
rambo,Water.
two-i-c," ...to protect life and property. If you are wanting to stay, then stay, but you must be initiated."
commandant,Two-I-C.
two-i-c,"Yes, suh."
commandant,This baby boy is your responsibility now. Train him.
two-i-c,"Yes, sah.  C/O Hope!"
hope,"Yes, suh."
two-i-c,This baby boy is your responsibility now. Train him.
chicken legs,Enh? What are you doing?
agu,I carried ammunition and water all day.
chicken legs,You think you are a soldier now?
ndf cook,Stealing from a dog?
agu,Which one of you is the dog?
preacher,The man who is driving the enemy to madness...
griot,He is treating death like lover.
hope,He is eating people.
commandant,"I am not eating people, Hope-"
commandant,Native Defense Forces!
ndf soldiers,"Strong, proud, and intelligent!"
two-i-c,How does the Commandant look?!
ndf soldiers,Alright!
two-i-c,...weakened by the PLF's outside pressure. The National Reformation Council took advantage of this instability and militarily seized power to restore UPC dominance. We NDF refuse to recognize this illegitimate government.
commandant,"You are knowing what that is meaning. Mosquitoes, sickness, muddy squalor. Suffering if we are caught with our ""soldiers"" hanging out."
two-i-c,...the Junta will tell the international community that we NDF are the reason this war continues.
commandant,"You, Hope, and you, Rambo, you are not from the same tribe as him.  But you are brothers before your enemy."
hope,"No, sah."
commandant,War?
rambo,"Yes, Sah!"
two-i-c,"The PLF could join the NRC, it would legitimize their cause, make us the sole enemy, and give them freedom to roam formerly Government controlled areas of the nation in policing actions. If this were..."
commandant,"We have defended ourselves against criminal rapings and killings of our own people, first by the PLF, and now by the NRC government."
two-i-c,"You see, the colonists have never left Africa. Our very own politicians will steal our resources and give them away for pennies in exchange for private payoffs...but..."
commandant,"They are licking their wounds. They are feeling our sting. We, along with our other brothers fighting further south under Dada Goodblood, we command and control what the NRC needs."
two-i-c,"The Grass People in the South East control the lumber and gold, the Clay and Charcoal people in the South West, diamonds and rare metals, and the Coastal people, petroleum and fisheries. This is the reason the NRC are trying so hard to be calling themselves a ""reformation council."""
commandant,Reformation of what? Money. Old men and money.
two-i-c,They have spit on the constitution. They have spit on your rights. They have tried to spit on your future.
commandant,"War has spoiled their minds, Gentlemen. So they could have ""their turn to eat."
commandant,War is a disease. It sickens and infects.
two-i-c,The richness of our nation is for the young.
commandant,"When there is an infection in your foot. A deadly deathly sickness in your limb that's going to kill you slow slow, what do you do?"
chief priest, You must die before you are reborn.
two-i-c,"Tomorrow we mobilize for major action, uniting all of our brother warriors under Supreme Commander Dada Goodblood, and with God's blessing, end this plague, end this war, end our oppression!"
commandant,"Young men! Gentlemen! We will not wait to inherit it, we will not wait for them to just give it to us, we will take it, we will seize it from their rotting and decaying old hands."
chief priest,"Eat the enemy if you bring him down. Become braver, his heart becomes your medicine."
commandant,"The spirits have blessed you and cleansed you. To the enemy, you are invincible. But there are rules you must follow to keep the spirits happy, to remain pure."
chief priest,No sex with women. No touching women. No talking to women. Stay pure. No looting. No touching dead bodies. No...
commandant,"Agu, you are a soldier now. The only way is forward. Do not be leaving any nice thing for the NRC or the PLF to be using if they are coming to this place."
chicken legs,Advancing in the rainy season?
griot,Everyone will be on zero-zero-one now.
agu,What is zero-zero-one?
preacher,"It is meaning you, me, we all be hungry."
griot,"It means no breakfast, no lunch, only dinner. If you are wanting to eat when it is not dinner, then you are having to keep your dinner from before to be eating the next day."
hope,"Or if we raiding or finding farm, then we can be eating what we find. Cow, chicken, baby... woman."
commandant,"It is even having a root like a cassava, but if you eat it, it will kill you with its poison."
agu,"Yes, sah."
commandant," You will destroy anything that threatens us. As I would anything that threatens you, understand?"
hope,"Don't worry, killing is easy."
chicken legs,"Besides, you already eating a man."
agu,What do you mean?
chicken legs,"What do you think was that ball of garri, the one you are eating in initiation?"
agu,They are calling you Strika?
griot, Morale booster.
hope," It is good juju, making you stronger and braver."
agu, And eating pencil.
hope,Shhh. They are coming.
army corporal,Please do not shoot us!
preacher,"Agu, where is the fucking ammunition?"
army corporal,"Please, Sah. I am an engineering student from the university in the capital. I am supposed to be fixing bridges, not be a soldier."
hope,Sah!
commandant,Open it.
griot,What is it?
commandant,"No, no, this won't do."
aide,A pistol?
two-i-c,Why not the cutlass?
cso,Does he have the strength?
commandant,"Rambo, seize him, hold his ass to the ground."
commandant,Always keep it with you.
two-i-c,"If you are losing it, then I will be losing you."
commandant,You are my Special Guards now.  Both of you.
cso,Suh.
commandant,Agu and Strika are now my Special Guards.
cso,"Yes, suh. Special Guards."
commandant,Gentlemen! Cover! Cover!
two-i-c,Cover!
agu,"Botu, botu, botu."
commandant,"...ooh, and they are having so many foods to be eating..."
two-i-c,"Commandant, sir!"
commandant,Who is this?
two-i-c,"Refugees, sir. They say the PLF and the NRC took their village three days ago. They killed most, but let these ones go."
commandant,"Well, let us be giving their village back, huh?"
hope, See what the PLF does to you?
commandant, Two-I-C?
commandant,Report.
two-i-c,"We are facing heavy fire, suh."
commandant,Can you take the bridge?
two-i-c,"I don't know, suh."
commandant,Explain.
two-i-c,"It's very difficult, suh. Our     men are fighting bravely but-"
commandant,"But nothing. Take the bridge, that is your task."
two-i-c,"We need support, suh. The men's spirts are low, suh."
commandant,"Agu, Strika, come here. Look at this."
commandant,These bullets?
agu,To always be leaving it off.
commandant,Off. How will you be firing quickly if it is in safety? Enh? Listen.
agu,What?
commandant, Sit.
agu,"Thank you, sah."
commandant,You see what happens when the men listen to me?
agu,"Yes, sah."
commandant,You are wanting to know how to be leading?
agu,"No, sah. I am happying to be following you, sah."
commandant,"That is good, Agu, because there is no learning to be leading. Some men is born to leading, other is born to following, and other is only waiting to be dying."
agu,"I am following you, sah."
commandant,"No, Agu. You are different. You are reminding me of me when I was a little boy, and this means you are borning to be leader. But even the best leader Agu, must first be learning to be good follower. Sometimes I even have to be following the Supreme Commander, if when I am not agreeing."
agu,"Yes, sah. I am a good follower, sah."
commandant,You are seeing this place. Supreme Commander is saying this is important. So it is important for me then.
agu,"I am thinking she is in the Capital, sah."
commandant,"After Goodblood greets us, we all will be going to the Capital, that is a certainty."
agu," Yes, sah."
commandant,Then be saying it.
agu,"I can be keeping this secret, sah."
commandant,"In this family where I am being father, we cannot have the other children getting jealous, Agu!"
commandant,"This is the nature of the place we are going. The homeland of the collaborators and traitors. Our people's blood has flowed for year. Now must their blood flow, too. Let us pray to the spirits and God."
voices whisper,Devil be blessing you. Devil bless what you do.
preacher,This way...
agu,What is wrong with them?
agu,What is wrong with them? Why are they crying?
preacher,Commandant won't let them go with him into battle.
agu,Where is this battle?
agu,Mother?
woman,"God, please take my daughter safely to heaven. Please Lord I am begging to You."
agu,Devil is not blessing me. Shut up! Shut up! Shut up!
commandant,"See, now it is your time to eat."
cso,"This is for you, sah."
two-i-c,From the Supreme Commander?   What does it say?
commandant,He is summoning us.
cso,Where do I instruct the drivers to take us?
commandant,To Taro -- The Town of Abundant Resources.
two-i-c,Did he state the reason?
commandant,No.
preacher,"Pardon me, sah."
commandant,What is happening to this one?
two-i-c,A piece of his own RPG is hitting his temple.
preacher,What do we do with them?
commandant,"Leave one living. Tell him to run north, to the next village, and to the next village after that, tell him to tell everyone that soon we come. This is just the beginning."
commandant,"Home, Agu."
preacher,Friend!
preacher,We are NDF. 
commandant,I am.
agu,These people do not run.
deputy,Commandant. Welcome.
commandant,Thank you Deputy.
deputy,We apologize for the inconvenience. We do not want to alarm the population by the arrival of such a large force.
commandant,When can they enter? I have-
