Speaker,Dialogue
andy,Okay. Is it on? 
oliver,Yeah yeah.
andy,This is for our friend Hal Fields. Hal. We love you.
oliver,You're coming to live with me now. Arthur looks at him.
oliver,This is my car. Arthur hops in.
oliver,"This is the dining room where people come and eat sometimes. The dog listens intently. Oliver moves on, the dog follows."
oliver,This is the living room.
oliver,That's the bathroom. The dog looks.
oliver,He was a museum director - she fixed up old houses.
oliver,"They had a child, and they stayed married for 44 years..."
hal,"I'm gay. Same camera angle, Hal still looking into camera we jump cut to him wearing a robe."
hal,"I'm gay. Same angle, we continue to jump cut through Hal talking to camera, each cut in different clothes, and with each cut his line has a different inflection.  HAL  ...I want to do something about it."
andy,"Since I came out to my father, he never speaks to me. That's why I've been always attracted to older men. Hal and friends laugh warmly at Andy. We cut to live action ""portraits"" of a priest, a therapist, the Primetimers, his movie-night club, and the large L.A. Pride group, all looking into camera.  OLIVER V.O. He found an out gay priest to guide him spiritually. He saw a therapist for the first time. He joined the Primetimers. Movie night. Los Angeles Pride, and then..."
oliver,"Look, its lonely out here, so you'd better learn how to talk with me. Arthur's face looks up at him filled with a dog's love and no words."
arthur subtitle,"While I understand up to 150 words - I don't talk. Oliver leans down, pushing his head into Arthur's."
oliver,I know. I know.
oliver,"Calm. Calm, calm breaths. Hal coughs."
hal,Oliver! Please help me with all these ropes. Oliver rushes and helps him.
oliver,"Pop, Pop, stop -- you're gonna hurt yourself. A NURSE quickly enters and helps hold down his arms."
nurse,"Mr. Fields, we're going to have to secure your arms again."
hal,You two married?
oliver,"No, Pop."
hal,"Why not? She's great. The nurse smiles, embarrassed, and continues with her job."
oliver,"She's a great nurse in the hospital, we don't really know her, you're very high on drugs."
hal,"You always have some very good reason, haven't you?"
oliver,"No, Pop, I just don't want to be like you and mom.  Thank you..."
georgia,"Oliver! He turns and Georgia shoots him with her finger, Oliver falls to the ground."
georgia,"Olly, you can do better. He gets up and she shoots him again - He falls more dramatically, knocking his head on the floor."
georgia,That's good. His mom looks at him affectionately.
oliver,Want me to read this? I found it in your books.
hal,"Yeah, alright. Give me the flashlight. Oliver opens it, they look at a few pages together, photos of serene gardens."
oliver,Nice.
hal,"Oh, that's nice."
oliver,"Oh, Andy brought those for you."
hal,"Oh, yeah? Hal continues to direct the light across the room, we follow the circle of light as it moves a cross a wall landing on a painting."
hal,"Oh, who did that painting?"
oliver,"Well, I don't know. Its just a painting on the wall. Hal continues exploring, Oliver's enjoying his father's curiosity, he lands on some photos displayed on the table."
hal,"A--, and these?"
oliver,"They're just photos, Pop."
hal,But how do they relate to the exhibit?
oliver,"They're just personal photos. They're not art. Hal slowly moves the flashlight up the wall, across the ceiling to a strange assortment of fire detectors, sprinklers, sensors, all laid out against the acoustic tile ceiling. Hal points up. Oliver looks for a beat, then..."
oliver,"Uh, well that's the water sprinkler thing."
hal,"Well, its beautiful."
oliver,What is?
hal,Putting the Japanese gardens there. It's just beautiful.
andy,Hal.
hal,"Andy! Andy gets on the bed opposite Oliver. He gives Hal a big kiss on the lips. Hal glows. Oliver backs away slowly. Andy picks up Hal's hand, turns it palm up and presses his face into it."
andy,I brought something for you. Oliver watches from outside the room as Andy excitedly pulls a portable tape player out of his bag.
andy,We made a recording for you.
hal,"Oh, God. Andy pushes play, on the recording we hear Andy's voice:"
oliver,"Jesus, Liz. Another band that wants portraits."
liz,"Well, at least it pays the rent."
oliver,"You do something decent once, and that's all people ever want. JUMP CUT through the different portraits developing. It's not what Oliver want's to do."
elliott,"Hi Liz. Oliver continues to draw, as Shauna and Elliott try to get his attention."
elliott,Oliver?
oliver,Yeah?
elliott,The pen is not your friend. The paper is not your friend. The party is your friend. We're your friends. Your friends are your friends.
shauna,I got the skills... he's got the moves...
elliott,I got the moves... you've got the skills...
oliver,"Arthur, you haven't been invited to this party. You're gonna stay and look after the house. Oliver tentatively shuts the door, takes three steps, Arthur begins to howl. Oliver tries to ignore it, but stops again. He looks back at the house and the howling."
elliott,"You remember when Oliver was funny? And he could actually, like, talk, in complete sentences?"
