Speaker,Dialogue
louise," ... Evening, Chance."
louise,"Then I got the hell out of that room and called the doctor and I think I woke him probably, he wasn't any too alert. He just said, 'Yeah, he's been expectin' it and said he'd send somebody over...' Lord, what a mornin'!"
chance, I'm going to work in the garden.
louise, ... I'll get you some eggs.
hayes," ... This is another world, Tom - I never would have believed it..."
franklin," ... You've quite a sense of humor, Mr. Chance - but all kidding aside, may I ask just what you are doing here?"
chance,Oh. Thank you.
chance,"I was given meals, and a home..."
chance, Those trees were very young when I first arrived.
franklin," ... Do you drive this, Mr. Chance?"
hayes, You never been in a car?
franklin," What are your plans now, Mr. Chance?"
chance," I'm fine, Thomas. The garden is a healthy one. There is no need for a claim."
hayes," Good day, Mr. Chance."
chance," Good day, Sally."
chance," ... Excuse me, would you please tell me where I could find a garden to work in?"
abbaz," Now, move, honkie! Before I cut your white ass!"
policeman,Good day.
david,"I'm very sorry, sir... I..."
chance, ... I can't move... My leg...
david, ... My Lord...
jeffrey,"This is terrible, sir -  I hope you're not badly injured..."
chance, It's very sore.
eve," ... Won't you let us do something for you? Your leg should be examined, we could take you to a hospital."
chance, There's no need for a hospital.
david,"Thank you, ma'am."
jeffrey,"Please, sir."
chance, Your family doctor?
chance,I agree.
eve,Would you care for a drink?
chance,Yes. Thank you.
eve, Oh? Certainly...
chance,"Hello, Eve."
eve,May I ask your name?
chance, My name is Chance.
eve,"Pardon me, was that Mr. Chance?"
chance, No. I'm a gardener.
eve,Oh... Mr. Gardiner... Mr. Chauncey Gardiner... You're not related to Basil and Perdita Gardiner are you?
eve," I'll see you after the doctor has a look at your leg, Mr. Gardiner."
chance," Yes, I think he should examine my leg."
chance, ... I've never been in one of these.
wilson,It's one of Mr. Rand's. Since he's been ill...
rand, ... Eve...
eve, You heard?
chance,"Oh, fine."
allenby," ... By the way, Mr. Gardiner, I would like to ask you something straight out."
chance, ... Straight out?
allenby, Then you wish to handle this matter through your attorneys?
allenby," ... Well, then... You're a very funny man, Mr. Gardiner. You caught me off guard, I must admit..."
chance, Thank you.
allenby," I'll send Wilson up to take you for X-rays, Mr. Gardiner. Feel free to use the telephone, and please let me know if you have any discomfort."
chance," Yes, I will."
rand,"Welcome to Rand Memorial Hospital, Mr. Gardiner."
chance, ... I see.
rand,"Sure you do. This ward is air tight, I have a little extra oxygen pumped in, keeps my spirits up."
chance,Yes. I like that very much.
