Speaker,Dialogue
lady mary,"Elizabeth Murray, bring yourself back here this very moment!"
lord mansfield,What in God's name have you done!!
lord mansfield,A detail you chose NOT to share.
lord mansfield," Captain Sir John Lindsay, do you find me a fool? She is a MULATTO!"
lord mansfield,How do we raise her...?
lord mansfield,She takes your name?
lady mary,"We cannot have another Elizabeth in the household. LADY MANSFIELD regards the child, then looks to her husband, gravely. He turns his back - aggrieved."
lady mansfield,"We...we will call her Dido.  Good Lord, she is thin. Mary, find her something to eat. LORD MANSFIELD storms from the room. LADY MANSFIELD follows. LINDSAY kneels, choked with emotion."
lady mary,You little....
lord mansfield,"D'you see here...? This..this is your grandfather, Sir Alexander Lindsay of Evelick."
dido,Elizabeth's papa.
lord mansfield,"Indeed. He discovered her mother aboard a captured Spanish slave ship. He was charged with conveying it back to these shores, he tells me. LADY MANSFIELD Evidently he had some...`feeling' for the woman. LORD MANSFIELD  Elizabeth was much in need of a companion."
lady mansfield,"And that is what we shall say when questions are asked of us? LORD MANSFIELD We shall say that in accordance with her birthright, she is entitled to live beneath this roof.  Such...is the nature of `order'."
lady mansfield,And where in this `order' should her colour be placed? Below or above her Murray bloodline? ...NOT...in company. We cannot escape society's confines on etiquette LADY MANSFIELD Marriage?
lord mansfield,"Impossible. Any match her..'other origins' may attract would surely disgrace her and the family rank. LADY MANSFIELD And when we are no longer here? No husband - who will take care of her? He rubs his eyebrows, perturbed, turns back to the lawns."
reverend davinier,"...for it is the power of God unto salvation to every one that believeth. So saith Christ the Lord. Amen. CONGREGATION Amen.  A FLAME as a YOUNG MAN lights a candle by the altar. He sings, choir-like, the word `amen' rather than simply saying it. REVEREND DAVINIER Hymn no. 76. ON the MANSFIELDS as the congregation begins to sing."
dido,"Have I wronged you, Papaa?"
lord mansfield,You have done no such thing.
lord mansfield,"I have not past experience in the ways of breaking grave news to you. He hands her a letter and she reads. A beat, as the news resonates through her, silently. Her pained gaze slowly rises to meet LORD MANSFIELD'S."
dido, I thought I should one day have the opportunity to make his better acquaintance. LORD MANSFIELD Yes.   I know.
elizabeth,"Two thousand pounds a year? ELIZABETH sits at the edge of the bed in day clothes. DIDO nods, her back to us as she stares out through the window. ELIZABETH  Then you are an heiress! He has left you your fortune!"
dido,He did not know me.
elizabeth,"My father's new wife wishes him to leave me not a thing, and he obliges her."
dido,"Then it is her cruelty you should lament, Bette, not his stupidity. ELIZABETH I think he might have loved me more if Mamaa had not died."
dido," I...I think love must be a very complicated thing.  ELIZABETH lifts her head to look across at DIDO. ELIZABETH Dido - with such a dowry you may marry into any good family you wish. OFF DIDO as she stares at the ceiling, daunted."
elizabeth,Visitors? Who ever bothers to visit us here? DIDO Or leave... except the dead!
dido,"I will do your hair, Bette. Oh say we may wear them, Aunt Mary."
lady mary,"You will not be dining with us, Dido."
dido," Yes of course. But I may join after dinner, may I not?"
lady mary,"Yes. Such are the rules, and you know them well."
lord mansfield,"Dinner with guests is a formal proceeding, Dido - we simply cannot impose the disregard of those formalities upon visitors. DIDO But...Papaa, am I not..'wealthy', now...an heiress? Surely that changes matters... LORD MANSFIELD "
elizabeth,There you are. I have been searching for you! LADY MANSFIELD  What a wretched countenance!
lady mary,"She deplores my authority. What am I in this household, if not the `observer of rules'?!"
elizabeth,I would rather dine with Dido!
lady mansfield,What a great pity
lady mansfield,"Our young gentlemen guests shall miss you, Elizabeth. Both girls' eyes widen - DIDO's with disappointment."
lady mansfield,And most agreeable by all accounts! ELIZABETH'S mouth falls open. LADY MARY leans toward her.
lady mary,"Close your mouth and understand: There shall be no discussions tonight in any languages other than English! No whisperings in gentlemen's ears - not in Latin, Italian...and certainly not French!"
elizabeth,"I said...`Your hands have the suggestion of a sensitive man'. She wrinkles her nose, minxish. Across the table... LADY ASHFORD I must say, the entire country barely breathes awaiting your judgement on this appeal. Terrified you shall destroy England, no doubt. I know Lord A is. He does wonder though, what can be taking you...so long? LORD MANSFIELD  Your husband of all people knows this. LADY MARY My brother is not a man of rash instinct. LADY MANSFIELD For that we are all grateful."
lady ashford,"What a lot of fuss over dead cargo. LORD MANSFIELD It is a fuss over the bread and butter of a great many in these isles. A great many, Lady Ashford.  OFF LORD MANSFIELD'S distaste...."
wimbridge,"Miss Lindsay? DIDO There are poachers wandering...! The sound of the echoing doorbell, jolting DIDO. Her eyes dart to the door. WIMBRIDGE hesitates, then answers."
dido,"Sir, I do not believe we have been introduced! JOHN takes hold of himself, half mortified, half irritated. JOHN Indeed. I...I...  Please inform the lady of my apologies for startling her. I took advantage of the back fields, by way of a short-cut to deliver this to Lord Mansfield... from my father."
wimbridge,Sir? He hands WIMBRIDGE an envelope. JOHN Reverend Davinier.
wimbridge,"Of course, sir. I will see that he gets it immediately..."
john,"Yes, of course...thank you. He backs away. DIDO still shows him nothing but her back."
wimbridge,"Good night, sir. He moves off, and is gone as DIDO finally turns, stares at the closed door, flushed."
lord mansfield,Dido...my dear.
lady ashford, ...a lady.
oliver,"Capital! LADY ASHFORD I hadn't expected her to look so...black. OLIVER Mamaa, did you not listen to the rumours when you were spreading them? DIDO curtseys respectfully to LORD MANSFIELD. LORD MANSFIELD May I present to you the second of my nieces - Miss Dido Lindsay."
oliver,"A pleasure, Miss Lindsay."
elizabeth," He is the eldest - to inherit the entire Ashford fortune. He is also to inherit from his uncle - a healthy man, who shows little sign of departure."
dido,How do you know?
elizabeth,Lady Ashford herself. She seems rather despondent at her brother's robust constitution.
james,I find her repulsive. OLIVER I suppose she is...if you find a most rare and exotic flower so. She is quite something to behold.
james,"One does not make a wife of the rare and exotic, Oliver. One samples it on the cotton fields of the Indies..."
oliver,"So far, when it is right at my door?"
james,...Then finds a pure ENGLISH rose to decorate one's home. OLIVER smiles. OFF both men - trained on DIDO.
lady mansfield, Any day now.
oliver,She is an heiress. A seamless change of heart for LADY ASHFORD. LADY ASHFORD Although exceptions can be made.
oliver,It is said that her father left her a rather vast fortune.
lady ashford,"I mean to say, if that is your inclination."
oliver,She is rather soft on the eye - I have thought no further Mamaa.
