Speaker,Dialogue
josh,"You are standing in the cavern of the evil wizard.  All around you are the carcasses of slain ice dwarfs...Melt the wizard.  What do you want to melt him with?  What do you think I want to melt him with...  Your hesitancy has cost you dearly.  The wizard, sensing your apprehension, unleashes a fatal blow from the ice scepter.  With luck, you will thaw in several million years.  Great."
mom,"C'mon Josh, it's starting to get awfully late!"
josh,Okay. Okay. Okay.
josh,"Take the garbage out.  Every day, take the garbage out...Rick Rodin is on the mound for the Yankees!  He looks into the catcher's mitt, shakes off the first signal, takes the turn, wipes the sweat off his brow, leans back and fires..."
billy,"Yeah!  Good-bye Mr. Spaulding!  ...Here, here!  Quick!"
josh,Got it.  Need it.  Need it.  Got it.
billy,"Hey.  Hey.  Hey!  You ever go by Simpson's desk when she's grading papers or somethin'?  When she's leaned over, you can see right down her shirt."
josh,No!
billy,Swear to God.
josh,Bra?
billy,"No.  No.  She's got one of those undershirt things.  So if you get real close to the board, you can see all the way down to her flowers."
josh,Woah!
billy,Yeah.  Give me your gum.
josh,Need it.  Got it.  Got it.  Need it...
billy,"Hey.  Hey.  Hey!  Oh my God, it's Cynthia!  How did a geek like Freddy Benson get a sister like that?"
josh,Beats me.
cynthia,Hi Josh.
billy,"Hi!...He says hi!...Unbelievable!  God!  She likes you!  I know she likes you!  I'll find out, okay!"
josh,Don't forget to call me after supper.
billy,Okay.
josh,Remember about Cynthia!
billy,Don't worry!  I'm as interested as you are.
josh,"So, will you tell me?"
billy,You're in!
josh,"What do you mean, I'm in?"
billy,Cynthia Benson!
josh,What about her?
billy,You ready for this?  She doesn't like Barry anymore!
josh,So?
billy,So what do you mean so?!  That's it!  She's available!
mom,Josh...?
josh,It doesn't mean...
mom,"Hey, it's after midnight.  Now say goodnight to Billy."
josh,Goodnight Billy.  I've gotta go.
billy,Goodnight Mrs. Baskin!  Sweet dreams.
dad,"Are you sure you want to go on this thing, Son?"
josh,Yeah!
mom,"Nah!  Nah!  I don't know about this one, Bob.  No, this looks too scary."
dad,It's okay.
josh,Oh my gosh!
mom,"See, I told you he doesn't want to go on it. DAD Son, you know, you don't have to go on this thing if you don't feel like it."
josh,No!  No!  It's just that I...I want to go on it myself.
mom,You do?
josh,"Yeah.  I think it's something...yeah, I think it's something I should do."
dad,Great!  Why don't we meet you at the ferris wheel.
josh,Half hour.
cynthia,Josh?
josh,"Oh, hi!"
cynthia,Hi!  Have you been on this before?
josh,This?
cynthia,Yeah.
josh,Yes.
