Speaker,Dialogue
george bush,This aggression will not stand. . . This will not stand!
dude,It's the LeBaron.
voice,"We want that money, Lebowski.  Bunny said you were good for it."
voice,"Where's the money, Lebowski!"
voice,"Where's the money, Lebowski!"
voice,"WHERE'S THE FUCKING MONEY, SHITHEAD!"
dude,"It's uh, it's down there somewhere. Lemme take another look."
voice,"Don't fuck with us.  If your wife owes money to Jackie Treehorn, that means you owe money to Jackie Treehorn."
chinese man,"Ever thus to deadbeats, Lebowski."
dude,"Oh, man.  Don't do--"
blond man,"You see what happens?  You see what happens, Lebowski?"
dude,"Look, nobody calls me Lebowski.  You got the wrong guy.  I'm the Dude, man."
blond man,Your name is Lebowski.  Your wife is Bunny.
dude,"Bunny?  Look, moron."
dude,You see a wedding ring?  Does this place look like I'm fucking married? All my plants are dead!
blond man,The fuck is this?
dude,Obviously you're not a golfer.
blond man,Woo?
woo,Yeah?
blond man,Wasn't this guy supposed to be a millionaire?
woo,Uh?
woo,Fuck.
blond man,What do you think?
woo,He looks like a fuckin' loser.
dude,Hey.  At least I'm housebroken.
woo,Fuckin' waste of time.
blond man,"Thanks a lot, asshole."
man,"Hot damn, I'm throwin' rocks tonight. Mark it, Dude."
walter,This was a valued rug.
walter,"This was, uh--"
dude,"Yeah man, it really tied the room together--"
walter,"This was a valued, uh."
donny,"What tied the room together, Dude?"
walter,"Were you listening to the story, Donny?"
donny,What--
walter,Were you listening to the Dude's story?
donny,I was bowling--
walter,"So you have no frame of reference, Donny.  You're like a child who wanders in in the middle of a movie and wants to know--"
dude,"What's your point, Walter?"
walter,"There's no fucking reason--here's my point, Dude--there's no fucking reason--"
donny,"Yeah Walter, what's your point?"
walter,Huh?
dude,"What's the point of--we all know who was at fault, so what the fuck are you talking about?"
walter,Huh?  No!  What the fuck are you talking--I'm not--we're talking about unchecked aggression here--
donny,What the fuck is he talking about?
dude,My rug.
walter,"Forget it, Donny.  You're out of your element."
dude,"This Chinaman who peed on my rug, I can't go give him a bill so what the fuck are you talking about?"
walter,"What the fuck are you talking about?! This Chinaman is not the issue!  I'm talking about drawing a line in the sand, Dude.  Across this line you do not, uh--and also, Dude, Chinaman is not the preferred, uh. . . Asian- American.  Please."
dude,"Walter, this is not a guy who built the rail- roads, here, this is a guy who peed on my--"
walter,What the fuck are you--
dude,"Walter, he peed on my rug--"
donny,He peed on the Dude's rug--
walter,"YOU'RE OUT OF YOUR ELEMENT!  This Chinaman is not the issue, Dude."
dude,So who--
