Speaker,Dialogue
riggan,"Sam, I can't--"
sam,Dad? What kind of--  What kind of flowers did you say you wanted?
riggan,Alchemillas. Or something soothing that smells nice. Listen I can't-- SAM It all smells like fucking Kimchi!
riggan,Then whatever looks nice. Anything but roses. No roses.
korean,Flowers don't need you touch! They need you buy!!!
sam, I hate this job.
riggan,Shit... Riggan throws on a sweater and stumbles into his slacks. He hurries out...
stage hand,Mr. Thomson.
riggan,Steve.
stage hand,It's Daniel.
riggan, Okay.
jake,"How's it going, buddy."
riggan,Great. It'd be even better if I could get Ralph to stop acting like he's in an educational video for syphilis... The camera moves off of them and onto...
lesley,He loved me.
ralph,Yeah. He loved her so much he tried to kill her.
laura,He tried to kill you?
lesley,"No.  you, bitch."" What do you do with a love like that?"
ralph,How is that-- That is not love and you know it. Why do you insist on calling it--
lesley,"You can say what you want, but I know what it was. RALPH What about you, Nick? Does that sound like love to you?"
riggan,Sorry I'm late.  I'm the wrong person to ask. I didn't know the man. I've only heard his name mentioned in passing. You'd have to know the particulars. But I think what you're saying is that love is absolute.
ralph,"Yeah. The kind of love I'm talking about is... The kind of love I'm talking about, you don't try and kill people."
lesley," It was love, Mel. To Eddie, it was. I don't care what anybody says. He was ready to die for it."
ralph,Ask her what he did after she left him.
lesley,"He shot himself in the mouth. But he screwed that up, too. Poor Ed."
ralph,"Poor Ed, my ass. The guy was dangerous."
laura,How'd he screw it up if he shot himself in the mouth?
riggan," Okay. Fugitives are on the run, Ralph. How many times do I have to-- Fugitives are scared. Give me more of that."
ralph, We lived like fugitives those days...
laura,Christ. What a nightmare...
ralph,"He used to call me at the hospital and say...  ""Son of a bitch. Your days are numbered."""
laura,Holy shit. 
lesley,Is he breathing?
jake,Someone call 911! Riggan slowly backs away from the chaos.
laura,Is that blood coming out of his ear?
jake," Where are you going? LESLEY Okay, he's breathing. What did he have for lunch?"
laura,Did anyone call for help?
annie, Wake up! Wake up!
crew member,Grab his legs. I got the top.
jake,Don't move him! Wait for the ambulance.  For the love of God! I could get a black audience in this theater faster than a doctor!
jake,Where are you going? We'll have the understudy ready to rehearse in five-- 
riggan,Forget the understudy. We have to postpone the preview.
jake,What are you-- It's a full house. We would have to refund all the--
riggan,Then do it. A crew member passes in the opposite direction.
crew member,How's Ralph?
riggan,He'll be fine.
jake,Wait. Wait. Fuck. Wait. RIGGAN Listen to me. It was going to be a disaster. That guy's the worst actor I've ever seen. The blood coming out of his ear was the most honest thing he's done so far.
jake,He's not that bad.
jake,What do you mean?
riggan,I--  I made it happen.
jake,Oh. Okay.  Are you drunk?
riggan,Find me an actor. A good actor. Philip Seymour Hoffman... JAKE He's doing the third Hunger Games.
riggan,Michael Fassbender?
jake,Doing the prequel to the X-Men prequel. They arrive at Riggan's dressing room.
riggan,What's his name? Jeremy Renner...
jake,Who?
riggan,The... the Hurt Locker guy.
jake,Yeah. He's an Avenger.
riggan," Look, I don't care. Find me someone. Riggan enters..."
jake, Ralph'll sue us. He'll sue us. And he's got a case.
riggan,Then make him go away.
jake,How do you suggest I do that?
riggan,"You're my   lawyer, my producer and my oldest   friend. We are going to make this   work. Now just get out there and   do what you were born to do."
jake,What's that?
riggan,I have no idea. But I have faith. Now go away from me. JAKE Do you think we should--
blond woman,"...and when we come back, an exclusive interview with Robert Downey Jr., who tells us about the billion-dollar Iron Man franchise. The talented actor invited us"
riggan,"""Breathing in, I embrace my anger. Breathing out, I smile to it."""
riggan,Not now!
riggan,No.
laura,Okay. Two words. Shia La Beouf.
riggan,That's three words.
laura,It's two.
riggan,Get out.
laura,I love you.
riggan,I don't have an actor. LAURA I don't have a life.
riggan,Laura...
laura,Fine. Whatever. 
riggan,Go away.
laura,So far? No fun.
gabriel,Why does somebody go from playing the lead in a comic book franchise to adapting Raymond Carver for the stage?
riggan,"Well... Absolutely. As you said... that Barthes said... Birdman, like Icarus..."
clara,Hang on. Who's this Barthes guy? Which Birdman was he in?
gabriel,"Roland Barthes was a French philosopher, who-- CLARA Oh. Okay. Sure. Now, is it true you've been injecting yourself with semen from baby pigs?"
riggan,What?
clara,As a method of facial rejuvenation.
riggan,Who told you that?
clara,It was tweeted by...  @prostatewhispers.
riggan,It's a lie.
clara,I know. But did you do it?
riggan,No!
gabriel,Are you afraid at all that people will say you're doing this play to battle the impression that you're a washed-up super hero?
riggan,No. I'm not. And that's exactly why 20 years ago I refused to do
han,Birdman 4??? You do Birdman 4???
jake,Okay. That's enough for today. Thank you for coming. We're expecting some great pieces from you...
riggan,"I don't want to look at it anymore. JAKE That was a present from the crew. Don't fuck with those guys, they're union."
riggan,I don't care.
jake,So... How'd it go?
riggan,Great.
jake, Did they ask about Ralph?
riggan,Nope.
jake,"Good. He did it, you know? The motherfucker threatened to sue us. Didn't even wait to get out of the hospital."
riggan,"And, what did you say? "
jake,"What'd I say? I said, ""You motherfucker. You're threatening me? ME? I swear to god, you fuck, I so much as get a letter from a lawyer, the press'll get the pictures we got off your computer."""
riggan,What pictures? JAKE The guy has a thing for nuns... in diapers. What do you care? You shouldn't have any knowledge about it anyway. The important thing is that I made him go away.
