Speaker,Dialogue
john,Hello.
john,"Hello, hello. Hello..."
john,"I don't believe in perfect love. You know, love that comes out of the sky like a thunderbolt and uh... This is ridiculous."
john,No. No no no. Nope.
john,"Running. Reading. Going out. Staying in. The countryside. Films, if they're good."
john,Thoughtful. Outgoing. Ambitious. Well-read. Reasonably popular. Balanced. Trusting. Quite attractive. Outgoing.
john,"Someone intelligent, of course. Kind. Pretty I suppose. But its not critical."
john,"We all have someone in our past who uh... one skeleton, if you like. We've all got at least one person, as it were, under the patio. Not literally of course. I suppose I only say this because I always thought people who did this sort of thing were... I had an image that they were losers. Not losers. A bit sad. But I think this is the modern world. And I think really it's quite a brave move. Quite a brave, reasonable thing to do."
john,Sorry can we start again?
john,Nadia?
john,I'm John.
john,Welcome.  Well. Look I didn't have a speech but...
john,Is that everything?
nadia,Yes.
john,Right. Okay. Good.
john,We can talk in the car.
john,"It's about forty miles from here. I don't know if you've looked at a map, it's close to London but it's a city in itself. A Roman city. It's a nice house. I'm having a problem with ants. I uh... It's the warmer weather. I can't seem to find the nest. Sorry, do you understand ""ants""?"
nadia,Yes.
john,I just can't find a nest. The root of the problem. I've looked everywhere. What's the Russian for ant? Sorry that's a stupid... Sorry. This is strange isn't it.
nadia,Yes.
john,I'm pretty nervous. Are you?
nadia,Yes.
john,"I mean... ""Ants."" ""I've got a problem with ants."""
john,I had this...
john,As a joke but uh...
john,So. Is it different to how you imagined it?
nadia,Yes.
john,I bet.  What about me? Am I how you imagined?
nadia,Yes.
john,"And how was the flight. Sorry, am I speaking too fast for you?"
nadia,Yes.
john,Do uh... Sorry. Can you follow me? Do you understand what I'm saying?
nadia,Yes.
john,Good. Or should I speak slower?
nadia,Yes.
john,Do you follow or should I speak slower?
nadia,Yes.
john,Uh... Are you a giraffe?
nadia,Yes.
john, Oh Jesus.
john,Oh Jesus.
john, Lounge.
john,Kitchen.
john,Bathroom.
john,Bedroom.
john,The uh... the other bedroom...
john,I'll get an ashtray.
answer machine,You have reached From Russia with Love. Our office reopens on Monday. If you are interested in our services...  Thank You.
john,This is John Buckingham from St Albans. I need to speak to you urgently. There's a critical problem. It's... Call me back as soon as possible. It's critical.
john,I don't know what to say. Your letters were in English. Good English. You said you'd studied English.
john,I can't take this.
john,I can't take it. I'm not really a ring guy.
john,Okay. No big deal. Thank you. Yes thanks. Thank you.
john,Good night.
john,You should go now. We'll talk in the morning.
answer machine,You have reached From Russia With Love. If you are interested...
john,Nadia. This isn't going to work. I'm sorry. It's been a terrible mistake. You must go.
john,I'm booking a flight for tomorrow. I'm sorry.
voice over,Problem solving. John identifies most problems within appropriate time frames...
voice over,Most of the time he develops several alternative solutions to problems...
voice over,He usually resolves or minimises most problems before they grow into larger problems...
clare,Good weekend?
john,Uh. Yeah. Pretty good.
clare,Do anything special?
john,Uh. No.
voice over,Communications. John listens and comprehends well.
branch manager,On one occasion John showed first class communication skills in a delicate customer situation.
branch manager,Judgment -- John makes able decisions in most areas of his job.
john,Thank you -- I think that's very fair.
voice over,It will feel very strange at first but then you get used to it.
trainer,Good. Again.
trainer,Very good. How does that feel John?
john,It feels good. Weird.
trainer,It's called Trust and Letting Go.
trainer,Trust and Letting Go.
john,Are you O.K.?
nadia,Today is bath day.
john,Sorry?
nadia,Today is bath day.
john,Bath day?
john,I don't understand.
nadia,Happy bath day.
john,Today?
john,Syevodnya?
nadia,Syevodnya
john,Happy Birthday. Happy Birthday.
nadia,Party.  Party. Syevodnya.
john,Yes. Party. Party syevodnya.
john,...It might just be a twenty-four hour bug...
clare,"Well you just get better. I'll tell Beaky. You just get some rest, ok?"
john,Happy Birthday to you. Happy Birthday to you. Happy Birthday dear Nadia...
yuri,You must be John. You seem very nice. Excuse me.
yuri,How's that? We can't drink our piss can we?
john,"Hang on hang on, sorry, but like, who are you?"
yuri,"You must find some glasses, small, for the toast, and some plates."
john,What are you doing here?
yuri,Sorry. You've lost me...
john,I'm asking what you're here for.
yuri,What?
yuri, You don't speak Russian? Pratsteetye! This explains your cold eyes.
nadia," ""Frenzy""."
john,Yes I know.
yuri, Alexei. Alexei and Yuri.
john,What did he say?
yuri,He says he feels safe here.
yuri,"She says she wanted to tell you but her English is shit. And no one speaks Russian, it's very hard for her. The light please."
john,I need to know who you are first please.
yuri,Oh.  We are Russian.
john,Yes. I know.
yuri,Good. 
john,And...
yuri,"And what? You mean from the beginning? Jesus. Can I uh okay, as we say in Russia can I cut a long story short. Okay. Nadia is my little cousin. Except she's not. But we say cousin. This is for you."
john,Hold on.
yuri,"Toast first then we talk seriously, I can see you are serious about us."
yuri,Just kidding.
john, So hang on. You're both Nadia's cousins?
yuri," Of course not. Alexei, he's is my problem."
john,Right.
yuri,We better watch him. He's crazy.
john,Right.
yuri,"I am actor, he is actor, although he is an actor stroke musician. I just noodle along, I'm not so good. He makes me look like a retard -- He smokes me. I don't mean he smokes me."
yuri,"I mean he smokes me. Do you say ""smoke"" in U.K.?"
john,No.
yuri,Right. So I can say he smokes me. So.
john,So?
yuri,"So I come to England with other actors to make shows, I meet this freak from Novgorod I tell him of you and Chicken and the birthday here we are."
john,What was that?
yuri,I asked her if you were happy to see us. I find it hard to tell with you.
john,Yes it's okay. Thank you for the food.
yuri,She says you are a little shy. I think I know this.
john,So how long will you be in England?
yuri,"Plans are for the architects, politicians and so forth."
john,You must have a visa or something...
yuri,You're asking for my documents?
john,"No, no..."
yuri,"We are all Europeans here. Europe, Tony Blair and Maggie Thatcher!"
yuri,So. You have nothing to say to your Fiancee? Maybe to wife of forty years it's understandable. Come on. You speak and I will translate.
john,Hello.
yuri,She says 'Hello' to you. Go for it John!
john,Uh. Do you like England?
yuri,Classic!  Thank God. She says 'Yes!'
john,Uh...
john,I can't think of anything. Hang on.
yuri,She says she has a secret to tell.
john,What?
yuri,She says she watched you at the airport.
john,When?
yuri," ""I saw you waiting there, by the gate."""
john,I...
yuri,"""I have these uh..."" She explains to you... ""When I was a little girl my father had these beautiful old glasses."" Like... I don't know the word. Like for watching uh... for watching the birds."
john,Binoculars.
yuri,Binoculars. He had these Binoculars he has kept from the war.
yuri,"The day before I left Russia my father gave me the old binoculars. He said that when I saw you I was to stand far away and look at you with these, and to examine your face closely. And if you were a bad person I could run away."
yuri,She says she took a picture.
alexei,Nasyekski.
john,What was that?
yuri,Oh nothing.
john,Tell me.
yuri,No. It is too judgmental.
john,Tell me what he said.
yuri,He says why did you send to Russia for a wife.
yuri,You are not ashamed of it? It's no surprise to want to love.
john,No. It's not that.
yuri,Do you believe in love?
john,I suppose it's... I mean define your terms.
yuri,"It's very strange. How many people are truly themselves with their love? It is the greatest human disaster and it is never in the newspapers. There are no Marches Against Heartache, no Ministries Against Loneliness, no Concerts Against Disappointment. We look away. And still we know in secret that nothing is more important to us. The one thing we all share but don't say. Look John I will show you something."
yuri,"Here look, something beautiful from Russia. Here is Life, there, take it."
yuri,"Here is bread. Khylep. This is work. We all need this, here eat."
yuri,"Good. But we cannot survive with just work, so here is meat and blood. Myasa. This is family and country, flesh, strength, eat."
yuri,"But again this is not life. Here is joy and pain. Chyesnok. Without these life has no flavour, is too serious. Eat."
yuri,But this vodka.  Is love. Only this magic changes you inside. The moon and the stars and the sun.
yuri,"This is a love song, a soldier's song to his beloved -- Alexei, he's Afghanstya, a veteran of Afghanistan. He saw terrible things."
branch manager,Quick word John?
branch manager,This is sensitive. Your car. Lovely car. Doesn't necessarily give the right impression.
john,Ch...
branch manager,To customers approaching the bank from the rear
john, Right.
branch manager,You can see why it's sensitive?
john,Uh... Yes.
branch manager,I'll leave it on your desk.
yuri, John. We can see you hiding.
yuri,How is bank?
john,Fine. I thought you were leaving today.
yuri,To be indoors on such a day. It's crime.
john,Hey.
yuri,He's just having fun. He's maybe too strong you know...
nadia,They go. John. They go.
john,What's wrong?
nadia,They go.
john,Of course. They go. Yes. Yes.
nadia,They go.
yuri,I understand. I'm so sorry
john,You can stay tonight.
yuri,I have brought you trouble. Maybe I should have come alone.
john,Good night.
yuri,John. You must call the Police.
john,What are you doing?
yuri,"John, I'm sorry. It's my fault."
john,What's he doing? What the fuck are you doing? Leave her alone.
yuri,He says sit down. Or he'll cut her.
yuri,Sit down please.
john,"Tell him to stop and let her go, and we'll talk."
john,Put the fucking kettle down.
yuri,John.
john,"Put the fucking kettle down. Tell, Yuri, tell him put it down or I'm going to make him."
yuri,"He says you scare him so much he must go to the toilet in his trousers. John, he is a soldier. A trained killer. We must do what he says."
john,What? What does he want?
john,What did he say? Tell me!
yuri,He says you are very sad ridiculous man. I don't agree of course. And that you must pay someone to have sex like a prostitute. Nadia is a prostitute. I'm sorry.
john,What does he want. The Russian shithead. What do you want ?
yuri,He wants money.
john,Tell him to put the kettle down and I'll give him money.
yuri,He wants a lot of money.
john,I'll give him money. Tell him to put the...
yuri,He wants the money from your bank.
john,I'll fuckin' give it to him! We'll go down there.
yuri,You don't understand. He wants all the money that is in your bank.
john,I've got eight hundred pounds. Oh Jesus.
john,Oh Jesus.
yuri,He is sure you can do this. Of course you can not.
john,Oh Jesus. Of course I can't.
john,Just leave her alone.
yuri,I'm so sorry.
john,Leave her alone.
branch manager,"Ah John. This is Robert Moseley, Head of South East New Business. Robert, this is John Buckingham."
moseley,Hello John.
john,Hello.
branch manager,I thought you could give us the tour this morning. Sort of be our Indian Guide.
john,Right.
moseley, Do you play?
john,Yes. I do.
clare,That's John. He's always surprising you with hidden talents.
moseley,"I used to be in a band. Keyboards. Sort of like very loud, uh -- very loud Marillion."
clare," Well, Maestro, give us a tune."
john,I'll give you a tune later.
branch manager,Take the ball and run with it John.
john,This is uh... This is the uh...
passing colleague,Morning John. Give us a tune.
john,I'll give you a tune later.
john,This is where we're doing Trust and uh... Trust and Letting Go.
moseley,"We're not doing this till the fourth quarter -- Has it, uh -- any results, has it been been beneficial?"
john,Yes.
clare,It's weird at first. Sort of exciting and frightening at the same time. Wouldn't you say John?
john,Yes.
branch manager,"We're starting to see results. This is Karen, who's uh... taking uh... it."
john,Excuse me.
colleague,"Morning John. Hey, Moseley's here."
john,I'll give you a tune later.
moseley,It's weird isn't it.
nadia,So?
alexei, You first.
yuri,Fifty thousand. Almost exactly.
nadia,"Sixty four thousand, eight hundred."
alexei,There's over eighty thousand here.
