Speaker,Dialogue
blade,-----
senior resident,Intubate her!
resident,Blood-pressure's forty and falling --
senior resident,"Jesus, her water's broken --  She's going into uterine contractions --"
dennis,So where we going?
raquel,It's a surprise.
dennis,I likes surprises.
raquel,"What do you have down there, little man?"
dennis,Heat-seeker.
raquel,I'll bet.
dennis,What the fuck are we doing here?
dennis," Fuck, I need a drink!!!"
raquel,"What's wrong, baby?"
blade,Where is Deacon Frost?
blade,Got something in your throat.
quinn,"Fuck you, Day-walker, I ain't saying shit --"
blade,Frost.
quinn,"You won't stop him, Blade. The Tide's rising, the Sleeper's gonna --"
dennis,Please don't --
assistant,"Brought you a baked potato, nice and crispy. Still warm, too."
curtis,"Jesus, that's rank --"
curtis,What's his story?
assistant,Paramedics said he was still screaming when they found him. Looks like some joker had stapled him to a wall.
curtis,Pretty.
karen,You took this off a DOA?
karen,This isn't human blood.
curtis,Then what is it?
karen,I don't know --  Look at this blood smear --
karen,"The red blood cells are biconvex, which is theoretically impossible. They're hypochromic, there's virtually no hemoglobin in them.  Look at the PMNs, they're binucleated, they should be mononucleated."
curtis,What about the chemistry panel?
julie,"Blood sugar level is three times the norm, phosphorous and uric acid are off the scales.  Like the woman said, impossible."
karen,"Curtis, it's three in the morning. I'm really not in the mood for one of your practical jokes."
curtis," It's not a joke. I've got the stiff sitting in the morgue right now -- look, just come up and see him, okay? Five minutes, that's all I ask."
karen,I thought you promised to give me some distance?
curtis,"This is purely professional curiosity, Karen, I swear."
karen,"Five minutes, not a second more. And I don't want to hear a word about ""us""."
curtis,No problem.
karen,You haven't started in on the internal organs?
curtis,That's weird --
karen,What?
curtis,"He looks different now, burns are less extreme, some of these wounds have closed up --"
curtis,"Tell me something, honestly, you ever have second thoughts about us?"
karen, Sometimes --
karen,-- but then I remember what an ass-hole you were and I'm snapped back to reality.
curtis,"Jesus, Karen, you're breaking my heart here --"
quinn, -- more -- blood --
blade,Now don't we look dapper?
karen, My shoulder -- dislocated --
blade,Whistler!
blade,She's been bitten.
whistler,"You should've killed her, then."
blade,She hasn't turned yet.  You can help her.
whistler,"No promises. You watch her close. She starts to turn, you finish her off."
whistler,Localized necrosis. She's borderline. Another hour and she'd be well into the change.
whistler,"Can you hear me, woman?"
karen,What -- ?
whistler,"You've been bitten by a vampire. We've got to try and burn out the venom, just like a rattlesnake bite --"
whistler,Hold her.
whistler," ""Dr. Karen Jansen"". Listen close, I'm going to inject you with an antidote made from allium setivum -- garlic. This is going to hurt. A lot."
frost,The Day Walker represents a unique opportunity. We'd be fools to waste it by killing him.
dragonetti," Deacon Frost. You refuse to speak our language, you insult the House of Erebus by using the humans' gutter-tongue, have you no respect for tradition?"
frost,Why should I respect something which has outlived its purpose?
dragonetti," I see. And what would you have us do with this ""half-breed""?"
frost,Study him. Unlock the secrets of his DNA. He's the key we've been looking for.
dragonetti,He is an abomination!
frost,Why should we spend our lives cringing from the daylight when his blood offers us an alternative? Enough talk. It's time we stepped out of the shadows!
pallintine,"You're out of line, Frost."
frost,Am I? Or am I just the first to say out loud what we've all been thinking?
dragonetti,"The shadows suit us, Frost. We've existed this way for thousands of years. Who are you to challenge our ways?"
