Speaker,Dialogue
leon,Okay if I talk?
leon,I kinda get nervous when I take tests.
holden,Don't move.
leon,Sorry.
leon,Already had I.Q. test this year -- but I don't think I never had a...
holden," Reaction time is a factor in this, so please pay attention.  Answer quickly as you can."
holden,"You're in a desert, walking along in the sand when all of a sudden you look down and see a..."
leon,What one?
holden,What?
leon,What desert?
holden,Doesn't make any difference what desert -- it's completely hypothetical.
leon,But how come I'd be there?
holden,"Maybe you're fed up, maybe you want to be by yourself -- who knows.  So you look down and see a tortoise.  It's crawling towards you..."
leon,A tortoise.  What's that?
holden,Know what a turtle is?
leon,Of course.
holden,Same thing.
leon,I never seen a turtle.
leon,But I understand what you mean.
holden,"You reach down and flip the tortoise over on its back, Leon."
leon,"You make these questions, Mr. Holden, or they write 'em down for you?"
holden,"The tortoise lays on its back, its belly baking in the hot sun, beating its legs trying to turn itself over.  But it can't.  Not without your help.  But you're not helping."
leon,"Whatcha mean, I'm not helping?"
holden,"I mean you're not helping! Why is that, Leon?"
deckard,Contact.  This is Blade Runner One
voice,"Blade Runner One, stand by please."
voice,Deckard.
deckard,"Yah, Gaff."
deckard,You know where I been.  I been on vacation.
gaff,"Next time you go on vacation, do me a favor, let us know where it is."
deckard,What's up?
gaff,Holden got hit.
deckard,Bad?
gaff,Severed spine.  You'd better get in here.  Bryant's waiting for you.
deckard,I'll see you in a minute.
deckard,"Six, huh?"
bryant,Five.  Three nights ago one of them managed to break into the Tyrell Corporation.  Killed two guards and got as far as the Genetic Sector before he got fried going through an electro- field.
deckard,What was he after?
bryant,"There wasn't much left of him, so we can't be sure.  But bio- chemical data and morphology records of the Nexus-6 were reported missing.  Going on the possibility they might try to infiltrate we send Holden in to run Voight-Kampff tests on the new employees.  Guess he found himself one."
deckard,You got a machine on it yet?
bryant,We're using Esper -- a 231 -- that picked up Holden's alarm.  Its guess is that all five are in the city.
deckard,Where do we start?
bryant,"The Tyrell Corporation has a demo model.  Check it out on the Voight-Kampff.  There's a chance the Nexus-6 is beyond out ability to detect.  If that's the case, everybody's up shit creek."
deckard,What was the cover on the one that got Holden?
bryant,Industrial refuse.
deckard,Garbage man?
deckard,Did personnel have an address on him?
deckard,I'll go take a look.
deckard,Thanks.
announcer's voice,Choose from a variety of seventy nine different personality types. Each and every one a loyal trouble- free companion given to you upon your arrival absolutely free...
announcer's voice,"To use as personal body servant to tireless field hand -- the custom tailored humanoid robot, designed especially for your needs."
batty,Did you get your precious 'things'?
leon,Somebody was already there.
batty,Police.
