Speaker,Dialogue
male figure,That's great. We've got dick.  Is there any reason we had to embark on this cluster-fuck during the day?
danica,"Night-time's too tricky, Grimwood. You know that."
grimwood,What is this chicken-scratch?
danica,Cuneiform. Dates back about four thousand years.
grimwood,So why here?
danica,Because this was the cradle of civilization.  He would've been comfortable here.
asher,"I don't know, Dan.  Seems like another dead-end."
wolfe,I'm not so sure --
wolfe,There's something beneath us.
asher,Is that a body --?
grimwood,What the fuck --?!
asher,Radio back-up.  See if they can open it from the other --
danica,What's he been doing?
asher,Nothing.  Just sitting there since we brought him here.
hendrix, Do you think we've got enough security?
danica,"Hendrix, if he wanted to out of there - there isn't an army in the world that could keep us safe.  We didn't capture him.  He allowed us to take him in.  You understand?  Now open up."
danica,"Your people need you, Sire."
voice,What makes you think I wanted to be brought back?
danica,"Times have changed.  Science has made great strides.  Your blood, the sacrament you provide -- it can set us free now."
voice,I see.  And the one I killed earlier?  He was vampire?  You must forgive me.  It had been centuries since I last fed.
danica,I understand.
voice,"Then offer yourself to me, child --  -- and let me quench my thirst again."
asker,Danica!  Are you alright --?!
danica,Let him out -- he wants to see what's become of his world.
larry,"Tonight, Dr. Edgar Vance, forensic psychiatrist and author of the New York Times best seller ""Human Health: The Whole Being Breakthrough"".  Also with us is Martin Vreede, Chief of Police.  They're here for an hour and they'll take your calls.  Next on Larry King Live."
larry,"Dr. Vance -- you're a psychiatrist and a biochemist, isn't that right?"
vance,"Yes.  I've long believed that in order to achieve true health, we have to reconcile the body and the mind.  Of course that also requires letting go of a lot of our old notions and superstitions, which is what my work is all about."
larry,"Let's talk about that.  How do you account for the fascination with things that go bump in the night?  Movies, books, videogames -- seems like we can't get enough of our boogeymen?"
vance,"Monsters provide a means for us to transfer our more primal and darker urges into something external.  In the case of vampires, you're dealing with taboo issues like predatory rage and sexual sadism. These are scary subjects for people to own up to."
larry,So we pass the buck to someone else?
vance,"Exactly.  Historically, people suffering from medical conditions have always been our psychological scapegoats.  In the Middle Ages schizophrenia was often attributed to demonic possession."
larry,And vampires?
vance,"Well, there's a hereditary blood disease known as porphyria that has symptoms remarkably similar to the classic vampiric traits.  People suffering from this disease are anemic, they become sensitive to sunlight, they can't tolerate garlic --"
larry,"Which is too bad, since my doctor tells me that's good for the heart.  Chief Vreede?  What's your take on all the recent rumors we've been hearing about vampires?"
vreede,"The only vampires I'm worried about are the ones passing the bar exam.  Seriously, if vampires existed, don't you think we'd be on to them by now?  The truth is, our streets have never been safer.  Homicides, assaults -- violent crime is down across the board.  If people want to be concerned, they should focus on criminals like Blade."
larry,Now who's this?  Tell me about him.
vreede,He's a sociopath we've been pursuing.
vance,"Blade is a very disturbed individual. Even the name he's chosen for himself is troubling.  According to witnesses, he operates under the belief that a vast conspiracy of vampires live amongst us. You have to look at the psychiatric underpinnings here.  What does a person like Blade really want? Odds are, he's really trying to work out some kind of inner trauma.  He thinks he's slaying monsters, but he's really trying to murder aspects of himself."
blade,Whistler!  I'm on the Stonebridge overpass at Clemons --
whistler's voice,"Got it!  Heading eastbound, I'm just beneath you --"
whistler's voice,-- GO!!!
old woman,I hope that wasn't a dog.
blade,Staked you with silver.  Why aren't you ash?
gedge,"Why aren't you smarter?  Not a vampire, dumbshit -- set your sorry ass up --"
blade,How should I know?  He was human.
whistler,"You've been getting careless, Blade.  You kill a vampire, they ash, don't leave any proof of their existence.  But something like this, a human corpse, it's messy --  -- you better hope nobody IDed you."
woman's voice,"It was horrible.  The one car crashed, and then the guy in the coat was shooting the other guy --"
reporter, That was just a taste of the mayhem that occurred during tonight's brazen shoot-out that left at least four people dead.  Now apparently an anonymous citizen captured the whole event on video --
cumberland,"Book us a flight, Hale.  Time to take these cowboys down."
whistler,I'll take this too.
fbi agent,Subject is heading West.
cumberland,Got him.
whistler,"Somebody screwed us.  Your face is all over the papers, the television.  Media's eating it up."
blade,Like I care?
whistler,"You should.  Something like this --  -- taking out a human, even one working for the vampires -- far as the rest of the world's concerned, you're public enemy number one."
blade,Didn't realize this was a popularity contest.
whistler,"Damnit, Blade, don't you see what's happening?!  The fuckers are finally getting smart.  They're waging a goddamn PR campaign.  Now it's not just vampires we have to worry about, we're gonna have to take on the rest of the world too.  They've got us on the run.  These last few months we've barely been staying ahead of the curve."
blade,"You worry too much, old man."
whistler,"I've been doing this since before you were born, Blade.  The moment you stop worrying, you're dead."
whistler,"Since the day I found you, you've been like a son to me.  I taught you everything I know.  But I'm tired.  You understand?  EXT. INNER CITY STREET - NIGHT"
dingo,"C'mon, just pick one."
proof,"Once you buy a prize, it's yours and yours to keep."
flick,"Got it, got it!  Baby on board!"
dingo,Looks like we got ourselves a combo meal.
dingo,"Hey, pretty lady."
proof,Sophisticated mama.
dingo,"Scream if this hurts, chica!"
flick,--aghhk -- it's fucking garlic!
abigail,"Scream if this hurts, chica."
whistler,What is it?
blade,What you've been worrying about.
agent,On the floor!  ON THE FLOOR!
cumberland,Lock it down!  Keep them contained!
agent's voice, Some kind of self-destruct program! They're fragging their hard drives!
blade,WHISTLER!
cumberland,Take him down!
agent,Move a finger and you're dead.
whistler, How 'bout this one?
blade,WHISTLER!!!
blade,Who --?
cumberland,"Special Agents Ray Cumberland and Wilson Hale, FBI.  We've been tracking you for a long time."
blade,Whistler --
hale,Dead.  Just like all of your victims.
cumberland,How many people have you killed?  Thirty? Forty?  A hundred?
blade,Those were familiars -- people who worked for them --
cumberland,"And by ""them"" you mean vampires, right? I suppose next you'll be telling us that Bigfoot's in on the conspiracy too? So what kills these bloodsu~kers, tough guy? Maybe you can give us some pointers.  You can stake 'em, right?  Then there's sunlight -- what about crosses, Wilson? Do those still work?"
hale,"I don't know, Ray.  What if a vampire's Jewish?"
cumberland,That's a good point.  And does garlic work on a Hindu vampire?  Or do you need saffron or something?
cumberland,"You can keep doing your song and dance as long as you want, Blade, but it's not going to play.  You're a stone-cold killer.  And you're sick as fuck."
vance,"Hello, Blade.  My name is Doctor Vance. I'm with the Department of Mental Health. I've been charged with conducting a psychiatric evaluation of you.  Gentleman, would you mind giving us a few moments alone?"
vance,"I imagine this must be very frightening for you.  But I want you to know that I'm here to help.  In order to do that, however, I need to ask you some questions.  Now.  Can you tell me what day it is?"
vance,What about the President?  Do you know who's in the White House at the moment?
blade,An ass-hole.
vance," Alright then, let's talk about vampires -- what can you tell me about that?"
blade,There's nothing to tell.  They exist.
vance,And are you one of them?
vance,"What about blood?   When you drink it, do you find yourself sexually aroused?"
vance,"You see, it strikes me that this business of vampirism has strong connotations of sexual confusion.  Bodily fluids being exchanged, that sort of thing.  You have to ask where that comes from.  I'm wondering, for instance, what your relationship was like with your mother. Were the two of you close?"
vreede,"What's your assessment, Doctor?"
vance,"He's psychotic, with paranoid features, possessing dangerous levels of sociopathy. He's exhibiting disorganized behavior.  He obviously doesn't have a properly formed conscience --  For his safety and the public's, I'm recommending that he be transferred to County Psychiatric for further treatment."
cumberland,That's unacceptable.  This man's wanted in connection with a laundry list of federal crimes.  I need him on a plane to the Detention Center in Washington tonight.
vance,"Agent Cumberland, that man is in no condition to undergo prosecution."
hale,"Chief, we've got a federal arrest warrant here that clearly supersedes --"
vreede,"I don't care about your warrant.  We're in my jurisdiction now.  You've got an issue with that, you take it up with the local magistrate."
vance,"I'm sorry, gentlemen, but the call has already been made.  A team from the hospital should be here momentarily to oversee the transfer."
danica,Hi.  We're here to transfer a patient to County General?
vance," Just a little something to keep you compliant.  The normal dose is two, maybe three hundred milligrams.  But for a strapping young hybrid like yourself --"
vance,-- I think we'll kick it up to a couple thousand.
vance,"There.  That wasn't so bad, was it?  You're weak, aren't you?  In need of your serum.  Who would've guessed a mere human like myself could overpower you?"
blade, You're with them -- a familiar --
vance,Going on five years now.
vance,"It's the end-game, Blade.  All their plans are finally coming to fruition.  So just sit back and enjoy the show."
blade,"He's one of them!  Damnit, he's working for them!"
cumberland,Just hold it right there --
danica,"Easy, lover. You're not going anywhere."
danica,"We moved the humans around like, pawns, Blade.  Used them to flush you out."
grimwood,"Don't worry, Captain Sunshine.  Soon as we get you out of here, you'll get a chance to play."
danica,"Don't make this any harder than it has to be.  You're all alone, Blade.  No one can help you now."
king,Why'd the Polish vampire starve to death?
king,He kept biting his own lip.
danica,King!
king,"Let's FLY, kemosabe!"
cumberland,He's getting away!
king,"Don't die on me, you undead motherfucker!"
king,Whistler!  We need that serum NOW!
king,"Hey Blacula, you ready to shake and bake?"
blade,Call me that again and I'll give you fucking brain damage.
king,We're pinned down!  Can't you do something?!
blade,I can't shoot around corners!
abigail,I can.
blade, My sword.  They still have it.
king, Are you insane?!  We're practically home free!  We can't go hunting for your fucking butter-knife now!
king,Hey!  HEY!!!  COME BACK HERE!!!  This is supposed to be a rescue!
abigail,"Forget it, King.  Let's move."
blade,Now we can go.
king, Is he epic or what?
dex,My name is Dex.  And I'll be saving your ass this evening.
dex,We have him.  We'll be there soon.
king, So my entrance back there -- what do you think?  Too flashy?  Right on the money?
blade,Who are you people?
king,"My name's Hannibal King.  I'm a hunter, like you.  And this little hellion is Abigail Whistler."
king,"That's right, Blade.  You're not hearing things.  She's Whistler's daughter.  You see, Abby, Dex, myself -- we're all part of Whistler's ""contingency plan""."
king,Juicyfruit?
blade,I thought the vampires murdered Whistler's family.
abigail,"They did.  I'm the product of an earlier fling of my Dad's, born out of wedlock. After the murders happened, he kept me hidden.  He wanted me safe.  Away from all of this --  -- but I guess hunting just runs in our blood."
abigail,"When I came of age, I tracked my Dad down, told him I wanted in.  Been doing it ever since."
king,Welcome to the honeycomb hideout.
blade, How do you bankroll this place?
king,"Internet porn.  See, we're using cock suckers to pay for the blood-suckers.  Joke.  Come on, man.  This isn't some piddly little hoopty-ass operation, Blade. We take our jobs very seriously."
king,"You met Dex.  This is Hedges, Sommerfield--"
king," The runt you saw earlier is Sommerfield's daughter, Zoe.  We call ourselves the Nightstalkers."
blade,You sound like rejects from a Saturday morning cartoon.
king,"We were gonna call ourselves the Super Friends, but that was taken."
abigail,Tiller needs adjustment.
hedges,I'll run it through the bow press.
blade,How many of you are there total?
king,"Enough.  We operate in sleeper cells. When one goes down, a new cell activates to pick up the slack.  Consider us your reinforcements."
blade,Sorry.  Never been much of a team player.
sommerfield,"I don't think you understand, Blade. Whistler meant for us to help you.  When he died, he activated an emergency protocol.  All his knowledge --"
sommerfield,--was transferred to our servers here.
blade,And what makes you think you know so much about killing vampires?
king,"Well for starters, I used to be one.  Do I pass the audition?"
danica,"I should've ripped his ripped his bleeding heart out when I had the chance!  And don't you dare tell me ""I told you so""!"
asher,You through remodeling?
danica,Blow me.
