Speaker,Dialogue
woman,...He gave me a little pearl-handled .38 for out first anniversary.
man,Uh-huh.
woman,...Figured I'd better leave before I used it on him. I don't know how you can stand him.
man,"Well, I'm only an employee, I ain't married to him."
woman,Yeah...
woman,"...I don't know. Sometimes I think there's something wrong with him. Like maybe he's sick? Mentally?... Or is it maybe me, do you think?"
man,"Listen, I ain't a marriage counselor. I don't know what goes on, I don't wanna know... But I like you. I always liked you..."
man,...What're you gonna do in Houston?
woman,I'll figure something out... How come you offered to drive me in this mess?
man,I told you. I like you.
woman,"See, I never knew that."
man,Well now you do.
woman,...Hell.
woman,"Stop the car, Ray!"
man,...Abby?
man,...You know that car?
woman,No.
man,What's the matter?
woman,I don't know... I just think maybe I'm making a mistake...
woman,...What was that back there?
man,Back where?
woman,Sign.
man,I don't know. Motel... Abby--
woman,"Ray. Did you mean that, what you said before, or were you just being a gentleman?"
man,"Abby, I like you, but it's no point starting anything now."
woman,Yeah.
man,"I mean, I ain't a marriage counselor--"
woman,Yeah.
man,...What do you want to do?
woman,...What do you want to do?
ray,...Hello.
voice,Having a good time?
ray,...What? Who is this?
voice,"I don't know, who's this?"
voice,...You still there?
ray,"Yeah, I'm still here."
abby,...Ray?
ray,Yeah.
abby,What was that?
ray,Your husband.
voice,I know a place you can get that framed.
marty,What did you take these for?
visser,What do you mean...
visser,...Just doin' my job.
marty,"You called me, I knew they were there, so what do I need these for?"
visser,"Well, I don't know... Call it a fringe benefit."
marty,How long did you watch her?
visser,Most of the night...
visser,...They'd just rest a few minutes and then get started again. Quite something.
marty,You know in Greece they cut off the head of the messenger who brought bad news.
visser,Now that don't make much sense.
marty,No. It just made them feel better.
visser,"Well first off, Julian, I don't know what the story is in Greece but in this state we got very definite laws about that..."
visser,"...Second place I ain't a messenger, I'm a private investigator. And third place--and most important--it ain't such bad news. I mean you thought he was a colored.  ...You're always assumin' the worst..."
visser,...Anything else?
marty,"Yeah, don't come by here any more. If I need you again I know which rock to turn over."
visser,"That's good... ""which rock to turn over""... that's very good..."
visser,"Well, gimme a call whenever you wanna cut off my head..."
visser,...I can crawl around without it.
meurice,"Hold it, hold it. What's tonight?"
man,What?
meurice,What night is it?
man, ...Friday?
meurice,Right. Friday night is Yankee night. Where're you from?
man,Lubbock?
meurice,Right. I'm from Detroit  It's a big city up north with tall buildings.
meurice,Where was I?
woman,You we telling me about the Ring of Fire.
meurice,"Yeah, well, I may be getting in over my head here, I mean you're the geologist, but my theory for what it's worth, you got all these volcanoes and each time one pops it's the equivalent of what, twenty, thirty megatons of TNT?  Enough to light Las Vegas for how long?  How many years? Course, I'm no mathematician but--"
marty,Meurice.
meurice,"Yeah, I know. Pour 'em short."
marty,Has Ray come in yet?
meurice,"No, he's off tonight. Where was he last night?"
marty, How would I know?
meurice,"I don't know, didn't he call?"
meurice,"...Marty, I'd like you to meet an old friend of mine, Debra. Debra, this is Julian Marty, the dude I'm always talking about."
marty,"If he does come in I'm not here... What were you drinking, Debra?"
debra,Remy.
marty,You've got a very sophisticated palate.
debra,Thanks.
marty,"Give Debra here another drink, and give me the usual."
debra,...What's a palate?
marty,"Listen, I got tickets for the Oilers and the Rams next week in the Astrodome. Ever sat on the fifty yard line?"
debra,I don't follow baseball.
marty,You won't have to. I'll explain what a palate is.
debra,You won't have to. I just wanted to see if you knew.
marty,What's this?
meurice,You said the usual--
marty,Red Label.
meurice, Right. Sorry.
marty,Pour that back.
meurice,What.
marty,Don't throw that out.
meurice,Right.
marty,So how long have you know Meurice?
debra,About ten years.
marty,What--Waitaminute--What...
meurice,What.
marty,Deuce in the corner needs help.
meurice,Right.
marty,...So what're you doing tonight?
debra,Going out with Meurice.
marty,Tell him you have a headache.
debra,It'll pass.
marty,We don't seem to be communicating--
debra,"You want to hustle me. I don't want to be hustled. It's as simple as that. Now that I've communicated, why don't you leave?"
marty,I own the place.
debra,"Christ, I'm getting bored."
marty,"I'm not surprised, the company you've been keeping the last ten years."
marty,What's this?
meurice,What.
marty, This.
meurice,"Jack Daniels. Don't worry, I'm paying for it."
marty,That's not the point.
meurice,What's the point?
marty,The point is we don't serve niggers here.
meurice,Where?  ...I'm very careful about that.
marty,He thinks I'm kidding. Everybody thinks I'm kidding;  if Ray comes in I'm not home.
debra,Nice guy.
meurice,Not really. What'd you say your last name was?
abby's voice,Ray...?
ray,Yeah...
ray,...You get what you wanted?
abby's voice,Yeah. Let's get out of here.
ray,Why d'you wanna leave all this?
abby,"You kidding? I don't wanna leave all this, I just wanna leave Marty..."
abby,...Drive me to a motel?
ray,"You can stay at my place, I'll drop you there."
abby,Where... where you going?
ray,See a guy.
abby," Don't go to the bar, Ray. I know him, that ain't a good idea."
ray,I just gotta see a guy.
meurice,Howdy stranger.
ray,Meurice. Sorry I didn't show last night.
meurice,"Wasn't too busy. You missed a good one, though. This white guy walks in about one o'clock, asks if we have a discount for alcoholics... I tell him to get lost, but Marty's sitting here listening and I can tell he's thinking that maybe it ain't such a bad idea..."
meurice,"...Ray, this is Debra. She's a geologist. That's the theory of rocks."
ray,Is Marty here?
meurice,Not here tonight. Wasn't here last night. He's especially not back in his office.
ray, Thanks Meurice.
meurice,For what?
ray,Marty?
ray,...Well...? What?
marty,"What ""what""?"
ray,Am I fired? You wanna hit me? What?
marty,I don't particularly want to talk to you.
ray,Well... if you're not gonna fire me I might as well quit.
marty,Fine. Suit yourself.  ...Having a good time?
ray,...I don't like this kind of talk.
marty,Then what'd you come here for?
ray, You owe me for two weeks.
marty,Nope. She's an expensive piece of ass...
marty,"...You get a refund though, if you tell me who else she's been sluicing."
ray,"I want that money. If you wanna tell me something, fine--"
marty,"What're you, a fucking marriage counselor?"
marty,"What're you smiling at--I'm a funny guy, right, I'm an asshole? No, no, that's not what's funny. What's funny is her. What's funny is that I had you two followed because, if it isn't you, she's been sleeping with someone else..."
marty,"...What's really going to be funny is when she gives you that innocent look and says, What're you talking about, Ray, I haven't done anything funny..."
marty,...But the funniest thing to me right now is that you think she came back here for you--*that's* what's funny.
marty,...Come on this property again and I'll be forced to shoot you...
marty,...Fair notice.
meurice,...I thought you were dead. Going home?
marty,No. I think I'll stay right here in hell.
meurice," Kind of a bleak point of view there, isn't it Marty?"
marty,Meurice...
marty,...I don't want that asshole near my money. I don't even want him in the bar.
meurice,"We get a lot of assholes in here, Marty."
abby,Hello?
abby,...Marty?
ray,Who was it?
abby,What?
ray,On the phone. Was it for you?
abby,"I don't know, he didn't say anything."
ray,Uh-huh. So how do you know it was a he?
abby, You got a girl--am I screwing something up by being here?
ray,"No, am I?"
abby,"...I can find a place tomorrow, then I'll be outta your hair."
