Speaker,Dialogue
"april 2, 1990","WARNER BROS. INC.                         1990 4000 Warner Boulevard                    WARNER BROS. INC. Burbank, California 91522                All Rights Reserved"
female aide,jumps onto the cart and tries to hold him up.   The male aide runs alongside the cart.
various waiters,in black tie carry covered silver trays as they trot through the tunnel. VARIOUS BUSBOYS
elevator doors,open. Fallow is led out of the elevator. Several other aides approach him and pull off his soiled jacket and shirt and change them for fresh ones as they move. SOME BROADWAY AUTOGRAPH HOUNDS
sherman,"Come on, Marshall. Come here. Stay. Come on. Stay."
judy,"You are not taking the dog for a walk. You are taking 'Marshall' for a walk. Marshall has a name. He is one of our family. And, anyway, it's raining. SHERMAN I know that. The DOG GROWLS and snaps at Sherman."
judy,"So does Marshall. I don't think he wants to go. Do you, Marshall?                     * SHERMAN Judy... JUDY Alright.   Alright. Sherman gets the leash fastened. He stands up, pulls on a rubberized British riding mac. Judy flicks a tiny plastic bag out of a cleverly-concealed container and hands it to Sherman. JUDY Have a nice time. 14    OMITTED                                                      14 &                                                                  & 15                                                                 15"
sherman,"Neither am I, Bill."
sherman,"Yes, of course. Come on, Marshall."
sherman,"Good evening, Pollard. POLLARD You know it's raining, don't you? SHERMAN Yes. As a matter of fact, I did notice. POLLARD Ah, Sherman. A true friend to man's best friend. SHERMAN Pollard, you old phrase-maker."
pollard,I beg your pardon.
sherman,"I mean, is that the best you can do? Is that as witty as we get?"
sherman,Maria!    Hello. It's me.
judy,"Sherman, if you want to talk to somebody named Maria, why do you call me instead? Sherman pokes his head into the room."
sherman,"If I what?   Whatever do you mean? JUDY Please don't lie. It makes your                       * forehead crinkle.                                     * SHERMAN About what? Wait a minute.     What are we talking about? JUDY You should see your face. It's a                      * veritable roadmap of tension and                      * deceit.                                               * SHERMAN I'm sorry, but I don't get it. Have I missed something? JUDY Darling, the only thing you're                        * missing is common sense. You're                       * going to stand there and tell me you didn't call here and ask to speak to some Maria?"
sherman,Who? 
sherman,"Judy, I was out walking the dog. I was not on the telephone."
judy,"Crinkle, crinkle, crinkle.                             * SHERMAN I'm not   lying. I took Marshal for a walk,   and I come back in here and wham   -- I mean I hardly know what to   say. You're asking me to prove a   negative proposition."
judy,"'Negative proposition'?! Oh, God, Sherman. Listen to the way I sound. Listen to the stress. Can                       * you hear it? I don't want to be                        * this person. I don't. I am thin. I am beautiful. I don't deserve this. She gets off the bike, grabs a robe and heads for the door."
