Speaker,Dialogue
eli,"Dear Lord, thank you for your generosity in providing us today with this bountiful feast."
eli,Thank you for the many gifts that you have given me. Thank you for your protection and your guidance. Thank you for bringing me this far. I know my long journey's end is near. I ask now only for the strength and the courage to complete the task that you in your infinite wisdom saw fit to bestow upon me over all men. I won't let you down. Amen.
eli,Hey. You hungry?
eli,Come on now.
young woman,"Oh. Please don't hurt me. Here, take anything you want. You want some food? Take it."
eli,I'm not going to hurt you.
young woman,That's what the last guys said.
eli,Here.
young woman,Could you help me? The wheel came off. I can't fix it. Maybe if I could get it out of the ditch. But I can't.
eli,One good thing about no soap any more. You can smell the road agents a mile off.
bandit leader,Dumb bitch. What did we tell you?
bandit leader,What you got there in the pack?
eli,Nothing.
bandit leader,"Yeah, that's what they all say. How about you take it off real slow and tip it out so's we can take a look?"
bandit leader,"Shit, it ain't loaded. They never are. Ain't that right, old man?  Open the fucking pack or die."
eli,I can't do that.
bandit leader,Want us to do it for you? We can get it off real easy after we've hacked your fucking arms off.
eli,"It's real important you boys listen to me and understand. The man I work for, you do not want to cross him. See, I'm under his protection. You stand in my way, you stand in his. And he will cut you down with a righteous fury - through me. For I am his faithful instrument."
bandit leader,"What the hell are you, some kinda preacher?"
eli,Something like that.
bandit leader,"Well I got news for you, preacher man. Whatever kinda God you reckon yourself to be working for, he left these parts a long time ago. He ain't here to protect your ass. Now take off the pack and set it on the ground."
bandit leader,You fucking listening to me?
eli,I hear you. You lay that hand on me again and you will not get it back.
bandit leader,"All right, I had just about enough of this shit..."
bandit leader,What... you just... he just cut my fucking hand off! My fucking hand!
bandit leader,What you standin' around for? Kiss him!
eli,"He's in shock. He means ""kill him""."
eli,I told you you wouldn't be getting that back.
bandit leader,Who are you?
eli,My name is Eli.
eli,Take it and go on your way. And don't fall in with men like these again. No good can come.
young woman,Why are you doing this?
eli,"God, the father of mercies, through the death and resurrection of his son has reconciled the world to himself and sent the holy spirit among us for the forgiveness of sins."
eli,"Through the ministry of the church may he give you pardon and peace, and I absolve you from your sins in the name of the father, and of the son, and of the holy spirit. Amen."
young woman,Thank you. You're... a good man.
eli,There are no good men on the road.
young woman,Where are you going?
eli,West.
young woman,Can... can I come with you?
eli,No.
eli,It ain't your concern. Stay on the path. It ain't your concern. Stay on the path.
eli,You got an engineer or a fuelman around here?
eli,Thanks.
engineer,I don't know you.
eli,I'm not from around here.
engineer,No shit. Who are you?
eli,I'm just a customer.
engineer,A customer with a shotgun?
engineer,You come in here to rip me off?
eli,No. I'll set it down. Okay?
engineer,Slowly!
engineer,"You carry a gun in the outland, you don't bring one into town less you live there. Don't you know that?"
eli,"I'm sorry, I forgot. I've been on the road a long time."
engineer,Show me your hand.
eli,I'm not a-
engineer,I said show me your fucking hand!
eli,I'm not one of them.
engineer,What do you want?
eli,I'm just passing through. I need some help. I can pay.
engineer,What kinda help? And what kinda pay?
eli,I'm going to get something out of my pack. Okay?
eli,"I know, I know. Slowly."
engineer,Holy shit.
engineer,Where'd you find this?
eli,"Years ago, in the outland back east aways."
engineer,Does it work?
eli,"Yeah, it just needs a charge. Can you do it? I got the cables."
engineer,Depends if you also got the coin.
engineer,"It'll take a couple hours. There's a bar across the street you can wait, they just opened up."
eli,I'll wait here.
engineer,You don't trust me?
eli, I don't know you.
carnegie,What is it?
redridge,Survey team just finished up their inspection. It ain't good.
carnegie,How bad is it?
