Speaker,Dialogue
murphy,Looks like a storm's comin'.
connor,Aye.
sibeal,Something's happened.
murphy,The priest.    Did they release his name?
sibeal,"No. But I made a few calls, still got some friends in the diocese there. McKinney. Father Douglas McKinney."
connor,"Knew of him. Everybody did. A regular Mother Theresa. Youth hostels, soup kitchens. Even made it into the newspapers sometimes."
sibeal,Listen boys. I think it's best that ya just stay put and we'll try ta figure out what...
duffy,"We need to keep our heads, here.   It's probably not even them."
dolly,"Of course it ain't them but that doesn't really matter, does it. Our skeletons just came screaming out of the closet. We're fucked."
duffy,We're not fucked.
greenly,We are totally fucked!
greenly,"...and not just fucked, like elephant dick, pounded in the ass, no reach around, jungle fucked!"
duffy,"Now's not the time to panic, Green beans!"
greenly,"Oh, I disagree. Now's the perfect time to panic. We're all Accessories to..."
dolly,Don't you fucking say it!
dolly,I didn't even know he had a protege. What is this bullshit?
duffy,"Special Agent Eunice Bloom, 32 years old. Smecker plucked her right out of class at Quantico."
greenly,"Smecker hand picked her? Aw, man. This brawd's gonna be a nightmare."
duffy,"She was assigned to OCD two years back. She can shoot a gun, set three course records during her training."
greenly,"Great. A bull dike, Annie Oakley wanna- be. We gotta get rid of her."
duffy,She is also an authority on the Saints case. Which means Smecker must have walked her through it.
dolly,And the hits just keep on comin'.
sibeal,"Well, are ya at least gonna try ta talk them out of this?"
sibeal,What's dat?
sibeal,"Jesus Christ! D'er's too much we don't know and if you're won't at least try ta talk some sense into them, I will!"
murphy,Every last motherfucker that had anything to do with it.
dolly,Game time.   How are we playing this?
duffy,Feds love to pull the divide and conquer routine. We hard line her. Stick together on this. Agreed?
dolly,Agreed.   We're a brick wall.
greenly,Let's rock this bitch.
eunice,  Eunice Bloom. A pleasure.
greenly,"T'sup...I mean, what? Yeah, well, funny as in ha ha, though not like funny as in gay cuz...I'm not...played high school football."
dolly,"Look, with all due respect, Agent Bloom..."
eunice,Special.
dolly,Excuse me?
eunice,"You see there's a ""special"" before my ""agent."" If we are going to address each other formally, I'd prefer if you popped it in there. Makes me feel, I don't know...special. Of course, I'd hoped we could be a little more personable. In fact, I'd like you to call me Eunice."
duffy,"O'kay, Eunice. I don't see why the fuck the Fed is..."
eunice,"Whoa, whoa, ""fuck?"" This isn't a ""fuck"" situation, is it? I can see a ""God Damn"" or two but why skip all the way to ""fuck"" right off the bat? Let's start slow and work our way up to it."
duffy,"What is the Fed's interest in this? The detectives harden, brick wall.     Eunice furrows her brow."
eunice,"Their interest, Detective, is capturing the men responsible for the murders of 22 of Boston's finest criminals. Y'see public perception is that these boys stepped in, did our jobs for us and then disappeared into thin air as we fecklessly searched for them. The FBI tends to take exception to such things. They coulda sent anyone. They sent me. Why do you think that is?  "
11.," EUNICE  It is because I am so fucking smart that I make smart people feel like retards. Now, we seem to be getting off on the wrong foot here. I'd appreciate a bit of cooperation. Let's chalk it up to paying respect to the memory of a dearly departed mutual friend. A man who taught me everything I know."
duffy,"The victim was killed late last night. When people gathered for morning mass, they found the front entrance chained and padlocked. A locksmith came out, cut the chain and surprise, surprise. Cell phones. Half of them called the cops. Half of them called the media. But regardless...word's out."
eunice,"And it looks like that's just the way somebody wanted it. What say we scrape the shit off this cow's ass, fellas? Detective Greenly? Escort a lady onto the crime scene?"
greenly,"What?   No, yeah, no.   Of course."
eunice,Never touch the stuff.
eunice,It wasn't them...but I'm sure you boys already knew that.
duffy,"The two ""V's."" The victim and venue don't add up."
eunice,Let's go with the venue first. Our perpetrators are devout. They would never commit such an act on sacred ground. And as for the victim?
dolly,"All their vics were criminals. Clearly not the case here. So, it wasn't them which means this is a local matter and it falls under our jurisdiction. No need for Federal involvement so with all due respect...we'll see you later, Special Agent Bloom."
eunice,"Man, I hate it when people say that. ""With all due respect."" Because it is inevitably followed by a disrespectful remark. I'll give you an example. With all due respect, Detective, this matter falls under whatever jurisdiction I fuckin' say it does."
duffy,"Uh, so...let's just...what can you tell us about the shooters?"
eunice,Shoo-ter. Singular. And I can tell you that he is left handed and how shall I put this delicately...? He's a short bastard.
dolly,"  One guy, lefty, short.   Got it."
eunice,I'll show you what I'm talking about.
eunice,"Detective Greenly, you're the victim."
greenly,David.   You can call me David.
eunice,"Very well, David."
