Speaker,Dialogue
3,3    INT./EXT. COTTAGE LIVING ROOM/VERANDA -- NIGHT One minute later.       BOURNE moves out onto the veranda.
marie,"Where were you, Jason?"
bourne,In the car.         Conklin up front.
marie,I'll get the book.
bourne,No.    There's nothing new.
marie,You're sure?  We should still -- we should write it down.
bourne,Two years we're scribbling in a notebook --               *
marie,-- it hasn't been two years --                            *
bourne,-- it's alwa   ys bad and it's    never                   * anything but    bits and piece   s anyway!                *                                * You ever thi   nk that maybe i   t's just                 * making it wo   rse? You don't     wonder that?            *
marie,We write them down because sooner or                      * later you're going to remember something                  * good.                                                     *
bourne, I do remember something good.       All the time. I remember you.
4,4   INT. COTTAGE BEDROOM -- NIGHT MARIE getting BOURNE into the bed. Turning down the light. Getting him settled. Waiting for that pill to kick in. What would he do without her?
bourne,"I'm trying, Marie, Okay?"
marie,I worry when you get like this.
bourne,It's just a nightmare.
marie,I don't mean that.   I worry when you try to ignore it.
bourne,I should be better by now.
marie,You are better. And I think it's not memories at all. It's just a dream you keep having over and over.
bourne,But it ends up the same.
marie,One day it will be different. It just takes time.  We'll make new memories. You and me.
5,5   EXT. BEACH -- GOA/BEACHTOWN -- DAY BOU   RNE running in the sun. A punishing pace along the san   d. Moving strong. Effortless. Deep into it. Focused. The    stunning conjunction of sun and scenery are lost on him   .
back to,BOURNE slowing as he reaches the corner --
kirill,She's my sister. There's been a death in the family. This is the last place we know she called from.
bourne,"We gotta go, Marie.       We gotta go, now."
bourne,We're blown.
marie,No...     How?
bourne,The Telegraph office.
marie,But we were so careful.
bourne,We pushed it. We got lazy.                                 *
marie,But you're sure?
bourne,He was at the campground yesterday.
marie,So...                                                  *
bourne,It's wrong. Guy with a rental car and                  * hundred dollar sneakers sleeps in a tent?
marie,That's crazy.                                          *
bourne,No.  Not thi   s. This is real.                        * 
marie,Where --
bourne,Back there -- at the corner -- Hyundai --              * silver --                                              *
bourne,-- not yet --
marie,-- it's just him? --
bourne,-- yeah -- one guy -- I don't think he was ready --
marie,-- hang on --
b34,B34   EXT. LOW WALL -- DAY KIRILL.   Eye to the scope.                                      *
scope pov,The surface of the water.          Unbroken.
kirill, Scans his perimeter. There's the old woman again. But more people with her. People coming out of the woodwork.  KIRILL checks the surface one last time.   Nothing.  He breaks down the rifle in moments -- goes.                       *
cronin,"What have you got, Survey One?"
72,72   INT. NEARBY BERLIN OFFICE -- NIGHT  Dark. TEDDY at the window. Another military face. Radio rig. Night Scope. Watching VIC and MIKE pass below him --
cronin,"""All teams -- listen up -- we are standing- by for final green."" "
76,"76   INT. CIA SITUATION ROOM/LANGLEY, VIRGINIA -- DAY THREE MEN -- CIA MANDARINS -- sit around a round table. MARTIN MARSHALL, Deputy Vice-Director, he's in charge.                     * All is tense.                                                              *"
marshall,"It's a lot of money, Pam."
pamela,"We're talking raw, unprocessed KGB files.                     * It's not something we can go out and                          * comparison shop.                                              *"
77   *,77   DELETED
ivan,Show me.
vic,Here?
ivan, Now.      Show now.
vic,This is everything?
ivan,Is there.     Is all there.
vic,-- what the hell is that? -- alone -- you said alone --
vic, -- shut up! -- just shut the --
85,85   INT. BERLIN HQ/COMMAND POST -- NIGHT As they were.       Waiting.     But only a moment before --
cronin,"""-- repeat -- who is dark? -- the target building or your location? --"""
pamela,We need to get in there.
cronin,I'm working on it.
91-92a,91-92A   DELETED
a93,A93      INT. SHACK -- GOA -- DAY BOURNE is bailing.
cronin,-- so there        were two of the   se explosive charges plac       ed on the power    lines. One of              * them failed.         The fingerpri   nt...                       *  That's from        the one that di   dn't go off.
pamela,And the Germans can't match it?
teddy,Nobody's got it. We checked every database we could access. Nothing.
cronin,Show her the other thing.
teddy,"This is a KG       B file that must've fallen somehow and        then slipped under, I guess, a desk there,        or... "
pamela,Do we know what this says?
teddy,"Yup...  The main word there, the file heading, translates as: Treadstone."
pamela,"What the hell is a ""Treadstone?"""
treadstone,PAMELA/PHONE  Ward?
pamela,Treadstone.
abbott,Never heard of it.
pamela,That's not gonna fly.
abbott,"With all due respect, Pam, I think you might've wandered a little past your pay- grade."
pamela,Tha    t's a warrant from Director Marshall gra    nting me unrestricted access to all per    sonnel and materials associated with Tre    adstone.
abbott,And what are we looking for?
pamela,I want to know about Treadstone.
abbott,To know abou       t it? 
pamela," He does. I've been down to the archives. I have the files, Ward."
naples,FERRY -- BOURNE at the rail. Unchanged from India. Staring ahead as Europe looms.
pamela,Let's talk about Conklin.
abbott,"What are you after, Pam? You want to fry me? You want my desk? Is that it?"
pamela,I want to know what happened.
abbott,d? Jason Bourn    e happened. What happene 
pamela,"So you had Conklin killed.  I mean, if we're cutting the crap..."
abbott,"I've given t      hirty years and    two marri   ages to this agen      cy. I've shove    led shit o   n             * four contine      nts. I'm due t    o retire n   ext year and bel      ieve me, I need    my pensio   n, but if you t      hink I'm gonna    sit here a   nd let you dang      le me with this   , you can    go to hell. Marsh       all too.  It had to be       done."
pamela,And Bourne?        Where's he now?
abbott, Dead in a ditch? Drunk in a bar in Mogadishu? Who knows?
pamela,"It hink I do      . We had a dea    l going down in Berlin la      st week. Durin    g the buy, both our Fie      ld Agent and th   e seller were killed. We        pulled a finger   print from a               * timing charg      e that didn't g   o off.  They were ki      lled by Jason Bourne."
cronin, They're ready for us upstairs.
109-114,109-114   DELETED
