Speaker,Dialogue
final shooting script,"June 20, 2007"
bourne, Give me your gun and radio.
bourne, My argument is not with you.  BOURNE smashes the radio and takes the gun.  BOURNE exits...
black screen, A TITLE fades in --  THE BOURNE ULTIMATUM SUPER:    Six Weeks Later
cronin,We think that's Bourne hitting him on the head and then--
kramer,"Who's ""she?"""
landy,"His girlfriend, Marie. She was killed in India three weeks ago."
kramer,A dirty section chief in league with a corrupt Russian Billionaire commits suicide when confronted by Jason Bourne. You couldn't make this stuff up.  You watched this happen?
kramer,"Bourne's last confirmed location is Moscow, three days ago?"
landy,Right.
kramer,So what does he do now?
landy,I think he's looking for something he hasn't found.
kramer,Like what?     What's he after?
landy,I'm not sure. Maybe he hasn't gotten his memory back yet.  Not all of it.
kramer,"Pam, what I need to know is, what kind of a threat is he to us?"
landy,If he just wanted to hurt us he could have sent this tape to CNN.
kramer,"Maybe he still will. Maybe he gave it to you because he wants to throw you in the opposite direction of his real plan. I don't know. I just know my number one rule is ""the only way to stay safe is to assume the worst.""   As far as I'm concerned Bourne is a serious threat until proven otherwise."
ross, What connects the dots? Is it Treadstone?
daniels,Turn off that tape recorder.
martin,Where is my sister?
bourne,She's dead. She was killed.
martin,I knew it was going to end this way. It was always going to end this way...
bourne,I didn't believe that.
martin,Why did she die?
bourne,She was shot. A man came for me.
martin,And then you killed him.
martin,Now what?
bourne,Someone started all this...and I'm going to find them.
bourne, Who started Treadstone?
ellatrache, They're still looking for you. You are taking a big risk coming here.
bourne, Just tell me what I want to know!
ellatrache, I just provided them weapons.    I don't know who started--
bourne, You know something.   Tell me where to start looking.
ellatrache, There's a journalist in London. Simon Ross. He seems to know a lot about you.   He has a source inside the program. Someone there from the beginning. What should I tell them if they contact me?
bourne," They give me the name I want, or I burn their entire house down to get it."
ross,"...This is big -- a skein of lies -- you pull at it and it just keeps coming -- I'll fill you in when I get home. And it's not finished, either.  They're calling it `Blackbriar'.  Follow this SEQUENCE as..."
supervisor,"Okay, send it to CRI right now."
wills,We tracked the phone. Registered to a London reporter named Simon Ross. He works at the Guardian newspaper.
vosen,You tracking him?
wills,"Yeah, thanks Mike. We have a survey team covering him at work...and a sneak and peek's on their way to his apartment."
vosen,"Well, who talked to him? How did he find out about Blackbriar?"
wills,"We don't know, we pulled his background and ran a cross check on any known anomalies, but we've come up with nothing. But, I think if we follow Ross, we are going to be able..."
vosen,Right. Ross is easy. I want the source.
vosen,Is that all?
wills,Yeah.
vosen,"I want rendition protocols and I want the asset put on standby, just in case."
vosen,"People, listen up, this is a full priority situation"
wills,"Jimmy, give me Ross's profile on one. "
vosen,"Our target is a British national, Simon Ross, a reporter. I want all his phones, his blackberry, his apartment, his car, bank accounts, credit cards, travel patterns...I want to know what he's going to think before he does. Every dirty little secret he has. And most of all, we want the name and real time location of his source."
vosen,Where's my picture please?
vosen,That's too long.
editor,So how do we know he's not spinning for someone?
ross,There's more. He was scared.
editor,Scared of what?
ross,Blackbriar.
reporter,"Sorry, a call for you."
ross,Who is it?
reporter,Won't give hie name.
reporter,He's on my line...
vosen,Why aren't we hearing this?
wills,"That's a hard line, Jimmy, why don't we have it?"
jimmy,"We have his line, sir, but he's not on it."
ross,Who is this?  BOURNE  This is Jason Bourne.
wills,"Okay, he is on the move.   Target is mobile."
wills,"Okay, people, look sharp, give me eyeballs on the street."
survey one,Subject is on the move. Go mobile One and Two.
wills,Where's that audio on the street? I want to know where he's going...
mobile 2, We have the subject confirmed.
vosen,Where is he heading?
mobile 2,Waterloo Station.
ross,Hello?  BOURNE  Don't ask questions. Just listen...
vosen,What's he doing? I thought we blocked his cell? Who the hell is he talking to???
wills,"Jimmy, I need that phone!"
vosen, Activate the asset.
wills,"Sir, we haven't yet become operational --"
vosen,I said activate the asset.   I want options.
survey two,What's the ROE on this one?  PANNING TO REVEAL
wills,"Okay, who's the guy in the blue hood?"
vosen,"Okay, there, he's talking to the guy with the hood. Take them down."
vosen,Watch that bus! The bus! -- don't lose them! Stay triangular and don't get blocked.
bourne,Take the footbridge. Go to the West Entrance. I'll meet you at the newsstand.
vosen,"No, no, look...Ross is not on the bus.   Split up the team -- get the guy on the bus and send someone to stay on Ross."
agent one, You. On the floor. Down.
agent two,"Driver, stop the bus!"
vosen,I don't like this. Patch me through to Met surveillance.
bourne,Why do you know so much about me?
ross,What?
bourne,The article. You talked to someone from Treadstone. Someone there at the beginning.  What's his name?
ross,I can't tell you that.... Who's following me?
bourne,Whoever they are it's trouble.
ross,Are they Blackbriar?
bourne,"Blackbriar, what's Blackbriar?"
ross,"I don't know. I heard the name this morning for the first time. Whatever it is, my source said it started with you."
bourne,What? What are you talking about?
ross,"Look, just help me get away from these people...and we can talk more...we can--"
bourne, We have to move.
bourne,Answer your phone.
vosen,He's got to be close. Seal the entrances.
ross,Has she seen me?
bourne,Not yet. Dip left past the photo kiosk.
ross,Are we clear?
bourne,Clear. News kiosk. Straight ahead.
ross,Straight toward me.     Bin man?
bourne,Negative.
ross,He's got a gun.
bourne,Negative.    Keep straight ahead.
vosen,We're losing him! We cannot afford to lose him!
voice,Waterloo concourse. Subject heading east.
bourne,Get into cover. Now!
vosen,64H             What's the status of the asset?                     64H
wills,In place in one minute.
vosen,"Alright, I want to take him now. Get him out of there and have the asset cover it."
voice,Target moving towards the stores.
another voice,Asset in play. ETA thirty seconds. All exits covered.
bourne,Keep moving...
bourne,INSIDE!
bourne,Service doorway -- Now!
techy 2,Store.   Three means of egress.
vosen,Close him down...
bourne,Keep moving.
vosen,"Jesus Christ, that's Jason Bourne."
wills,Maybe he's the source?
vosen,"It doesn't matter, the asset now has 2 targets. Take them both out."
bourne,I'm going to get you to safety but you have to stay calm do exactly what I say.
ross," Sure, okay."
bourne,"No, listen to me: Exactly what I say this time. Understand?"
ross,Yes.
bourne,Stay here while I look for an escape.
bourne,"No, stay behind that door."
wills,There. That silver door. Bourne's behind that door?
tech,Confirmed.
wills,"Okay, pull the agents back and give Bourne's location to the asset."
scope pov," The door comes open slightly, but from this angle Paz doesn't have a clean shot at his target ."
bourne,Don't move until I tell you.
ross,I'm going to go for it.
bourne,"No, No not now."
vosen,Oh...shit...
wills,What about Bourne?
vosen,Get him out of there - NOW!
kramer,Hello.
vosen,It's Vosen. We have a situation.
vosen," Sparkling. And a ""Heart-Healthy"" omelet with goat cheese and peppers."
vosen,You're late. Traffic?
waiter, Ma'am?
landy,Nothing for me.
vosen,I'm buying.
vosen,"When the Director called, it was suggested we bring you on--"
landy,Suggested?  Are you sure it was just a suggestion?
vosen,Funny how different things look depending on where you sit. I look at this as doing a favor for you. Giving you an opportunity to complete some unfinished business.
landy,Meaning?
vosen,Jason Bourne.
landy,Bourne's finished.
vosen,Really?
landy,It was finished the moment I realized I was chasing him for something he didn't do.   The case is closed.
vosen,"So what do you make of this?  French intel picked up Bourne meeting Pierre Elattrache on Tuesday. He threatened to burn our house down if you didn't tell him who started Treadstone. That's a big problem, wouldn't you agree?"
landy,This doesn't feel like Bourne to me.
vosen,Why's it so hard for you to believe?
landy,"Probably because it's coming from you, Noah."
vosen,"Lets try and be adults okay? We all thought he was done, off the grid. But Bourne's back. Maybe he's a threat. We both want the same thing here."
landy,So what happened at Waterloo?
vosen,We have a leak. Bourne showed up in our surveillance. We had very little time to react.
landy,And the reporter ended up dead?
vosen,Bourne saw us coming.
landy,So what was he doing?
landy,The real question is how you managed to get in a fire fight in the middle of a public train station.
vosen,"Don't second guess an operation from an armchair, Pam. It's not fair."
landy,I'm going to the office now. I'll make my own introductions.
wills,"This is Pamela Landy. She's gonna be quarterbacking our search effort. I think what we oughta do, just to get started, let's go around the room, say who you are and what your spec is."
landy,Let's do names later.  Anybody.
landy,Status?   Wounded?   Armed?
landy,Where are your grids coming from?
landy,You have an Echelon package?
landy,Why isn't it on?
landy,For what?  That would mean now.
landy,I think we can be pretty certain that Bourne's not your source then?
vosen,How?
landy,"Ross's call to his editor, where he said he just met the source on Blackbriar, took place just after his flight landed. His met his source in Turin."
vosen,So?
landy,"So, what, Bourne met Ross for breakfast and then, at noon the same day Bourne calls Ross to demand a meet at Waterloo?"
cronin, Maybe they were even on the same flight?
vosen,Cross check the secure cell phone usage of everyone with Blackbriar SCI clearance against all calls in and out of Turin during the morning Ross was there
landy,"The guy you're after is a CIA operative with clearance above Top Secret.   He was committing treason by talking to Ross.   Do you really think, while doing that, he used a cell phone he knows we can track?"
wills,Do you have a better idea?
landy,"Yeah, I'd look at all the people whose cell phones were switched off the entire period Ross was in Turin."
wills,Do it Jimmy.
landy," I mean if your people use their cell phones as much as mine do, the list should be pretty small"
landy,"Now check everything in Ross's apartment against those names. Look for common patterns, look for -"
cronin,Initials .....Bring that up on main.
landy,"Neal Daniels.   He's Station Chief in Madrid now, isn't he?"
wills,Jesus Christ.
vosen,"Call the RSO at the Embassy and have them take Daniels into custody if he's there.   If he's not, get a grab team to the Calle Norte safe house. Send them in heavy and tell them we'll assist with entry."
landy,"""Heavy?"" Daniels isn't--"
vosen,"I'm worried about Bourne. If he's not Ross's source, then he must be after Ross's source -- just like us."
vosen,"Team two, ETA Callee Norte?"
hammond,We're in.
vosen,"Okay, put it live."
hammond,Alarm's down.
vosen,That has to be Bourne.
hammond, Safe's cleaned out.
vosen,Shit...    Track the passports.
vosen,Goddamn it! Get a back-up team in there!
vosen,How long till back-up arrives?
vosen,How long?  Stop! Hang on. I have an idea...
bourne,What are you doing here?
nicky,I was posted here after Berlin.
bourne,Where's Daniels?
vosen,Who is this?
vosen,"Nicky, I need to do an ID challenge first. Code in: ""Sparrow."""
nicky,"Response: ""Everest""."
vosen,"Nicky, this is Noah Vosen. How long have you been on site?"
vosen,We have two officers on site. Are you in contact with them?
vosen,Is there any sign of Daniels?
landy,"Nicky, this is Pam Landy. We have reason to believe there is a connection between Neal Daniels and Jason Bourne."
landy,"No, some people are convinced he's still a threat. I disagree but to find out I need to talk to him."
vosen,Hold on Nicky.
vosen,What are you doing? You know Bourne's probably listening.
vosen,How long till back up arrives.
nicky,Okay.
nicky,They know you're here.
bourne,How long do I have?
nicky,Three minutes...
delta dude,2 minutes to safehouse.
nicky,My car's outside.    I know where Daniels is.
vosen,"You ""disagree"" he's a threat? He just took out two more of my men. Not to mention his ultimatum to Ellatrache?"
landy,"The only way this has a happy ending, Noah, is if we find a way to bring Bourne in voluntarily."
vosen,"He wants revenge, Pam. The only realistic way to deal with this is to eliminate the threat."
bourne,"Okay, where is Daniels headed?"
nicky,"8 o'clock this morning, he wired $100,000. to a numbered bank account in Tangier."
bourne,"Okay, Tangier is about 300 miles away, we can make the morning ferry."
nicky,And then what?
nicky,They're coming.
spanish police,Manos Arriba! Manos Arriba!
vosen,"Issue a standing kill order on Jason Bourne, effective immediately."
vosen,We lost Bourne.
kramer,You still think he's after Daniels?
vosen,"Yeah. Nicky's just the means. But if we find Daniels, we'll find Bourne."
kramer,Daniels knows way too much. Daniels knows everything. We can't let them meet.
vosen,I'll take care of it.
kramer,Good.  And fill Hirsch in.     Just in case.
nicky,"What are you after, Jason?   Why are you looking for Daniels?"
bourne,Do you know who this is?
nicky,That's Daniels.  I don't know who that is.
bourne,I have to get back to the beginning...or I'll never be free of this.
nicky,Who is he?
bourne,I think he started Treadstone.    I remember meeting him.   I remember the first day...  Daniels brought me to him.
nicky,What happened?
bourne,An initiation...I guess...
nicky,Jason...that wasn't some one-off initiation. Daniels said they did that to you over and over again.   That's how they...
bourne,Why are you helping me?
nicky,It was difficult for me...with you.
bourne,No.
vosen, Noah Vosen.
cronin,They tracked Daniels' passport to a hotel in Tangier. They're holding up a bank transfer he made to keep him in place while they move an asset in from Casablanca.
landy,Since when do you have authorization for lethal action against Daniels?
vosen,Since he cleaned out a Blackbriar safe and fled to Morocco!
landy,So grab him--
vosen,I don't have the people on the ground to do that and I'm not going to risk that file falling into the wrong hands.
landy,What's going on?    What's Daniels got?
vosen,What's he got? He ran all of Blackbriar's operations in Southern Europe and North Africa.
landy,"I think the world's well aware we have a rendition and lethal action capability at this point, Noah."
vosen,"For Christ's sake, Pam, he's got our entire playbook. Names, dates, ghost sites, how we train our assets....."
landy,You still don't have the authority to kill him.
vosen,"Oh, yes I do, Pam."
vosen,That's what makes us special. No red tape. No more getting badguys in our sights and then watching them escape while we wait for some bureaucrat to issue the order.
landy,You just decide? No oversight. No checks and balances.
vosen,"Come on, Pam, you've seen the raw intel. You know how real the threat is.    We can't afford to have our hands tied like that anymore."
landy,It's Pamela Landy for him. Would you tell him it's urgent?
kramer,Tell her I'm unreachable.
vosen,Give me the subject's location.
vosen,"Get an elevation and a floor plan, tic-tac-toe. Locate the room. Give the asset Daniels's location and the route between Daniel's hotel and the bank."
vosen,Do we have that room yet?
vosen,Get the hotel's trunk line. Run all calls through here with an iso on 117  TIGHT ON COMPUTER MONITOR: DESH'S ICON STOPS MOVING.
tech,"Sir, the asset is acquiring the materials."
nicky,His location's being blocked.
bourne,"Now they found Daniels, do you know where he is?"
nicky,They'll get one of the operatives to terminate him.
bourne,Find out who.
bourne,Tell him you're going to meet him and that you have a new phone for him.
nicky,If you stop Desh they'll just get someone else.
bourne,We're not going to stop him. We're going to follow him. He'll take us right to Daniels.
vosen,Find out why.
tech,"Sir, the asset is on the move, in route to subject."
wills,"Sir, we have an unauthorized breach. Someone with active system knowledge has penetrated out protocols. Information was passed to the asset at 14.11.  The trace is confirmed and valid. It comes from a computer belonging to Nicky Parsons."
vosen,Where did the course deviation occur?
