Speaker,Dialogue
voice over,I will tell you of William Wallace.
voice over,Historians from England will say I am a liar. But history is written by those who have hung heroes.
voice over,"The King of Scotland had died without a son, and the king of England, a cruel pagan known as Edward the Longshanks, claimed the throne for himself. Scotlands nobles fought him, and fought each other, over the crown. So Longshanks invited them to talks of truce. No weapons, one page only."
voice over,"Among the farmers of that shire was Malcolm Wallace, a commoner, with his own lands and two sons: John..."
voice over,...and William.
father,Told ya to stay.
william,I finished my chores. Where we goin'?
father,MacAndrews'. He was supposed to visit when the truce was over.
father,Stay here.
father,MacAndrews!... MacAndrews!?
father,MacAndrews.
john,William! Get out of here!
william,Why would MacAndrews make so many scarecrows?
william,R -- real!!!... Ahhhhhgggg!...
father,William! William!
father,Murderin' English bastards.
ghoul,Will--iam...!
campbell,Wallace is right! We fight 'em!
macclannough,Every nobleman who had any will to fight was at that meeting.
malcolm wallace,So it's up to us! We show them we won't lie down to be their slaves!
macclannough,"We can't beat an army, not with the fifty farmers we can raise!"
malcolm wallace,"We don't have to beat 'em, just fight 'em. To show 'em we're not dogs, but men."
malcolm wallace,They have a camp here. We attack them at sunset tomorrow. Give us all night to run home.
malcolm,"William, you're staying here."
william,I can fight.
malcolm,"Aye. But it's our wits that make us men. I love ya, boy. You stay."
william,They're coming!
hamish,How many?
william,"Three, maybe more!"
hamish,Armed?
william,"They're English soldiers, ain't they?"
hamish,"With your father and brother gone, they'll kill us and burn the farm!"
william,"It's up to us, Hamish!"
william,"Not yet! Here he comes, be ready!"
hamish,Wanna stay with me tonight?
william,I wanna have supper waitin'.
hamish,We'll get those English pigs tomorrow.
william,"Aye, we'll get 'em."
campbell,"William... Come down here, lad."
priest,"...Restare in pacem eternis, Amen."
priest,"You must be the relative of the deceased... William, this is your Uncle Argyle."
argyle,You were wise to hurry.
leader,Someone dead from this household?
argyle,"We just had a funeral, isn't that what it means in England as well?"
leader,What it means in England -- and in Scotland too -- is that rebels have forfeited their lands. We were ambushed last night. But the Scots dragged their dead away.
argyle,"My brother and nephew perished two days ago, when their hay cart turned over."
leader,Then we'll just have a peek at the wounds.  Dig 'em up!
argyle,"They've been sanctified and buried in the holy rites of God's church, and any hand that disturbs them now takes on eternal damnation. So please -- do it."
argyle,Funeral's over. Go home.
argyle,"Not that spoon, that one's for soup. Dip away from you. And don't slurp."
argyle,"We'll sleep here tonight. You'll come home with me. We'll let the house, and the lands too; plenty of willing neighbors."
william,I don't want to leave.
argyle,"Didn't want your father to die either, did ya? But it happened."
argyle,Did the priest say anything about the Resurrection? Or was it all about Judgment?
william,"It was in Latin, sir."
argyle,"Non loquis Latinum? You don't speak Latin? We have to fix that, won't we?  ...It was Malcolm's favorite."
william,"Good night, Uncle."
argyle,"""The Lord bless thee and keep thee..."""
william,What are they doing?
argyle,"Saying goodbye in their own way -- in outlawed tartans, with outlawed pipes, playing outlawed tunes."
argyle,"Your Daddy and I, we saw our own father buried like this, dead from fighting the English."
argyle,First learn to use this.
argyle,Then I will teach you to use this.
voice over,"Twelve years later, Longshanks supervised the wedding of his eldest son, also named Edward, who would succeed him to the throne."
voice over,"As bride for his son, Longshanks had chosen a relative of his rival, the king of France."
voice over,"It was widely whispered that for the Princess to conceive, Longshanks would have to do the honors himself. That may have been what he had in mind all along."
voice over,"Having seen to his obligations to provide for a successor, Longshanks set about his fondest business -- to crush Scotland, and turn his power against France..."
longshanks,Scotland! Scot-land!
longshanks,The French will grovel to anyone with strength! But how will they credit our strength when we cannot rule the whole of our own island?!
longshanks,Where is my son?
princess,"Your pardon, M'lord, he asked me to come in his stead."
longshanks,I sent for him -- and the little coward send you?!
princess,"Shall I leave, M'lord?"
longshanks,"If he wants his queen to rule, then you stay and learn how! I will deal with him."
longshanks,Nobles are the key to the Scottish door. Grant their nobles land here in England. Give our own nobles estates in the north. Make them too greedy to oppose us.
old advisor,"Sire... Our nobles will be reluctant to relocate. New lands mean new taxes, and they are taxed already for our war in France."
longshanks,"Perhaps it's time to reinstitute an old custom. Grant them prima noctes, ""First night."" When any common girl inhabiting their lands is married, our lords shall have sexual rights to her on the night of her wedding. That should fetch just the kind of lords we want in Scotland."
edward,What is it?!
princess,You directed me to report to you the moment the king's conference was ended.
edward,So I did! And what was so important about it?
princess,Scotland. He intends --
princess,He intends to grant --
edward,"Shut up, would you! How can I concentrate?!"
princess,...His majesty was quite keen that you should understand --
edward,"All so very boring! He wants me to learn to fight too, so let me do it!"
edward,Stop there.
edward,Do you disapprove of Phillip?
princess," No, M'lord."
edward,Look at me. I said LOOK AT ME!
edward,"Now, my flower, do you understand?"
princess,"Yes. I had thought that... I was loathsome to you. Perhaps I am. If I may be excused, M'lord."
edward,You may.
edward,"Don't worry, m'Lady, it is my royal responsibility to breed. And I assure you, when the time comes, I shall... manage."
voice over,Now in Edinburgh were gathered the council of Scottish nobles...
voice over,"Among these was Robert, the 17th Earl of Bruce, a leading contender for the crown of Scotland."
craig,"Young Robert, we are honored --"
robert,My father hears that Longshanks has granted prima noctes.
craig,Clearly meant to draw more of his supporters here.
mornay,"The Balliol clan has endorsed the right, licking Longshanks' boots so he will support their claim to the throne. If we make a show of opposition, the commoners will favor us."
robert,"It is too soon to step out alone. My father believes we must lull Longshanks into confidence, by neither supporting his decree nor opposing it."
craig,A wise plan. And how is your father? We have missed him at the council.
robert,He strained his leg so that it pains him to ride. But he sends his greetings -- and says that I speak for all the Bruces. And for Scotland.
soldier,Hey boy! You hunt this bird?
soldier,It's against the law for Scots to own bows. You shot this bird?
william,I hit it in the head. With a rock.
william,Miz MacDougal. You look well.
farm woman,"...William? It's William Wallace, back home! -- Have you met my daughter?"
william,Hamish?
hamish,Test of manhood.
william,You win.
hamish," Call it a test of soldiery, then. The English won't let us train with weapons, so we train with stones."
william,The test of a soldier is not in his arm. It's here.
hamish,No. It's here.
william,"A contest, then."
william,I still say this is no test. A catapult can throw a stone farther than a man can.
hamish,That depends on the man.
william,Can you do it when it matters? As it matters in battle? Could you crush a man with that throw?
hamish,I could crush you like a roach.
william,"Then do it. Come, do it."
hamish,You'll move
william,I will not.
farmer stewart,That's not fair!
campbell,"He's tired, he should get a longer run."
campbell,Brave show!
hamish,I threw longer than last time!
campbell,"An ox is strong, but not clever."
hamish,An ox is stupid enough to just stand in one place.
william,That's not the point.
william,That is.
campbell,"A fine display, young Wallace!"
william,Good to see you again.
hamish,I should'a remembered the eggs.
william,Would you honor me with a dance?
girl,You've taken over your father's farm?  They say he died long ago. Fighting the English.
william,"He died in an accident, with my brother. Their cart turned over."
nobleman,"I have come to claim the right of prima noctes. As the lord of these lands, I will bless this marriage by taking the bride into my bed on the first night of her union."
stewart,"No, by God!"
nobleman,It is my noble right.
william,"Good evening, sir. May I speak with your daughter?"
william,Marion... Would you like to go for a ride on this fine evening?
mother,The boy's insane!
william,"It's good Scottish weather, Madam, the rain is fallin' straight down."
mother,"She absolutely may not, she'll -- Marion!"
william,"Your father doesn't like me, does he?"
marion,It's not you. He dislikes that you're a Wallace. He just says... the Wallaces don't seem to live for very long.
william,Thank you for accepting.
marion,Thank you for inviting.
william,"I'll invite you again, but your mother thinks I'm crazy."
marion,You are. And I'll come again.
mother,"Marion, come in!"
mother,"Marion, come in!"
macclannough,Young Wallace --
william,"Sir, I know it was strange of me to invite Marion to ride last night. I assure you, I --"
campbell,MacClannough's daughter is another matter. We come to fetch you to a meeting.
william,What kind of meeting?
campbell,The secret kind.
campbell,Your father was a fighter. And a patriot.
william,"I know who my father was. I came back home to raise crops. And, God willing, a family. If I can live in peace, I will."
macclannough,"If you can keep your intention to stay out of the troubles, you may court my daughter. If you break your intention, I'll kill you."
marion,You've been here before?
william,Some nights. I have dreams. Mostly dreams I don't want. I started riding at night to fill up my mind so that when I did sleep I'd dream only of the ride and the adventure.
marion,Did it work?
william,No. You don't choose your dreams. Your dreams choose you.
