Speaker,Dialogue
claire,I can't believe you can't get me out of this...I mean it's so absurd I have to be here on a Saturday! It's not like I'm a defective or anything...
claire's father,"I'll make it up to you...Honey, ditching class to go shopping doesn't make you a defective.  Have a good day."
brian's mother,Is this the first time or the last time we do this?
brian, Last...
brian's mother,Well get in there and use the time to your advantage...
brian,"Mom, we're not supposed to study; we just have to sit there and do nothing."
brian's mother,Well mister you figure out a way to study.
brian's mother,Well go!
andrew's father,"Hey, I screwed around...guys screw around, there's nothing wrong with that.  Except you got caught, Sport."
andrew,"Yeah, Mom already reemed me, alright?"
andrew's father, You wanna miss a match?  You wanna blow your ride?  Now no school's gonna give a scholarship to a discipline case.
vernon,Well...well.  Here we are!  I want to congradulate you for being on time...
claire,"Excuse me, sir?  I think there's been a mistake.  I know it's detention, but...um...I don't think I belong in here..."
vernon,It is now seven-oh-six.  You have exactly eight hours and fifty-four minutes to think about why you're here.  To ponder the error of your ways...
vernon,...and you may not talk.  You will not move from these seats.
vernon,...and you...
vernon,"...will not sleep.  Alright people, we're gonna try something a little different today.  We are going to write an essay--of no less than a thousand words--describing to me who you think you are."
bender,Is this a test?
vernon,And when I say essay...I mean essay. I do not mean a single word repeated a thousand times.  Is that clear Mr. Bender?
bender,Crystal...
vernon,Good.  Maybe you'll learn a little something about yourself.  Maybe you'll even--decide whether or not you care to return.
brian,"You know, I can answer that right now sir...That'd be ""No"", no for me. 'cause..."
vernon,Sit down Johnson...
brian,Thank you sir...
vernon,My office...
vernon,...is right across that hall.  Any monkey business is ill-advised...
vernon,...any questions?
bender,Yeah...I got a question.
bender,Does Barry Manilow know you raid his wardrobe?
vernon,"I'll give you the answer to that question, Mr. Bender, next Saturday. Don't mess with the bull young man, you'll get the horns."
bender,That man...is a brownie hound...
bender,You keep eating your hand and you're not gonna be hungry for lunch...
bender,"I've seen you before, you know..."
brian, Who do I think I am?  Who are you? Who are you?
brian,I am a walrus...
brian,"It's the shits, huh?"
claire, I can't believe this is really happening to me...
bender,"Oh, shit!  What're we s'posed to do if we hafta take a piss?"
claire, Please...
bender,If you gotta go...
bender,You gotta go!
claire, Oh my God!
andrew,"Hey, yer not urinating in here man!"
bender,Don't talk!  Don't talk!  It makes it crawl back up!
andrew,You whip it out and you're dead before the first drop hits the floor!
bender,You're pretty sexy when you get angry...grrr!
bender,"Hey, homeboy..."
bender,...why don't you go close that door. We'll get the prom queen-- impregnated!
andrew,Hey!
andrew,Hey! BENDER What?
andrew,"If I lose my temper, you're totalled man!"
bender,Totally?
andrew,Totally!
claire, Why don't you just shut up!  Nobody here is interested!
andrew,Really!  Buttface!
bender,Well hey Sporto!  What'd you do to get in here?  Forget to wash your jock?
brian," Uh, excuse me, fellas?  I think we should just write our papers..."
andrew," Look, just because you live in here doesn't give you the right to be a pain in the ass...so knock it off!"
bender,It's a free country...
claire, He's just doing it to get a rise out of you!  Just ignore him...
bender, Sweets...you couldn't ignore me if you tried!
bender,"So...so!  Come on Sporto, level with me.  Do you slip her the hot...beef... injection?"
claire, Go to hell!
andrew, Enough!
vernon, Smug little pricks! CUT TO:
andrew, Scumbag!
bender,What do you say we close that door. We can't have any kind of party with Vernon checking us out every few seconds.
brian,"Well, you know the door's s'posed to stay open..."
bender,So what?
andrew,So why don't you just shut up! There's four other people in here you know...
bender,"God, you can count.  See!  I knew you had to be smart to be a...a wrestler."
andrew,Who the hell are you to judge anybody anyway?
claire,Really...
andrew,"You know, Bender...you don't even count.  I mean if you disappeared forever it wouldn't make any difference.  You may as well not even exist at this school."
bender,Well...I'll just run right out and join the wrestling team.
bender, Maybe the prep club too!  Student council...
andrew,"No, they wouldn't take you."
bender,I'm hurt.
claire,You know why guys like you knock everything...
bender," Oh, this should be stunning..."
claire,It's 'cause you're afraid.
bender," Oh, God!  You ritchies are so smart, that's exactly why I'm not heavy in activities!"
claire,You're a big coward!
brian, I'm in the math club...
claire,See you're afraid that they won't take you.  You don't belong so you just have to dump all over it...
bender,Well...it wouldn't have anything to do with you activities people being assholes...now would it?
claire,Well you wouldn't know...You don't even know any of us.
bender,"Well, I don't know any lepers either, but I'm not gonna run out and join one of their fucking clubs."
andrew,"Hey let's watch the mouth, huh?"
brian,I'm in the physics club too...
bender, What are you babbling about?
brian,"Well, what I said was...I'm in the math club, the Latin club and the physics club...physics club."
bender,Hey...Cherry...do you belong to the physics club?
claire,That's an academic club...
bender,So?
claire,So...academic clubs aren't the same as other kinds of clubs.
bender,"Oh, but to dorks like him..."
bender,...they are.  What do you guys do in your club?
brian,"In physics, um, we ah, we talk about physics...about properties of physics."
bender,"So it's sorta social...demented and sad, but social.  Right?"
