Speaker,Dialogue
gerald,"I don't know a recent Saturday I've sold more.  You didn't think I'd sell that health restaurant, did you?"
tom,No.  Not even you.
gerald,Why so glum?
tom,I don't know.
gerald, Go ahead.
tom,"No, nothing.  I've got a problem, I guess."
gerald,Were you bothering by those waitresses making a fuss?
tom,"No.  But, honest.  What are you supposed to say when they keep talking about your looks?  I don't even know what they mean -- ""Beat them off with a stick."""
gerald,"You know, Tom, I feel a little proud when people comment on your looks.  Maybe you should feel that way."
tom,Proud?  I'm just embarrassed that I like when they say those things.
gerald,As long as that's your only problem you're...
tom,It's not.
tom,"I got my report card.  Three Cs, two Ds and an incomplete."
gerald,"Oh my.  I see you studying so hard, Tom.  What do you think the problem is?"
tom,I'll just have to try harder.  I don't know.  I will.  I will.  I will.  I will.
tom,"Thanks, Dad, this talk helped.  Will you sign it, please?"
gerald, Would it help if I got you a tutor?
tom, It better help.  What can you do with yourself if all you do is look good?
aaron,"...and finally to the teachers of Whitman High School, I don't have the words to express my gratitude which may have more to say about the quality of the English Department here than my own limitations..."
aaron,"...that was, of course, not meant to be taken seriously.  A personal note. I am frequently asked what the special difficulties are in being graduated from High School two months shy of my fifteenth birthday.  I sometimes think it was the difficulties themselves which enabled me to do it. If I'd been appreciated or even tolerated I wouldn't have been in such a hurry to graduate.  I hope the next student who comes along and is able to excel isn't made to feel so much an outcast.  But I'm looking forward to college; this is the happiest day I've had in a long time.  I thank you and I forgive you."
male teacher,I'm always so confused by Aaron. Is he brave and earnest or just a conceited little dick-head?
aaron,"Go ahead, Stephen -- take your last licks.  But this will heal -- what I'm going to say to you will scar you forever.  Ready?  Here it is."
aaron,You'll never make more than nineteen thousand dollars a year. Ha ha ha.
aaron,"Okay, take this:  You'll never leave South Boston and I'm going to see the whole damn world.  You'll never know the pleasure of writing a graceful sentence or having an original thought.  Think about it."
youth tough,Nineteen thousand dollars... Not bad.
jane," Dear Felatzia, it's truly amazing to me that we live a world apart and yet have the same favorite music. I loved the picture you sent and have it up on my bulletin board. You're growing so much faster than I am that I..."
jane, ...am starting to get jealous. I read in the newspapers about the Italian strike and riots in Milan.  I hope you weren't...
father, Honey?...
jane,Oh God -- Daddy -- don't...don't... don't ever scare me like that -- please.
father,"Jane -- For God's sake...  Look, it's time for you to go to sleep."
jane,I just have two more pen pals and then I'm done.
father,You don't have to finish tonight.
jane, Nooo.  This way the rotation stays the same.
father,Finish quickly.  I don't want you getting obsessive about these things.  Good night.
jane,"Dad, you want me to choose my words so carefully and then you just throw a word like 'obsessive' at me.  Now, unless I'm wrong and...  ...please correct me if I am, 'obsession' is practically a psychiatric term... concerning people who don't have anything else but the object of their obsession -- who can't stop and do anything else.  Well, Here I am stopping to tell you this.  Okay? So would you please try and be a little more precise instead of calling a person something like 'obsessive.'"
jane, Hi...It's me...
jane's voice, It's thirty minutes before you have to meet me in the lobby -- nudge your wife.
jane,There's probably no time to eat... but there's a cafeteria at the bus depot once we get down there.  I love working with you two...It saves me a call.
aaron,"Hi.  Turn on your TV... Good Morning America, the Morning News and Today are all about to talk to Arnold Schwarzenegger and I think he's live on at least two of them."
jane,At six o'clock on the wake-up news they used the wrong missile graphic.
