Speaker,Dialogue
fourth draft,"March 7, 1995"
deakins,You know what happened there?
hale,"Hell, I barely know what day it is."
deakins,"I set you up. I fake right, go left three times in a row. You expect it again, I take the right in hard. That's what boxing's all about. Make your opponent think you're gonna do one thing, then do another. Like Ali in Zaire, using the rope-a-dope on Foreman.  Everyone thought Ali's arms were getting destroyed, when he was really just letting Foreman tire himself out. Eighth round, Ali starts hitting, George's got nothing left -- fight's over."
hale,"The fact that I can't feel the left side of my face -- that's okay, right? Deakins laughs. Hale seizes the relaxed moment and suddenly launches into Deakins with a flurry of punches."
deakins,"Several of Hale's punches land. Deakins staggers back, caught off guard. It looks like he might even go down."
hale,He cocks his arm back. He could finish Deakins off. But he doesn't. He drops his fist.
deakins,Seizes the opportunity and slugs back.
the crowd,Loves it.
deakins,"Don't watch my hands -- watch my shoulders. That's where the punch starts. Ready? Deakins hits Hale hard in the face, sending him back."
the spectators,"Are circling the ring, following the fighters, cheering."
deakins,You were looking at my hands. Let's try it again. Ready? Deakins hits Hale hard. He's got Hale on the run.
deakins,Come on. Focus. Ready?
hale,"Lands, dazed, blood trickling out of the corner of his mouth."
deakins,"He's in silhouette, the lights above him."
hale,"Looks up at Deakins, catches his breath."
hale's locker,"Is in sunlight. On the inside of his locker door are pictures of exotic planes -- the SR-71, a swept-wing fighter, an artist's rendition of the Aurora, etc."
deakins' locker,"On the shady side of the room. Nothing on the inside of his locker door. The locker is spare, Zen-like in its neatness."
hale,Here.
hale's hand,Slams a twenty dollar bill down on the bench.
deakins,I can't take that.
hale,"Oh, shut up."
deakins,Really. I feel bad. How many times have we fought and how many times have you won?
hale,Jerk.
deakins,"Well, if you insist. Deakins grins, folds the bill and jams it into his flightsuit."
deakins,You know why I beat you?
hale,Because you've been boxing for twenty years and you're much better at it than I am?
deakins,You don't want it enough. You had me today. I was back on my heels. But you didn't close the door.
hale,We were just sparring.
deakins,"Life isn't sparring, Hale."
